time,Sacramento,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. K. Koufos (D. Murray gains possession),,,,Jump ball: P. Gasol vs. K. Koufos (D. Murray gains possession)
11:36.0,,,0-0,,L. Aldridge misses 3-pt shot from 25 ft
11:36.0,,,0-0,,Offensive rebound by Team
11:36.0,Loose ball foul by D. Fox (drawn by P. Gasol),,0-0,,
11:20.0,,,0-2,2,P. Gasol makes 2-pt shot from 2 ft (assist by D. Green)
11:06.0,Z. Randolph misses 2-pt shot from 20 ft,,0-2,,
11:04.0,,,0-2,,Defensive rebound by P. Gasol
10:55.0,,,0-2,,L. Aldridge misses 2-pt shot from 2 ft
10:52.0,,,0-2,,Offensive rebound by D. Murray
10:52.0,,,0-4,2,D. Murray makes 2-pt shot at rim
10:31.0,B. Bogdanovic misses 2-pt shot from 6 ft,,0-4,,
10:28.0,Offensive rebound by K. Koufos,,0-4,,
10:26.0,D. Fox makes 3-pt shot from 24 ft (assist by B. Bogdanovic),3,3-4,,
10:00.0,,,3-6,2,L. Aldridge makes 2-pt shot from 18 ft
9:43.0,Z. Randolph misses 2-pt shot from 20 ft,,3-6,,
9:39.0,,,3-6,,Defensive rebound by K. Anderson
9:31.0,,,3-6,,P. Gasol misses 3-pt shot from 24 ft
9:28.0,Defensive rebound by J. Jackson,,3-6,,
9:22.0,K. Koufos misses 2-pt shot from 6 ft,,3-6,,
9:20.0,,,3-6,,Defensive rebound by D. Murray
9:12.0,,,3-8,2,P. Gasol makes 2-pt shot from 19 ft (assist by D. Murray)
8:57.0,Turnover by B. Bogdanovic (bad pass; steal by D. Green),,3-8,,
8:45.0,Personal foul by K. Koufos (drawn by L. Aldridge),,3-8,,
8:29.0,,,3-10,2,D. Murray makes 2-pt shot from 18 ft
8:14.0,Turnover by J. Jackson (traveling),,3-10,,
7:56.0,Personal foul by Z. Randolph (drawn by L. Aldridge),,3-10,,
7:49.0,,,3-12,2,L. Aldridge makes 2-pt shot from 1 ft (assist by D. Murray)
7:44.0,Sacramento full timeout,,3-12,,
7:34.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by D. Fox),3,6-12,,
7:10.0,,,6-12,,P. Gasol misses 2-pt shot from 10 ft
7:07.0,Defensive rebound by Z. Randolph,,6-12,,
6:59.0,Z. Randolph misses 2-pt shot from 8 ft (block by L. Aldridge),,6-12,,
6:56.0,,,6-12,,Defensive rebound by D. Murray
6:51.0,,,6-14,2,P. Gasol makes 2-pt shot from 15 ft (assist by K. Anderson)
6:32.0,J. Jackson makes 2-pt shot from 1 ft (assist by Z. Randolph),2,8-14,,
6:13.0,,,8-14,,L. Aldridge misses 2-pt shot from 13 ft
6:10.0,Defensive rebound by B. Bogdanovic,,8-14,,
5:46.0,J. Jackson misses 3-pt shot from 23 ft,,8-14,,
5:44.0,,,8-14,,Defensive rebound by D. Murray
5:33.0,,,8-14,,D. Green misses 3-pt shot from 25 ft
5:30.0,Defensive rebound by Z. Randolph,,8-14,,
5:25.0,D. Fox makes 2-pt shot from 1 ft,2,10-14,,
5:25.0,,,10-14,,San Antonio full timeout
5:25.0,,,10-14,,P. Mills enters the game for K. Anderson
5:25.0,,,10-14,,T. Parker enters the game for D. Murray
5:25.0,,,10-14,,M. Ginobili enters the game for D. Green
5:25.0,,,10-14,,D. Bertans enters the game for P. Gasol
5:04.0,,,10-14,,M. Ginobili misses 2-pt shot from 9 ft
5:02.0,Defensive rebound by Z. Randolph,,10-14,,
4:59.0,D. Fox misses 2-pt shot from 17 ft,,10-14,,
4:55.0,,,10-14,,Defensive rebound by T. Parker
4:42.0,,,10-16,2,M. Ginobili makes 2-pt shot from 1 ft (assist by D. Bertans)
4:22.0,Turnover by B. Bogdanovic (bad pass),,10-16,,
3:56.0,,,10-16,,M. Ginobili misses 2-pt shot from 18 ft
3:52.0,,,10-16,,Offensive rebound by L. Aldridge
3:52.0,,,10-16,,L. Aldridge misses 2-pt shot at rim
3:51.0,Defensive rebound by K. Koufos,,10-16,,
3:43.0,Z. Randolph makes 2-pt shot from 2 ft (assist by J. Jackson),2,12-16,,
3:30.0,,,12-19,3,D. Bertans makes 3-pt shot from 26 ft (assist by T. Parker)
3:17.0,Turnover by Z. Randolph (traveling),,12-19,,
3:17.0,G. Hill enters the game for D. Fox,,12-19,,
3:17.0,V. Carter enters the game for K. Koufos,,12-19,,
2:59.0,,,12-19,,L. Aldridge misses 2-pt shot from 15 ft
2:57.0,Defensive rebound by Z. Randolph,,12-19,,
2:54.0,J. Jackson makes 3-pt shot from 25 ft (assist by G. Hill),3,15-19,,
2:42.0,,,15-21,2,T. Parker makes 2-pt shot from 2 ft (assist by M. Ginobili)
2:18.0,J. Jackson makes 2-pt shot from 16 ft (assist by V. Carter),2,17-21,,
1:57.0,,,17-21,,T. Parker misses 2-pt shot from 6 ft
1:54.0,Defensive rebound by J. Jackson,,17-21,,
1:43.0,Turnover by Z. Randolph (bad pass; steal by P. Mills),,17-21,,
1:39.0,,,17-21,,P. Mills misses 3-pt shot from 25 ft
1:33.0,,,17-21,,Offensive rebound by L. Aldridge
1:33.0,,,17-23,2,L. Aldridge makes 2-pt shot at rim
1:16.0,Z. Randolph makes 3-pt shot from 25 ft (assist by G. Hill),3,20-23,,
1:08.0,,,20-23,,Shooting foul by G. Hill (drawn by M. Ginobili)
1:08.0,,,20-24,1,M. Ginobili makes free throw 1 of 2
1:08.0,,,20-24,,J. Lauvergne enters the game for L. Aldridge
1:08.0,B. Hield enters the game for B. Bogdanovic,,20-24,,
1:08.0,,,20-25,1,M. Ginobili makes free throw 2 of 2
0:54.0,J. Jackson misses 2-pt shot from 20 ft,,20-25,,
0:52.0,,,20-25,,Defensive rebound by D. Bertans
0:45.0,,,20-27,2,T. Parker makes 2-pt shot from 1 ft
0:38.0,G. Hill makes 2-pt shot from 19 ft,2,22-27,,
0:33.0,,,22-29,2,T. Parker makes 2-pt shot from 1 ft
0:15.0,Turnover by G. Hill (bad pass; steal by P. Mills),,22-29,,
0:03.0,,,22-29,,D. Bertans misses 3-pt shot from 23 ft
0:03.0,,,22-29,,Offensive rebound by J. Lauvergne
0:00.0,,,22-29,,J. Lauvergne misses 2-pt shot at rim
0:00.0,Defensive rebound by G. Hill,,22-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,V. Carter misses 3-pt shot from 25 ft,,22-29,,
11:44.0,Offensive rebound by K. Koufos,,22-29,,
11:33.0,V. Carter misses 2-pt shot from 1 ft,,22-29,,
11:31.0,,,22-29,,Defensive rebound by D. Bertans
11:28.0,Personal foul by B. Hield (drawn by T. Parker),,22-29,,
11:22.0,,,22-32,3,P. Mills makes 3-pt shot from 23 ft (assist by T. Parker)
11:03.0,V. Carter makes 3-pt shot from 25 ft (assist by K. Koufos),3,25-32,,
10:50.0,,,25-32,,T. Parker misses 2-pt shot from 14 ft
