time,Miami,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. H. Whiteside (E. Bledsoe gains possession),,,,Jump ball: J. Henson vs. H. Whiteside (E. Bledsoe gains possession)
11:42.0,,,0-0,,G. Antetokounmpo misses 2-pt shot from 2 ft
11:39.0,Defensive rebound by J. Richardson,,0-0,,
11:32.0,J. Johnson misses 3-pt shot from 25 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by G. Antetokounmpo
11:18.0,,,0-2,2,G. Antetokounmpo makes 2-pt shot from 7 ft
11:03.0,H. Whiteside makes 2-pt shot from 1 ft (assist by J. Richardson),2,2-2,,
10:50.0,,,2-4,2,E. Bledsoe makes 2-pt shot at rim (assist by G. Antetokounmpo)
10:28.0,G. Dragic misses 3-pt shot from 26 ft,,2-4,,
10:26.0,,,2-4,,Defensive rebound by E. Bledsoe
10:20.0,,,2-4,,E. Bledsoe misses 2-pt shot from 3 ft
10:17.0,Defensive rebound by G. Dragic,,2-4,,
10:09.0,J. Johnson misses 2-pt shot from 2 ft,,2-4,,
10:06.0,,,2-4,,Defensive rebound by J. Henson
9:55.0,,,2-4,,M. Brogdon misses 2-pt shot from 4 ft
9:55.0,,,2-4,,Offensive rebound by Team
9:55.0,Loose ball foul by H. Whiteside (drawn by J. Henson),,2-4,,
9:46.0,,,2-4,,K. Middleton misses 2-pt shot from 13 ft
9:43.0,Defensive rebound by H. Whiteside,,2-4,,
9:33.0,J. Richardson makes 3-pt shot from 23 ft (assist by G. Dragic),3,5-4,,
9:09.0,,,5-4,,G. Antetokounmpo misses 2-pt shot from 5 ft
9:09.0,Defensive rebound by Team,,5-4,,
8:57.0,G. Dragic makes 2-pt shot from 6 ft (assist by J. Johnson),2,7-4,,
8:49.0,,,7-4,,J. Henson misses 2-pt shot from 6 ft (block by H. Whiteside)
8:46.0,Defensive rebound by G. Dragic,,7-4,,
