time,Minnesota,pts.away,score,pts.home,Washington
1:52.0,J. Teague enters the game for T. Jones,,109-106,,
1:29.0,J. Crawford makes 2-pt shot from 1 ft,2,111-106,,
1:16.0,Personal foul by J. Crawford (drawn by T. Satoransky),,111-106,,
1:16.0,,,111-107,1,T. Satoransky makes free throw 1 of 2
1:16.0,,,111-108,1,T. Satoransky makes free throw 2 of 2
1:01.0,K. Towns misses 2-pt shot from 16 ft,,111-108,,
0:57.0,,,111-108,,Defensive rebound by T. Satoransky
0:49.0,,,111-108,,Shooting foul by K. Towns (drawn by B. Beal)
0:49.0,,,111-108,,B. Beal misses free throw 1 of 2
0:49.0,,,111-108,,Offensive rebound by Team
0:49.0,,,111-109,1,B. Beal makes free throw 2 of 2
0:46.0,Minnesota full timeout,,111-109,,
0:46.0,,,111-109,,I. Mahinmi enters the game for M. Morris
0:29.0,K. Towns makes 3-pt shot from 23 ft (assist by J. Teague),3,114-109,,
0:29.0,,,114-109,,Washington full timeout
0:29.0,,,114-109,,M. Morris enters the game for K. Oubre
0:29.0,,,114-109,,M. Gortat enters the game for I. Mahinmi
0:29.0,T. Gibson enters the game for J. Crawford,,114-109,,
0:16.0,,,114-111,2,M. Morris makes 2-pt shot at rim
0:15.0,Turnover by N. Bjelica (bad pass),,114-111,,
0:11.0,,,114-111,,Turnover by B. Beal (bad pass; steal by J. Teague)
0:08.0,J. Teague makes 2-pt shot at rim,2,116-111,,
0:08.0,,,116-111,,Washington full timeout
0:04.0,,,116-111,,O. Porter misses 3-pt shot from 26 ft
0:04.0,Defensive rebound by T. Gibson,,116-111,,
