time,Phoenix,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. G. Monroe (J. Martin gains possession),,,,Jump ball: M. Gasol vs. G. Monroe (J. Martin gains possession)
11:39.0,,,0-0,,Turnover by M. Gasol (lost ball; steal by G. Monroe)
11:16.0,T. Warren misses 3-pt shot from 30 ft,,0-0,,
11:16.0,Offensive rebound by Team,,0-0,,
11:16.0,Turnover by Team (shot clock),,0-0,,
11:01.0,,,0-0,,J. Martin misses 2-pt shot from 19 ft
10:56.0,Defensive rebound by I. Canaan,,0-0,,
10:48.0,Turnover by D. Bender (bad pass; steal by J. Martin),,0-0,,
10:37.0,,,0-0,,Turnover by D. Brooks (bad pass)
10:18.0,G. Monroe makes 2-pt shot from 6 ft,2,2-0,,
10:06.0,,,2-0,,W. Selden misses 2-pt shot from 7 ft
10:02.0,Defensive rebound by D. Bender,,2-0,,
9:59.0,T. Warren makes 2-pt shot from 7 ft (assist by I. Canaan),2,4-0,,
9:55.0,Personal foul by T. Warren (drawn by D. Brooks),,4-0,,
9:49.0,,,4-2,2,D. Brooks makes 2-pt shot from 1 ft (assist by W. Selden)
9:30.0,Turnover by G. Monroe (bad pass; steal by M. Gasol),,4-2,,
9:27.0,,,4-2,,Shooting foul by D. Bender (drawn by D. Brooks)
9:27.0,,,4-2,,D. Brooks misses free throw 1 of 2
9:27.0,,,4-2,,Offensive rebound by Team
9:27.0,,,4-3,1,D. Brooks makes free throw 2 of 2
9:15.0,T. Daniels makes 3-pt shot from 24 ft (assist by G. Monroe),3,7-3,,
9:02.0,,,7-3,,J. Martin misses 2-pt shot from 1 ft (block by T. Daniels)
8:58.0,Defensive rebound by I. Canaan,,7-3,,
8:51.0,T. Warren makes 2-pt shot from 1 ft (assist by G. Monroe),2,9-3,,
8:35.0,,,9-5,2,M. Gasol makes 2-pt shot from 1 ft (assist by J. Martin)
8:15.0,T. Warren misses 2-pt shot from 11 ft,,9-5,,
8:12.0,,,9-5,,Defensive rebound by A. Harrison
8:10.0,,,9-5,,Turnover by W. Selden (traveling)
7:48.0,G. Monroe misses 2-pt shot at rim (block by J. Martin),,9-5,,
7:45.0,,,9-5,,Defensive rebound by M. Gasol
7:36.0,,,9-5,,A. Harrison misses 3-pt shot from 23 ft
7:34.0,Defensive rebound by D. Bender,,9-5,,
7:23.0,T. Daniels misses 3-pt shot from 26 ft,,9-5,,
7:21.0,,,9-5,,Defensive rebound by M. Gasol
7:17.0,,,9-5,,Turnover by M. Gasol (bad pass)
7:02.0,T. Warren makes 2-pt shot from 7 ft,2,11-5,,
7:02.0,,,11-5,,Memphis full timeout
6:43.0,,,11-7,2,D. Brooks makes 2-pt shot at rim (assist by W. Selden)
6:22.0,Shooting foul by W. Selden (drawn by T. Daniels),,11-7,,
6:22.0,T. Daniels makes free throw 1 of 3,1,12-7,,
6:22.0,T. Daniels makes free throw 2 of 3,1,13-7,,
6:22.0,,,13-7,,T. Evans enters the game for W. Selden
6:22.0,T. Daniels makes free throw 3 of 3,1,14-7,,
6:10.0,,,14-7,,A. Harrison misses 2-pt shot at rim
6:08.0,Defensive rebound by I. Canaan,,14-7,,
6:04.0,Turnover by D. Bender (bad pass),,14-7,,
6:04.0,,,14-7,,I. Rabb enters the game for J. Martin
5:42.0,,,14-9,2,M. Gasol makes 2-pt shot from 14 ft (assist by I. Rabb)
5:24.0,G. Monroe misses 2-pt shot from 7 ft (block by M. Gasol),,14-9,,
5:24.0,,,14-9,,M. Chalmers enters the game for A. Harrison
5:24.0,,,14-9,,Offensive rebound by Team
5:23.0,Jump ball: M. Gasol vs. G. Monroe (I. Rabb gains possession),,,,Jump ball: M. Gasol vs. G. Monroe (I. Rabb gains possession)
5:10.0,Personal foul by G. Monroe (drawn by M. Gasol),,14-9,,
5:10.0,A. Len enters the game for G. Monroe,,14-9,,
5:10.0,J. Jackson enters the game for T. Daniels,,14-9,,
5:05.0,,,14-9,,M. Gasol misses 3-pt shot from 28 ft
5:03.0,,,14-9,,Offensive rebound by Team
4:54.0,,,14-9,,T. Evans misses 2-pt shot at rim
4:52.0,Defensive rebound by J. Jackson,,14-9,,
4:42.0,,,14-9,,Personal foul by M. Chalmers (drawn by A. Len)
4:36.0,Turnover by D. Bender (lost ball; steal by M. Chalmers),,14-9,,
4:32.0,,,14-9,,Turnover by I. Rabb (lost ball; steal by T. Warren)
4:30.0,T. Warren misses 2-pt shot from 1 ft (block by M. Gasol),,14-9,,
4:28.0,,,14-9,,Defensive rebound by M. Gasol
4:25.0,,,14-9,,Turnover by M. Gasol (bad pass; steal by A. Len)
4:23.0,Shooting foul by M. Gasol (drawn by T. Warren),,14-9,,
4:23.0,T. Warren misses free throw 1 of 2,,14-9,,
4:23.0,Offensive rebound by Team,,14-9,,
4:23.0,T. Ulis enters the game for I. Canaan,,14-9,,
4:23.0,J. Dudley enters the game for D. Bender,,14-9,,
4:23.0,T. Warren makes free throw 2 of 2,1,15-9,,
4:05.0,,,15-9,,M. Gasol misses 2-pt shot from 12 ft
4:02.0,,,15-9,,Offensive rebound by I. Rabb
4:00.0,,,15-9,,M. Gasol misses 3-pt shot from 26 ft
3:58.0,Defensive rebound by A. Len,,15-9,,
3:43.0,J. Jackson makes 2-pt shot at rim (assist by J. Dudley),2,17-9,,
3:31.0,,,17-9,,I. Rabb misses 2-pt shot from 14 ft
3:28.0,Defensive rebound by J. Dudley,,17-9,,
