time,Miami,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Love vs. H. Whiteside (J. Winslow gains possession),,,,Jump ball: K. Love vs. H. Whiteside (J. Winslow gains possession)
11:38.0,J. Winslow misses 2-pt shot from 14 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by L. James
11:33.0,,,0-2,2,L. James makes 2-pt shot at rim
11:33.0,,,0-2,,Shooting foul by J. Winslow (drawn by L. James)
11:33.0,,,0-2,,L. James misses free throw 1 of 1
11:31.0,Defensive rebound by H. Whiteside,,0-2,,
11:19.0,J. Richardson misses 3-pt shot from 30 ft,,0-2,,
11:09.0,Offensive rebound by H. Whiteside,,0-2,,
11:09.0,H. Whiteside makes 2-pt shot at rim,2,2-2,,
10:54.0,,,2-5,3,K. Love makes 3-pt shot from 24 ft
10:34.0,H. Whiteside misses 2-pt shot from 11 ft,,2-5,,
10:32.0,,,2-5,,Defensive rebound by L. James
10:29.0,,,2-5,,J. Smith misses 3-pt shot from 30 ft
10:25.0,Defensive rebound by H. Whiteside,,2-5,,
10:15.0,G. Dragic misses 2-pt shot from 13 ft,,2-5,,
10:14.0,Offensive rebound by H. Whiteside,,2-5,,
10:14.0,H. Whiteside makes 2-pt shot at rim,2,4-5,,
10:14.0,Shooting foul by J. Crowder (drawn by H. Whiteside),,4-5,,
10:14.0,H. Whiteside misses free throw 1 of 1,,4-5,,
10:11.0,,,4-5,,Defensive rebound by L. James
10:02.0,,,4-7,2,L. James makes 2-pt shot from 1 ft (assist by J. Calderon)
9:35.0,J. Winslow misses 2-pt shot from 2 ft,,4-7,,
9:33.0,,,4-7,,Defensive rebound by L. James
9:27.0,,,4-7,,L. James misses 3-pt shot from 24 ft
9:24.0,Defensive rebound by H. Whiteside,,4-7,,
9:10.0,H. Whiteside misses 2-pt shot from 10 ft,,4-7,,
9:08.0,,,4-7,,Defensive rebound by L. James
9:02.0,,,4-10,3,K. Love makes 3-pt shot from 24 ft (assist by J. Smith)
8:44.0,Turnover by J. Richardson (bad pass; steal by K. Love),,4-10,,
8:35.0,,,4-12,2,K. Love makes 2-pt shot from 13 ft (assist by J. Calderon)
8:27.0,Shooting foul by L. James (drawn by G. Dragic),,4-12,,
8:27.0,G. Dragic misses free throw 1 of 2,,4-12,,
8:27.0,Offensive rebound by Team,,4-12,,
8:27.0,G. Dragic misses free throw 2 of 2,,4-12,,
8:24.0,,,4-12,,Defensive rebound by K. Love
8:12.0,,,4-12,,K. Love misses 3-pt shot from 28 ft
8:10.0,,,4-12,,Offensive rebound by J. Calderon
8:06.0,Personal foul by G. Dragic (drawn by J. Calderon),,4-12,,
7:58.0,Personal foul by G. Dragic (drawn by J. Calderon),,4-12,,
7:58.0,T. Johnson enters the game for G. Dragic,,4-12,,
7:47.0,,,4-12,,J. Crowder misses 3-pt shot from 24 ft
7:40.0,,,4-12,,Offensive rebound by K. Love
7:40.0,,,4-14,2,K. Love makes 2-pt shot at rim
7:39.0,Miami full timeout,,4-14,,
7:39.0,K. Olynyk enters the game for J. Winslow,,4-14,,
7:39.0,J. Johnson enters the game for H. Whiteside,,4-14,,
7:22.0,J. Johnson makes 3-pt shot from 26 ft (assist by D. Waiters),3,7-14,,
