time,Memphis,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. M. Gasol (B. McLemore gains possession),,,,Jump ball: P. Gasol vs. M. Gasol (B. McLemore gains possession)
11:53.0,B. McLemore makes 2-pt shot from 3 ft,2,2-0,,
11:29.0,,,2-0,,P. Gasol misses 2-pt shot from 15 ft
11:27.0,Defensive rebound by J. Green,,2-0,,
11:08.0,D. Brooks misses 2-pt shot from 14 ft,,2-0,,
11:06.0,,,2-0,,Defensive rebound by P. Gasol
10:54.0,,,2-3,3,L. Aldridge makes 3-pt shot from 23 ft (assist by D. Green)
10:39.0,M. Gasol misses 2-pt shot from 14 ft,,2-3,,
10:35.0,,,2-3,,Defensive rebound by K. Anderson
10:19.0,,,2-5,2,L. Aldridge makes 2-pt shot from 11 ft
9:59.0,J. Green misses 2-pt shot from 13 ft,,2-5,,
9:56.0,,,2-5,,Defensive rebound by P. Gasol
9:45.0,,,2-8,3,L. Aldridge makes 3-pt shot from 22 ft (assist by K. Anderson)
9:41.0,Memphis full timeout,,2-8,,
9:22.0,T. Evans misses 2-pt shot from 7 ft,,2-8,,
9:20.0,,,2-8,,Defensive rebound by D. Green
9:15.0,,,2-8,,T. Parker misses 2-pt shot from 18 ft
9:15.0,Defensive rebound by J. Green,,2-8,,
9:03.0,Turnover by J. Green (bad pass),,2-8,,
8:48.0,,,2-8,,L. Aldridge misses 2-pt shot from 16 ft
8:44.0,Defensive rebound by T. Evans,,2-8,,
8:39.0,J. Green makes 3-pt shot from 26 ft (assist by T. Evans),3,5-8,,
8:18.0,,,5-8,,D. Green misses 3-pt shot from 25 ft
8:15.0,Defensive rebound by M. Gasol,,5-8,,
8:07.0,Turnover by M. Gasol (turnover),,5-8,,
7:44.0,,,5-10,2,T. Parker makes 2-pt shot from 1 ft (assist by P. Gasol)
7:32.0,J. Green misses 3-pt shot from 23 ft,,5-10,,
7:29.0,,,5-10,,Defensive rebound by P. Gasol
7:22.0,,,5-12,2,L. Aldridge makes 2-pt shot at rim (assist by T. Parker)
7:00.0,T. Evans makes 2-pt shot from 1 ft,2,7-12,,
6:37.0,,,7-12,,K. Anderson misses 2-pt shot from 10 ft
6:35.0,Defensive rebound by B. McLemore,,7-12,,
6:31.0,B. McLemore misses 3-pt shot from 25 ft,,7-12,,
6:27.0,Offensive rebound by J. Green,,7-12,,
6:14.0,M. Gasol makes 2-pt shot from 1 ft (assist by T. Evans),2,9-12,,
5:55.0,,,9-14,2,L. Aldridge makes 2-pt shot from 11 ft
5:55.0,,,9-14,,Shooting foul by J. Green
5:55.0,,,9-14,,P. Mills enters the game for T. Parker
5:55.0,J. Martin enters the game for J. Green,,9-14,,
5:55.0,A. Harrison enters the game for T. Evans,,9-14,,
5:55.0,J. Ennis enters the game for B. McLemore,,9-14,,
5:55.0,Technical foul by J. Green,,9-14,,
5:55.0,,,9-15,1,L. Aldridge makes technical free throw
5:55.0,,,9-16,1,L. Aldridge makes free throw 1 of 1
5:39.0,Turnover by J. Ennis (out of bounds lost ball),,9-16,,
5:39.0,,,9-16,,R. Gay enters the game for D. Green
5:39.0,,,9-16,,M. Ginobili enters the game for P. Gasol
5:16.0,,,9-19,3,L. Aldridge makes 3-pt shot from 24 ft (assist by P. Mills)
4:59.0,D. Brooks makes 3-pt shot from 25 ft (assist by M. Gasol),3,12-19,,
4:36.0,,,12-19,,Defensive rebound by Team
4:36.0,,,12-19,,P. Mills misses 2-pt shot from 16 ft
4:29.0,,,12-19,,Turnover by Team (shot clock)
4:14.0,J. Martin misses 2-pt shot from 19 ft,,12-19,,
4:11.0,,,12-19,,Defensive rebound by K. Anderson
4:03.0,,,12-21,2,K. Anderson makes 2-pt shot from 9 ft
3:49.0,D. Brooks misses 2-pt shot from 1 ft,,12-21,,
3:49.0,,,12-21,,Defensive rebound by Team
3:48.0,,,12-21,,B. Forbes enters the game for K. Anderson
3:36.0,,,12-21,,L. Aldridge misses 2-pt shot from 17 ft
3:36.0,,,12-21,,Offensive rebound by Team
3:29.0,,,12-21,,Personal foul by L. Aldridge (drawn by M. Gasol)
3:29.0,,,12-21,,Turnover by L. Aldridge (turnover)
3:29.0,T. Evans enters the game for J. Martin,,12-21,,
3:29.0,J. Green enters the game for D. Brooks,,12-21,,
3:29.0,D. Davis enters the game for M. Gasol,,12-21,,
3:19.0,J. Ennis makes 3-pt shot from 26 ft (assist by J. Green),3,15-21,,
3:16.0,,,15-21,,San Antonio full timeout
2:56.0,,,15-21,,L. Aldridge misses 2-pt shot from 15 ft
2:53.0,,,15-21,,Offensive rebound by R. Gay
2:53.0,,,15-23,2,R. Gay makes 2-pt shot from 1 ft
2:53.0,Violation by D. Davis (def goaltending),,15-23,,
2:43.0,T. Evans makes 3-pt shot from 24 ft,3,18-23,,
2:25.0,,,18-23,,R. Gay misses 3-pt shot from 25 ft
2:25.0,,,18-23,,Offensive rebound by Team
2:25.0,Loose ball foul by D. Davis (drawn by L. Aldridge),,18-23,,
2:12.0,,,18-25,2,M. Ginobili makes 2-pt shot at rim (assist by P. Mills)
1:54.0,Turnover by J. Ennis (bad pass; steal by R. Gay),,18-25,,
1:47.0,,,18-25,,B. Forbes misses 3-pt shot from 26 ft
1:43.0,Defensive rebound by J. Green,,18-25,,
1:33.0,Turnover by A. Harrison (bad pass),,18-25,,
1:33.0,,,18-25,,P. Gasol enters the game for L. Aldridge
1:15.0,,,18-25,,P. Gasol misses 2-pt shot from 7 ft (block by D. Davis)
1:11.0,,,18-25,,Offensive rebound by P. Gasol
1:09.0,,,18-25,,B. Forbes misses 3-pt shot from 22 ft
1:09.0,Defensive rebound by J. Green,,18-25,,
0:53.0,A. Harrison makes 2-pt shot from 9 ft,2,20-25,,
0:30.0,,,20-27,2,R. Gay makes 2-pt shot from 8 ft (assist by M. Ginobili)
0:30.0,,,20-27,,Shooting foul by J. Green (drawn by R. Gay)
0:30.0,M. Gasol enters the game for J. Green,,20-27,,
0:30.0,,,20-28,1,R. Gay makes free throw 1 of 1
0:11.0,,,20-28,,Def 3 sec tech foul by R. Gay
0:11.0,M. Gasol makes technical free throw,1,21-28,,
0:07.0,,,21-28,,Personal foul by M. Ginobili (drawn by T. Evans)
0:01.0,Offensive charge foul by T. Evans (drawn by M. Ginobili),,21-28,,
0:01.0,Turnover by T. Evans (offensive foul),,21-28,,
0:00.0,,,21-28,,P. Mills misses 3-pt shot from 52 ft
0:00.0,,,21-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,21-28,,R. Gay misses 3-pt shot from 23 ft
11:41.0,Defensive rebound by A. Harrison,,21-28,,
11:32.0,Turnover by T. Evans (traveling),,21-28,,
11:32.0,,,21-28,,D. Green enters the game for M. Ginobili
11:08.0,,,21-28,,Turnover by Team (shot clock)
10:52.0,J. Martin misses 2-pt shot from 4 ft (block by R. Gay),,21-28,,
10:52.0,Offensive rebound by Team,,21-28,,
10:46.0,T. Evans makes 2-pt shot from 16 ft,2,23-28,,
10:29.0,,,23-30,2,P. Gasol makes 2-pt shot from 19 ft (assist by T. Parker)
10:17.0,T. Evans misses 2-pt shot from 19 ft,,23-30,,
10:14.0,,,23-30,,Defensive rebound by T. Parker
10:11.0,,,23-30,,Offensive charge foul by T. Parker (drawn by K. Simmons)
10:11.0,,,23-30,,Turnover by T. Parker (offensive foul)
10:11.0,,,23-30,,K. Anderson enters the game for R. Gay
9:59.0,J. Martin makes 2-pt shot from 16 ft (assist by A. Harrison),2,25-30,,
9:44.0,,,25-33,3,B. Forbes makes 3-pt shot from 22 ft (assist by T. Parker)
9:28.0,J. Martin makes 2-pt shot from 23 ft (assist by T. Evans),2,27-33,,
9:10.0,,,27-33,,T. Parker misses 2-pt shot from 5 ft
9:07.0,Defensive rebound by D. Davis,,27-33,,
9:03.0,K. Simmons makes 2-pt shot from 1 ft (assist by T. Evans),2,29-33,,
9:03.0,,,29-33,,San Antonio full timeout
8:50.0,,,29-35,2,T. Parker makes 2-pt shot at rim
8:31.0,T. Evans makes 2-pt shot from 8 ft,2,31-35,,
8:31.0,Shooting foul by D. Green (drawn by T. Evans),,31-35,,
8:31.0,M. Gasol enters the game for J. Martin,,31-35,,
8:31.0,J. Green enters the game for A. Harrison,,31-35,,
8:31.0,D. Brooks enters the game for D. Davis,,31-35,,
8:31.0,T. Evans misses free throw 1 of 1,,31-35,,
