time,Boston,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. A. Horford (T. Ennis gains possession),,,,Jump ball: B. Lopez vs. A. Horford (T. Ennis gains possession)
11:48.0,,,0-0,,K. Caldwell-Pope misses 3-pt shot from 26 ft
11:44.0,Defensive rebound by J. Tatum,,0-0,,
11:35.0,K. Irving misses 3-pt shot from 23 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by K. Caldwell-Pope
11:18.0,,,0-2,2,B. Ingram makes 2-pt shot from 17 ft (assist by T. Ennis)
10:57.0,J. Brown misses 2-pt shot from 20 ft,,0-2,,
10:54.0,,,0-2,,Defensive rebound by T. Ennis
10:47.0,,,0-2,,K. Caldwell-Pope misses 2-pt shot from 1 ft
10:44.0,Defensive rebound by J. Brown,,0-2,,
10:30.0,,,0-2,,Personal foul by T. Ennis (drawn by K. Irving)
10:21.0,J. Brown makes 2-pt shot from 3 ft (assist by K. Irving),2,2-2,,
10:05.0,,,2-2,,B. Lopez misses 3-pt shot from 27 ft
10:04.0,,,2-2,,Offensive rebound by Team
10:04.0,Loose ball foul by J. Tatum (drawn by J. Randle),,2-2,,
9:54.0,,,2-2,,B. Lopez misses 3-pt shot from 25 ft
9:51.0,Defensive rebound by J. Tatum,,2-2,,
9:41.0,J. Brown misses 2-pt shot from 14 ft,,2-2,,
9:38.0,,,2-2,,Defensive rebound by J. Randle
9:31.0,,,2-2,,J. Randle misses 2-pt shot from 2 ft (block by A. Horford)
9:28.0,Defensive rebound by A. Horford,,2-2,,
9:21.0,K. Irving makes 2-pt shot from 5 ft,2,4-2,,
9:05.0,,,4-4,2,B. Lopez makes 2-pt shot from 5 ft
8:46.0,,,4-4,,Personal foul by T. Ennis (drawn by K. Irving)
8:36.0,K. Irving misses 3-pt shot from 17 ft,,4-4,,
8:33.0,,,4-4,,Defensive rebound by B. Ingram
8:20.0,,,4-6,2,B. Lopez makes 2-pt shot from 1 ft (assist by B. Ingram)
8:06.0,A. Horford makes 3-pt shot from 26 ft (assist by J. Brown),3,7-6,,
7:52.0,Personal foul by A. Baynes (drawn by B. Lopez),,7-6,,
7:41.0,,,7-6,,B. Lopez misses 3-pt shot from 27 ft
7:39.0,Defensive rebound by A. Horford,,7-6,,
7:37.0,,,7-6,,Personal foul by B. Lopez (drawn by A. Baynes)
7:27.0,A. Baynes misses 2-pt shot from 4 ft,,7-6,,
7:23.0,,,7-6,,Defensive rebound by J. Randle
7:17.0,,,7-6,,Turnover by B. Ingram (bad pass)
7:04.0,K. Irving misses 3-pt shot from 27 ft,,7-6,,
7:02.0,,,7-6,,Defensive rebound by B. Ingram
6:58.0,,,7-6,,B. Ingram misses 3-pt shot from 26 ft
6:56.0,Defensive rebound by A. Horford,,7-6,,
6:47.0,J. Brown makes 3-pt shot from 26 ft (assist by A. Horford),3,10-6,,
6:38.0,,,10-6,,T. Ennis misses 2-pt shot from 3 ft (block by A. Baynes)
6:38.0,,,10-6,,Offensive rebound by Team
6:38.0,,,10-6,,LA Lakers full timeout
6:38.0,,,10-6,,J. Clarkson enters the game for K. Caldwell-Pope
6:38.0,,,10-6,,A. Caruso enters the game for T. Ennis
6:32.0,,,10-6,,B. Ingram misses 2-pt shot from 14 ft
6:30.0,Defensive rebound by A. Baynes,,10-6,,
6:26.0,J. Tatum misses 2-pt shot from 2 ft,,10-6,,
6:22.0,,,10-6,,Defensive rebound by J. Randle
6:11.0,,,10-6,,Shooting foul by A. Horford (drawn by B. Lopez)
6:11.0,,,10-6,,B. Lopez misses free throw 1 of 2
6:11.0,,,10-6,,Offensive rebound by Team
6:11.0,,,10-7,1,B. Lopez makes free throw 2 of 2
5:55.0,Turnover by A. Baynes (out of bounds lost ball),,10-7,,
5:36.0,,,10-7,,Shooting foul by J. Tatum (drawn by B. Ingram)
