time,LA Lakers,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. B. Lopez (I. Thomas gains possession),,,,Jump ball: Z. Pachulia vs. B. Lopez (I. Thomas gains possession)
11:44.0,B. Lopez misses 2-pt shot from 12 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by K. Looney
11:29.0,,,0-0,,N. Young misses 3-pt shot from 25 ft
11:25.0,,,0-0,,Offensive rebound by K. Looney
11:24.0,,,0-3,3,K. Durant makes 3-pt shot from 26 ft (assist by K. Looney)
11:01.0,J. Randle makes 2-pt shot from 6 ft,2,2-3,,
10:39.0,,,2-5,2,Q. Cook makes 2-pt shot from 8 ft
10:22.0,B. Lopez makes 2-pt shot from 19 ft (assist by L. Ball),2,4-5,,
10:09.0,,,4-7,2,Q. Cook makes 2-pt shot from 2 ft (assist by Z. Pachulia)
9:59.0,I. Thomas misses 2-pt shot from 13 ft,,4-7,,
9:55.0,,,4-7,,Defensive rebound by K. Durant
9:50.0,,,4-9,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by K. Durant)
9:34.0,B. Lopez makes 3-pt shot from 24 ft (assist by L. Ball),3,7-9,,
9:11.0,,,7-11,2,K. Durant makes 2-pt shot from 13 ft
9:11.0,,,7-11,,Shooting foul by K. Caldwell-Pope (drawn by K. Durant)
9:11.0,,,7-12,1,K. Durant makes free throw 1 of 1
8:58.0,I. Thomas misses 3-pt shot from 25 ft,,7-12,,
8:56.0,,,7-12,,Defensive rebound by Team
8:39.0,,,7-12,,K. Looney misses 2-pt shot from 15 ft
8:36.0,Defensive rebound by K. Caldwell-Pope,,7-12,,
8:28.0,J. Randle makes 2-pt shot from 1 ft,2,9-12,,
8:11.0,,,9-12,,Z. Pachulia misses 2-pt shot from 3 ft (block by B. Lopez)
8:06.0,Defensive rebound by B. Lopez,,9-12,,
8:06.0,Shooting foul by K. Durant (drawn by L. Ball),,9-12,,
8:06.0,L. Ball misses free throw 1 of 3,,9-12,,
8:06.0,Offensive rebound by Team,,9-12,,
8:06.0,L. Ball makes free throw 2 of 3,1,10-12,,
8:06.0,L. Ball misses free throw 3 of 3,,10-12,,
8:03.0,,,10-12,,Defensive rebound by Z. Pachulia
7:49.0,,,10-12,,Q. Cook misses 2-pt shot from 19 ft
7:46.0,,,10-12,,Offensive rebound by Z. Pachulia
7:44.0,,,10-12,,K. Durant misses 3-pt shot from 25 ft
7:40.0,Defensive rebound by K. Caldwell-Pope,,10-12,,
7:37.0,B. Lopez makes 2-pt shot at rim (assist by I. Thomas),2,12-12,,
7:27.0,,,12-12,,K. Durant misses 2-pt shot from 4 ft (block by B. Lopez)
7:22.0,Defensive rebound by J. Randle,,12-12,,
7:20.0,Shooting foul by K. Looney (drawn by J. Randle),,12-12,,
7:20.0,J. Randle makes free throw 1 of 2,1,13-12,,
7:20.0,J. Randle misses free throw 2 of 2,,13-12,,
7:18.0,,,13-12,,Defensive rebound by Z. Pachulia
6:58.0,,,13-14,2,K. Durant makes 2-pt shot from 6 ft
6:45.0,,,13-14,,Golden State full timeout
6:42.0,Jump ball: K. Looney vs. J. Randle (K. Caldwell-Pope gains possession),,,,Jump ball: K. Looney vs. J. Randle (K. Caldwell-Pope gains possession)
6:35.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,13-14,,
6:32.0,,,13-14,,Defensive rebound by Z. Pachulia
6:19.0,,,13-16,2,K. Looney makes 2-pt shot from 12 ft (assist by Z. Pachulia)
6:03.0,L. Ball misses 2-pt shot from 2 ft,,13-16,,
6:02.0,Offensive rebound by B. Lopez,,13-16,,
6:01.0,B. Lopez makes 2-pt shot at rim,2,15-16,,
5:51.0,,,15-16,,Shooting foul by J. Randle (drawn by Z. Pachulia)
5:51.0,,,15-17,1,Z. Pachulia makes free throw 1 of 2
5:51.0,,,15-17,,J. Bell enters the game for K. Looney
5:51.0,,,15-18,1,Z. Pachulia makes free throw 2 of 2
5:31.0,Turnover by I. Thomas (lost ball; steal by J. Bell),,15-18,,
5:24.0,,,15-18,,Q. Cook misses 2-pt shot from 9 ft
5:21.0,,,15-18,,Offensive rebound by Z. Pachulia
5:20.0,,,15-18,,Z. Pachulia misses 2-pt shot from 2 ft (block by B. Lopez)
5:16.0,,,15-18,,Offensive rebound by Q. Cook
5:15.0,,,15-18,,Q. Cook misses 3-pt shot from 23 ft
5:12.0,Defensive rebound by J. Randle,,15-18,,
5:10.0,Shooting foul by Q. Cook (drawn by K. Caldwell-Pope),,15-18,,
5:10.0,K. Caldwell-Pope makes free throw 1 of 2,1,16-18,,
