time,Portland,pts.away,score,pts.home,Dallas
0:47.0,,,22-20,,Y. Ferrell misses 3-pt shot from 24 ft
0:44.0,Defensive rebound by Z. Collins,,22-20,,
0:34.0,,,22-20,,Personal foul by S. Mejri (drawn by D. Lillard)
0:34.0,C. McCollum enters the game for A. Aminu,,22-20,,
0:32.0,D. Lillard misses 3-pt shot from 25 ft,,22-20,,
0:28.0,,,22-20,,Defensive rebound by S. Mejri
0:12.0,,,22-22,2,H. Barnes makes 2-pt shot from 16 ft
0:02.0,Turnover by C. McCollum (lost ball; steal by A. Harrison),,22-22,,
0:01.0,,,22-22,,Turnover by H. Barnes (lost ball; steal by D. Lillard)
0:00.0,D. Lillard misses 3-pt shot from 26 ft,,22-22,,
0:00.0,Offensive rebound by Team,,22-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,22-25,3,Y. Ferrell makes 3-pt shot from 25 ft (assist by S. Mejri)
11:23.0,C. McCollum misses 3-pt shot from 25 ft,,22-25,,
11:23.0,,,22-25,,Defensive rebound by S. Mejri
11:08.0,,,22-27,2,S. Mejri makes 2-pt shot from 5 ft (assist by A. Harrison)
10:48.0,M. Leonard misses 3-pt shot from 25 ft,,22-27,,
10:45.0,,,22-27,,Defensive rebound by A. Harrison
10:41.0,,,22-29,2,Y. Ferrell makes 2-pt shot from 16 ft
10:22.0,Z. Collins misses 2-pt shot from 4 ft (block by S. Mejri),,22-29,,
10:20.0,,,22-29,,Defensive rebound by D. McDermott
10:15.0,Shooting block foul by M. Leonard (drawn by S. Mejri),,22-29,,
10:15.0,,,22-30,1,S. Mejri makes free throw 1 of 2
10:15.0,,,22-31,1,S. Mejri makes free throw 2 of 2
9:55.0,S. Napier makes 3-pt shot from 25 ft (assist by M. Leonard),3,25-31,,
9:39.0,,,25-31,,D. McDermott misses 3-pt shot from 24 ft
9:37.0,Defensive rebound by M. Leonard,,25-31,,
9:29.0,C. McCollum makes 2-pt shot from 13 ft,2,27-31,,
