time,Brooklyn,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. T. Mozgov (D. Russell gains possession),,,,Jump ball: N. Vucevic vs. T. Mozgov (D. Russell gains possession)
11:40.0,D. Russell makes 3-pt shot from 26 ft (assist by C. LeVert),3,3-0,,
11:16.0,,,3-2,2,A. Gordon makes 2-pt shot from 15 ft
11:01.0,Shooting foul by T. Ross (drawn by C. LeVert),,3-2,,
11:01.0,C. LeVert makes free throw 1 of 2,1,4-2,,
11:01.0,C. LeVert makes free throw 2 of 2,1,5-2,,
10:51.0,,,5-2,,Turnover by D. Augustin (bad pass; steal by D. Russell)
10:44.0,D. Carroll misses 2-pt shot from 6 ft,,5-2,,
10:40.0,,,5-2,,Defensive rebound by E. Fournier
10:34.0,,,5-4,2,E. Fournier makes 2-pt shot from 17 ft
10:22.0,Turnover by C. LeVert (bad pass; steal by D. Augustin),,5-4,,
10:17.0,,,5-6,2,E. Fournier makes 2-pt shot from 1 ft (assist by D. Augustin)
10:09.0,D. Russell misses 2-pt shot from 15 ft,,5-6,,
10:05.0,,,5-6,,Defensive rebound by E. Fournier
10:02.0,,,5-6,,Turnover by E. Fournier (bad pass; steal by R. Hollis-Jefferson)
9:56.0,D. Russell makes 3-pt shot from 27 ft (assist by D. Carroll),3,8-6,,
9:30.0,,,8-8,2,N. Vucevic makes 2-pt shot from 8 ft
9:21.0,D. Russell makes 3-pt shot from 28 ft,3,11-8,,
9:08.0,,,11-11,3,A. Gordon makes 3-pt shot from 26 ft (assist by D. Augustin)
8:51.0,C. LeVert misses 3-pt shot from 25 ft,,11-11,,
8:47.0,,,11-11,,Defensive rebound by A. Gordon
8:41.0,,,11-13,2,A. Gordon makes 2-pt shot at rim
8:23.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft,2,13-13,,
8:05.0,,,13-15,2,A. Gordon makes 2-pt shot from 1 ft
8:05.0,,,13-15,,Shooting foul by R. Hollis-Jefferson (drawn by A. Gordon)
8:05.0,,,13-16,1,A. Gordon makes free throw 1 of 1
7:54.0,C. LeVert misses 2-pt shot from 13 ft,,13-16,,
7:51.0,,,13-16,,Defensive rebound by N. Vucevic
7:47.0,Personal foul by C. LeVert (drawn by D. Augustin),,13-16,,
7:40.0,,,13-16,,N. Vucevic misses 3-pt shot from 25 ft
7:37.0,,,13-16,,Offensive rebound by Team
7:37.0,Loose ball foul by R. Hollis-Jefferson (drawn by A. Gordon),,13-16,,
7:16.0,,,13-16,,N. Vucevic misses 2-pt shot from 11 ft
7:14.0,,,13-16,,Offensive rebound by E. Fournier
7:11.0,,,13-16,,E. Fournier misses 2-pt shot from 2 ft
7:08.0,Defensive rebound by T. Mozgov,,13-16,,
6:58.0,D. Russell makes 3-pt shot from 25 ft,3,16-16,,
6:48.0,,,16-16,,Shooting foul by T. Mozgov (drawn by D. Augustin)
6:48.0,,,16-16,,Orlando full timeout
6:48.0,Q. Acy enters the game for R. Hollis-Jefferson,,16-16,,
6:48.0,,,16-17,1,D. Augustin makes free throw 1 of 2
6:48.0,,,16-18,1,D. Augustin makes free throw 2 of 2
6:29.0,Q. Acy misses 3-pt shot from 25 ft,,16-18,,
6:26.0,,,16-18,,Defensive rebound by N. Vucevic
6:14.0,,,16-18,,Turnover by T. Ross (step out of bounds)
6:14.0,T. Booker enters the game for T. Mozgov,,16-18,,
6:14.0,A. Crabbe enters the game for C. LeVert,,16-18,,
6:06.0,D. Carroll misses 2-pt shot from 10 ft,,16-18,,
6:03.0,,,16-18,,Defensive rebound by A. Gordon
5:58.0,,,16-18,,T. Ross misses 3-pt shot from 26 ft
5:54.0,Defensive rebound by D. Russell,,16-18,,
5:54.0,Turnover by D. Russell (bad pass),,16-18,,
5:39.0,,,16-18,,A. Gordon misses 2-pt shot from 20 ft
5:36.0,Defensive rebound by D. Carroll,,16-18,,
5:25.0,Q. Acy misses 3-pt shot from 23 ft,,16-18,,
5:21.0,,,16-18,,Defensive rebound by A. Gordon
5:16.0,,,16-18,,A. Gordon misses 2-pt shot from 8 ft
5:09.0,,,16-18,,Offensive rebound by A. Gordon
5:09.0,,,16-20,2,A. Gordon makes 2-pt shot at rim
5:04.0,D. Russell misses 2-pt shot from 7 ft,,16-20,,
5:04.0,,,16-20,,Defensive rebound by N. Vucevic
4:59.0,,,16-20,,D. Augustin misses 3-pt shot from 25 ft
4:59.0,Defensive rebound by Q. Acy,,16-20,,
4:35.0,Q. Acy makes 2-pt shot from 22 ft (assist by A. Crabbe),2,18-20,,
4:22.0,,,18-20,,Shooting foul by T. Booker (drawn by A. Gordon)
4:22.0,,,18-21,1,A. Gordon makes free throw 1 of 2
4:22.0,,,18-21,,J. Simmons enters the game for T. Ross
4:22.0,S. Dinwiddie enters the game for D. Russell,,18-21,,
4:22.0,,,18-22,1,A. Gordon makes free throw 2 of 2
4:14.0,Turnover by T. Booker (bad pass; steal by D. Augustin),,18-22,,
4:11.0,,,18-22,,Shooting foul by T. Booker (drawn by D. Augustin)
4:11.0,,,18-23,1,D. Augustin makes free throw 1 of 2
4:11.0,,,18-24,1,D. Augustin makes free throw 2 of 2
3:54.0,T. Booker misses 2-pt shot from 3 ft,,18-24,,
3:51.0,,,18-24,,Defensive rebound by E. Fournier
3:38.0,Jump ball: D. Augustin vs. T. Booker (S. Dinwiddie gains possession),,,,Jump ball: D. Augustin vs. T. Booker (S. Dinwiddie gains possession)
3:38.0,,,18-24,,Turnover by D. Augustin (turnover; steal by T. Booker)
3:26.0,T. Booker misses 3-pt shot from 26 ft,,18-24,,
3:23.0,,,18-24,,Defensive rebound by J. Simmons
3:18.0,,,18-24,,Turnover by J. Simmons (bad pass)
3:18.0,Brooklyn full timeout,,18-24,,
3:18.0,,,18-24,,J. Isaac enters the game for E. Fournier
3:18.0,,,18-24,,S. Mack enters the game for D. Augustin
3:18.0,J. Harris enters the game for D. Carroll,,18-24,,
3:06.0,J. Harris makes 2-pt shot from 1 ft (assist by T. Booker),2,20-24,,
2:51.0,,,20-24,,N. Vucevic misses 2-pt shot from 21 ft
2:51.0,,,20-24,,Offensive rebound by A. Gordon
2:30.0,,,20-24,,Turnover by A. Gordon (lost ball; steal by Q. Acy)
2:23.0,T. Booker makes 2-pt shot from 2 ft,2,22-24,,
2:05.0,,,22-24,,N. Vucevic misses 2-pt shot from 6 ft
2:02.0,Defensive rebound by T. Booker,,22-24,,
1:56.0,Shooting foul by S. Mack (drawn by T. Booker),,22-24,,
1:56.0,T. Booker makes free throw 1 of 2,1,23-24,,
