time,Boston,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Zeller vs. A. Baynes (S. Dinwiddie gains possession),,,,Jump ball: T. Zeller vs. A. Baynes (S. Dinwiddie gains possession)
11:39.0,,,0-2,2,S. Dinwiddie makes 2-pt shot from 10 ft
11:19.0,A. Baynes misses 2-pt shot from 11 ft,,0-2,,
11:15.0,,,0-2,,Defensive rebound by A. Crabbe
10:59.0,,,0-4,2,R. Hollis-Jefferson makes 2-pt shot from 6 ft (assist by T. Zeller)
10:41.0,J. Brown makes 2-pt shot from 19 ft,2,2-4,,
10:23.0,,,2-4,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
10:22.0,,,2-4,,Offensive rebound by T. Zeller
10:21.0,,,2-6,2,T. Zeller makes 2-pt shot from 1 ft
10:21.0,Boston full timeout,,2-6,,
10:11.0,K. Irving misses 3-pt shot from 25 ft,,2-6,,
10:10.0,,,2-6,,Defensive rebound by Team
9:45.0,,,2-6,,A. Crabbe misses 3-pt shot from 31 ft
9:42.0,Defensive rebound by K. Irving,,2-6,,
9:30.0,A. Baynes makes 2-pt shot from 15 ft,2,4-6,,
9:04.0,,,4-6,,D. Carroll misses 2-pt shot from 2 ft (block by J. Tatum)
9:01.0,Defensive rebound by J. Tatum,,4-6,,
8:56.0,J. Tatum misses 2-pt shot from 1 ft (block by T. Zeller),,4-6,,
8:54.0,Offensive rebound by A. Baynes,,4-6,,
8:51.0,M. Morris misses 3-pt shot from 25 ft,,4-6,,
8:51.0,,,4-6,,Defensive rebound by S. Dinwiddie
8:31.0,,,4-6,,R. Hollis-Jefferson misses 3-pt shot from 23 ft
8:28.0,Defensive rebound by M. Morris,,4-6,,
8:22.0,M. Morris makes 2-pt shot from 14 ft,2,6-6,,
8:02.0,,,6-9,3,D. Carroll makes 3-pt shot from 22 ft (assist by R. Hollis-Jefferson)
7:45.0,Shooting foul by A. Crabbe (drawn by J. Brown),,6-9,,
7:45.0,J. Brown misses free throw 1 of 2,,6-9,,
7:45.0,Offensive rebound by Team,,6-9,,
7:45.0,M. Smart enters the game for J. Tatum,,6-9,,
7:45.0,J. Brown misses free throw 2 of 2,,6-9,,
7:43.0,,,6-9,,Defensive rebound by R. Hollis-Jefferson
7:22.0,,,6-9,,Shooting foul by M. Smart (drawn by D. Carroll)
7:22.0,,,6-10,1,D. Carroll makes free throw 1 of 2
7:22.0,,,6-11,1,D. Carroll makes free throw 2 of 2
7:06.0,M. Smart misses 2-pt shot from 19 ft,,6-11,,
6:59.0,Offensive rebound by A. Baynes,,6-11,,
6:59.0,A. Baynes makes 2-pt shot at rim,2,8-11,,
6:45.0,,,8-11,,R. Hollis-Jefferson misses 2-pt shot from 1 ft (block by M. Morris)
6:45.0,,,8-11,,Offensive rebound by Team
6:41.0,,,8-11,,R. Hollis-Jefferson misses 2-pt shot from 3 ft
6:40.0,,,8-11,,Offensive rebound by R. Hollis-Jefferson
6:34.0,,,8-11,,R. Hollis-Jefferson misses 2-pt shot from 1 ft (block by M. Smart)
6:34.0,,,8-11,,Offensive rebound by Team
6:29.0,,,8-13,2,T. Zeller makes 2-pt shot from 1 ft
6:14.0,A. Baynes makes 2-pt shot from 1 ft (assist by M. Smart),2,10-13,,
5:59.0,,,10-15,2,T. Zeller makes 2-pt shot from 6 ft (assist by D. Carroll)
5:43.0,M. Smart makes 2-pt shot from 18 ft,2,12-15,,
5:31.0,,,12-15,,D. Carroll misses 3-pt shot from 25 ft
5:27.0,Defensive rebound by A. Baynes,,12-15,,
5:16.0,M. Smart misses 3-pt shot from 24 ft,,12-15,,
5:15.0,,,12-15,,Defensive rebound by A. Crabbe
5:08.0,,,12-15,,S. Dinwiddie misses 3-pt shot from 24 ft
5:04.0,,,12-15,,Offensive rebound by T. Zeller
