time,LA Clippers,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. D. Jordan (D. Gallinari gains possession),,,,Jump ball: J. Nurkic vs. D. Jordan (D. Gallinari gains possession)
11:35.0,T. Harris misses 3-pt shot from 25 ft,,0-0,,
11:31.0,Offensive rebound by D. Jordan,,0-0,,
11:24.0,Turnover by D. Jordan (bad pass; steal by A. Aminu),,0-0,,
11:19.0,,,0-0,,A. Aminu misses 2-pt shot at rim
11:17.0,Defensive rebound by D. Jordan,,0-0,,
10:58.0,D. Gallinari misses 2-pt shot from 2 ft,,0-0,,
10:54.0,Offensive rebound by D. Jordan,,0-0,,
10:50.0,Turnover by D. Jordan (bad pass; steal by A. Aminu),,0-0,,
10:44.0,,,0-0,,C. McCollum misses 3-pt shot from 24 ft
10:40.0,Defensive rebound by D. Jordan,,0-0,,
10:26.0,A. Rivers misses 3-pt shot from 27 ft,,0-0,,
10:24.0,Offensive rebound by T. Harris,,0-0,,
10:20.0,A. Rivers misses 3-pt shot from 25 ft,,0-0,,
10:17.0,,,0-0,,Defensive rebound by J. Nurkic
10:10.0,,,0-0,,D. Lillard misses 3-pt shot from 25 ft
10:07.0,Defensive rebound by T. Wallace,,0-0,,
9:53.0,T. Harris misses 2-pt shot from 6 ft (block by E. Turner),,0-0,,
9:53.0,Offensive rebound by Team,,0-0,,
9:43.0,T. Harris misses 3-pt shot from 24 ft,,0-0,,
9:42.0,,,0-0,,Defensive rebound by C. McCollum
9:27.0,,,0-0,,E. Turner misses 2-pt shot from 15 ft
9:26.0,,,0-0,,Offensive rebound by A. Aminu
9:24.0,,,0-0,,Turnover by A. Aminu (bad pass; steal by T. Wallace)
9:21.0,Shooting foul by C. McCollum (drawn by T. Wallace),,0-0,,
9:21.0,T. Wallace makes free throw 1 of 2,1,1-0,,
9:21.0,T. Wallace makes free throw 2 of 2,1,2-0,,
9:03.0,,,2-0,,J. Nurkic misses 2-pt shot from 14 ft
9:00.0,,,2-0,,Offensive rebound by A. Aminu
8:56.0,,,2-0,,D. Lillard misses 3-pt shot from 25 ft
8:53.0,Defensive rebound by D. Jordan,,2-0,,
8:48.0,T. Wallace makes 2-pt shot from 1 ft,2,4-0,,
8:37.0,,,4-3,3,C. McCollum makes 3-pt shot from 25 ft (assist by E. Turner)
8:21.0,T. Harris makes 2-pt shot from 16 ft (assist by D. Gallinari),2,6-3,,
8:08.0,,,6-5,2,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard)
7:52.0,D. Gallinari misses 2-pt shot from 1 ft (block by J. Nurkic),,6-5,,
7:52.0,Offensive rebound by Team,,6-5,,
7:49.0,D. Gallinari misses 2-pt shot from 22 ft,,6-5,,
7:47.0,,,6-5,,Defensive rebound by D. Lillard
7:41.0,Personal foul by T. Wallace (drawn by D. Lillard),,6-5,,
7:32.0,,,6-5,,J. Nurkic misses 2-pt shot from 1 ft (block by D. Gallinari)
7:30.0,Defensive rebound by T. Harris,,6-5,,
7:27.0,T. Wallace makes 2-pt shot from 1 ft (assist by T. Harris),2,8-5,,
7:07.0,,,8-7,2,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard)
6:50.0,Turnover by D. Jordan (bad pass; steal by J. Nurkic),,8-7,,
6:44.0,,,8-9,2,C. McCollum makes 2-pt shot from 12 ft
6:23.0,D. Jordan makes 2-pt shot at rim (assist by T. Harris),2,10-9,,
6:14.0,,,10-11,2,E. Turner makes 2-pt shot from 15 ft
5:55.0,A. Rivers misses 2-pt shot at rim,,10-11,,
5:51.0,Offensive rebound by D. Jordan,,10-11,,
5:51.0,D. Jordan misses 2-pt shot at rim,,10-11,,
5:50.0,,,10-11,,Defensive rebound by A. Aminu
5:47.0,,,10-11,,J. Nurkic misses 2-pt shot from 2 ft (block by T. Harris)
5:47.0,,,10-11,,Offensive rebound by Team
5:47.0,,,10-11,,Portland full timeout
5:47.0,L. Williams enters the game for D. Gallinari,,10-11,,
5:35.0,,,10-11,,E. Turner misses 3-pt shot from 24 ft
5:33.0,Defensive rebound by D. Jordan,,10-11,,
5:20.0,T. Harris misses 2-pt shot from 4 ft,,10-11,,
5:15.0,,,10-11,,Defensive rebound by A. Aminu
5:11.0,,,10-13,2,C. McCollum makes 2-pt shot at rim
4:56.0,L. Williams makes 2-pt shot from 18 ft,2,12-13,,
4:33.0,,,12-15,2,A. Aminu makes 2-pt shot from 2 ft (assist by E. Turner)
4:26.0,D. Jordan makes 2-pt shot at rim (assist by L. Williams),2,14-15,,
4:04.0,,,14-17,2,D. Lillard makes 2-pt shot from 1 ft
3:51.0,L. Williams makes 2-pt shot from 4 ft (assist by T. Wallace),2,16-17,,
3:27.0,,,16-17,,C. McCollum misses 3-pt shot from 27 ft
3:23.0,,,16-17,,Offensive rebound by A. Aminu
3:14.0,,,16-19,2,J. Nurkic makes 2-pt shot at rim (assist by A. Aminu)
2:59.0,L. Williams makes 2-pt shot from 10 ft,2,18-19,,
2:41.0,,,18-21,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
2:22.0,Shooting foul by J. Nurkic (drawn by A. Rivers),,18-21,,
2:22.0,LA Clippers full timeout,,18-21,,
