time,New Orleans,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. A. Davis (D. Cousins gains possession),,,,Jump ball: N. Vucevic vs. A. Davis (D. Cousins gains possession)
11:43.0,Turnover by E. Moore (bad pass; steal by J. Simmons),,0-0,,
11:34.0,,,0-0,,M. Speights misses 2-pt shot from 19 ft
11:34.0,Defensive rebound by J. Holiday,,0-0,,
11:28.0,Shooting foul by E. Payton (drawn by R. Rondo),,0-0,,
11:28.0,R. Rondo makes free throw 1 of 2,1,1-0,,
11:28.0,R. Rondo makes free throw 2 of 2,1,2-0,,
11:10.0,,,2-0,,N. Vucevic misses 2-pt shot from 15 ft
11:06.0,Defensive rebound by A. Davis,,2-0,,
10:59.0,E. Moore misses 2-pt shot from 8 ft,,2-0,,
10:57.0,,,2-0,,Defensive rebound by J. Simmons
10:49.0,,,2-0,,Offensive charge foul by M. Speights (drawn by D. Cousins)
10:49.0,,,2-0,,Turnover by M. Speights (offensive foul)
10:25.0,J. Holiday makes 3-pt shot from 24 ft (assist by D. Cousins),3,5-0,,
10:17.0,Personal foul by R. Rondo (drawn by E. Payton),,5-0,,
10:02.0,,,5-0,,Turnover by E. Payton (bad pass)
9:57.0,E. Moore makes 3-pt shot from 23 ft (assist by R. Rondo),3,8-0,,
9:40.0,,,8-0,,M. Speights misses 3-pt shot from 25 ft
9:37.0,Defensive rebound by R. Rondo,,8-0,,
9:23.0,Shooting foul by N. Vucevic (drawn by D. Cousins),,8-0,,
9:23.0,D. Cousins misses free throw 1 of 2,,8-0,,
9:23.0,Offensive rebound by Team,,8-0,,
9:23.0,D. Cousins makes free throw 2 of 2,1,9-0,,
8:59.0,,,9-2,2,E. Payton makes 2-pt shot from 13 ft (assist by N. Vucevic)
8:33.0,J. Holiday misses 2-pt shot from 12 ft,,9-2,,
8:30.0,Offensive rebound by E. Moore,,9-2,,
8:30.0,,,9-2,,Violation by E. Payton (kicked ball)
8:12.0,E. Moore misses 2-pt shot from 2 ft,,9-2,,
8:09.0,,,9-2,,Defensive rebound by N. Vucevic
8:06.0,,,9-2,,D. Augustin misses 2-pt shot from 1 ft
8:03.0,Defensive rebound by A. Davis,,9-2,,
8:02.0,,,9-2,,Shooting block foul by M. Speights (drawn by D. Cousins)
8:02.0,D. Cousins misses free throw 1 of 2,,9-2,,
8:02.0,Offensive rebound by Team,,9-2,,
8:02.0,D. Cousins makes free throw 2 of 2,1,10-2,,
7:59.0,,,10-2,,Orlando full timeout
7:48.0,,,10-4,2,J. Simmons makes 2-pt shot from 4 ft (assist by N. Vucevic)
7:30.0,D. Cousins misses 2-pt shot from 1 ft,,10-4,,
7:21.0,Offensive rebound by D. Cousins,,10-4,,
7:21.0,D. Cousins makes 2-pt shot at rim,2,12-4,,
7:08.0,,,12-4,,N. Vucevic misses 2-pt shot from 4 ft
7:08.0,Defensive rebound by D. Cousins,,12-4,,
6:48.0,R. Rondo misses 3-pt shot from 24 ft,,12-4,,
6:48.0,,,12-4,,Defensive rebound by J. Simmons
6:43.0,,,12-6,2,J. Simmons makes 2-pt shot from 1 ft
6:43.0,,,12-6,,Shooting foul by E. Moore (drawn by J. Simmons)
6:43.0,,,12-7,1,J. Simmons makes free throw 1 of 1
6:29.0,A. Davis makes 2-pt shot from 12 ft,2,14-7,,
6:14.0,,,14-9,2,E. Payton makes 2-pt shot from 2 ft
6:00.0,A. Davis makes 2-pt shot from 1 ft (assist by D. Cousins),2,16-9,,
5:47.0,,,16-11,2,E. Payton makes 2-pt shot from 2 ft
5:34.0,A. Davis misses 2-pt shot from 1 ft,,16-11,,
5:30.0,,,16-11,,Defensive rebound by N. Vucevic
5:24.0,,,16-13,2,J. Simmons makes 2-pt shot from 10 ft (assist by D. Augustin)
5:08.0,Shooting foul by J. Simmons (drawn by D. Cousins),,16-13,,
5:08.0,D. Cousins makes free throw 1 of 2,1,17-13,,
5:08.0,,,17-13,,M. Hezonja enters the game for M. Speights
5:08.0,D. Cousins makes free throw 2 of 2,1,18-13,,
5:00.0,,,18-13,,Offensive foul by J. Simmons (drawn by D. Cousins)
5:00.0,,,18-13,,Turnover by J. Simmons (offensive foul)
5:00.0,,,18-13,,A. Afflalo enters the game for J. Simmons
4:41.0,R. Rondo misses 2-pt shot from 4 ft,,18-13,,
4:38.0,Offensive rebound by R. Rondo,,18-13,,
4:37.0,R. Rondo misses 2-pt shot from 3 ft,,18-13,,
4:37.0,,,18-13,,Defensive rebound by E. Payton
4:32.0,,,18-13,,Turnover by E. Payton (lost ball; steal by D. Cousins)
4:26.0,A. Davis makes 2-pt shot from 2 ft (assist by R. Rondo),2,20-13,,
4:04.0,,,20-13,,M. Hezonja misses 2-pt shot from 17 ft
4:04.0,,,20-13,,Offensive rebound by Team
4:04.0,Personal foul by D. Cousins (drawn by N. Vucevic),,20-13,,
4:04.0,D. Miller enters the game for D. Cousins,,20-13,,
4:04.0,D. Cunningham enters the game for R. Rondo,,20-13,,
3:53.0,,,20-13,,E. Payton misses 2-pt shot from 2 ft (block by A. Davis)
3:48.0,Defensive rebound by A. Davis,,20-13,,
3:45.0,J. Holiday makes 2-pt shot from 17 ft,2,22-13,,
3:27.0,,,22-13,,N. Vucevic misses 2-pt shot from 1 ft
3:24.0,,,22-13,,Offensive rebound by D. Augustin
3:23.0,,,22-13,,D. Augustin misses 3-pt shot from 22 ft
3:23.0,,,22-13,,Offensive rebound by Team
3:23.0,Personal foul by E. Moore (drawn by N. Vucevic),,22-13,,
3:23.0,J. Nelson enters the game for E. Moore,,22-13,,
3:18.0,,,22-13,,N. Vucevic misses 2-pt shot from 1 ft
3:12.0,,,22-13,,Offensive rebound by N. Vucevic
3:12.0,,,22-15,2,N. Vucevic makes 2-pt shot at rim
3:05.0,J. Nelson misses 3-pt shot from 25 ft,,22-15,,
3:01.0,,,22-15,,Defensive rebound by M. Hezonja
2:55.0,,,22-15,,A. Afflalo misses 2-pt shot from 7 ft
2:51.0,Defensive rebound by J. Nelson,,22-15,,
2:50.0,J. Holiday makes 3-pt shot from 25 ft (assist by J. Nelson),3,25-15,,
2:37.0,,,25-15,,Turnover by N. Vucevic (lost ball; steal by A. Davis)
2:31.0,D. Miller misses 3-pt shot from 25 ft,,25-15,,
2:24.0,,,25-15,,Defensive rebound by M. Hezonja
2:18.0,Personal foul by J. Nelson (drawn by N. Vucevic),,25-15,,
2:18.0,New Orleans full timeout,,25-15,,
2:18.0,,,25-15,,S. Mack enters the game for E. Payton
