time,Toronto,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Green vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: J. Green vs. J. Valanciunas (K. Lowry gains possession)
11:41.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by D. DeRozan),2,2-0,,
11:28.0,,,2-0,,Turnover by L. James (traveling)
11:17.0,S. Ibaka makes 3-pt shot from 25 ft (assist by D. DeRozan),3,5-0,,
10:53.0,,,5-0,,J. Green misses 3-pt shot from 24 ft
10:49.0,Defensive rebound by J. Valanciunas,,5-0,,
10:45.0,K. Lowry misses 3-pt shot from 24 ft,,5-0,,
10:42.0,,,5-0,,Defensive rebound by K. Love
10:37.0,,,5-0,,R. Hood misses 2-pt shot from 1 ft
10:33.0,Defensive rebound by J. Valanciunas,,5-0,,
10:22.0,J. Valanciunas makes 2-pt shot from 13 ft (assist by D. DeRozan),2,7-0,,
10:06.0,,,7-0,,J. Green misses 3-pt shot from 23 ft
10:03.0,Defensive rebound by O. Anunoby,,7-0,,
9:45.0,S. Ibaka misses 2-pt shot from 6 ft,,7-0,,
9:42.0,,,7-0,,Defensive rebound by K. Love
9:35.0,,,7-2,2,J. Calderon makes 2-pt shot at rim
9:19.0,O. Anunoby misses 3-pt shot from 25 ft,,7-2,,
9:16.0,,,7-2,,Defensive rebound by L. James
9:02.0,,,7-5,3,L. James makes 3-pt shot from 22 ft
8:50.0,S. Ibaka misses 3-pt shot from 24 ft,,7-5,,
8:46.0,Offensive rebound by J. Valanciunas,,7-5,,
8:42.0,J. Valanciunas makes 2-pt shot from 7 ft,2,9-5,,
8:24.0,,,9-5,,Turnover by L. James (bad pass; steal by D. DeRozan)
8:13.0,K. Lowry misses 3-pt shot from 25 ft,,9-5,,
8:10.0,,,9-5,,Defensive rebound by L. James
8:07.0,,,9-7,2,L. James makes 2-pt shot from 10 ft
8:07.0,,,9-7,,Shooting foul by O. Anunoby (drawn by L. James)
8:07.0,,,9-7,,L. James misses free throw 1 of 1
8:07.0,Defensive rebound by S. Ibaka,,9-7,,
7:47.0,J. Valanciunas misses 2-pt shot from 7 ft,,9-7,,
7:45.0,,,9-7,,Defensive rebound by K. Love
7:38.0,,,9-10,3,K. Love makes 3-pt shot from 29 ft (assist by J. Green)
7:25.0,J. Valanciunas makes 2-pt shot from 13 ft (assist by D. DeRozan),2,11-10,,
7:04.0,,,11-10,,R. Hood misses 2-pt shot from 17 ft
7:00.0,Defensive rebound by K. Lowry,,11-10,,
6:53.0,Turnover by K. Lowry (lost ball; steal by R. Hood),,11-10,,
6:53.0,Personal foul by D. DeRozan (drawn by L. James),,11-10,,
6:53.0,,,11-10,,Cleveland full timeout
6:45.0,,,11-12,2,J. Calderon makes 2-pt shot from 19 ft
6:29.0,Shooting foul by J. Calderon (drawn by O. Anunoby),,11-12,,
6:29.0,O. Anunoby makes free throw 1 of 2,1,12-12,,
6:29.0,O. Anunoby misses free throw 2 of 2,,12-12,,
6:27.0,,,12-12,,Defensive rebound by K. Love
6:18.0,,,12-15,3,J. Calderon makes 3-pt shot from 25 ft
6:00.0,S. Ibaka makes 3-pt shot from 27 ft (assist by D. DeRozan),3,15-15,,
5:46.0,Personal foul by K. Lowry (drawn by J. Calderon),,15-15,,
5:46.0,,,15-15,,L. Nance enters the game for J. Green
5:40.0,,,15-17,2,J. Calderon makes 2-pt shot from 11 ft
5:24.0,Shooting foul by L. Nance (drawn by D. DeRozan),,15-17,,
5:24.0,D. DeRozan makes free throw 1 of 2,1,16-17,,
5:24.0,,,16-17,,J. Smith enters the game for R. Hood
5:24.0,D. DeRozan makes free throw 2 of 2,1,17-17,,
5:03.0,,,17-19,2,J. Calderon makes 2-pt shot from 3 ft (assist by L. James)
4:48.0,S. Ibaka makes 2-pt shot at rim (assist by J. Valanciunas),2,19-19,,
4:26.0,,,19-21,2,L. Nance makes 2-pt shot from 12 ft
4:09.0,Turnover by K. Lowry (bad pass; steal by L. Nance),,19-21,,
4:01.0,,,19-21,,K. Love misses 2-pt shot from 21 ft
3:57.0,Defensive rebound by S. Ibaka,,19-21,,
3:45.0,K. Lowry misses 3-pt shot from 22 ft,,19-21,,
3:43.0,,,19-21,,Defensive rebound by K. Love
3:33.0,,,19-24,3,L. James makes 3-pt shot from 25 ft
3:24.0,Toronto full timeout,,19-24,,
3:24.0,,,19-24,,J. Clarkson enters the game for J. Calderon
3:24.0,F. VanVleet enters the game for K. Lowry,,19-24,,
3:24.0,J. Poeltl enters the game for J. Valanciunas,,19-24,,
3:06.0,S. Ibaka misses 2-pt shot from 2 ft (block by L. Nance),,19-24,,
3:06.0,,,19-24,,Defensive rebound by Team
3:06.0,,,19-24,,K. Korver enters the game for K. Love
2:52.0,,,19-24,,J. Clarkson misses 2-pt shot from 1 ft
2:52.0,,,19-24,,Offensive rebound by Team
2:52.0,Loose ball foul by F. VanVleet (drawn by L. Nance),,19-24,,
2:52.0,P. Siakam enters the game for O. Anunoby,,19-24,,
2:52.0,C. Miles enters the game for S. Ibaka,,19-24,,
2:48.0,Personal foul by P. Siakam (drawn by L. James),,19-24,,
2:48.0,,,19-25,1,L. James makes free throw 1 of 2
2:48.0,,,19-26,1,L. James makes free throw 2 of 2
2:35.0,P. Siakam misses 3-pt shot from 24 ft,,19-26,,
2:30.0,,,19-26,,Defensive rebound by L. Nance
