time,Brooklyn,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Kleber vs. T. Zeller,,,,Jump ball: M. Kleber vs. T. Zeller
11:54.0,,,0-0,,M. Kleber misses 2-pt shot from 19 ft
11:50.0,Defensive rebound by T. Booker,,0-0,,
11:37.0,S. Dinwiddie misses 2-pt shot from 5 ft (block by M. Kleber),,0-0,,
11:35.0,,,0-0,,Defensive rebound by W. Matthews
11:22.0,,,0-2,2,D. Smith makes 2-pt shot from 14 ft
11:01.0,T. Booker makes 2-pt shot from 3 ft,2,2-2,,
10:40.0,,,2-2,,W. Matthews misses 2-pt shot from 6 ft
10:37.0,Defensive rebound by T. Zeller,,2-2,,
10:26.0,,,2-2,,Personal block foul by D. Smith (drawn by T. Zeller)
10:17.0,T. Booker misses 3-pt shot from 23 ft,,2-2,,
10:15.0,,,2-2,,Defensive rebound by M. Kleber
10:05.0,,,2-2,,M. Kleber misses 2-pt shot from 1 ft
10:01.0,,,2-2,,Offensive rebound by M. Kleber
10:01.0,,,2-4,2,M. Kleber makes 2-pt shot at rim
9:45.0,J. Harris makes 2-pt shot from 1 ft,2,4-4,,
9:21.0,,,4-7,3,M. Kleber makes 3-pt shot from 22 ft (assist by H. Barnes)
9:06.0,T. Zeller misses 2-pt shot from 2 ft,,4-7,,
9:06.0,,,4-7,,Defensive rebound by M. Kleber
8:59.0,,,4-10,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by D. Smith)
8:37.0,D. Carroll makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,7-10,,
8:14.0,,,7-12,2,H. Barnes makes 2-pt shot from 2 ft
7:54.0,T. Booker misses 2-pt shot from 8 ft,,7-12,,
7:52.0,,,7-12,,Defensive rebound by M. Kleber
7:42.0,,,7-14,2,D. Nowitzki makes 2-pt shot from 20 ft (assist by D. Smith)
7:41.0,Brooklyn full timeout,,7-14,,
7:41.0,,,7-14,,S. Mejri enters the game for D. Nowitzki
7:21.0,D. Carroll misses 3-pt shot from 25 ft,,7-14,,
7:18.0,Offensive rebound by T. Zeller,,7-14,,
7:17.0,D. Carroll makes 2-pt shot at rim (assist by T. Zeller),2,9-14,,
7:02.0,,,9-14,,D. Smith misses 3-pt shot from 24 ft
6:59.0,Defensive rebound by T. Zeller,,9-14,,
6:49.0,J. Harris misses 3-pt shot from 24 ft,,9-14,,
6:46.0,,,9-14,,Defensive rebound by D. Smith
6:36.0,,,9-16,2,W. Matthews makes 2-pt shot from 18 ft (assist by S. Mejri)
6:13.0,T. Zeller makes 2-pt shot from 1 ft (assist by D. Carroll),2,11-16,,
5:56.0,,,11-16,,H. Barnes misses 3-pt shot from 24 ft
5:56.0,Defensive rebound by T. Zeller,,11-16,,
5:35.0,T. Zeller makes 2-pt shot from 7 ft (assist by S. Dinwiddie),2,13-16,,
5:15.0,,,13-16,,D. Smith misses 2-pt shot from 4 ft (block by S. Dinwiddie)
5:13.0,Defensive rebound by T. Zeller,,13-16,,
5:09.0,T. Booker makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,15-16,,
5:09.0,,,15-16,,Dallas full timeout
5:09.0,,,15-16,,Y. Ferrell enters the game for D. Smith
4:45.0,,,15-18,2,M. Kleber makes 2-pt shot from 9 ft (assist by W. Matthews)
4:38.0,Turnover by T. Zeller (traveling),,15-18,,
4:18.0,,,15-20,2,M. Kleber makes 2-pt shot from 14 ft (assist by H. Barnes)
3:55.0,Turnover by T. Booker (bad pass; steal by H. Barnes),,15-20,,
3:47.0,,,15-20,,Y. Ferrell misses 2-pt shot from 17 ft
3:44.0,Defensive rebound by T. Booker,,15-20,,
