time,Phoenix,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Labissiere vs. T. Chandler (Z. Randolph gains possession),,,,Jump ball: S. Labissiere vs. T. Chandler (Z. Randolph gains possession)
11:34.0,,,0-0,,G. Hill misses 3-pt shot from 20 ft
11:30.0,Defensive rebound by M. Chriss,,0-0,,
11:15.0,D. Booker misses 2-pt shot from 19 ft,,0-0,,
11:15.0,,,0-0,,Defensive rebound by F. Mason
11:04.0,,,0-2,2,S. Labissiere makes 2-pt shot from 2 ft (assist by Z. Randolph)
10:51.0,D. Booker misses 2-pt shot from 2 ft,,0-2,,
10:49.0,,,0-2,,Defensive rebound by S. Labissiere
10:30.0,,,0-4,2,G. Hill makes 2-pt shot from 18 ft
10:09.0,T. Ulis makes 2-pt shot from 4 ft,2,2-4,,
9:47.0,,,2-4,,Z. Randolph misses 3-pt shot from 25 ft
9:45.0,Defensive rebound by D. Booker,,2-4,,
9:30.0,D. Booker misses 2-pt shot from 2 ft,,2-4,,
9:26.0,Offensive rebound by T. Chandler,,2-4,,
9:24.0,T. Chandler misses 2-pt shot from 2 ft,,2-4,,
9:24.0,,,2-4,,Defensive rebound by G. Temple
9:22.0,,,2-6,2,F. Mason makes 2-pt shot from 3 ft (assist by G. Temple)
9:03.0,T. Warren makes 2-pt shot from 17 ft (assist by M. Chriss),2,4-6,,
8:48.0,,,4-6,,G. Temple misses 3-pt shot from 24 ft
8:46.0,Defensive rebound by T. Chandler,,4-6,,
8:46.0,Shooting foul by G. Temple (drawn by D. Booker),,4-6,,
8:46.0,D. Booker makes free throw 1 of 2,1,5-6,,
8:46.0,D. Booker misses free throw 2 of 2,,5-6,,
8:41.0,Offensive rebound by M. Chriss,,5-6,,
8:38.0,D. Booker makes 3-pt shot from 24 ft (assist by M. Chriss),3,8-6,,
8:18.0,,,8-8,2,S. Labissiere makes 2-pt shot from 1 ft (assist by G. Temple)
8:06.0,Shooting foul by F. Mason (drawn by T. Warren),,8-8,,
8:06.0,T. Warren misses free throw 1 of 2,,8-8,,
8:06.0,Offensive rebound by Team,,8-8,,
8:06.0,T. Warren makes free throw 2 of 2,1,9-8,,
7:48.0,,,9-11,3,G. Temple makes 3-pt shot from 25 ft (assist by F. Mason)
