time,Charlotte,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Sabonis vs. D. Howard (K. Walker gains possession),,,,Jump ball: D. Sabonis vs. D. Howard (K. Walker gains possession)
11:46.0,N. Batum misses 2-pt shot from 19 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by V. Oladipo
11:28.0,,,0-2,2,D. Collison makes 2-pt shot from 17 ft
11:00.0,M. Williams makes 2-pt shot from 16 ft,2,2-2,,
10:47.0,,,2-4,2,V. Oladipo makes 2-pt shot from 19 ft (assist by D. Sabonis)
10:34.0,N. Batum makes 3-pt shot from 26 ft (assist by K. Walker),3,5-4,,
10:17.0,,,5-4,,B. Bogdanovic misses 2-pt shot from 12 ft
10:15.0,Defensive rebound by N. Batum,,5-4,,
9:53.0,D. Howard makes 2-pt shot at rim (assist by M. Williams),2,7-4,,
9:33.0,,,7-6,2,D. Collison makes 2-pt shot from 20 ft
9:18.0,K. Walker misses 2-pt shot from 14 ft,,7-6,,
9:16.0,,,7-6,,Defensive rebound by T. Young
9:12.0,,,7-8,2,D. Collison makes 2-pt shot at rim
9:02.0,N. Batum misses 3-pt shot from 24 ft,,7-8,,
8:59.0,,,7-8,,Defensive rebound by D. Sabonis
8:49.0,,,7-8,,B. Bogdanovic misses 2-pt shot from 12 ft (block by N. Batum)
8:46.0,Defensive rebound by D. Howard,,7-8,,
8:32.0,,,7-8,,Personal foul by D. Sabonis (drawn by D. Howard)
8:17.0,K. Walker misses 2-pt shot from 19 ft,,7-8,,
8:15.0,,,7-8,,Defensive rebound by T. Young
8:09.0,,,7-8,,Turnover by D. Collison (out of bounds lost ball)
7:51.0,D. Howard makes 2-pt shot from 1 ft,2,9-8,,
7:40.0,,,9-8,,D. Collison misses 3-pt shot from 25 ft
7:38.0,Defensive rebound by N. Batum,,9-8,,
7:26.0,M. Kidd-Gilchrist misses 2-pt shot from 9 ft,,9-8,,
7:23.0,,,9-8,,Defensive rebound by D. Sabonis
7:16.0,,,9-8,,D. Sabonis misses 2-pt shot at rim
7:14.0,Defensive rebound by M. Kidd-Gilchrist,,9-8,,
6:58.0,Turnover by D. Howard (traveling),,9-8,,
6:58.0,,,9-8,,Indiana full timeout
6:49.0,,,9-10,2,T. Young makes 2-pt shot from 10 ft (assist by D. Collison)
6:33.0,D. Howard makes 2-pt shot from 1 ft,2,11-10,,
6:15.0,,,11-10,,V. Oladipo misses 2-pt shot from 20 ft
6:12.0,Defensive rebound by M. Williams,,11-10,,
6:02.0,Turnover by K. Walker (bad pass; steal by T. Young),,11-10,,
5:59.0,,,11-12,2,T. Young makes 2-pt shot at rim
5:31.0,M. Williams misses 2-pt shot from 19 ft,,11-12,,
5:29.0,,,11-12,,Defensive rebound by D. Sabonis
