time,Minnesota,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. K. Towns (T. Snell gains possession),,,,Jump ball: J. Henson vs. K. Towns (T. Snell gains possession)
11:36.0,,,0-0,,K. Middleton misses 2-pt shot from 11 ft
11:33.0,Defensive rebound by A. Wiggins,,0-0,,
11:19.0,K. Towns makes 3-pt shot from 23 ft (assist by T. Jones),3,3-0,,
11:01.0,,,3-2,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton)
10:45.0,J. Butler makes 2-pt shot from 20 ft,2,5-2,,
10:31.0,,,5-4,2,G. Antetokounmpo makes 2-pt shot from 11 ft
10:05.0,A. Wiggins misses 2-pt shot from 16 ft,,5-4,,
10:05.0,,,5-4,,Defensive rebound by Team
10:05.0,,,5-4,,S. Brown enters the game for J. Henson
10:05.0,,,5-4,,T. Maker enters the game for T. Snell
9:46.0,,,5-4,,Turnover by E. Bledsoe (bad pass; steal by J. Butler)
9:41.0,J. Butler misses 3-pt shot from 27 ft,,5-4,,
9:37.0,,,5-4,,Defensive rebound by T. Maker
9:30.0,,,5-4,,Turnover by K. Middleton (lost ball; steal by T. Jones)
9:26.0,T. Jones makes 2-pt shot from 1 ft,2,7-4,,
9:17.0,,,7-4,,T. Maker misses 2-pt shot from 15 ft
9:12.0,Defensive rebound by T. Gibson,,7-4,,
9:01.0,A. Wiggins makes 3-pt shot from 26 ft (assist by K. Towns),3,10-4,,
8:58.0,,,10-4,,Milwaukee full timeout
8:58.0,,,10-4,,M. Dellavedova enters the game for E. Bledsoe
8:36.0,,,10-4,,Turnover by G. Antetokounmpo (bad pass; steal by T. Jones)
8:19.0,T. Gibson misses 3-pt shot from 22 ft,,10-4,,
8:16.0,,,10-4,,Defensive rebound by G. Antetokounmpo
8:11.0,,,10-4,,K. Middleton misses 3-pt shot from 26 ft
8:11.0,Defensive rebound by T. Jones,,10-4,,
7:59.0,K. Towns makes 3-pt shot from 28 ft (assist by T. Jones),3,13-4,,
7:33.0,,,13-6,2,M. Dellavedova makes 2-pt shot from 4 ft
7:13.0,K. Towns makes 2-pt shot from 1 ft (assist by A. Wiggins),2,15-6,,
6:59.0,,,15-6,,Turnover by M. Dellavedova (lost ball; steal by T. Jones)
6:43.0,A. Wiggins makes 2-pt shot from 18 ft,2,17-6,,
6:29.0,,,17-6,,G. Antetokounmpo misses 2-pt shot at rim
6:27.0,Defensive rebound by T. Gibson,,17-6,,
6:14.0,J. Butler misses 2-pt shot from 12 ft,,17-6,,
6:14.0,Offensive rebound by Team,,17-6,,
6:14.0,,,17-6,,Loose ball foul by M. Dellavedova (drawn by K. Towns)
5:59.0,T. Jones misses 2-pt shot from 7 ft,,17-6,,
5:56.0,Offensive rebound by K. Towns,,17-6,,
5:46.0,Shooting foul by S. Brown (drawn by J. Butler),,17-6,,
5:46.0,J. Butler makes free throw 1 of 2,1,18-6,,
5:46.0,J. Butler makes free throw 2 of 2,1,19-6,,
5:37.0,,,19-6,,Turnover by K. Middleton (bad pass; steal by A. Wiggins)
5:37.0,,,19-6,,Personal foul by K. Middleton (drawn by A. Wiggins)
5:20.0,Offensive foul by K. Towns (drawn by T. Maker),,19-6,,
5:20.0,Turnover by K. Towns (offensive foul),,19-6,,
5:03.0,,,19-6,,S. Brown misses 2-pt shot from 2 ft (block by K. Towns)
5:01.0,Defensive rebound by J. Butler,,19-6,,
5:01.0,Technical foul by K. Towns,,19-6,,
5:01.0,,,19-7,1,K. Middleton makes technical free throw
5:01.0,G. Dieng enters the game for K. Towns,,19-7,,
4:54.0,Turnover by J. Butler (bad pass),,19-7,,
4:47.0,,,19-7,,G. Antetokounmpo misses 2-pt shot from 20 ft
4:44.0,Defensive rebound by A. Wiggins,,19-7,,
4:32.0,A. Wiggins misses 2-pt shot from 6 ft,,19-7,,
4:30.0,,,19-7,,Defensive rebound by K. Middleton
4:28.0,Personal foul by J. Butler (drawn by M. Dellavedova),,19-7,,
4:11.0,,,19-7,,G. Antetokounmpo misses 3-pt shot from 22 ft
4:08.0,Defensive rebound by G. Dieng,,19-7,,
3:56.0,Shooting foul by T. Maker (drawn by J. Butler),,19-7,,
3:56.0,J. Butler makes free throw 1 of 2,1,20-7,,
3:56.0,J. Butler makes free throw 2 of 2,1,21-7,,
3:47.0,,,21-7,,Shooting foul by G. Dieng (drawn by S. Brown)
3:47.0,,,21-8,1,S. Brown makes free throw 1 of 2
3:47.0,,,21-8,,E. Bledsoe enters the game for M. Dellavedova
3:47.0,,,21-8,,J. Terry enters the game for K. Middleton
3:47.0,J. Crawford enters the game for T. Jones,,21-8,,
3:47.0,,,21-8,,S. Brown misses free throw 2 of 2
3:41.0,,,21-8,,Offensive rebound by T. Maker
3:40.0,,,21-8,,J. Terry misses 3-pt shot from 27 ft
3:37.0,,,21-8,,Offensive rebound by T. Maker
3:31.0,,,21-8,,E. Bledsoe misses 3-pt shot from 22 ft
3:28.0,Defensive rebound by G. Dieng,,21-8,,
3:08.0,J. Crawford misses 3-pt shot from 29 ft,,21-8,,
3:07.0,Offensive rebound by Team,,21-8,,
3:07.0,Turnover by Team (shot clock),,21-8,,
2:59.0,,,21-8,,Turnover by G. Antetokounmpo (bad pass)
2:59.0,Minnesota full timeout,,21-8,,
2:59.0,,,21-8,,J. Henson enters the game for T. Maker
2:59.0,,,21-8,,T. Snell enters the game for S. Brown
2:44.0,J. Crawford misses 3-pt shot from 24 ft,,21-8,,
2:41.0,,,21-8,,Defensive rebound by Team
2:23.0,,,21-8,,E. Bledsoe misses 2-pt shot from 14 ft
2:21.0,Defensive rebound by A. Wiggins,,21-8,,
2:05.0,Turnover by T. Gibson (bad pass; steal by J. Terry),,21-8,,
1:59.0,,,21-10,2,J. Terry makes 2-pt shot at rim (assist by E. Bledsoe)
1:44.0,Shooting foul by E. Bledsoe (drawn by A. Wiggins),,21-10,,
1:44.0,A. Wiggins misses free throw 1 of 2,,21-10,,
1:44.0,Offensive rebound by Team,,21-10,,
1:44.0,N. Bjelica enters the game for T. Gibson,,21-10,,
1:44.0,A. Wiggins makes free throw 2 of 2,1,22-10,,
1:29.0,,,22-12,2,G. Antetokounmpo makes 2-pt shot from 9 ft
1:12.0,,,22-12,,Personal foul by E. Bledsoe (drawn by A. Wiggins)
1:12.0,A. Wiggins misses free throw 1 of 2,,22-12,,
1:12.0,Offensive rebound by Team,,22-12,,
1:12.0,A. Wiggins makes free throw 2 of 2,1,23-12,,
1:02.0,,,23-12,,E. Bledsoe misses 2-pt shot from 1 ft
1:00.0,Defensive rebound by G. Dieng,,23-12,,
0:52.0,A. Wiggins misses 2-pt shot from 15 ft,,23-12,,
0:52.0,,,23-12,,Defensive rebound by J. Henson
0:37.0,,,23-14,2,J. Henson makes 2-pt shot at rim (assist by T. Snell)
0:15.0,A. Wiggins makes 3-pt shot from 22 ft (assist by J. Crawford),3,26-14,,
0:06.0,Personal take foul by A. Wiggins (drawn by E. Bledsoe),,26-14,,
0:06.0,M. Georges-Hunt enters the game for A. Wiggins,,26-14,,
0:00.0,,,26-14,,E. Bledsoe misses 2-pt shot from 1 ft
0:00.0,,,26-14,,Offensive rebound by G. Antetokounmpo
0:00.0,,,26-16,2,G. Antetokounmpo makes 2-pt shot at rim
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,26-16,,Personal foul by J. Terry (drawn by J. Crawford)
11:41.0,,,26-16,,Def 3 sec tech foul by E. Bledsoe
11:41.0,J. Butler makes technical free throw,1,27-16,,
11:30.0,J. Crawford makes 2-pt shot from 15 ft,2,29-16,,
11:08.0,,,29-16,,Shooting foul by N. Bjelica (drawn by E. Bledsoe)
11:08.0,,,29-17,1,E. Bledsoe makes free throw 1 of 2
11:08.0,A. Brooks enters the game for M. Georges-Hunt,,29-17,,
11:08.0,K. Towns enters the game for J. Butler,,29-17,,
11:08.0,,,29-18,1,E. Bledsoe makes free throw 2 of 2
10:51.0,J. Crawford makes 2-pt shot at rim,2,31-18,,
10:38.0,,,31-20,2,T. Snell makes 2-pt shot at rim
10:21.0,A. Brooks makes 2-pt shot from 6 ft,2,33-20,,
10:18.0,,,33-20,,Turnover by J. Terry (bad pass)
10:05.0,Turnover by N. Bjelica (bad pass; steal by E. Bledsoe),,33-20,,
10:00.0,,,33-23,3,K. Middleton makes 3-pt shot from 27 ft (assist by E. Bledsoe)
10:00.0,,,33-23,,Shooting foul by K. Towns (drawn by K. Middleton)
10:00.0,,,33-24,1,K. Middleton makes free throw 1 of 1
9:48.0,Personal foul by A. Brooks (drawn by E. Bledsoe),,33-24,,
9:47.0,Turnover by A. Brooks (lost ball; steal by E. Bledsoe),,33-24,,
9:35.0,,,33-26,2,K. Middleton makes 2-pt shot from 6 ft (assist by J. Terry)
9:14.0,A. Brooks makes 2-pt shot from 12 ft (assist by K. Towns),2,35-26,,
9:07.0,,,35-28,2,K. Middleton makes 2-pt shot from 1 ft (assist by J. Terry)
8:53.0,Turnover by J. Crawford (bad pass; steal by E. Bledsoe),,35-28,,
8:49.0,,,35-30,2,E. Bledsoe makes 2-pt shot at rim
