time,New Orleans,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. A. Davis (T. Snell gains possession),,,,Jump ball: J. Henson vs. A. Davis (T. Snell gains possession)
11:40.0,,,0-2,2,J. Henson makes 2-pt shot from 1 ft (assist by E. Bledsoe)
11:19.0,A. Davis misses 2-pt shot from 15 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by K. Middleton
11:10.0,,,0-4,2,T. Snell makes 2-pt shot from 19 ft
10:48.0,E. Moore makes 3-pt shot from 27 ft (assist by A. Davis),3,3-4,,
10:20.0,,,3-4,,J. Henson misses 2-pt shot from 2 ft
10:18.0,Defensive rebound by E. Okafor,,3-4,,
10:13.0,A. Davis misses 2-pt shot from 15 ft,,3-4,,
10:11.0,,,3-4,,Defensive rebound by J. Henson
9:58.0,,,3-4,,K. Middleton misses 3-pt shot from 22 ft
9:58.0,,,3-4,,Offensive rebound by Team
9:50.0,,,3-4,,G. Antetokounmpo misses 2-pt shot from 1 ft
9:47.0,Defensive rebound by E. Okafor,,3-4,,
9:39.0,R. Rondo misses 3-pt shot from 23 ft,,3-4,,
9:36.0,Offensive rebound by E. Okafor,,3-4,,
9:34.0,E. Okafor misses 2-pt shot from 1 ft (block by J. Henson),,3-4,,
9:34.0,,,3-4,,Defensive rebound by K. Middleton
9:23.0,,,3-4,,T. Snell misses 3-pt shot from 23 ft
9:20.0,Defensive rebound by A. Davis,,3-4,,
9:03.0,R. Rondo makes 2-pt shot from 3 ft,2,5-4,,
8:50.0,,,5-4,,Turnover by T. Snell (bad pass; steal by J. Holiday)
8:45.0,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo),2,7-4,,
8:31.0,,,7-4,,G. Antetokounmpo misses 3-pt shot from 27 ft
8:29.0,Defensive rebound by E. Okafor,,7-4,,
8:26.0,A. Davis makes 2-pt shot at rim (assist by R. Rondo),2,9-4,,
8:11.0,,,9-4,,G. Antetokounmpo misses 2-pt shot from 18 ft
8:08.0,Defensive rebound by R. Rondo,,9-4,,
8:00.0,E. Moore misses 3-pt shot from 24 ft,,9-4,,
7:58.0,,,9-4,,Defensive rebound by E. Bledsoe
7:52.0,,,9-6,2,J. Henson makes 2-pt shot from 2 ft (assist by T. Snell)
7:52.0,,,9-6,,Shooting foul by E. Okafor (drawn by J. Henson)
7:52.0,,,9-7,1,J. Henson makes free throw 1 of 1
7:37.0,J. Holiday misses 2-pt shot from 16 ft,,9-7,,
7:34.0,,,9-7,,Defensive rebound by G. Antetokounmpo
7:29.0,,,9-9,2,G. Antetokounmpo makes 2-pt shot from 1 ft
7:17.0,A. Davis misses 2-pt shot from 14 ft,,9-9,,
7:13.0,,,9-9,,Defensive rebound by K. Middleton
7:06.0,,,9-9,,K. Middleton misses 2-pt shot from 15 ft
7:03.0,Defensive rebound by R. Rondo,,9-9,,
6:59.0,R. Rondo makes 2-pt shot from 11 ft,2,11-9,,
6:44.0,,,11-9,,Shooting foul by E. Moore (drawn by E. Bledsoe)
6:44.0,,,11-9,,Milwaukee full timeout
6:44.0,,,11-10,1,E. Bledsoe makes free throw 1 of 2
6:44.0,,,11-11,1,E. Bledsoe makes free throw 2 of 2
6:38.0,,,11-11,,Personal foul by K. Middleton (drawn by A. Davis)
6:32.0,Turnover by R. Rondo (bad pass; steal by T. Snell),,11-11,,
6:28.0,,,11-13,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton)
6:18.0,E. Moore misses 3-pt shot from 23 ft,,11-13,,
6:18.0,,,11-13,,Defensive rebound by E. Bledsoe
6:07.0,,,11-15,2,K. Middleton makes 2-pt shot from 17 ft
5:58.0,J. Holiday misses 2-pt shot from 2 ft,,11-15,,
5:56.0,,,11-15,,Defensive rebound by E. Bledsoe
5:52.0,,,11-18,3,E. Bledsoe makes 3-pt shot from 28 ft
5:40.0,,,11-18,,Personal foul by K. Middleton (drawn by E. Okafor)
