time,Oklahoma City,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. S. Adams (R. Westbrook gains possession),,,,Jump ball: R. Lopez vs. S. Adams (R. Westbrook gains possession)
11:48.0,P. George makes 3-pt shot from 25 ft (assist by S. Adams),3,3-0,,
11:28.0,,,3-0,,Turnover by J. Holiday (bad pass; steal by S. Adams)
11:22.0,Turnover by P. George (bad pass),,3-0,,
11:02.0,,,3-0,,P. Zipser misses 2-pt shot from 17 ft
10:58.0,,,3-0,,Offensive rebound by P. Zipser
10:56.0,,,3-0,,Turnover by P. Zipser (bad pass; steal by P. George)
10:54.0,R. Westbrook makes 2-pt shot from 12 ft,2,5-0,,
10:37.0,,,5-3,3,L. Markkanen makes 3-pt shot from 24 ft (assist by J. Grant)
10:19.0,P. George misses 2-pt shot from 8 ft,,5-3,,
10:14.0,,,5-3,,Defensive rebound by J. Grant
10:06.0,,,5-3,,J. Holiday misses 3-pt shot from 22 ft
10:02.0,Defensive rebound by C. Anthony,,5-3,,
9:57.0,C. Anthony makes 2-pt shot from 21 ft,2,7-3,,
9:35.0,,,7-3,,J. Grant misses 3-pt shot from 24 ft
9:31.0,Defensive rebound by R. Westbrook,,7-3,,
9:18.0,P. George makes 3-pt shot from 23 ft (assist by A. Roberson),3,10-3,,
8:59.0,,,10-3,,R. Lopez misses 2-pt shot from 15 ft
8:56.0,Defensive rebound by R. Westbrook,,10-3,,
8:53.0,S. Adams makes 2-pt shot from 6 ft (assist by R. Westbrook),2,12-3,,
8:53.0,,,12-3,,Chicago full timeout
8:39.0,,,12-3,,Turnover by R. Lopez (bad pass; steal by R. Westbrook)
8:23.0,C. Anthony misses 2-pt shot from 12 ft,,12-3,,
8:20.0,Offensive rebound by A. Roberson,,12-3,,
8:18.0,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook),3,15-3,,
8:06.0,Personal foul by C. Anthony (drawn by J. Holiday),,15-3,,
8:00.0,,,15-6,3,P. Zipser makes 3-pt shot from 23 ft (assist by J. Grant)
7:48.0,P. George misses 2-pt shot from 2 ft,,15-6,,
7:47.0,Offensive rebound by S. Adams,,15-6,,
7:47.0,S. Adams misses 2-pt shot at rim,,15-6,,
7:43.0,Offensive rebound by P. George,,15-6,,
7:33.0,Turnover by Team (shot clock),,15-6,,
7:19.0,,,15-9,3,L. Markkanen makes 3-pt shot from 25 ft (assist by R. Lopez)
6:55.0,C. Anthony makes 3-pt shot from 25 ft (assist by R. Westbrook),3,18-9,,
6:28.0,,,18-11,2,R. Lopez makes 2-pt shot from 8 ft (assist by J. Holiday)
6:15.0,,,18-11,,Personal foul by L. Markkanen (drawn by C. Anthony)
6:02.0,Turnover by P. George (bad pass; steal by J. Grant),,18-11,,
5:51.0,,,18-13,2,R. Lopez makes 2-pt shot from 1 ft (assist by J. Grant)
5:33.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,20-13,,
5:12.0,,,20-13,,R. Lopez misses 2-pt shot from 2 ft
5:09.0,Defensive rebound by R. Westbrook,,20-13,,
5:09.0,,,20-13,,Personal foul by J. Holiday (drawn by R. Westbrook)
5:09.0,J. Grant enters the game for C. Anthony,,20-13,,
5:09.0,A. Abrines enters the game for A. Roberson,,20-13,,
5:03.0,R. Westbrook misses 2-pt shot from 3 ft,,20-13,,
5:00.0,,,20-13,,Defensive rebound by R. Lopez
4:48.0,,,20-13,,J. Grant misses 3-pt shot from 24 ft
4:43.0,Defensive rebound by S. Adams,,20-13,,
4:39.0,R. Westbrook misses 2-pt shot from 13 ft,,20-13,,
4:33.0,,,20-13,,Defensive rebound by L. Markkanen
4:27.0,Oklahoma City full timeout,,20-13,,
4:27.0,,,20-13,,D. Valentine enters the game for P. Zipser
4:26.0,,,20-16,3,J. Holiday makes 3-pt shot from 25 ft (assist by L. Markkanen)
4:15.0,R. Westbrook misses 2-pt shot from 3 ft (block by R. Lopez),,20-16,,
4:15.0,Offensive rebound by Team,,20-16,,
4:06.0,S. Adams misses 2-pt shot from 2 ft (block by L. Markkanen),,20-16,,
3:59.0,,,20-16,,Defensive rebound by R. Lopez
3:58.0,,,20-16,,J. Grant misses 2-pt shot from 4 ft (block by J. Grant)
3:55.0,R. Westbrook makes 2-pt shot from 17 ft (assist by A. Abrines),2,22-16,,
3:49.0,Offensive rebound by A. Abrines,,22-16,,
