time,Minnesota,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. K. Towns (T. Gibson gains possession),,,,Jump ball: T. Thompson vs. K. Towns (T. Gibson gains possession)
11:43.0,A. Wiggins misses 3-pt shot from 26 ft,,0-0,,
11:33.0,Offensive rebound by T. Gibson,,0-0,,
11:33.0,T. Gibson misses 2-pt shot at rim,,0-0,,
11:32.0,,,0-0,,Defensive rebound by I. Thomas
11:31.0,,,0-0,,T. Thompson misses 2-pt shot at rim
11:31.0,Defensive rebound by A. Wiggins,,0-0,,
11:20.0,T. Gibson misses 2-pt shot from 8 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by L. James
10:58.0,,,0-2,2,J. Crowder makes 2-pt shot from 20 ft (assist by T. Thompson)
10:35.0,A. Wiggins makes 2-pt shot from 7 ft,2,2-2,,
10:19.0,,,2-2,,L. James misses 2-pt shot from 22 ft
10:16.0,Defensive rebound by K. Towns,,2-2,,
10:06.0,K. Towns misses 2-pt shot from 6 ft,,2-2,,
10:03.0,Offensive rebound by T. Gibson,,2-2,,
10:01.0,T. Gibson makes 2-pt shot at rim,2,4-2,,
9:44.0,,,4-5,3,J. Smith makes 3-pt shot from 23 ft (assist by I. Thomas)
9:28.0,A. Wiggins makes 3-pt shot from 26 ft (assist by J. Butler),3,7-5,,
9:11.0,,,7-7,2,I. Thomas makes 2-pt shot from 1 ft (assist by T. Thompson)
8:51.0,J. Teague misses 3-pt shot from 24 ft,,7-7,,
8:47.0,,,7-7,,Defensive rebound by J. Crowder
8:41.0,,,7-7,,I. Thomas misses 3-pt shot from 29 ft (block by T. Gibson)
8:35.0,Defensive rebound by J. Butler,,7-7,,
8:32.0,Turnover by J. Butler (bad pass; steal by T. Thompson),,7-7,,
8:29.0,,,7-9,2,T. Thompson makes 2-pt shot from 1 ft
8:29.0,Minnesota full timeout,,7-9,,
8:13.0,J. Teague makes 3-pt shot from 25 ft (assist by A. Wiggins),3,10-9,,
7:57.0,,,10-12,3,J. Smith makes 3-pt shot from 25 ft (assist by L. James)
7:37.0,A. Wiggins misses 3-pt shot from 26 ft,,10-12,,
7:35.0,,,10-12,,Defensive rebound by L. James
7:32.0,,,10-12,,Turnover by L. James (out of bounds lost ball)
7:13.0,Turnover by A. Wiggins (bad pass; steal by L. James),,10-12,,
7:09.0,,,10-12,,Shooting foul by K. Towns (drawn by L. James)
7:09.0,,,10-12,,L. James misses free throw 1 of 2
7:09.0,,,10-12,,Offensive rebound by Team
7:09.0,,,10-12,,L. James misses free throw 2 of 2
7:05.0,Defensive rebound by K. Towns,,10-12,,
6:57.0,K. Towns makes 3-pt shot from 25 ft (assist by J. Teague),3,13-12,,
6:33.0,,,13-12,,I. Thomas misses 3-pt shot from 27 ft (block by K. Towns)
6:30.0,Defensive rebound by T. Gibson,,13-12,,
6:24.0,J. Teague makes 2-pt shot from 10 ft (assist by T. Gibson),2,15-12,,
6:01.0,,,15-14,2,L. James makes 2-pt shot at rim
5:49.0,,,15-14,,Personal foul by J. Crowder (drawn by T. Gibson)
5:35.0,Turnover by Team (shot clock),,15-14,,
5:25.0,,,15-14,,Offensive charge foul by L. James (drawn by K. Towns)
5:25.0,,,15-14,,Turnover by L. James (offensive foul)
5:15.0,K. Towns makes 3-pt shot from 25 ft (assist by J. Butler),3,18-14,,
4:53.0,,,18-16,2,L. James makes 2-pt shot at rim (assist by J. Crowder)
4:44.0,Offensive foul by K. Towns (drawn by J. Crowder),,18-16,,
4:44.0,Turnover by K. Towns (offensive foul),,18-16,,
4:44.0,G. Dieng enters the game for K. Towns,,18-16,,
4:34.0,,,18-19,3,J. Smith makes 3-pt shot from 25 ft (assist by I. Thomas)
4:19.0,J. Butler makes 3-pt shot from 25 ft,3,21-19,,
4:10.0,,,21-21,2,J. Smith makes 2-pt shot from 17 ft
3:51.0,G. Dieng misses 2-pt shot from 21 ft,,21-21,,
3:48.0,,,21-21,,Defensive rebound by L. James
3:45.0,,,21-21,,Turnover by L. James (bad pass; steal by G. Dieng)
3:42.0,J. Butler makes 2-pt shot at rim,2,23-21,,
3:42.0,,,23-21,,Cleveland full timeout
3:42.0,J. Crawford enters the game for J. Butler,,23-21,,
3:42.0,,,23-21,,C. Frye enters the game for T. Thompson
3:42.0,,,23-21,,J. Green enters the game for L. James
3:25.0,,,23-23,2,C. Frye makes 2-pt shot at rim (assist by J. Crowder)
3:01.0,,,23-23,,Personal foul by I. Thomas (drawn by J. Teague)
3:01.0,N. Bjelica enters the game for T. Gibson,,23-23,,
2:48.0,J. Teague misses 2-pt shot from 6 ft,,23-23,,
2:45.0,,,23-23,,Defensive rebound by C. Frye
2:38.0,,,23-23,,C. Frye misses 3-pt shot from 25 ft
2:38.0,,,23-23,,Offensive rebound by C. Frye
2:35.0,Personal foul by J. Crawford (drawn by C. Frye),,23-23,,
2:24.0,,,23-23,,J. Crowder misses 3-pt shot from 23 ft
2:24.0,Defensive rebound by N. Bjelica,,23-23,,
2:07.0,J. Crawford makes 2-pt shot from 18 ft,2,25-23,,
1:54.0,,,25-23,,I. Thomas misses 2-pt shot from 9 ft
1:54.0,Defensive rebound by G. Dieng,,25-23,,
1:48.0,,,25-23,,C. Osman enters the game for J. Smith
1:34.0,J. Crawford misses 2-pt shot from 15 ft,,25-23,,
1:31.0,,,25-23,,Defensive rebound by C. Osman
1:28.0,,,25-23,,Shooting foul by N. Bjelica (drawn by J. Crowder)
1:28.0,,,25-24,1,J. Crowder makes free throw 1 of 2
1:28.0,,,25-24,,D. Rose enters the game for I. Thomas
1:28.0,T. Jones enters the game for J. Teague,,25-24,,
1:28.0,,,25-24,,J. Crowder misses free throw 2 of 2
1:26.0,Defensive rebound by G. Dieng,,25-24,,
1:09.0,A. Wiggins misses 2-pt shot from 14 ft,,25-24,,
1:06.0,,,25-24,,Defensive rebound by J. Crowder
1:00.0,,,25-24,,J. Crowder misses 2-pt shot from 2 ft
0:57.0,,,25-24,,Offensive rebound by J. Green
0:57.0,,,25-26,2,J. Green makes 2-pt shot at rim
0:50.0,J. Crawford makes 2-pt shot from 18 ft,2,27-26,,
0:40.0,,,27-28,2,D. Rose makes 2-pt shot from 4 ft
0:32.0,Turnover by A. Wiggins (traveling),,27-28,,
0:32.0,,,27-28,,K. Korver enters the game for J. Crowder
0:13.0,,,27-31,3,C. Osman makes 3-pt shot from 25 ft (assist by D. Rose)
0:05.0,,,27-31,,Personal foul by J. Green (drawn by J. Crawford)
0:03.0,J. Crawford makes 2-pt shot from 16 ft (assist by T. Jones),2,29-31,,
0:01.0,,,29-31,,Turnover by C. Frye (bad pass; steal by T. Jones)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,29-31,,C. Frye misses 2-pt shot from 14 ft
11:44.0,Defensive rebound by N. Bjelica,,29-31,,
11:34.0,Shooting foul by C. Osman (drawn by G. Dieng),,29-31,,
11:34.0,G. Dieng makes free throw 1 of 2,1,30-31,,
11:34.0,G. Dieng makes free throw 2 of 2,1,31-31,,
11:18.0,,,31-31,,Shooting foul by A. Wiggins (drawn by C. Osman)
11:18.0,,,31-31,,C. Osman misses free throw 1 of 2
11:18.0,,,31-31,,Offensive rebound by Team
11:18.0,,,31-31,,L. James enters the game for C. Frye
11:18.0,J. Butler enters the game for A. Wiggins,,31-31,,
11:18.0,,,31-32,1,C. Osman makes free throw 2 of 2
11:10.0,G. Dieng makes 2-pt shot from 11 ft (assist by T. Jones),2,33-32,,
10:59.0,,,33-34,2,J. Green makes 2-pt shot from 1 ft (assist by L. James)
10:48.0,G. Dieng makes 2-pt shot from 1 ft (assist by T. Jones),2,35-34,,
10:37.0,,,35-34,,D. Rose misses 2-pt shot from 12 ft
10:34.0,Defensive rebound by N. Bjelica,,35-34,,
10:30.0,J. Crawford makes 3-pt shot from 24 ft (assist by T. Jones),3,38-34,,
10:13.0,,,38-36,2,L. James makes 2-pt shot from 7 ft (assist by K. Korver)
9:49.0,T. Jones misses 3-pt shot from 22 ft,,38-36,,
9:46.0,,,38-36,,Defensive rebound by L. James
9:26.0,,,38-36,,D. Rose misses 2-pt shot from 10 ft
9:25.0,,,38-36,,Offensive rebound by L. James
9:25.0,Personal foul by G. Dieng (drawn by L. James),,38-36,,
9:20.0,,,38-38,2,K. Korver makes 2-pt shot from 1 ft (assist by D. Rose)
9:11.0,Shooting foul by J. Green (drawn by J. Butler),,38-38,,
9:11.0,J. Butler makes free throw 1 of 2,1,39-38,,
9:11.0,J. Butler makes free throw 2 of 2,1,40-38,,
8:56.0,,,40-41,3,K. Korver makes 3-pt shot from 22 ft (assist by D. Rose)
8:34.0,G. Dieng makes 2-pt shot from 20 ft (assist by N. Bjelica),2,42-41,,
8:19.0,,,42-43,2,L. James makes 2-pt shot from 1 ft
8:02.0,N. Bjelica misses 3-pt shot from 31 ft,,42-43,,
8:00.0,,,42-43,,Defensive rebound by J. Green
7:57.0,,,42-43,,Shooting foul by J. Butler (drawn by J. Green)
7:57.0,,,42-43,,J. Green misses free throw 1 of 2
7:57.0,,,42-43,,Offensive rebound by Team
7:57.0,,,42-44,1,J. Green makes free throw 2 of 2
7:37.0,J. Crawford misses 2-pt shot from 17 ft,,42-44,,
7:34.0,,,42-44,,Defensive rebound by L. James
7:18.0,,,42-44,,C. Osman misses 3-pt shot from 30 ft
7:15.0,Defensive rebound by G. Dieng,,42-44,,
7:09.0,J. Butler makes 3-pt shot from 24 ft,3,45-44,,
6:55.0,,,45-44,,Shooting foul by G. Dieng (drawn by D. Rose)
6:55.0,,,45-44,,Cleveland full timeout
6:55.0,,,45-44,,J. Smith enters the game for C. Osman
6:55.0,K. Towns enters the game for T. Jones,,45-44,,
6:55.0,J. Teague enters the game for G. Dieng,,45-44,,
6:55.0,,,45-45,1,D. Rose makes free throw 1 of 2
6:55.0,,,45-45,,D. Rose misses free throw 2 of 2
6:53.0,Defensive rebound by N. Bjelica,,45-45,,
6:34.0,Turnover by J. Crawford (out of bounds lost ball),,45-45,,
6:16.0,,,45-47,2,L. James makes 2-pt shot from 1 ft
6:08.0,N. Bjelica misses 3-pt shot from 25 ft,,45-47,,
6:05.0,,,45-47,,Defensive rebound by J. Green
6:02.0,,,45-47,,Offensive charge foul by J. Green (drawn by K. Towns)
6:02.0,,,45-47,,Turnover by J. Green (offensive foul)
6:02.0,,,45-47,,I. Thomas enters the game for D. Rose
6:02.0,,,45-47,,T. Thompson enters the game for K. Korver
6:02.0,,,45-47,,J. Crowder enters the game for J. Green
6:02.0,T. Gibson enters the game for N. Bjelica,,45-47,,
5:44.0,T. Gibson makes 2-pt shot from 4 ft (assist by J. Butler),2,47-47,,
5:26.0,,,47-50,3,J. Crowder makes 3-pt shot from 26 ft (assist by I. Thomas)
5:04.0,J. Butler makes 2-pt shot at rim (assist by J. Teague),2,49-50,,
4:49.0,Violation by K. Towns (kicked ball),,49-50,,
4:41.0,,,49-52,2,T. Thompson makes 2-pt shot from 2 ft (assist by I. Thomas)
4:41.0,,,49-52,,Shooting foul by J. Teague (drawn by T. Thompson)
4:41.0,,,49-53,1,T. Thompson makes free throw 1 of 1
4:31.0,J. Teague misses 2-pt shot from 1 ft,,49-53,,
4:28.0,,,49-53,,Defensive rebound by T. Thompson
4:24.0,,,49-53,,L. James misses 2-pt shot from 23 ft
4:21.0,Defensive rebound by J. Butler,,49-53,,
4:17.0,J. Crawford misses 3-pt shot from 27 ft,,49-53,,
4:12.0,,,49-53,,Defensive rebound by I. Thomas
4:08.0,,,49-56,3,J. Smith makes 3-pt shot from 23 ft (assist by L. James)
