time,Phoenix,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. A. Len (A. Harrison gains possession),,,,Jump ball: M. Gasol vs. A. Len (A. Harrison gains possession)
11:45.0,,,0-0,,J. Green misses 2-pt shot from 14 ft
11:43.0,Defensive rebound by D. Bender,,0-0,,
11:31.0,Turnover by E. Payton (bad pass; steal by M. Gasol),,0-0,,
11:28.0,,,0-0,,Turnover by B. McLemore (bad pass; steal by J. Jackson)
11:24.0,A. Len makes 2-pt shot at rim (assist by J. Jackson),2,2-0,,
11:07.0,,,2-2,2,D. Brooks makes 2-pt shot from 7 ft
10:51.0,D. Bender misses 3-pt shot from 25 ft,,2-2,,
10:49.0,,,2-2,,Defensive rebound by M. Gasol
10:48.0,,,2-2,,Turnover by J. Green (step out of bounds)
10:38.0,E. Payton makes 2-pt shot at rim,2,4-2,,
10:38.0,Shooting foul by A. Harrison (drawn by E. Payton),,4-2,,
10:38.0,E. Payton misses free throw 1 of 1,,4-2,,
10:36.0,,,4-2,,Defensive rebound by J. Green
10:27.0,Personal foul by A. Len (drawn by M. Gasol),,4-2,,
10:22.0,,,4-2,,Turnover by M. Gasol (bad pass; steal by D. Booker)
10:16.0,D. Booker misses 3-pt shot from 25 ft,,4-2,,
10:14.0,,,4-2,,Defensive rebound by Team
9:55.0,,,4-2,,Turnover by M. Gasol (bad pass; steal by D. Booker)
9:52.0,Shooting foul by M. Gasol (drawn by E. Payton),,4-2,,
9:52.0,E. Payton makes free throw 1 of 2,1,5-2,,
9:52.0,E. Payton makes free throw 2 of 2,1,6-2,,
9:37.0,,,6-2,,Turnover by D. Brooks (bad pass; steal by J. Jackson)
9:34.0,J. Jackson makes 2-pt shot at rim,2,8-2,,
9:34.0,,,8-2,,Memphis full timeout
9:34.0,,,8-2,,J. Martin enters the game for B. McLemore
9:19.0,,,8-2,,A. Harrison misses 3-pt shot from 26 ft
9:16.0,,,8-2,,Offensive rebound by J. Green
9:12.0,,,8-2,,Turnover by J. Green (bad pass; steal by D. Bender)
9:09.0,D. Booker misses 2-pt shot from 1 ft,,8-2,,
9:07.0,,,8-2,,Defensive rebound by M. Gasol
8:53.0,,,8-2,,M. Gasol misses 2-pt shot from 16 ft
8:49.0,Defensive rebound by A. Len,,8-2,,
8:40.0,,,8-2,,Personal foul by D. Brooks (drawn by E. Payton)
8:27.0,D. Booker makes 2-pt shot from 21 ft,2,10-2,,
8:08.0,,,10-4,2,M. Gasol makes 2-pt shot from 11 ft (assist by A. Harrison)
8:04.0,,,10-4,,Personal foul by D. Brooks (drawn by D. Booker)
8:04.0,,,10-4,,M. Chalmers enters the game for D. Brooks
7:55.0,,,10-4,,Personal foul by M. Chalmers (drawn by J. Jackson)
7:55.0,J. Jackson makes free throw 1 of 2,1,11-4,,
7:55.0,J. Jackson misses free throw 2 of 2,,11-4,,
7:52.0,,,11-4,,Defensive rebound by J. Green
7:35.0,,,11-7,3,J. Martin makes 3-pt shot from 25 ft (assist by M. Chalmers)
7:26.0,E. Payton misses 2-pt shot from 9 ft,,11-7,,
7:25.0,Offensive rebound by A. Len,,11-7,,
7:24.0,Shooting foul by J. Martin (drawn by J. Jackson),,11-7,,
7:24.0,J. Jackson makes free throw 1 of 2,1,12-7,,
7:24.0,J. Jackson makes free throw 2 of 2,1,13-7,,
7:11.0,Personal foul by D. Booker (drawn by M. Chalmers),,13-7,,
7:07.0,,,13-7,,Turnover by J. Martin (bad pass)
