time,Boston,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. A. Horford (T. Rozier gains possession),,,,Jump ball: T. Thompson vs. A. Horford (T. Rozier gains possession)
11:40.0,A. Horford misses 2-pt shot from 2 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by Team
11:23.0,,,0-0,,K. Love misses 3-pt shot from 31 ft
11:18.0,Defensive rebound by T. Rozier,,0-0,,
11:13.0,T. Rozier misses 2-pt shot at rim,,0-0,,
11:10.0,,,0-0,,Defensive rebound by G. Hill
11:05.0,,,0-0,,T. Thompson misses 2-pt shot from 2 ft (block by A. Horford)
11:00.0,,,0-0,,Offensive rebound by T. Thompson
10:59.0,,,0-0,,T. Thompson misses 2-pt shot from 1 ft
10:59.0,,,0-0,,Offensive rebound by T. Thompson
10:50.0,,,0-2,2,T. Thompson makes 2-pt shot at rim
10:47.0,M. Morris makes 2-pt shot at rim (assist by T. Rozier),2,2-2,,
10:27.0,,,2-2,,Shooting foul by M. Morris (drawn by K. Love)
10:27.0,,,2-3,1,K. Love makes free throw 1 of 2
10:27.0,,,2-4,1,K. Love makes free throw 2 of 2
10:11.0,,,2-4,,Shooting block foul by K. Love (drawn by A. Horford)
10:11.0,A. Horford makes free throw 1 of 2,1,3-4,,
10:11.0,A. Horford makes free throw 2 of 2,1,4-4,,
9:58.0,,,4-4,,J. Smith misses 3-pt shot from 27 ft
9:56.0,Defensive rebound by M. Morris,,4-4,,
9:47.0,M. Morris makes 2-pt shot from 14 ft,2,6-4,,
9:28.0,,,6-4,,K. Love misses 2-pt shot from 14 ft
9:26.0,Defensive rebound by T. Rozier,,6-4,,
9:21.0,J. Brown misses 2-pt shot from 1 ft,,6-4,,
9:18.0,,,6-4,,Defensive rebound by T. Thompson
9:12.0,,,6-6,2,L. James makes 2-pt shot from 11 ft
8:54.0,M. Morris misses 2-pt shot from 8 ft,,6-6,,
8:52.0,,,6-6,,Defensive rebound by L. James
8:38.0,,,6-6,,Turnover by K. Love (turnover)
8:22.0,J. Brown makes 2-pt shot from 1 ft (assist by T. Rozier),2,8-6,,
8:07.0,,,8-9,3,J. Smith makes 3-pt shot from 23 ft (assist by G. Hill)
7:54.0,T. Rozier makes 2-pt shot from 17 ft (assist by A. Horford),2,10-9,,
7:31.0,,,10-11,2,T. Thompson makes 2-pt shot from 1 ft
7:20.0,T. Rozier misses 3-pt shot from 25 ft,,10-11,,
7:18.0,,,10-11,,Defensive rebound by J. Smith
7:18.0,Personal foul by J. Brown (drawn by G. Hill),,10-11,,
7:11.0,Personal foul by T. Rozier (drawn by K. Love),,10-11,,
7:03.0,,,10-11,,J. Smith misses 3-pt shot from 25 ft
7:03.0,Defensive rebound by Team,,10-11,,
6:40.0,M. Morris misses 2-pt shot from 13 ft,,10-11,,
6:38.0,,,10-11,,Defensive rebound by J. Smith
6:29.0,,,10-14,3,J. Smith makes 3-pt shot from 33 ft (assist by L. James)
6:10.0,J. Brown misses 3-pt shot from 25 ft,,10-14,,
6:08.0,Offensive rebound by M. Morris,,10-14,,
6:04.0,A. Horford misses 2-pt shot from 17 ft,,10-14,,
6:02.0,,,10-14,,Defensive rebound by K. Love
5:48.0,,,10-14,,Turnover by K. Love (lost ball; steal by A. Horford)
