time,Atlanta,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. D. Dedmon (P. Mills gains possession),,,,Jump ball: P. Gasol vs. D. Dedmon (P. Mills gains possession)
11:38.0,,,0-0,,L. Aldridge misses 2-pt shot from 13 ft
11:35.0,Defensive rebound by K. Bazemore,,0-0,,
11:24.0,L. Babbitt misses 3-pt shot from 26 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by K. Anderson
11:06.0,,,0-2,2,L. Aldridge makes 2-pt shot from 20 ft (assist by P. Mills)
10:51.0,T. Waller-Prince misses 3-pt shot from 23 ft,,0-2,,
10:49.0,,,0-2,,Defensive rebound by L. Aldridge
10:34.0,,,0-2,,D. Green misses 2-pt shot from 2 ft (block by K. Bazemore)
10:30.0,Defensive rebound by K. Bazemore,,0-2,,
10:25.0,K. Bazemore misses 2-pt shot at rim,,0-2,,
10:18.0,Offensive rebound by D. Dedmon,,0-2,,
10:18.0,D. Dedmon makes 2-pt shot at rim,2,2-2,,
10:09.0,,,2-2,,D. Green misses 3-pt shot from 25 ft
10:09.0,Defensive rebound by T. Waller-Prince,,2-2,,
9:58.0,T. Waller-Prince misses 3-pt shot from 25 ft,,2-2,,
9:55.0,,,2-2,,Defensive rebound by P. Gasol
9:48.0,,,2-2,,P. Mills misses 3-pt shot from 25 ft
9:45.0,Defensive rebound by D. Dedmon,,2-2,,
9:35.0,K. Bazemore misses 2-pt shot from 10 ft,,2-2,,
9:33.0,,,2-2,,Defensive rebound by P. Gasol
9:24.0,Personal foul by T. Waller-Prince (drawn by L. Aldridge),,2-2,,
9:22.0,,,2-4,2,D. Green makes 2-pt shot from 1 ft (assist by K. Anderson)
9:00.0,D. Schroder misses 2-pt shot from 16 ft,,2-4,,
8:58.0,Offensive rebound by D. Schroder,,2-4,,
8:54.0,L. Babbitt misses 3-pt shot from 26 ft,,2-4,,
8:54.0,,,2-4,,Defensive rebound by P. Gasol
8:44.0,,,2-4,,P. Gasol misses 3-pt shot from 25 ft
8:40.0,Defensive rebound by Team,,2-4,,
8:30.0,Turnover by D. Dedmon (lost ball; steal by P. Mills),,2-4,,
8:17.0,,,2-4,,D. Green misses 3-pt shot from 22 ft
8:17.0,,,2-4,,Offensive rebound by Team
