time,Boston,pts.away,score,pts.home,Toronto
0:56.0,G. Monroe makes free throw 1 of 2,1,18-14,,
0:56.0,Turnover by M. Morris (turnover),,18-14,,
0:41.0,,,18-14,,N. Powell misses 3-pt shot from 22 ft
0:37.0,Defensive rebound by A. Horford,,18-14,,
0:26.0,A. Horford misses 2-pt shot from 3 ft,,18-14,,
0:24.0,Offensive rebound by G. Monroe,,18-14,,
0:24.0,G. Monroe makes 2-pt shot at rim,2,20-14,,
0:03.0,,,20-14,,F. VanVleet misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by M. Morris,,20-14,,
0:00.0,M. Morris misses 3-pt shot from 75 ft,,20-14,,
0:00.0,Offensive rebound by Team,,20-14,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,K. Allen misses 3-pt shot from 23 ft,,20-14,,
11:36.0,,,20-14,,Defensive rebound by F. VanVleet
11:25.0,,,20-14,,C. Miles misses 3-pt shot from 27 ft
11:21.0,Defensive rebound by G. Monroe,,20-14,,
11:08.0,K. Allen misses 3-pt shot from 27 ft,,20-14,,
11:05.0,,,20-14,,Defensive rebound by C. Miles
11:00.0,,,20-16,2,J. Poeltl makes 2-pt shot from 2 ft (assist by C. Miles)
11:00.0,,,20-16,,Shooting foul by K. Allen (drawn by J. Poeltl)
11:00.0,,,20-17,1,J. Poeltl makes free throw 1 of 1
10:36.0,M. Morris misses 3-pt shot from 26 ft,,20-17,,
10:36.0,Offensive rebound by Team,,20-17,,
10:36.0,Turnover by Team (shot clock),,20-17,,
10:16.0,,,20-17,,Shooting foul by G. Monroe (drawn by F. VanVleet)
10:16.0,,,20-18,1,F. VanVleet makes free throw 1 of 2
10:16.0,,,20-19,1,F. VanVleet makes free throw 2 of 2
10:02.0,G. Monroe misses 2-pt shot from 7 ft,,20-19,,
10:00.0,,,20-19,,Defensive rebound by J. Poeltl
9:51.0,,,20-19,,Turnover by J. Poeltl (lost ball; steal by J. Tatum)
9:42.0,J. Tatum misses 2-pt shot from 18 ft,,20-19,,
9:40.0,Offensive rebound by A. Horford,,20-19,,
9:38.0,J. Tatum misses 3-pt shot from 25 ft,,20-19,,
9:35.0,,,20-19,,Defensive rebound by D. Wright
9:29.0,,,20-19,,D. Wright misses 2-pt shot from 1 ft (block by A. Horford)
9:27.0,Defensive rebound by K. Allen,,20-19,,
9:24.0,J. Tatum makes 2-pt shot from 2 ft (assist by K. Allen),2,22-19,,
9:08.0,,,22-19,,C. Miles misses 3-pt shot from 24 ft
9:04.0,Defensive rebound by G. Monroe,,22-19,,
8:46.0,A. Horford misses 2-pt shot from 8 ft,,22-19,,
8:43.0,Offensive rebound by G. Monroe,,22-19,,
8:42.0,G. Monroe makes 2-pt shot from 1 ft,2,24-19,,
8:29.0,,,24-21,2,P. Siakam makes 2-pt shot from 1 ft (assist by C. Miles)
8:06.0,,,24-21,,Personal foul by C. Miles (drawn by M. Morris)
8:06.0,T. Rozier enters the game for K. Allen,,24-21,,
8:06.0,,,24-21,,L. Nogueira enters the game for J. Poeltl
8:03.0,Turnover by M. Morris (bad pass; steal by L. Nogueira),,24-21,,
7:59.0,,,24-23,2,L. Nogueira makes 2-pt shot at rim (assist by D. Wright)
7:37.0,T. Rozier misses 2-pt shot from 4 ft,,24-23,,
7:37.0,Offensive rebound by G. Monroe,,24-23,,
7:37.0,Shooting foul by P. Siakam (drawn by G. Monroe),,24-23,,
7:37.0,G. Monroe makes free throw 1 of 2,1,25-23,,
7:37.0,S. Ojeleye enters the game for J. Tatum,,25-23,,
7:37.0,J. Brown enters the game for A. Horford,,25-23,,
7:37.0,G. Monroe makes free throw 2 of 2,1,26-23,,
7:18.0,,,26-25,2,F. VanVleet makes 2-pt shot from 2 ft (assist by D. Wright)
6:56.0,Offensive charge foul by G. Monroe (drawn by F. VanVleet),,26-25,,
6:56.0,Turnover by G. Monroe (offensive foul),,26-25,,
6:56.0,,,26-25,,Toronto full timeout
6:56.0,,,26-25,,K. Lowry enters the game for P. Siakam
6:56.0,A. Baynes enters the game for G. Monroe,,26-25,,
6:44.0,,,26-28,3,C. Miles makes 3-pt shot from 25 ft (assist by F. VanVleet)
6:29.0,Turnover by M. Morris (out of bounds lost ball),,26-28,,
6:19.0,,,26-28,,F. VanVleet misses 2-pt shot at rim
6:17.0,,,26-28,,Offensive rebound by L. Nogueira
6:15.0,,,26-28,,C. Miles misses 3-pt shot from 24 ft
6:15.0,Defensive rebound by M. Morris,,26-28,,
6:01.0,Turnover by T. Rozier (bad pass; steal by D. Wright),,26-28,,
5:47.0,,,26-30,2,D. Wright makes 2-pt shot from 2 ft (assist by F. VanVleet)
5:32.0,Turnover by S. Ojeleye (lost ball; steal by K. Lowry),,26-30,,
5:29.0,,,26-32,2,K. Lowry makes 2-pt shot from 1 ft (assist by D. Wright)
5:29.0,Boston full timeout,,26-32,,
5:22.0,,,26-32,,Personal foul by D. Wright (drawn by J. Brown)
5:12.0,M. Morris misses 2-pt shot from 20 ft,,26-32,,
5:10.0,,,26-32,,Defensive rebound by D. Wright
4:49.0,,,26-32,,D. Wright misses 2-pt shot from 5 ft (block by T. Rozier)
4:47.0,Defensive rebound by A. Baynes,,26-32,,
4:43.0,J. Brown misses 2-pt shot from 14 ft,,26-32,,
4:40.0,,,26-32,,Defensive rebound by D. Wright
4:34.0,,,26-32,,C. Miles misses 2-pt shot at rim
4:32.0,,,26-32,,Offensive rebound by D. Wright
4:31.0,,,26-32,,Turnover by D. Wright (bad pass; steal by A. Baynes)
4:24.0,Offensive charge foul by J. Brown (drawn by K. Lowry),,26-32,,
4:24.0,Turnover by J. Brown (offensive foul),,26-32,,
4:24.0,,,26-32,,D. DeRozan enters the game for C. Miles
4:24.0,,,26-32,,S. Ibaka enters the game for F. VanVleet
4:24.0,A. Horford enters the game for J. Brown,,26-32,,
4:24.0,J. Tatum enters the game for T. Rozier,,26-32,,
4:24.0,A. Nader enters the game for M. Morris,,26-32,,
4:07.0,,,26-32,,S. Ibaka misses 2-pt shot from 15 ft
4:02.0,,,26-32,,Offensive rebound by D. Wright
4:02.0,,,26-34,2,D. Wright makes 2-pt shot at rim
3:50.0,,,26-34,,Personal block foul by S. Ibaka (drawn by A. Horford)
3:38.0,A. Horford makes 2-pt shot from 17 ft,2,28-34,,
3:38.0,Shooting foul by K. Lowry (drawn by A. Horford),,28-34,,
3:38.0,G. Monroe enters the game for A. Baynes,,28-34,,
3:38.0,A. Horford makes free throw 1 of 1,1,29-34,,
3:14.0,,,29-34,,D. DeRozan misses 2-pt shot from 17 ft
3:11.0,Defensive rebound by A. Nader,,29-34,,
3:03.0,S. Ojeleye misses 3-pt shot from 22 ft,,29-34,,
3:00.0,,,29-34,,Defensive rebound by D. Wright
2:53.0,,,29-36,2,K. Lowry makes 2-pt shot from 18 ft
2:38.0,Turnover by A. Nader (lost ball; steal by L. Nogueira),,29-36,,
2:35.0,,,29-38,2,D. Wright makes 2-pt shot at rim
2:14.0,Turnover by J. Tatum (lost ball; steal by S. Ibaka),,29-38,,
2:08.0,,,29-40,2,S. Ibaka makes 2-pt shot from 4 ft
