time,Memphis,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Hernangomez vs. D. Davis (J. Lamb gains possession),,,,Jump ball: W. Hernangomez vs. D. Davis (J. Lamb gains possession)
11:39.0,,,0-0,,W. Hernangomez misses 2-pt shot from 3 ft (block by D. Davis)
11:36.0,Defensive rebound by J. Green,,0-0,,
11:32.0,Turnover by T. Evans (bad pass),,0-0,,
11:15.0,,,0-0,,M. Kidd-Gilchrist misses 2-pt shot from 12 ft
11:13.0,Defensive rebound by T. Evans,,0-0,,
11:05.0,J. Martin misses 2-pt shot from 3 ft (block by W. Hernangomez),,0-0,,
11:01.0,,,0-0,,Defensive rebound by M. Williams
10:44.0,,,0-0,,W. Hernangomez misses 2-pt shot from 4 ft
10:42.0,Defensive rebound by T. Evans,,0-0,,
10:35.0,J. Green misses 3-pt shot from 25 ft,,0-0,,
10:31.0,,,0-0,,Defensive rebound by M. Kidd-Gilchrist
10:12.0,,,0-2,2,M. Williams makes 2-pt shot from 8 ft
9:58.0,J. Martin makes 2-pt shot from 11 ft (assist by T. Evans),2,2-2,,
9:42.0,,,2-2,,M. Williams misses 3-pt shot from 26 ft
9:40.0,,,2-2,,Offensive rebound by W. Hernangomez
9:38.0,,,2-5,3,K. Walker makes 3-pt shot from 28 ft
9:20.0,Turnover by J. Martin (bad pass; steal by M. Williams),,2-5,,
9:07.0,,,2-7,2,J. Lamb makes 2-pt shot from 9 ft
8:50.0,,,2-7,,Personal foul by M. Kidd-Gilchrist (drawn by T. Evans)
8:40.0,D. Davis misses 2-pt shot from 15 ft,,2-7,,
8:36.0,,,2-7,,Defensive rebound by W. Hernangomez
8:20.0,,,2-7,,W. Hernangomez misses 2-pt shot from 2 ft
8:18.0,Defensive rebound by T. Evans,,2-7,,
8:12.0,T. Evans misses 2-pt shot from 17 ft,,2-7,,
8:07.0,Offensive rebound by D. Brooks,,2-7,,
8:06.0,D. Brooks misses 2-pt shot from 1 ft,,2-7,,
8:03.0,,,2-7,,Defensive rebound by W. Hernangomez
8:00.0,Personal foul by T. Evans (drawn by W. Hernangomez),,2-7,,
7:53.0,,,2-10,3,M. Williams makes 3-pt shot from 25 ft (assist by J. Lamb)
7:38.0,D. Brooks misses 3-pt shot from 23 ft,,2-10,,
7:35.0,,,2-10,,Defensive rebound by J. Lamb
7:29.0,,,2-12,2,W. Hernangomez makes 2-pt shot from 2 ft (assist by J. Lamb)
7:29.0,Memphis full timeout,,2-12,,
7:18.0,,,2-12,,Personal foul by J. Lamb (drawn by J. Martin)
7:05.0,J. Green misses 2-pt shot from 1 ft,,2-12,,
7:02.0,,,2-12,,Defensive rebound by M. Williams
6:59.0,,,2-12,,J. Lamb misses 3-pt shot from 28 ft
6:56.0,,,2-12,,Offensive rebound by W. Hernangomez
6:46.0,,,2-12,,W. Hernangomez misses 2-pt shot from 5 ft (block by T. Evans)
6:43.0,Defensive rebound by T. Evans,,2-12,,
6:41.0,T. Evans makes 2-pt shot from 1 ft,2,4-12,,
6:24.0,,,4-12,,Shooting foul by D. Davis (drawn by K. Walker)
6:24.0,I. Rabb enters the game for J. Green,,4-12,,
6:24.0,W. Selden enters the game for D. Davis,,4-12,,
6:24.0,,,4-13,1,K. Walker makes free throw 1 of 2
6:24.0,,,4-14,1,K. Walker makes free throw 2 of 2
6:07.0,Turnover by J. Martin (step out of bounds),,4-14,,
5:52.0,,,4-17,3,K. Walker makes 3-pt shot from 25 ft
5:42.0,T. Evans makes 2-pt shot from 3 ft,2,6-17,,
5:42.0,Shooting foul by M. Kidd-Gilchrist (drawn by T. Evans),,6-17,,
5:42.0,,,6-17,,D. Bacon enters the game for M. Kidd-Gilchrist
5:42.0,B. Weber enters the game for D. Brooks,,6-17,,
5:42.0,T. Evans misses free throw 1 of 1,,6-17,,
5:42.0,,,6-17,,Defensive rebound by W. Hernangomez
5:32.0,Personal foul by W. Selden (drawn by J. Lamb),,6-17,,
5:16.0,,,6-19,2,M. Williams makes 2-pt shot from 1 ft (assist by K. Walker)
5:08.0,Turnover by T. Evans (lost ball; steal by D. Bacon),,6-19,,
5:05.0,,,6-21,2,K. Walker makes 2-pt shot from 1 ft
5:05.0,Memphis full timeout,,6-21,,
5:05.0,,,6-21,,F. Kaminsky enters the game for W. Hernangomez
5:05.0,B. McLemore enters the game for J. Martin,,6-21,,
5:05.0,K. Simmons enters the game for T. Evans,,6-21,,
4:48.0,W. Selden misses 3-pt shot from 25 ft,,6-21,,
4:45.0,,,6-21,,Defensive rebound by J. Lamb
4:28.0,,,6-24,3,K. Walker makes 3-pt shot from 25 ft (assist by F. Kaminsky)
4:05.0,B. McLemore misses 2-pt shot from 5 ft,,6-24,,
4:02.0,Offensive rebound by I. Rabb,,6-24,,
4:02.0,W. Selden makes 2-pt shot from 18 ft (assist by K. Simmons),2,8-24,,
3:44.0,,,8-24,,K. Walker misses 3-pt shot from 25 ft
3:39.0,,,8-24,,Offensive rebound by M. Williams
3:38.0,,,8-26,2,M. Williams makes 2-pt shot from 2 ft
3:16.0,I. Rabb misses 2-pt shot from 16 ft,,8-26,,
3:13.0,,,8-26,,Defensive rebound by J. Lamb
3:02.0,,,8-29,3,F. Kaminsky makes 3-pt shot from 26 ft (assist by J. Lamb)
2:45.0,W. Selden makes 2-pt shot from 1 ft,2,10-29,,
2:28.0,,,10-29,,K. Walker misses 3-pt shot from 23 ft
2:25.0,Defensive rebound by I. Rabb,,10-29,,
2:18.0,W. Selden makes 2-pt shot from 18 ft,2,12-29,,
1:56.0,,,12-31,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by K. Walker)
1:45.0,K. Simmons misses 3-pt shot from 25 ft,,12-31,,
1:41.0,,,12-31,,Defensive rebound by J. Lamb
1:29.0,,,12-33,2,K. Walker makes 2-pt shot from 13 ft
1:18.0,W. Selden misses 3-pt shot from 24 ft,,12-33,,
1:15.0,,,12-33,,Defensive rebound by J. Lamb
1:06.0,,,12-35,2,J. Lamb makes 2-pt shot from 2 ft
0:55.0,B. McLemore misses 3-pt shot from 23 ft,,12-35,,
0:52.0,,,12-35,,Defensive rebound by J. Lamb
0:43.0,,,12-35,,J. Lamb misses 3-pt shot from 25 ft
0:40.0,Defensive rebound by B. McLemore,,12-35,,
0:27.0,W. Selden makes 2-pt shot from 6 ft,2,14-35,,
0:06.0,,,14-35,,Shooting foul by I. Rabb (drawn by K. Walker)
0:06.0,,,14-36,1,K. Walker makes free throw 1 of 2
0:06.0,,,14-37,1,K. Walker makes free throw 2 of 2
0:00.0,W. Selden misses 2-pt shot from 2 ft,,14-37,,
0:00.0,Offensive rebound by Team,,14-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,Turnover by M. Chalmers (bad pass; steal by T. Graham),,14-37,,
11:28.0,,,14-37,,D. Bacon misses 3-pt shot from 23 ft
11:25.0,Defensive rebound by J. Green,,14-37,,
11:18.0,B. Johnson misses 2-pt shot from 20 ft,,14-37,,
11:16.0,,,14-37,,Defensive rebound by M. Kidd-Gilchrist
11:10.0,,,14-39,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft
10:57.0,B. Johnson makes 2-pt shot at rim (assist by K. Simmons),2,16-39,,
10:43.0,,,16-39,,D. Bacon misses 2-pt shot from 13 ft
10:41.0,Defensive rebound by J. Martin,,16-39,,
10:27.0,J. Green misses 2-pt shot from 7 ft,,16-39,,
10:25.0,Offensive rebound by J. Martin,,16-39,,
10:22.0,Turnover by J. Martin (bad pass; steal by M. Monk),,16-39,,
10:19.0,,,16-41,2,M. Monk makes 2-pt shot from 12 ft
10:01.0,J. Martin makes 2-pt shot from 1 ft (assist by M. Chalmers),2,18-41,,
9:46.0,,,18-44,3,F. Kaminsky makes 3-pt shot from 25 ft (assist by M. Monk)
9:36.0,Shooting foul by M. Monk (drawn by K. Simmons),,18-44,,
9:36.0,K. Simmons makes free throw 1 of 2,1,19-44,,
9:36.0,K. Simmons makes free throw 2 of 2,1,20-44,,
9:16.0,,,20-44,,M. Monk misses 3-pt shot from 25 ft
9:10.0,,,20-44,,Offensive rebound by M. Kidd-Gilchrist
9:10.0,,,20-46,2,M. Kidd-Gilchrist makes 2-pt shot at rim
9:06.0,J. Martin misses 3-pt shot from 23 ft,,20-46,,
9:03.0,,,20-46,,Defensive rebound by M. Kidd-Gilchrist
8:54.0,,,20-46,,D. Bacon misses 2-pt shot from 21 ft
8:51.0,Defensive rebound by M. Chalmers,,20-46,,
8:43.0,K. Simmons misses 2-pt shot from 21 ft,,20-46,,
8:40.0,,,20-46,,Defensive rebound by F. Kaminsky
8:28.0,,,20-46,,D. Bacon misses 2-pt shot from 2 ft (block by B. Johnson)
8:28.0,,,20-46,,Offensive rebound by Team
8:28.0,D. Davis enters the game for K. Simmons,,20-46,,
8:28.0,T. Evans enters the game for B. Johnson,,20-46,,
8:19.0,,,20-46,,Turnover by M. Kidd-Gilchrist (lost ball; steal by M. Chalmers)
8:07.0,J. Martin makes 2-pt shot at rim,2,22-46,,
7:52.0,,,22-46,,D. Bacon misses 2-pt shot from 1 ft
7:50.0,Defensive rebound by T. Evans,,22-46,,
7:47.0,J. Martin misses 2-pt shot from 2 ft (block by T. Graham),,22-46,,
7:46.0,Offensive rebound by J. Green,,22-46,,
7:46.0,J. Green makes 2-pt shot at rim,2,24-46,,
7:46.0,,,24-46,,Charlotte full timeout
7:30.0,,,24-48,2,D. Bacon makes 2-pt shot from 1 ft
7:17.0,Turnover by T. Evans (out of bounds lost ball),,24-48,,
7:05.0,,,24-48,,M. Monk misses 2-pt shot from 20 ft
