time,Toronto,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. J. Valanciunas (S. Ibaka gains possession),,,,Jump ball: R. Gobert vs. J. Valanciunas (S. Ibaka gains possession)
11:44.0,J. Valanciunas makes 2-pt shot from 7 ft,2,2-0,,
11:24.0,,,2-0,,R. Rubio misses 3-pt shot from 25 ft
11:22.0,Defensive rebound by N. Powell,,2-0,,
11:19.0,K. Lowry misses 3-pt shot from 24 ft,,2-0,,
11:16.0,,,2-0,,Defensive rebound by R. Hood
11:07.0,,,2-0,,R. Hood misses 2-pt shot from 4 ft
11:05.0,,,2-0,,Offensive rebound by R. Gobert
11:04.0,,,2-0,,R. Gobert misses 2-pt shot from 1 ft (block by J. Valanciunas)
11:04.0,Defensive rebound by J. Valanciunas,,2-0,,
10:55.0,J. Valanciunas misses 2-pt shot from 2 ft,,2-0,,
10:52.0,,,2-0,,Defensive rebound by J. Ingles
10:43.0,,,2-2,2,R. Gobert makes 2-pt shot from 2 ft (assist by J. Ingles)
10:22.0,S. Ibaka makes 2-pt shot from 16 ft (assist by K. Lowry),2,4-2,,
10:06.0,,,4-4,2,R. Hood makes 2-pt shot from 20 ft
9:52.0,Turnover by D. DeRozan (bad pass),,4-4,,
9:37.0,,,4-4,,R. Rubio misses 3-pt shot from 26 ft
9:33.0,,,4-4,,Offensive rebound by D. Favors
9:11.0,,,4-4,,R. Rubio misses 2-pt shot from 22 ft
9:07.0,,,4-4,,Offensive rebound by D. Favors
9:07.0,,,4-6,2,D. Favors makes 2-pt shot from 2 ft
8:55.0,J. Valanciunas misses 2-pt shot from 5 ft (block by R. Gobert),,4-6,,
8:52.0,,,4-6,,Defensive rebound by D. Favors
8:49.0,,,4-6,,Turnover by R. Rubio (bad pass; steal by K. Lowry)
8:47.0,K. Lowry makes 2-pt shot from 1 ft (assist by N. Powell),2,6-6,,
8:23.0,,,6-6,,Shooting foul by K. Lowry (drawn by R. Rubio)
8:23.0,,,6-7,1,R. Rubio makes free throw 2 of 2
8:23.0,,,6-8,1,R. Rubio makes free throw 1 of 2
8:10.0,N. Powell makes 2-pt shot from 12 ft,2,8-8,,
7:54.0,,,8-10,2,R. Rubio makes 2-pt shot from 17 ft
7:39.0,K. Lowry makes 3-pt shot from 24 ft (assist by D. DeRozan),3,11-10,,
7:18.0,,,11-10,,R. Gobert misses 2-pt shot from 4 ft
7:15.0,Defensive rebound by D. DeRozan,,11-10,,
7:09.0,K. Lowry makes 3-pt shot from 24 ft (assist by D. DeRozan),3,14-10,,
