time,Portland,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Kleber vs. J. Nurkic (D. Smith gains possession),,,,Jump ball: M. Kleber vs. J. Nurkic (D. Smith gains possession)
11:39.0,,,0-3,3,M. Kleber makes 3-pt shot from 25 ft (assist by H. Barnes)
11:19.0,C. McCollum makes 2-pt shot from 16 ft (assist by J. Nurkic),2,2-3,,
11:01.0,,,2-5,2,W. Matthews makes 2-pt shot from 11 ft
10:47.0,J. Nurkic misses 2-pt shot from 1 ft,,2-5,,
10:47.0,Offensive rebound by Team,,2-5,,
10:43.0,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard),3,5-5,,
10:27.0,,,5-5,,H. Barnes misses 3-pt shot from 24 ft
10:24.0,Defensive rebound by A. Aminu,,5-5,,
10:19.0,D. Lillard misses 3-pt shot from 26 ft,,5-5,,
10:15.0,,,5-5,,Defensive rebound by H. Barnes
10:06.0,,,5-5,,D. Nowitzki misses 2-pt shot from 14 ft
10:02.0,Defensive rebound by J. Nurkic,,5-5,,
9:54.0,C. McCollum misses 2-pt shot from 5 ft,,5-5,,
9:51.0,,,5-5,,Defensive rebound by D. Smith
9:29.0,,,5-5,,M. Kleber misses 2-pt shot from 3 ft
9:29.0,Defensive rebound by J. Nurkic,,5-5,,
9:22.0,M. Harkless misses 3-pt shot from 25 ft,,5-5,,
9:22.0,Offensive rebound by J. Nurkic,,5-5,,
9:18.0,J. Nurkic misses 2-pt shot from 1 ft,,5-5,,
9:18.0,,,5-5,,Defensive rebound by D. Nowitzki
9:09.0,,,5-5,,Turnover by H. Barnes (lost ball; steal by A. Aminu)
9:01.0,Turnover by D. Lillard (bad pass; steal by M. Kleber),,5-5,,
8:45.0,,,5-5,,W. Matthews misses 2-pt shot from 6 ft
8:43.0,Defensive rebound by A. Aminu,,5-5,,
8:26.0,J. Nurkic makes 2-pt shot from 1 ft,2,7-5,,
8:09.0,,,7-7,2,W. Matthews makes 2-pt shot from 13 ft
7:55.0,C. McCollum misses 3-pt shot from 23 ft,,7-7,,
7:53.0,,,7-7,,Defensive rebound by D. Nowitzki
7:46.0,,,7-7,,H. Barnes misses 2-pt shot from 2 ft
7:44.0,,,7-7,,Offensive rebound by H. Barnes
7:36.0,,,7-10,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by H. Barnes)
7:18.0,A. Aminu misses 3-pt shot from 25 ft,,7-10,,
7:15.0,,,7-10,,Defensive rebound by H. Barnes
