time,Toronto,pts.away,score,pts.home,Washington
3:40.0,Offensive rebound by S. Ibaka,,22-18,,
3:30.0,D. Wright makes 3-pt shot from 26 ft (assist by D. DeRozan),3,25-18,,
3:05.0,,,25-20,2,B. Beal makes 2-pt shot from 19 ft (assist by J. Wall)
2:45.0,Shooting foul by M. Scott (drawn by D. DeRozan),,25-20,,
2:45.0,D. DeRozan makes free throw 1 of 2,1,26-20,,
2:45.0,,,26-20,,T. Lawson enters the game for J. Wall
2:45.0,,,26-20,,I. Mahinmi enters the game for M. Scott
2:45.0,C. Miles enters the game for O. Anunoby,,26-20,,
2:45.0,D. DeRozan makes free throw 2 of 2,1,27-20,,
2:29.0,,,27-20,,Turnover by M. Morris (step out of bounds)
2:13.0,Turnover by D. DeRozan (bad pass; steal by T. Lawson),,27-20,,
1:56.0,,,27-20,,M. Morris misses 2-pt shot from 13 ft
1:52.0,Defensive rebound by S. Ibaka,,27-20,,
1:45.0,D. DeRozan misses 2-pt shot from 4 ft (block by I. Mahinmi),,27-20,,
1:42.0,,,27-20,,Defensive rebound by K. Oubre
1:38.0,,,27-20,,K. Oubre misses 2-pt shot from 3 ft
1:35.0,,,27-20,,Offensive rebound by I. Mahinmi
1:35.0,,,27-22,2,I. Mahinmi makes 2-pt shot at rim
1:20.0,J. Poeltl makes 2-pt shot from 2 ft (assist by D. Wright),2,29-22,,
1:07.0,,,29-22,,I. Mahinmi misses 2-pt shot from 2 ft
1:04.0,Defensive rebound by J. Poeltl,,29-22,,
0:58.0,S. Ibaka misses 2-pt shot from 6 ft,,29-22,,
0:55.0,,,29-22,,Defensive rebound by I. Mahinmi
0:49.0,,,29-22,,T. Lawson misses 2-pt shot from 13 ft
0:46.0,Defensive rebound by S. Ibaka,,29-22,,
0:28.0,Shooting foul by M. Morris (drawn by D. DeRozan),,29-22,,
0:28.0,D. DeRozan misses free throw 1 of 2,,29-22,,
0:28.0,Offensive rebound by Team,,29-22,,
0:28.0,,,29-22,,O. Porter enters the game for M. Morris
0:28.0,P. Siakam enters the game for S. Ibaka,,29-22,,
0:28.0,D. DeRozan makes free throw 2 of 2,1,30-22,,
0:07.0,,,30-22,,Turnover by B. Beal (bad pass; steal by D. DeRozan)
0:00.0,D. Wright misses 3-pt shot from 27 ft,,30-22,,
0:00.0,Offensive rebound by Team,,30-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,C. Miles misses 3-pt shot from 27 ft,,30-22,,
11:45.0,,,30-22,,Defensive rebound by I. Mahinmi
11:32.0,,,30-22,,K. Oubre misses 2-pt shot from 14 ft
11:30.0,Defensive rebound by P. Siakam,,30-22,,
