time,Sacramento,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. W. Cauley-Stein (J. Teague gains possession),,,,Jump ball: K. Towns vs. W. Cauley-Stein (J. Teague gains possession)
11:43.0,,,0-2,2,K. Towns makes 2-pt shot from 9 ft (assist by A. Wiggins)
11:26.0,Turnover by D. Fox (lost ball; steal by J. Teague),,0-2,,
11:17.0,,,0-4,2,T. Gibson makes 2-pt shot from 2 ft (assist by J. Teague)
11:17.0,,,0-4,,Shooting foul by Z. Randolph (drawn by T. Gibson)
11:17.0,,,0-5,1,T. Gibson makes free throw 1 of 1
11:01.0,D. Fox makes 2-pt shot from 1 ft,2,2-5,,
10:40.0,,,2-7,2,K. Towns makes 2-pt shot from 4 ft
10:34.0,J. Jackson makes 2-pt shot from 6 ft (assist by D. Fox),2,4-7,,
10:15.0,,,4-7,,Turnover by J. Teague (bad pass; steal by J. Jackson)
10:06.0,D. Fox makes 2-pt shot from 23 ft (assist by J. Jackson),2,6-7,,
9:47.0,,,6-7,,Turnover by A. Wiggins (lost ball; steal by D. Fox)
9:42.0,B. Bogdanovic misses 3-pt shot from 24 ft,,6-7,,
9:39.0,,,6-7,,Defensive rebound by A. Wiggins
9:30.0,,,6-7,,A. Wiggins misses 2-pt shot from 10 ft
9:27.0,Defensive rebound by Z. Randolph,,6-7,,
9:21.0,D. Fox makes 3-pt shot from 26 ft (assist by B. Bogdanovic),3,9-7,,
9:00.0,,,9-9,2,K. Towns makes 2-pt shot from 10 ft
8:42.0,Z. Randolph makes 2-pt shot from 12 ft (assist by B. Bogdanovic),2,11-9,,
8:28.0,,,11-11,2,A. Wiggins makes 2-pt shot from 1 ft (assist by K. Towns)
8:10.0,W. Cauley-Stein makes 2-pt shot from 5 ft,2,13-11,,
7:56.0,,,13-13,2,J. Butler makes 2-pt shot from 2 ft (assist by J. Teague)
7:37.0,Z. Randolph misses 2-pt shot from 5 ft,,13-13,,
7:34.0,Offensive rebound by Team,,13-13,,
7:31.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by J. Jackson),3,16-13,,
7:16.0,,,16-13,,K. Towns misses 3-pt shot from 25 ft
7:14.0,Defensive rebound by B. Bogdanovic,,16-13,,
7:01.0,J. Jackson misses 2-pt shot from 8 ft,,16-13,,
7:00.0,,,16-13,,Defensive rebound by A. Wiggins
6:52.0,,,16-15,2,T. Gibson makes 2-pt shot from 1 ft (assist by A. Wiggins)
6:31.0,D. Fox makes 2-pt shot from 14 ft,2,18-15,,
6:21.0,,,18-15,,J. Teague misses 3-pt shot from 24 ft
6:19.0,Defensive rebound by B. Bogdanovic,,18-15,,
6:04.0,J. Jackson misses 2-pt shot from 15 ft,,18-15,,
6:01.0,,,18-15,,Defensive rebound by K. Towns
5:51.0,,,18-17,2,K. Towns makes 2-pt shot from 17 ft (assist by A. Wiggins)
5:28.0,,,18-17,,Minnesota full timeout
5:28.0,V. Carter enters the game for B. Bogdanovic,,18-17,,
5:24.0,J. Jackson misses 3-pt shot from 25 ft,,18-17,,
5:24.0,Offensive rebound by Team,,18-17,,
5:24.0,Turnover by Team (shot clock),,18-17,,
5:15.0,,,18-17,,Turnover by J. Teague (bad pass; steal by W. Cauley-Stein)
5:09.0,W. Cauley-Stein misses 2-pt shot from 1 ft,,18-17,,
5:07.0,Offensive rebound by J. Jackson,,18-17,,
5:03.0,Z. Randolph misses 3-pt shot from 24 ft,,18-17,,
5:03.0,Offensive rebound by W. Cauley-Stein,,18-17,,
4:58.0,Turnover by Z. Randolph (out of bounds lost ball),,18-17,,
4:34.0,,,18-17,,Turnover by Team (shot clock)
4:25.0,Shooting foul by J. Teague (drawn by D. Fox),,18-17,,
4:25.0,D. Fox makes free throw 1 of 2,1,19-17,,
4:25.0,,,19-17,,G. Dieng enters the game for K. Towns
4:25.0,K. Koufos enters the game for W. Cauley-Stein,,19-17,,
4:25.0,D. Fox makes free throw 2 of 2,1,20-17,,
4:13.0,,,20-17,,G. Dieng misses 2-pt shot from 20 ft
4:11.0,Defensive rebound by Z. Randolph,,20-17,,
4:00.0,K. Koufos misses 2-pt shot from 1 ft,,20-17,,
4:00.0,Offensive rebound by K. Koufos,,20-17,,
3:57.0,K. Koufos makes 2-pt shot at rim,2,22-17,,
3:44.0,,,22-17,,Shooting foul by K. Koufos (drawn by J. Butler)
3:44.0,,,22-17,,J. Butler misses free throw 1 of 2
3:44.0,,,22-17,,Offensive rebound by Team
3:44.0,,,22-18,1,J. Butler makes free throw 2 of 2
3:31.0,V. Carter misses 3-pt shot from 23 ft,,22-18,,
3:27.0,,,22-18,,Defensive rebound by T. Gibson
3:21.0,,,22-18,,G. Dieng misses 2-pt shot from 17 ft
3:18.0,Defensive rebound by J. Jackson,,22-18,,
3:13.0,J. Jackson makes 2-pt shot from 8 ft,2,24-18,,
2:57.0,,,24-18,,T. Gibson misses 2-pt shot from 13 ft
2:56.0,Defensive rebound by V. Carter,,24-18,,
2:50.0,Turnover by V. Carter (bad pass; steal by J. Teague),,24-18,,
2:48.0,,,24-18,,Shooting foul by V. Carter (drawn by J. Teague)
2:48.0,Sacramento full timeout,,24-18,,
2:48.0,,,24-18,,N. Bjelica enters the game for J. Butler
2:48.0,,,24-18,,J. Crawford enters the game for T. Gibson
2:48.0,G. Temple enters the game for J. Jackson,,24-18,,
2:48.0,,,24-19,1,J. Teague makes free throw 1 of 2
2:48.0,,,24-20,1,J. Teague makes free throw 2 of 2
2:38.0,,,24-20,,Personal foul by G. Dieng (drawn by Z. Randolph)
2:38.0,,,24-20,,T. Jones enters the game for J. Teague
2:38.0,J. Sampson enters the game for Z. Randolph,,24-20,,
2:33.0,D. Fox misses 3-pt shot from 25 ft,,24-20,,
2:31.0,,,24-20,,Defensive rebound by A. Wiggins
2:19.0,,,24-23,3,A. Wiggins makes 3-pt shot from 26 ft (assist by N. Bjelica)
1:49.0,G. Temple misses 3-pt shot from 25 ft,,24-23,,
1:49.0,,,24-23,,Defensive rebound by A. Wiggins
1:28.0,,,24-23,,G. Dieng misses 3-pt shot from 25 ft
1:28.0,Defensive rebound by V. Carter,,24-23,,
1:10.0,J. Sampson makes 2-pt shot from 1 ft (assist by V. Carter),2,26-23,,
0:44.0,,,26-23,,J. Crawford misses 3-pt shot from 23 ft
0:41.0,,,26-23,,Offensive rebound by N. Bjelica
