time,Dallas,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. J. Motley (A. Gordon gains possession),,,,Jump ball: B. Biyombo vs. J. Motley (A. Gordon gains possession)
11:35.0,Jump ball: A. Gordon vs. D. Finney-Smith (B. Biyombo gains possession),,,,Jump ball: A. Gordon vs. D. Finney-Smith (B. Biyombo gains possession)
11:33.0,,,0-2,2,B. Biyombo makes 2-pt shot at rim
11:14.0,Shooting foul by A. Gordon (drawn by J. Motley),,0-2,,
11:14.0,J. Motley makes free throw 1 of 2,1,1-2,,
11:14.0,J. Motley misses free throw 2 of 2,,1-2,,
11:11.0,,,1-2,,Defensive rebound by A. Gordon
10:59.0,,,1-2,,Turnover by M. Hezonja (lost ball; steal by J. Motley)
10:48.0,J. Motley misses 2-pt shot from 7 ft,,1-2,,
10:47.0,D. Finney-Smith misses 2-pt shot from 1 ft,,1-2,,
10:47.0,Offensive rebound by D. Finney-Smith,,1-2,,
10:46.0,,,1-2,,Defensive rebound by W. Iwundu
10:36.0,,,1-4,2,A. Gordon makes 2-pt shot from 1 ft (assist by W. Iwundu)
10:27.0,D. McDermott makes 2-pt shot from 1 ft (assist by J. Barea),2,3-4,,
10:21.0,,,3-4,,Turnover by M. Hezonja (out of bounds lost ball)
10:08.0,D. McDermott makes 2-pt shot from 1 ft (assist by J. Barea),2,5-4,,
9:45.0,,,5-4,,W. Iwundu misses 2-pt shot from 2 ft
9:41.0,Defensive rebound by J. Motley,,5-4,,
9:33.0,Turnover by J. Barea (bad pass; steal by B. Biyombo),,5-4,,
9:28.0,,,5-4,,A. Gordon misses 3-pt shot from 23 ft
9:22.0,,,5-4,,Offensive rebound by W. Iwundu
9:20.0,,,5-4,,W. Iwundu misses 2-pt shot from 16 ft
9:20.0,,,5-4,,Offensive rebound by B. Biyombo
9:20.0,,,5-4,,Shooting foul by D. Finney-Smith (drawn by B. Biyombo)
9:20.0,,,5-5,1,B. Biyombo makes free throw 1 of 2
9:20.0,,,5-6,1,B. Biyombo makes free throw 2 of 2
9:02.0,J. Motley makes 2-pt shot from 3 ft,2,7-6,,
8:46.0,Def 3 sec tech foul by J. Motley,,7-6,,
8:46.0,,,7-7,1,D. Augustin makes technical free throw
8:41.0,Personal foul by D. Finney-Smith (drawn by A. Gordon),,7-7,,
8:30.0,,,7-7,,A. Gordon misses 2-pt shot from 7 ft
8:27.0,Defensive rebound by J. Barea,,7-7,,
8:27.0,D. McDermott misses 2-pt shot from 2 ft,,7-7,,
8:26.0,Offensive rebound by J. Barea,,7-7,,
8:25.0,J. Barea misses 2-pt shot at rim,,7-7,,
8:23.0,,,7-7,,Defensive rebound by M. Hezonja
8:07.0,,,7-9,2,A. Gordon makes 2-pt shot from 1 ft (assist by M. Hezonja)
8:04.0,Turnover by J. Barea (bad pass),,7-9,,
7:55.0,,,7-9,,D. Augustin misses 2-pt shot from 8 ft
7:50.0,Defensive rebound by J. Motley,,7-9,,
7:46.0,J. Barea misses 3-pt shot from 25 ft,,7-9,,
7:40.0,,,7-9,,Defensive rebound by A. Gordon
7:34.0,,,7-9,,D. Augustin misses 2-pt shot from 4 ft
7:31.0,,,7-9,,Offensive rebound by B. Biyombo
7:28.0,,,7-11,2,B. Biyombo makes 2-pt shot from 2 ft
7:15.0,J. Barea misses 2-pt shot from 9 ft,,7-11,,
7:11.0,,,7-11,,Defensive rebound by D. Augustin
7:04.0,,,7-13,2,B. Biyombo makes 2-pt shot from 1 ft (assist by D. Augustin)
7:04.0,,,7-13,,Shooting foul by J. Motley (drawn by B. Biyombo)
7:04.0,J. Jones enters the game for D. Finney-Smith,,7-13,,
7:04.0,,,7-13,,B. Biyombo misses free throw 1 of 1
7:04.0,Defensive rebound by J. Jones,,7-13,,
6:50.0,Turnover by D. McDermott (out of bounds lost ball),,7-13,,
6:50.0,,,7-13,,Orlando full timeout
6:30.0,,,7-13,,D. Augustin misses 2-pt shot from 3 ft
6:24.0,,,7-13,,Offensive rebound by B. Biyombo
6:20.0,,,7-15,2,A. Gordon makes 2-pt shot from 10 ft
6:00.0,A. Harrison misses 2-pt shot from 17 ft,,7-15,,
5:58.0,,,7-15,,Defensive rebound by M. Hezonja
5:55.0,,,7-15,,Offensive foul by B. Biyombo (drawn by J. Motley)
5:55.0,,,7-15,,Turnover by B. Biyombo (offensive foul)
5:55.0,,,7-15,,J. Artis enters the game for M. Hezonja
5:44.0,J. Jones makes 3-pt shot from 26 ft (assist by D. McDermott),3,10-15,,
5:28.0,,,10-15,,W. Iwundu misses 3-pt shot from 23 ft
5:24.0,Defensive rebound by J. Jones,,10-15,,
5:18.0,J. Barea makes 2-pt shot from 10 ft,2,12-15,,
4:59.0,,,12-15,,W. Iwundu misses 3-pt shot from 23 ft
4:59.0,,,12-15,,Offensive rebound by Team
4:58.0,Loose ball foul by J. Jones (drawn by B. Biyombo),,12-15,,
4:58.0,,,12-15,,S. Mack enters the game for D. Augustin
4:58.0,K. Collinsworth enters the game for J. Barea,,12-15,,
4:51.0,,,12-18,3,A. Gordon makes 3-pt shot from 23 ft (assist by S. Mack)
4:39.0,J. Jones misses 3-pt shot from 25 ft,,12-18,,
4:36.0,,,12-18,,Defensive rebound by B. Biyombo
4:24.0,,,12-20,2,A. Gordon makes 2-pt shot from 1 ft
4:03.0,Turnover by J. Jones (traveling),,12-20,,
3:49.0,,,12-22,2,W. Iwundu makes 2-pt shot from 3 ft (assist by B. Biyombo)
3:32.0,J. Jones makes 2-pt shot from 1 ft (assist by J. Motley),2,14-22,,
3:14.0,,,14-24,2,S. Mack makes 2-pt shot from 17 ft (assist by B. Biyombo)
3:00.0,D. McDermott misses 3-pt shot from 24 ft,,14-24,,
2:58.0,,,14-24,,Defensive rebound by B. Biyombo
2:37.0,,,14-24,,A. Gordon misses 2-pt shot from 6 ft (block by J. Jones)
2:33.0,Defensive rebound by D. McDermott,,14-24,,
2:31.0,D. McDermott makes 2-pt shot from 1 ft,2,16-24,,
2:21.0,,,16-24,,J. Artis misses 2-pt shot from 6 ft
2:16.0,Defensive rebound by J. Motley,,16-24,,
2:16.0,Dallas full timeout,,16-24,,
2:16.0,,,16-24,,R. Purvis enters the game for B. Biyombo
2:16.0,,,16-24,,K. Birch enters the game for W. Iwundu
2:12.0,Turnover by J. Jones (bad pass; steal by A. Gordon),,16-24,,
1:58.0,,,16-27,3,A. Gordon makes 3-pt shot from 25 ft (assist by S. Mack)
1:37.0,J. Jones misses 2-pt shot from 3 ft,,16-27,,
1:33.0,,,16-27,,Defensive rebound by K. Birch
