time,Charlotte,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Baynes vs. D. Howard (A. Horford gains possession),,,,Jump ball: A. Baynes vs. D. Howard (A. Horford gains possession)
11:48.0,,,0-2,2,A. Baynes makes 2-pt shot at rim (assist by K. Irving)
11:31.0,N. Batum misses 3-pt shot from 27 ft,,0-2,,
11:31.0,Offensive rebound by D. Howard,,0-2,,
11:29.0,D. Howard makes 2-pt shot at rim,2,2-2,,
11:29.0,Shooting foul by A. Baynes (drawn by D. Howard),,2-2,,
11:29.0,D. Howard misses free throw 1 of 1,,2-2,,
11:25.0,,,2-2,,Defensive rebound by A. Horford
11:16.0,,,2-5,3,K. Irving makes 3-pt shot from 26 ft
10:56.0,D. Howard misses 2-pt shot from 18 ft,,2-5,,
10:54.0,,,2-5,,Defensive rebound by J. Tatum
10:44.0,,,2-7,2,J. Brown makes 2-pt shot from 18 ft (assist by K. Irving)
10:26.0,D. Howard misses 2-pt shot from 14 ft,,2-7,,
10:25.0,,,2-7,,Defensive rebound by J. Brown
10:20.0,,,2-7,,Shooting foul by D. Howard (drawn by J. Brown)
10:20.0,,,2-8,1,J. Brown makes free throw 1 of 2
10:20.0,,,2-9,1,J. Brown makes free throw 2 of 2
10:11.0,Shooting foul by J. Brown (drawn by K. Walker),,2-9,,
10:11.0,K. Walker makes free throw 1 of 2,1,3-9,,
10:11.0,K. Walker misses free throw 2 of 2,,3-9,,
10:09.0,,,3-9,,Defensive rebound by A. Baynes
10:01.0,,,3-9,,K. Irving misses 2-pt shot from 16 ft
9:58.0,Defensive rebound by M. Williams,,3-9,,
9:47.0,K. Walker makes 2-pt shot from 16 ft,2,5-9,,
9:36.0,,,5-11,2,A. Baynes makes 2-pt shot from 16 ft (assist by K. Irving)
9:20.0,N. Batum misses 3-pt shot from 26 ft,,5-11,,
9:18.0,,,5-11,,Defensive rebound by J. Tatum
9:09.0,,,5-13,2,J. Brown makes 2-pt shot from 6 ft
8:55.0,K. Walker makes 3-pt shot from 26 ft,3,8-13,,
8:39.0,,,8-15,2,K. Irving makes 2-pt shot from 17 ft
8:18.0,K. Walker makes 3-pt shot from 25 ft,3,11-15,,
7:59.0,,,11-15,,A. Horford misses 2-pt shot from 12 ft
7:57.0,,,11-15,,Offensive rebound by Team
7:51.0,,,11-15,,J. Tatum misses 2-pt shot from 3 ft
7:49.0,,,11-15,,Offensive rebound by Team
7:39.0,,,11-15,,Turnover by A. Baynes (bad pass; steal by N. Batum)
7:33.0,K. Walker makes 2-pt shot from 3 ft (assist by N. Batum),2,13-15,,
7:22.0,,,13-17,2,K. Irving makes 2-pt shot from 19 ft
7:05.0,M. Williams misses 3-pt shot from 26 ft,,13-17,,
7:02.0,,,13-17,,Defensive rebound by J. Brown
6:52.0,,,13-19,2,J. Tatum makes 2-pt shot from 2 ft (assist by A. Baynes)
6:42.0,Charlotte full timeout,,13-19,,
6:36.0,M. Williams misses 3-pt shot from 25 ft,,13-19,,
6:32.0,,,13-19,,Defensive rebound by K. Irving
6:12.0,,,13-19,,A. Horford misses 2-pt shot from 12 ft
6:10.0,Defensive rebound by N. Batum,,13-19,,
6:00.0,D. Howard makes 2-pt shot from 3 ft (assist by N. Batum),2,15-19,,
5:46.0,,,15-19,,J. Tatum misses 2-pt shot from 18 ft
5:42.0,Defensive rebound by T. Graham,,15-19,,
5:32.0,D. Howard makes 2-pt shot from 2 ft (assist by K. Walker),2,17-19,,
5:21.0,,,17-19,,K. Irving misses 2-pt shot from 8 ft (block by N. Batum)
5:19.0,,,17-19,,Offensive rebound by K. Irving
5:17.0,,,17-21,2,K. Irving makes 2-pt shot from 14 ft
5:03.0,,,17-21,,Personal foul by A. Baynes (drawn by D. Howard)
5:03.0,,,17-21,,M. Smart enters the game for J. Tatum
5:03.0,,,17-21,,M. Morris enters the game for A. Baynes
4:58.0,T. Graham misses 2-pt shot from 18 ft,,17-21,,
4:57.0,,,17-21,,Defensive rebound by A. Horford
4:47.0,,,17-21,,K. Irving misses 3-pt shot from 25 ft
4:47.0,Defensive rebound by N. Batum,,17-21,,
4:42.0,N. Batum makes 2-pt shot from 10 ft,2,19-21,,
4:24.0,,,19-21,,J. Brown misses 2-pt shot from 1 ft
4:21.0,Defensive rebound by M. Williams,,19-21,,
4:20.0,Turnover by M. Williams (bad pass; steal by K. Irving),,19-21,,
4:15.0,,,19-21,,M. Morris misses 2-pt shot from 2 ft
4:15.0,,,19-21,,Offensive rebound by M. Morris
4:15.0,,,19-21,,Boston full timeout
4:06.0,,,19-24,3,K. Irving makes 3-pt shot from 26 ft (assist by A. Horford)
3:46.0,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum),3,22-24,,
3:22.0,,,22-26,2,K. Irving makes 2-pt shot from 21 ft
3:05.0,N. Batum misses 2-pt shot from 15 ft,,22-26,,
3:02.0,,,22-26,,Defensive rebound by K. Irving
2:57.0,,,22-26,,Turnover by K. Irving (lost ball; steal by D. Howard)
2:53.0,T. Graham misses 2-pt shot from 2 ft,,22-26,,
2:47.0,,,22-26,,Defensive rebound by M. Morris
2:28.0,,,22-26,,Shooting foul by T. Graham (drawn by K. Irving)
2:28.0,,,22-27,1,K. Irving makes free throw 1 of 2
2:28.0,,,22-27,,T. Rozier enters the game for J. Brown
2:28.0,F. Kaminsky enters the game for M. Williams,,22-27,,
2:28.0,J. Lamb enters the game for K. Walker,,22-27,,
2:28.0,M. Carter-Williams enters the game for T. Graham,,22-27,,
2:28.0,,,22-28,1,K. Irving makes free throw 2 of 2
2:19.0,M. Carter-Williams makes 2-pt shot from 2 ft (assist by N. Batum),2,24-28,,
2:19.0,Shooting foul by K. Irving (drawn by M. Carter-Williams),,24-28,,
2:19.0,,,24-28,,G. Monroe enters the game for A. Horford
2:19.0,M. Carter-Williams misses free throw 1 of 1,,24-28,,
2:17.0,,,24-28,,Defensive rebound by M. Morris
2:01.0,,,24-30,2,M. Morris makes 2-pt shot from 17 ft (assist by M. Smart)
1:43.0,D. Howard makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,26-30,,
1:43.0,Shooting foul by G. Monroe (drawn by D. Howard),,26-30,,
1:43.0,,,26-30,,S. Ojeleye enters the game for K. Irving
1:43.0,D. Howard makes free throw 1 of 1,1,27-30,,
1:28.0,,,27-30,,M. Morris misses 2-pt shot from 16 ft
1:22.0,Defensive rebound by D. Howard,,27-30,,
1:16.0,,,27-30,,Violation by M. Smart (kicked ball)
1:16.0,W. Hernangomez enters the game for D. Howard,,27-30,,
1:12.0,N. Batum misses 3-pt shot from 27 ft,,27-30,,
1:08.0,,,27-30,,Defensive rebound by M. Smart
0:54.0,,,27-32,2,M. Smart makes 2-pt shot from 18 ft (assist by M. Morris)
0:42.0,N. Batum makes 2-pt shot from 3 ft (assist by M. Carter-Williams),2,29-32,,
0:30.0,,,29-35,3,M. Smart makes 3-pt shot from 26 ft (assist by T. Rozier)
0:18.0,N. Batum misses 2-pt shot from 7 ft (block by G. Monroe),,29-35,,
0:18.0,Offensive rebound by Team,,29-35,,
0:17.0,J. Lamb makes 2-pt shot from 1 ft (assist by N. Batum),2,31-35,,
0:00.0,,,31-37,2,M. Morris makes 2-pt shot from 14 ft (assist by M. Smart)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,W. Hernangomez misses 2-pt shot from 7 ft,,31-37,,
11:39.0,,,31-37,,Defensive rebound by G. Monroe
11:22.0,,,31-39,2,G. Monroe makes 2-pt shot from 4 ft
11:03.0,M. Carter-Williams makes 2-pt shot from 3 ft,2,33-39,,
10:50.0,,,33-39,,T. Rozier misses 3-pt shot from 25 ft
10:46.0,Defensive rebound by F. Kaminsky,,33-39,,
10:31.0,Turnover by W. Hernangomez (traveling),,33-39,,
10:17.0,,,33-41,2,G. Monroe makes 2-pt shot from 2 ft (assist by M. Morris)
10:17.0,,,33-41,,Shooting foul by W. Hernangomez (drawn by G. Monroe)
10:17.0,,,33-42,1,G. Monroe makes free throw 1 of 1
10:05.0,J. Lamb misses 2-pt shot from 7 ft,,33-42,,
10:03.0,Offensive rebound by W. Hernangomez,,33-42,,
