time,Phoenix,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. T. Chandler (M. Chriss gains possession),,,,Jump ball: C. Capela vs. T. Chandler (M. Chriss gains possession)
11:47.0,D. Booker makes 3-pt shot from 26 ft,3,3-0,,
11:33.0,Personal foul by M. Chriss (drawn by J. Harden),,3-0,,
11:30.0,,,3-0,,Shooting foul by M. Chriss (drawn by T. Ariza)
11:30.0,,,3-1,1,T. Ariza makes free throw 1 of 2
11:30.0,,,3-2,1,T. Ariza makes free throw 2 of 2
11:24.0,,,3-2,,Personal take foul by T. Ariza (drawn by T. Warren)
11:24.0,,,3-2,,L. Mbah a Moute enters the game for T. Ariza
11:17.0,T. Daniels misses 3-pt shot from 25 ft,,3-2,,
11:13.0,,,3-2,,Defensive rebound by C. Capela
11:09.0,,,3-5,3,J. Harden makes 3-pt shot from 27 ft
10:48.0,D. Booker makes 2-pt shot from 12 ft,2,5-5,,
10:35.0,,,5-5,,R. Anderson misses 3-pt shot from 26 ft
10:31.0,,,5-5,,Offensive rebound by J. Harden
10:26.0,,,5-5,,J. Harden misses 3-pt shot from 26 ft
10:23.0,Defensive rebound by T. Chandler,,5-5,,
10:14.0,Turnover by D. Booker (bad pass),,5-5,,
9:58.0,,,5-5,,C. Paul misses 2-pt shot from 13 ft
9:55.0,Defensive rebound by M. Chriss,,5-5,,
9:43.0,M. Chriss misses 3-pt shot from 27 ft,,5-5,,
9:39.0,Offensive rebound by T. Daniels,,5-5,,
9:37.0,T. Daniels misses 3-pt shot from 23 ft,,5-5,,
9:35.0,,,5-5,,Defensive rebound by C. Capela
9:27.0,,,5-5,,Shooting foul by M. Chriss (drawn by L. Mbah a Moute)
9:27.0,,,5-5,,L. Mbah a Moute misses free throw 1 of 2
9:27.0,,,5-5,,Offensive rebound by Team
9:27.0,D. Bender enters the game for M. Chriss,,5-5,,
9:27.0,,,5-6,1,L. Mbah a Moute makes free throw 2 of 2
9:09.0,Turnover by T. Chandler (lost ball; steal by C. Capela),,5-6,,
9:05.0,,,5-6,,Turnover by L. Mbah a Moute (out of bounds lost ball)
8:50.0,Turnover by D. Bender (bad pass; steal by J. Harden),,5-6,,
8:45.0,,,5-8,2,L. Mbah a Moute makes 2-pt shot from 3 ft (assist by J. Harden)
8:24.0,D. Bender misses 3-pt shot from 25 ft,,5-8,,
8:22.0,,,5-8,,Defensive rebound by C. Capela
7:59.0,,,5-10,2,C. Paul makes 2-pt shot from 14 ft
7:39.0,D. Bender misses 2-pt shot from 3 ft,,5-10,,
7:38.0,Offensive rebound by T. Chandler,,5-10,,
7:38.0,T. Chandler makes 2-pt shot at rim,2,7-10,,
7:32.0,,,7-10,,Shooting foul by T. Daniels (drawn by C. Capela)
7:32.0,,,7-11,1,C. Capela makes free throw 1 of 2
7:32.0,,,7-12,1,C. Capela makes free throw 2 of 2
7:18.0,,,7-12,,E. Gordon enters the game for C. Paul
7:12.0,,,7-12,,Personal foul by R. Anderson (drawn by T. Chandler)
7:02.0,T. Warren misses 3-pt shot from 27 ft,,7-12,,
6:55.0,Offensive rebound by T. Chandler,,7-12,,
6:55.0,T. Chandler misses 2-pt shot at rim,,7-12,,
6:55.0,,,7-12,,Defensive rebound by C. Capela
6:49.0,Personal foul by D. Booker (drawn by J. Harden),,7-12,,
6:49.0,,,7-12,,Houston full timeout
6:49.0,,,7-12,,P. Tucker enters the game for R. Anderson
6:49.0,,,7-13,1,J. Harden makes free throw 1 of 2
6:49.0,,,7-13,,J. Harden misses free throw 2 of 2
6:47.0,Defensive rebound by D. Bender,,7-13,,
6:27.0,Turnover by T. Warren (traveling),,7-13,,
6:13.0,,,7-13,,E. Gordon misses 3-pt shot from 26 ft
6:10.0,Defensive rebound by D. Booker,,7-13,,
6:02.0,T. Chandler makes 2-pt shot from 1 ft (assist by D. Booker),2,9-13,,
5:53.0,Personal foul by T. Daniels (drawn by E. Gordon),,9-13,,
5:53.0,,,9-14,1,E. Gordon makes free throw 1 of 2
5:53.0,,,9-14,,N. Hilario enters the game for C. Capela
5:53.0,G. Monroe enters the game for T. Chandler,,9-14,,
5:53.0,I. Canaan enters the game for T. Daniels,,9-14,,
5:53.0,,,9-14,,E. Gordon misses free throw 2 of 2
5:51.0,Defensive rebound by D. Bender,,9-14,,
5:33.0,G. Monroe makes 2-pt shot from 4 ft (assist by D. Booker),2,11-14,,
5:25.0,,,11-14,,Turnover by J. Harden (bad pass; steal by D. Bender)
