time,Brooklyn,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. T. Zeller (K. Irving gains possession),,,,Jump ball: A. Horford vs. T. Zeller (K. Irving gains possession)
11:44.0,,,0-2,2,K. Irving makes 2-pt shot from 12 ft (assist by A. Baynes)
11:29.0,T. Zeller misses 2-pt shot from 4 ft (block by A. Baynes),,0-2,,
11:29.0,Offensive rebound by Team,,0-2,,
11:23.0,A. Crabbe misses 2-pt shot from 14 ft,,0-2,,
11:21.0,,,0-2,,Defensive rebound by J. Tatum
11:10.0,,,0-2,,J. Brown misses 2-pt shot from 7 ft (block by A. Crabbe)
11:09.0,,,0-2,,Offensive rebound by J. Brown
11:08.0,,,0-4,2,J. Brown makes 2-pt shot from 1 ft
10:48.0,Shooting foul by A. Baynes (drawn by R. Hollis-Jefferson),,0-4,,
10:48.0,R. Hollis-Jefferson makes free throw 1 of 2,1,1-4,,
10:48.0,R. Hollis-Jefferson misses free throw 2 of 2,,1-4,,
10:46.0,,,1-4,,Defensive rebound by A. Baynes
10:30.0,,,1-6,2,A. Baynes makes 2-pt shot from 18 ft (assist by J. Brown)
10:12.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft (block by K. Irving),,1-6,,
10:09.0,,,1-6,,Defensive rebound by A. Horford
10:06.0,,,1-6,,J. Brown misses 3-pt shot from 26 ft
10:06.0,Defensive rebound by R. Hollis-Jefferson,,1-6,,
9:58.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft,,1-6,,
9:57.0,Offensive rebound by Team,,1-6,,
9:45.0,D. Carroll makes 2-pt shot from 18 ft,2,3-6,,
9:29.0,,,3-6,,J. Tatum misses 2-pt shot from 2 ft
9:27.0,Defensive rebound by D. Carroll,,3-6,,
9:19.0,R. Hollis-Jefferson misses 3-pt shot from 25 ft,,3-6,,
9:16.0,,,3-6,,Defensive rebound by A. Baynes
9:12.0,Personal foul by S. Dinwiddie (drawn by K. Irving),,3-6,,
9:06.0,,,3-8,2,K. Irving makes 2-pt shot from 12 ft
8:41.0,D. Carroll misses 2-pt shot from 4 ft,,3-8,,
8:39.0,,,3-8,,Defensive rebound by K. Irving
8:33.0,,,3-8,,J. Tatum misses 2-pt shot from 20 ft
8:29.0,,,3-8,,Offensive rebound by A. Horford
8:27.0,,,3-11,3,J. Brown makes 3-pt shot from 26 ft (assist by A. Horford)
8:12.0,T. Zeller misses 2-pt shot from 3 ft,,3-11,,
8:09.0,,,3-11,,Defensive rebound by A. Horford
8:01.0,,,3-11,,Turnover by K. Irving (bad pass; steal by S. Dinwiddie)
7:55.0,D. Carroll makes 2-pt shot at rim (assist by S. Dinwiddie),2,5-11,,
7:35.0,,,5-14,3,K. Irving makes 3-pt shot from 22 ft (assist by A. Horford)
7:20.0,S. Dinwiddie misses 3-pt shot from 25 ft,,5-14,,
7:18.0,,,5-14,,Defensive rebound by A. Baynes
7:05.0,,,5-16,2,J. Tatum makes 2-pt shot from 5 ft (assist by A. Baynes)
7:02.0,Brooklyn full timeout,,5-16,,
6:42.0,D. Carroll makes 2-pt shot at rim (assist by A. Crabbe),2,7-16,,
6:24.0,,,7-18,2,A. Horford makes 2-pt shot from 9 ft (assist by A. Baynes)
6:09.0,R. Hollis-Jefferson makes 2-pt shot from 11 ft,2,9-18,,
5:47.0,,,9-20,2,A. Horford makes 2-pt shot from 8 ft
5:25.0,T. Zeller makes 3-pt shot from 22 ft (assist by S. Dinwiddie),3,12-20,,
5:10.0,,,12-20,,Offensive foul by K. Irving (drawn by R. Hollis-Jefferson)
5:10.0,,,12-20,,Turnover by K. Irving (offensive foul)
5:10.0,,,12-20,,M. Morris enters the game for J. Tatum
5:10.0,,,12-20,,M. Smart enters the game for A. Horford
5:10.0,C. LeVert enters the game for T. Zeller,,12-20,,
5:10.0,J. Harris enters the game for A. Crabbe,,12-20,,
5:10.0,J. Allen enters the game for S. Dinwiddie,,12-20,,
5:00.0,D. Carroll misses 2-pt shot from 4 ft (block by J. Brown),,12-20,,
4:59.0,,,12-20,,Defensive rebound by K. Irving
4:53.0,,,12-22,2,J. Brown makes 2-pt shot from 3 ft
4:32.0,R. Hollis-Jefferson makes 2-pt shot from 15 ft (assist by C. LeVert),2,14-22,,
4:14.0,,,14-24,2,M. Smart makes 2-pt shot from 3 ft
3:55.0,J. Harris misses 2-pt shot from 3 ft,,14-24,,
3:53.0,,,14-24,,Defensive rebound by M. Smart
3:46.0,,,14-27,3,M. Morris makes 3-pt shot from 23 ft (assist by M. Smart)
3:33.0,,,14-27,,Personal foul by J. Brown (drawn by R. Hollis-Jefferson)
3:33.0,N. Stauskas enters the game for D. Carroll,,14-27,,
