time,Cleveland,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. L. Nance (G. Hill gains possession),,,,Jump ball: B. Lopez vs. L. Nance (G. Hill gains possession)
11:38.0,L. Nance misses 3-pt shot from 25 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by K. Kuzma
11:19.0,,,0-0,,K. Kuzma misses 3-pt shot from 27 ft
11:15.0,,,0-0,,Offensive rebound by J. Randle
11:06.0,,,0-0,,B. Lopez misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by J. Green,,0-0,,
10:45.0,J. Green misses 2-pt shot from 1 ft,,0-0,,
10:43.0,,,0-0,,Defensive rebound by B. Lopez
10:33.0,,,0-0,,J. Randle misses 2-pt shot from 1 ft
10:30.0,,,0-0,,Offensive rebound by K. Caldwell-Pope
10:25.0,,,0-2,2,J. Randle makes 2-pt shot from 21 ft (assist by L. Ball)
9:57.0,L. Nance misses 2-pt shot from 18 ft,,0-2,,
9:56.0,,,0-2,,Defensive rebound by Team
9:41.0,,,0-4,2,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by B. Lopez)
9:29.0,J. Smith misses 2-pt shot from 1 ft,,0-4,,
9:25.0,Offensive rebound by L. Nance,,0-4,,
9:25.0,L. Nance makes 2-pt shot at rim,2,2-4,,
9:10.0,,,2-6,2,J. Randle makes 2-pt shot from 1 ft (assist by B. Lopez)
9:01.0,L. James makes 3-pt shot from 26 ft,3,5-6,,
8:49.0,,,5-6,,B. Lopez misses 2-pt shot from 5 ft
8:46.0,Defensive rebound by L. James,,5-6,,
8:44.0,L. James makes 2-pt shot from 2 ft,2,7-6,,
8:33.0,,,7-6,,Shooting foul by J. Green (drawn by J. Randle)
8:33.0,,,7-6,,J. Randle misses free throw 1 of 2
8:33.0,,,7-6,,Offensive rebound by Team
8:33.0,,,7-7,1,J. Randle makes free throw 2 of 2
8:22.0,G. Hill misses 2-pt shot from 19 ft,,7-7,,
8:19.0,,,7-7,,Defensive rebound by B. Lopez
8:11.0,,,7-7,,J. Randle misses 2-pt shot from 19 ft
8:08.0,,,7-7,,Offensive rebound by K. Caldwell-Pope
8:05.0,,,7-9,2,K. Caldwell-Pope makes 2-pt shot from 18 ft
7:51.0,L. James misses 2-pt shot from 15 ft,,7-9,,
7:48.0,,,7-9,,Defensive rebound by K. Caldwell-Pope
7:34.0,,,7-9,,L. Ball misses 2-pt shot from 9 ft
7:31.0,Defensive rebound by L. James,,7-9,,
7:25.0,J. Smith misses 3-pt shot from 27 ft,,7-9,,
7:21.0,,,7-9,,Defensive rebound by J. Randle
7:15.0,,,7-12,3,K. Caldwell-Pope makes 3-pt shot from 27 ft (assist by J. Randle)
6:58.0,J. Green misses 3-pt shot from 26 ft,,7-12,,
6:56.0,,,7-12,,Defensive rebound by K. Kuzma
6:45.0,,,7-12,,K. Kuzma misses 2-pt shot from 14 ft
6:43.0,Defensive rebound by L. James,,7-12,,
6:41.0,Shooting foul by L. Ball (drawn by L. James),,7-12,,
6:41.0,,,7-12,,LA Lakers full timeout
6:41.0,L. James makes free throw 1 of 2,1,8-12,,
6:41.0,L. James makes free throw 2 of 2,1,9-12,,
6:30.0,,,9-14,2,B. Lopez makes 2-pt shot from 1 ft (assist by L. Ball)
6:11.0,L. James makes 2-pt shot at rim,2,11-14,,
6:11.0,Shooting foul by L. Ball (drawn by L. James),,11-14,,
6:11.0,,,11-14,,I. Thomas enters the game for L. Ball
6:11.0,L. James makes free throw 1 of 1,1,12-14,,
5:57.0,,,12-16,2,J. Randle makes 2-pt shot from 2 ft
5:44.0,G. Hill makes 2-pt shot from 9 ft,2,14-16,,
5:30.0,,,14-18,2,B. Lopez makes 2-pt shot from 19 ft
5:21.0,,,14-18,,Personal foul by I. Thomas (drawn by G. Hill)
5:18.0,Offensive foul by G. Hill (drawn by J. Randle),,14-18,,
5:18.0,Turnover by G. Hill (offensive foul),,14-18,,
5:07.0,,,14-18,,I. Thomas misses 3-pt shot from 27 ft
5:05.0,Defensive rebound by Team,,14-18,,
4:43.0,L. James misses 3-pt shot from 24 ft,,14-18,,
4:41.0,,,14-18,,Defensive rebound by K. Kuzma
4:37.0,,,14-18,,K. Caldwell-Pope misses 3-pt shot from 24 ft
4:33.0,Defensive rebound by J. Green,,14-18,,
4:27.0,J. Green misses 2-pt shot from 14 ft,,14-18,,
4:25.0,,,14-18,,Defensive rebound by K. Caldwell-Pope
4:17.0,,,14-20,2,K. Kuzma makes 2-pt shot from 3 ft (assist by J. Randle)
4:04.0,L. Nance misses 2-pt shot from 1 ft,,14-20,,
4:02.0,Offensive rebound by L. Nance,,14-20,,
4:02.0,L. Nance makes 2-pt shot at rim,2,16-20,,
3:58.0,,,16-22,2,B. Lopez makes 2-pt shot from 2 ft (assist by I. Thomas)
3:44.0,J. Smith misses 3-pt shot from 24 ft,,16-22,,
3:41.0,,,16-22,,Defensive rebound by K. Kuzma
3:34.0,,,16-22,,K. Kuzma misses 2-pt shot from 2 ft (block by J. Green)
3:30.0,Defensive rebound by L. Nance,,16-22,,
3:22.0,G. Hill makes 2-pt shot from 19 ft,2,18-22,,
3:15.0,,,18-22,,LA Lakers full timeout
3:15.0,,,18-22,,T. Wear enters the game for J. Randle
3:15.0,A. Zizic enters the game for G. Hill,,18-22,,
3:15.0,K. Korver enters the game for J. Smith,,18-22,,
3:15.0,J. Clarkson enters the game for L. Nance,,18-22,,
3:15.0,J. Calderon enters the game for L. James,,18-22,,
3:03.0,,,18-24,2,B. Lopez makes 2-pt shot from 2 ft (assist by I. Thomas)
2:46.0,J. Clarkson misses 2-pt shot from 2 ft (block by B. Lopez),,18-24,,
2:43.0,,,18-24,,Defensive rebound by T. Wear
2:36.0,,,18-24,,K. Caldwell-Pope misses 3-pt shot from 26 ft
2:33.0,Defensive rebound by K. Korver,,18-24,,
2:26.0,Shooting foul by I. Thomas (drawn by J. Calderon),,18-24,,
2:26.0,J. Calderon misses free throw 1 of 2,,18-24,,
2:26.0,Offensive rebound by Team,,18-24,,
2:26.0,J. Holland enters the game for J. Green,,18-24,,
2:26.0,J. Calderon makes free throw 2 of 2,1,19-24,,
2:07.0,,,19-26,2,K. Kuzma makes 2-pt shot from 2 ft
1:52.0,A. Zizic makes 2-pt shot from 2 ft (assist by J. Clarkson),2,21-26,,
1:43.0,,,21-28,2,B. Lopez makes 2-pt shot from 10 ft (assist by K. Caldwell-Pope)
1:24.0,J. Calderon makes 2-pt shot from 19 ft,2,23-28,,
1:06.0,,,23-31,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by I. Thomas)
0:54.0,,,23-31,,Personal foul by K. Kuzma (drawn by J. Clarkson)
0:54.0,J. Clarkson makes free throw 1 of 2,1,24-31,,
0:54.0,,,24-31,,A. Caruso enters the game for K. Caldwell-Pope
0:54.0,J. Clarkson makes free throw 2 of 2,1,25-31,,
0:44.0,,,25-31,,I. Thomas misses 2-pt shot from 3 ft (block by A. Zizic)
0:41.0,,,25-31,,Offensive rebound by I. Thomas
0:38.0,,,25-31,,K. Kuzma misses 3-pt shot from 27 ft
0:36.0,Defensive rebound by J. Calderon,,25-31,,
0:33.0,A. Zizic makes 2-pt shot from 1 ft (assist by J. Clarkson),2,27-31,,
0:21.0,,,27-33,2,A. Caruso makes 2-pt shot at rim (assist by B. Lopez)
0:01.0,J. Clarkson makes 2-pt shot from 15 ft (assist by J. Calderon),2,29-33,,
0:00.0,,,29-33,,I. Thomas misses 3-pt shot from 56 ft
0:00.0,,,29-33,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,29-33,,Turnover by I. Thomas (bad pass; steal by J. Holland)
11:32.0,J. Clarkson misses 2-pt shot from 8 ft,,29-33,,
11:29.0,,,29-33,,Defensive rebound by L. Ball
11:14.0,,,29-33,,T. Wear misses 3-pt shot from 27 ft
11:13.0,,,29-33,,Offensive rebound by Team
11:13.0,Loose ball foul by J. Clarkson (drawn by L. Ball),,29-33,,
