time,Memphis,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. McGee vs. M. Gasol (J. Green gains possession),,,,Jump ball: J. McGee vs. M. Gasol (J. Green gains possession)
11:46.0,M. Gasol misses 2-pt shot from 10 ft,,0-0,,
11:43.0,Offensive rebound by Team,,0-0,,
11:32.0,D. Brooks makes 3-pt shot from 25 ft (assist by M. Gasol),3,3-0,,
11:09.0,,,3-0,,Turnover by J. Bell (lost ball; steal by J. Green)
10:57.0,D. Brooks misses 3-pt shot from 25 ft,,3-0,,
10:50.0,,,3-0,,Defensive rebound by K. Durant
10:45.0,,,3-2,2,J. McGee makes 2-pt shot from 8 ft (assist by J. Bell)
10:23.0,A. Harrison misses 3-pt shot from 24 ft,,3-2,,
10:19.0,,,3-2,,Defensive rebound by J. McGee
10:06.0,,,3-2,,Turnover by K. Thompson (lost ball; steal by T. Evans)
10:00.0,M. Gasol makes 3-pt shot from 27 ft (assist by T. Evans),3,6-2,,
9:46.0,,,6-2,,Turnover by J. Bell (bad pass; steal by J. Green)
9:28.0,J. Green makes 2-pt shot at rim (assist by T. Evans),2,8-2,,
9:14.0,,,8-2,,Golden State full timeout
9:11.0,,,8-4,2,K. Thompson makes 2-pt shot from 16 ft (assist by J. McGee)
8:43.0,Turnover by J. Green (lost ball; steal by K. Thompson),,8-4,,
8:34.0,,,8-4,,Q. Cook misses 2-pt shot from 18 ft
8:31.0,Defensive rebound by M. Gasol,,8-4,,
8:24.0,A. Harrison makes 3-pt shot from 24 ft (assist by M. Gasol),3,11-4,,
8:12.0,Personal foul by D. Brooks (drawn by J. Bell),,11-4,,
8:09.0,,,11-6,2,K. Thompson makes 2-pt shot from 18 ft
8:08.0,,,11-6,,Shooting foul by J. Green (drawn by K. Thompson)
8:08.0,,,11-7,1,K. Thompson makes free throw 1 of 1
7:52.0,M. Gasol misses 2-pt shot from 12 ft,,11-7,,
7:46.0,Offensive rebound by J. Green,,11-7,,
7:36.0,T. Evans misses 3-pt shot from 24 ft,,11-7,,
7:34.0,,,11-7,,Defensive rebound by Team
7:34.0,Loose ball foul by D. Brooks (drawn by J. Bell),,11-7,,
7:34.0,J. Ennis enters the game for D. Brooks,,11-7,,
7:23.0,,,11-7,,K. Durant misses 3-pt shot from 24 ft
7:20.0,,,11-7,,Offensive rebound by J. Bell
7:19.0,,,11-9,2,K. Durant makes 2-pt shot at rim (assist by K. Thompson)
7:01.0,M. Gasol misses 2-pt shot from 11 ft,,11-9,,
6:57.0,,,11-9,,Defensive rebound by K. Durant
6:52.0,,,11-9,,K. Durant misses 3-pt shot from 25 ft
6:48.0,Defensive rebound by T. Evans,,11-9,,
6:46.0,Turnover by T. Evans (lost ball; steal by J. McGee),,11-9,,
6:44.0,,,11-11,2,K. Thompson makes 2-pt shot from 1 ft (assist by Q. Cook)
6:44.0,Memphis full timeout,,11-11,,
6:44.0,M. Chalmers enters the game for J. Green,,11-11,,
6:44.0,J. Martin enters the game for T. Evans,,11-11,,
6:29.0,M. Gasol misses 2-pt shot from 16 ft,,11-11,,
6:24.0,Offensive rebound by M. Chalmers,,11-11,,
6:22.0,M. Chalmers makes 3-pt shot from 26 ft,3,14-11,,
6:05.0,,,14-14,3,K. Thompson makes 3-pt shot from 24 ft (assist by K. Durant)
5:58.0,,,14-14,,Personal foul by Q. Cook (drawn by M. Chalmers)
5:58.0,,,14-14,,K. Looney enters the game for J. McGee
5:58.0,,,14-14,,P. McCaw enters the game for Q. Cook
5:48.0,Turnover by M. Chalmers (bad pass),,14-14,,
5:42.0,,,14-14,,Turnover by P. McCaw (step out of bounds)
5:13.0,J. Martin makes 2-pt shot from 17 ft (assist by A. Harrison),2,16-14,,
4:55.0,Personal foul by A. Harrison (drawn by K. Durant),,16-14,,
4:50.0,,,16-16,2,K. Durant makes 2-pt shot at rim (assist by J. Bell)
4:25.0,M. Chalmers misses 3-pt shot from 23 ft,,16-16,,
4:21.0,,,16-16,,Defensive rebound by K. Looney
4:20.0,,,16-16,,N. Young enters the game for K. Thompson
4:20.0,B. McLemore enters the game for A. Harrison,,16-16,,
4:20.0,,,16-16,,Turnover by K. Durant (bad pass; steal by M. Chalmers)
4:11.0,Shooting foul by J. Bell (drawn by J. Martin),,16-16,,
4:11.0,J. Martin makes free throw 1 of 2,1,17-16,,
4:11.0,J. Martin makes free throw 2 of 2,1,18-16,,
3:51.0,,,18-16,,N. Young misses 2-pt shot from 16 ft
3:48.0,Defensive rebound by M. Gasol,,18-16,,
3:44.0,B. McLemore makes 3-pt shot from 22 ft (assist by J. Ennis),3,21-16,,
3:32.0,,,21-16,,P. McCaw misses 2-pt shot from 13 ft
3:29.0,Defensive rebound by M. Gasol,,21-16,,
3:27.0,,,21-16,,Personal foul by P. McCaw (drawn by B. McLemore)
3:18.0,B. McLemore makes 3-pt shot from 23 ft (assist by M. Chalmers),3,24-16,,
3:03.0,,,24-16,,Turnover by K. Durant (bad pass; steal by B. McLemore)
2:57.0,B. McLemore misses 2-pt shot from 1 ft (block by K. Durant),,24-16,,
