time,LA Clippers,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Randle vs. D. Jordan (B. Griffin gains possession),,,,Jump ball: J. Randle vs. D. Jordan (B. Griffin gains possession)
11:46.0,C. Williams misses 2-pt shot from 1 ft (block by B. Ingram),,0-0,,
11:43.0,,,0-0,,Defensive rebound by J. Hart
11:39.0,,,0-0,,J. Randle misses 2-pt shot from 1 ft
11:39.0,Defensive rebound by D. Jordan,,0-0,,
11:31.0,A. Rivers makes 2-pt shot from 2 ft,2,2-0,,
11:16.0,,,2-0,,K. Kuzma misses 3-pt shot from 25 ft
11:14.0,Defensive rebound by D. Jordan,,2-0,,
11:11.0,Shooting foul by K. Kuzma (drawn by B. Griffin),,2-0,,
11:11.0,B. Griffin makes free throw 1 of 2,1,3-0,,
11:11.0,B. Griffin makes free throw 2 of 2,1,4-0,,
10:56.0,,,4-0,,B. Ingram misses 2-pt shot from 14 ft
10:53.0,Defensive rebound by D. Jordan,,4-0,,
10:37.0,A. Rivers makes 3-pt shot from 25 ft,3,7-0,,
10:22.0,,,7-0,,Turnover by B. Ingram (bad pass; steal by M. Teodosic)
10:22.0,B. Griffin makes 2-pt shot from 2 ft (assist by M. Teodosic),2,9-0,,
10:22.0,,,9-0,,LA Lakers full timeout
10:00.0,,,9-0,,J. Hart misses 3-pt shot from 26 ft
9:55.0,,,9-0,,Offensive rebound by K. Caldwell-Pope
9:55.0,,,9-2,2,K. Caldwell-Pope makes 2-pt shot at rim
9:37.0,A. Rivers makes 2-pt shot from 1 ft,2,11-2,,
9:20.0,,,11-2,,J. Randle misses 2-pt shot from 2 ft
9:17.0,,,11-2,,Offensive rebound by J. Randle
9:15.0,,,11-2,,J. Randle misses 2-pt shot from 1 ft (block by D. Jordan)
9:15.0,,,11-2,,Offensive rebound by J. Randle
9:15.0,,,11-2,,Shooting foul by D. Jordan (drawn by J. Randle)
9:15.0,,,11-2,,J. Randle misses free throw 1 of 2
9:15.0,,,11-2,,Offensive rebound by Team
9:15.0,,,11-3,1,J. Randle makes free throw 2 of 2
9:06.0,A. Rivers makes 3-pt shot from 27 ft,3,14-3,,
8:46.0,,,14-3,,J. Randle misses 2-pt shot from 4 ft
8:43.0,Defensive rebound by M. Teodosic,,14-3,,
8:38.0,C. Williams makes 2-pt shot from 13 ft (assist by B. Griffin),2,16-3,,
8:17.0,,,16-3,,B. Ingram misses 3-pt shot from 25 ft
8:14.0,Defensive rebound by D. Jordan,,16-3,,
8:14.0,,,16-3,,Shooting block foul by J. Randle (drawn by B. Griffin)
8:14.0,B. Griffin misses free throw 1 of 2,,16-3,,
8:14.0,Offensive rebound by Team,,16-3,,
8:14.0,B. Griffin makes free throw 2 of 2,1,17-3,,
7:55.0,,,17-3,,K. Kuzma misses 3-pt shot from 25 ft
7:53.0,Defensive rebound by D. Jordan,,17-3,,
7:35.0,D. Jordan makes 2-pt shot from 1 ft (assist by A. Rivers),2,19-3,,
7:23.0,,,19-5,2,J. Randle makes 2-pt shot from 1 ft (assist by B. Ingram)
7:05.0,M. Teodosic makes 3-pt shot from 26 ft,3,22-5,,
6:52.0,,,22-7,2,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by B. Ingram)
6:32.0,,,22-7,,Personal foul by J. Hart (drawn by D. Jordan)
6:22.0,B. Griffin makes 2-pt shot from 2 ft,2,24-7,,
6:10.0,,,24-7,,B. Ingram misses 2-pt shot from 2 ft
6:07.0,Defensive rebound by A. Rivers,,24-7,,
5:56.0,M. Teodosic misses 3-pt shot from 24 ft,,24-7,,
5:55.0,,,24-7,,Defensive rebound by Team
5:55.0,Loose ball foul by D. Jordan (drawn by K. Kuzma),,24-7,,
5:55.0,,,24-7,,J. Clarkson enters the game for J. Hart
5:55.0,M. Harrell enters the game for D. Jordan,,24-7,,
5:47.0,,,24-7,,K. Caldwell-Pope misses 2-pt shot from 1 ft
5:46.0,,,24-7,,Offensive rebound by K. Caldwell-Pope
5:45.0,,,24-7,,K. Caldwell-Pope misses 2-pt shot at rim
5:44.0,,,24-7,,Offensive rebound by K. Caldwell-Pope
5:43.0,,,24-9,2,K. Caldwell-Pope makes 2-pt shot at rim
5:27.0,A. Rivers misses 3-pt shot from 26 ft,,24-9,,
5:25.0,,,24-9,,Defensive rebound by K. Caldwell-Pope
5:13.0,,,24-9,,B. Ingram misses 2-pt shot from 20 ft
5:09.0,Defensive rebound by M. Teodosic,,24-9,,
4:59.0,M. Harrell makes 2-pt shot from 8 ft,2,26-9,,
4:42.0,,,26-11,2,J. Randle makes 2-pt shot from 1 ft (assist by J. Clarkson)
4:22.0,M. Teodosic misses 3-pt shot from 27 ft,,26-11,,
4:20.0,,,26-11,,Defensive rebound by K. Caldwell-Pope
4:13.0,,,26-11,,J. Clarkson misses 2-pt shot from 2 ft
4:11.0,Defensive rebound by M. Harrell,,26-11,,
4:07.0,B. Griffin misses 2-pt shot from 2 ft,,26-11,,
4:07.0,Offensive rebound by B. Griffin,,26-11,,
4:02.0,B. Griffin misses 2-pt shot from 2 ft,,26-11,,
4:02.0,Offensive rebound by B. Griffin,,26-11,,
3:58.0,B. Griffin misses 2-pt shot at rim,,26-11,,
3:58.0,,,26-11,,Defensive rebound by K. Kuzma
3:55.0,,,26-11,,J. Clarkson misses 3-pt shot from 26 ft
3:55.0,,,26-11,,Offensive rebound by K. Kuzma
3:54.0,,,26-13,2,K. Kuzma makes 2-pt shot from 2 ft
3:54.0,,,26-13,,Shooting foul by A. Rivers (drawn by K. Kuzma)
3:54.0,LA Clippers full timeout,,26-13,,
3:54.0,,,26-13,,L. Nance enters the game for J. Randle
3:54.0,S. Dekker enters the game for B. Griffin,,26-13,,
3:54.0,,,26-13,,K. Kuzma misses free throw 1 of 1
3:51.0,Defensive rebound by S. Dekker,,26-13,,
3:39.0,A. Rivers misses 2-pt shot from 1 ft,,26-13,,
3:32.0,Offensive rebound by M. Harrell,,26-13,,
3:32.0,M. Harrell makes 2-pt shot at rim,2,28-13,,
3:17.0,,,28-13,,Turnover by J. Clarkson (bad pass)
3:17.0,L. Williams enters the game for M. Teodosic,,28-13,,
3:17.0,W. Johnson enters the game for C. Williams,,28-13,,
3:00.0,M. Harrell makes 2-pt shot from 2 ft (assist by W. Johnson),2,30-13,,
2:46.0,,,30-15,2,J. Clarkson makes 2-pt shot from 4 ft (assist by K. Caldwell-Pope)
2:21.0,M. Harrell misses 2-pt shot from 5 ft,,30-15,,
2:21.0,Offensive rebound by Team,,30-15,,
2:21.0,Turnover by Team (shot clock),,30-15,,
2:21.0,,,30-15,,C. Brewer enters the game for B. Ingram
2:02.0,,,30-17,2,C. Brewer makes 2-pt shot from 2 ft (assist by K. Kuzma)
1:56.0,,,30-17,,Shooting block foul by L. Nance (drawn by L. Williams)
1:56.0,L. Williams makes free throw 1 of 2,1,31-17,,
1:56.0,J. Evans enters the game for A. Rivers,,31-17,,
1:56.0,L. Williams makes free throw 2 of 2,1,32-17,,
1:44.0,,,32-19,2,J. Clarkson makes 2-pt shot from 2 ft (assist by L. Nance)
1:22.0,,,32-19,,Violation by K. Kuzma (kicked ball)
1:14.0,Turnover by L. Williams (traveling),,32-19,,
0:55.0,,,32-21,2,L. Nance makes 2-pt shot from 1 ft (assist by J. Clarkson)
0:36.0,J. Evans makes 2-pt shot from 3 ft,2,34-21,,
0:32.0,,,34-21,,K. Caldwell-Pope misses 2-pt shot from 16 ft
0:27.0,Defensive rebound by J. Evans,,34-21,,
0:11.0,Shooting foul by C. Brewer (drawn by L. Williams),,34-21,,
0:11.0,L. Williams misses free throw 1 of 2,,34-21,,
0:11.0,Offensive rebound by Team,,34-21,,
0:11.0,L. Williams makes free throw 2 of 2,1,35-21,,
0:06.0,Personal take foul by S. Dekker (drawn by K. Kuzma),,35-21,,
0:06.0,S. Thornwell enters the game for L. Williams,,35-21,,
0:06.0,C. Williams enters the game for J. Evans,,35-21,,
0:01.0,,,35-21,,K. Kuzma misses 2-pt shot from 10 ft (block by M. Harrell)
0:01.0,,,35-21,,Offensive rebound by Team
0:00.0,,,35-21,,Shooting foul by W. Johnson (drawn by L. Nance)
0:00.0,,,35-22,1,L. Nance makes free throw 1 of 2
0:00.0,,,35-22,,L. Nance misses free throw 2 of 2
0:00.0,Defensive rebound by W. Johnson,,35-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,35-22,,Turnover by C. Brewer (bad pass; steal by W. Johnson)
11:27.0,L. Williams misses 2-pt shot from 8 ft,,35-22,,
11:27.0,Offensive rebound by M. Harrell,,35-22,,
11:27.0,M. Harrell makes 2-pt shot at rim,2,37-22,,
11:05.0,,,37-25,3,J. Clarkson makes 3-pt shot from 26 ft (assist by J. Hart)
10:42.0,S. Dekker makes 2-pt shot from 2 ft (assist by L. Williams),2,39-25,,
10:25.0,,,39-25,,J. Clarkson misses 3-pt shot from 25 ft
10:23.0,Defensive rebound by S. Dekker,,39-25,,
10:17.0,S. Dekker misses 2-pt shot from 3 ft,,39-25,,
10:12.0,Offensive rebound by M. Harrell,,39-25,,
10:07.0,Shooting foul by J. Hart (drawn by L. Williams),,39-25,,
10:07.0,L. Williams makes free throw 1 of 3,1,40-25,,
10:07.0,L. Williams misses free throw 2 of 3,,40-25,,
10:07.0,Offensive rebound by Team,,40-25,,
10:07.0,L. Williams makes free throw 3 of 3,1,41-25,,
9:51.0,,,41-25,,J. Hart misses 2-pt shot from 19 ft
9:47.0,,,41-25,,Offensive rebound by A. Bogut
9:44.0,,,41-27,2,C. Brewer makes 2-pt shot from 2 ft (assist by J. Hart)
9:31.0,J. Evans misses 2-pt shot from 16 ft,,41-27,,
9:29.0,,,41-27,,Defensive rebound by A. Bogut
9:14.0,,,41-27,,C. Brewer misses 2-pt shot from 2 ft
9:12.0,Defensive rebound by J. Evans,,41-27,,
9:10.0,Shooting foul by L. Nance (drawn by L. Williams),,41-27,,
9:10.0,L. Williams makes free throw 1 of 2,1,42-27,,
9:10.0,D. Jordan enters the game for M. Harrell,,42-27,,
9:10.0,M. Teodosic enters the game for J. Evans,,42-27,,
9:10.0,L. Williams makes free throw 2 of 2,1,43-27,,
8:51.0,,,43-27,,Shooting foul by S. Dekker (drawn by C. Brewer)
8:51.0,,,43-27,,C. Brewer misses free throw 1 of 2
8:51.0,,,43-27,,Offensive rebound by Team
8:51.0,,,43-28,1,C. Brewer makes free throw 2 of 2
8:39.0,L. Williams misses 3-pt shot from 24 ft,,43-28,,
8:37.0,,,43-28,,Defensive rebound by J. Clarkson
8:37.0,Violation by W. Johnson (kicked ball),,43-28,,
8:31.0,,,43-28,,Turnover by A. Bogut (bad pass)
8:31.0,A. Rivers enters the game for W. Johnson,,43-28,,
8:17.0,Turnover by M. Teodosic (bad pass; steal by L. Nance),,43-28,,
8:12.0,,,43-30,2,J. Hart makes 2-pt shot from 2 ft (assist by L. Nance)
8:04.0,D. Jordan makes 2-pt shot from 2 ft (assist by L. Williams),2,45-30,,
7:46.0,,,45-30,,C. Brewer misses 2-pt shot from 4 ft
7:46.0,Defensive rebound by Team,,45-30,,
7:45.0,,,45-30,,Loose ball foul by C. Brewer (drawn by D. Jordan)
7:45.0,LA Clippers full timeout,,45-30,,
7:45.0,,,45-30,,K. Caldwell-Pope enters the game for C. Brewer
7:45.0,,,45-30,,J. Randle enters the game for J. Hart
7:45.0,,,45-30,,B. Ingram enters the game for L. Nance
7:45.0,C. Williams enters the game for S. Dekker,,45-30,,
7:45.0,B. Griffin enters the game for A. Rivers,,45-30,,
7:35.0,B. Griffin misses 3-pt shot from 26 ft,,45-30,,
7:31.0,Offensive rebound by D. Jordan,,45-30,,
7:26.0,L. Williams misses 3-pt shot from 23 ft,,45-30,,
7:21.0,Offensive rebound by M. Teodosic,,45-30,,
7:12.0,D. Jordan makes 2-pt shot from 2 ft (assist by M. Teodosic),2,47-30,,
6:56.0,,,47-30,,Offensive foul by A. Bogut (drawn by M. Teodosic)
6:56.0,,,47-30,,Turnover by A. Bogut (offensive foul)
6:56.0,,,47-30,,K. Kuzma enters the game for A. Bogut
6:44.0,L. Williams misses 2-pt shot from 2 ft (block by J. Randle),,47-30,,
6:40.0,,,47-30,,Defensive rebound by K. Caldwell-Pope
6:37.0,,,47-30,,B. Ingram misses 2-pt shot from 3 ft (block by C. Williams)
6:36.0,,,47-30,,Offensive rebound by J. Randle
6:36.0,,,47-32,2,J. Randle makes 2-pt shot at rim
6:23.0,B. Griffin misses 2-pt shot from 8 ft,,47-32,,
6:23.0,Offensive rebound by B. Griffin,,47-32,,
6:21.0,B. Griffin makes 2-pt shot at rim,2,49-32,,
6:02.0,,,49-32,,B. Ingram misses 3-pt shot from 26 ft
5:58.0,Defensive rebound by D. Jordan,,49-32,,
5:47.0,C. Williams misses 3-pt shot from 27 ft,,49-32,,
5:47.0,,,49-32,,Defensive rebound by Team
5:47.0,Loose ball foul by B. Griffin (drawn by J. Randle),,49-32,,
5:47.0,A. Rivers enters the game for C. Williams,,49-32,,
5:29.0,,,49-32,,J. Clarkson misses 3-pt shot from 26 ft
5:24.0,Defensive rebound by L. Williams,,49-32,,
5:16.0,A. Rivers misses 3-pt shot from 24 ft,,49-32,,
5:13.0,,,49-32,,Defensive rebound by J. Randle
5:10.0,,,49-34,2,J. Randle makes 2-pt shot from 2 ft
4:48.0,B. Griffin misses 2-pt shot from 6 ft,,49-34,,
4:48.0,Offensive rebound by Team,,49-34,,
4:48.0,,,49-34,,Loose ball foul by J. Randle (drawn by B. Griffin)
4:32.0,M. Teodosic makes 3-pt shot from 23 ft (assist by B. Griffin),3,52-34,,
4:19.0,,,52-36,2,J. Randle makes 2-pt shot from 3 ft (assist by J. Clarkson)
4:13.0,,,52-36,,Personal foul by K. Caldwell-Pope (drawn by L. Williams)
4:13.0,L. Williams makes free throw 1 of 2,1,53-36,,
4:13.0,L. Williams makes free throw 2 of 2,1,54-36,,
3:55.0,,,54-38,2,J. Randle makes 2-pt shot from 10 ft
3:35.0,B. Griffin makes 2-pt shot from 4 ft (assist by M. Teodosic),2,56-38,,
3:22.0,Personal foul by M. Teodosic (drawn by J. Clarkson),,56-38,,
3:10.0,,,56-40,2,J. Clarkson makes 2-pt shot from 3 ft
2:49.0,B. Griffin misses 2-pt shot from 3 ft,,56-40,,
2:49.0,Offensive rebound by Team,,56-40,,
2:49.0,,,56-40,,LA Lakers full timeout
2:49.0,C. Williams enters the game for L. Williams,,56-40,,
2:44.0,,,56-40,,Personal foul by K. Caldwell-Pope (drawn by M. Teodosic)
2:44.0,M. Teodosic makes free throw 1 of 2,1,57-40,,
2:44.0,M. Teodosic makes free throw 2 of 2,1,58-40,,
2:29.0,,,58-42,2,K. Kuzma makes 2-pt shot from 3 ft
2:01.0,C. Williams makes 2-pt shot from 15 ft,2,60-42,,
1:54.0,,,60-44,2,K. Kuzma makes 2-pt shot from 17 ft
1:39.0,A. Rivers misses 2-pt shot from 1 ft,,60-44,,
1:36.0,,,60-44,,Defensive rebound by J. Clarkson
1:33.0,,,60-46,2,J. Clarkson makes 2-pt shot from 2 ft
1:09.0,Turnover by Team (shot clock),,60-46,,
1:09.0,L. Williams enters the game for C. Williams,,60-46,,
0:47.0,,,60-46,,B. Ingram misses 2-pt shot from 16 ft
0:43.0,Defensive rebound by D. Jordan,,60-46,,
0:37.0,D. Jordan misses 2-pt shot from 2 ft,,60-46,,
0:34.0,,,60-46,,Defensive rebound by K. Kuzma
0:34.0,,,60-48,2,K. Kuzma makes 2-pt shot from 2 ft
0:24.0,M. Teodosic misses 3-pt shot from 25 ft,,60-48,,
0:24.0,,,60-48,,Defensive rebound by K. Kuzma
0:06.0,,,60-48,,K. Kuzma misses 3-pt shot from 26 ft
0:04.0,Defensive rebound by D. Jordan,,60-48,,
0:03.0,,,60-48,,Technical foul by K. Kuzma (drawn by B. Griffin)
0:03.0,B. Griffin makes flagrant free throw 1 of 2,1,61-48,,
0:03.0,B. Griffin makes flagrant free throw 2 of 2,1,62-48,,
0:00.0,A. Rivers misses 2-pt shot from 2 ft,,62-48,,
0:00.0,Offensive rebound by Team,,62-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,Personal foul by C. Williams (drawn by B. Ingram),,62-48,,
11:49.0,,,62-50,2,B. Ingram makes 2-pt shot from 17 ft (assist by J. Randle)
11:24.0,B. Griffin misses 3-pt shot from 26 ft,,62-50,,
11:21.0,,,62-50,,Defensive rebound by J. Hart
11:17.0,,,62-52,2,J. Randle makes 2-pt shot from 1 ft (assist by B. Ingram)
11:17.0,LA Clippers full timeout,,62-52,,
10:57.0,Turnover by C. Williams (lost ball; steal by J. Randle),,62-52,,
10:51.0,,,62-55,3,K. Kuzma makes 3-pt shot from 25 ft
10:37.0,A. Rivers makes 3-pt shot from 24 ft (assist by M. Teodosic),3,65-55,,
10:15.0,,,65-55,,J. Randle misses 2-pt shot from 3 ft
10:11.0,,,65-55,,Offensive rebound by J. Randle
10:10.0,,,65-55,,J. Randle misses 2-pt shot from 2 ft (block by D. Jordan)
10:10.0,,,65-55,,Offensive rebound by Team
10:06.0,,,65-55,,B. Ingram misses 2-pt shot from 18 ft
10:04.0,Defensive rebound by D. Jordan,,65-55,,
9:52.0,M. Teodosic misses 3-pt shot from 26 ft,,65-55,,
9:48.0,,,65-55,,Defensive rebound by K. Caldwell-Pope
9:33.0,,,65-55,,K. Kuzma misses 3-pt shot from 27 ft
9:32.0,,,65-55,,Offensive rebound by Team
9:32.0,Loose ball foul by M. Teodosic (drawn by J. Hart),,65-55,,
9:24.0,,,65-55,,B. Ingram misses 2-pt shot from 15 ft
9:20.0,Defensive rebound by D. Jordan,,65-55,,
9:05.0,A. Rivers misses 3-pt shot from 27 ft,,65-55,,
9:01.0,Offensive rebound by C. Williams,,65-55,,
8:57.0,B. Griffin makes 3-pt shot from 26 ft (assist by A. Rivers),3,68-55,,
8:43.0,,,68-55,,Turnover by J. Randle (bad pass; steal by B. Griffin)
8:28.0,Turnover by B. Griffin (bad pass; steal by B. Ingram),,68-55,,
8:27.0,,,68-55,,Shooting foul by A. Rivers (drawn by K. Caldwell-Pope)
8:27.0,,,68-56,1,K. Caldwell-Pope makes free throw 1 of 2
8:27.0,,,68-57,1,K. Caldwell-Pope makes free throw 2 of 2
8:18.0,Turnover by M. Teodosic (bad pass; steal by J. Hart),,68-57,,
8:14.0,,,68-57,,K. Caldwell-Pope misses 3-pt shot from 22 ft
8:09.0,Defensive rebound by C. Williams,,68-57,,
7:57.0,C. Williams makes 3-pt shot from 25 ft (assist by A. Rivers),3,71-57,,
7:43.0,,,71-59,2,B. Ingram makes 2-pt shot from 20 ft
7:39.0,Turnover by A. Rivers (out of bounds lost ball),,71-59,,
7:28.0,,,71-59,,K. Kuzma misses 2-pt shot from 3 ft
7:24.0,Defensive rebound by D. Jordan,,71-59,,
7:08.0,C. Williams misses 2-pt shot from 18 ft,,71-59,,
7:04.0,,,71-59,,Defensive rebound by J. Randle
7:01.0,,,71-61,2,B. Ingram makes 2-pt shot from 2 ft (assist by J. Randle)
6:56.0,Offensive foul by B. Griffin (drawn by K. Caldwell-Pope),,71-61,,
6:56.0,Turnover by B. Griffin (offensive foul),,71-61,,
6:47.0,,,71-61,,K. Caldwell-Pope misses 3-pt shot from 27 ft
6:45.0,Defensive rebound by Team,,71-61,,
6:34.0,Offensive foul by B. Griffin (drawn by J. Hart),,71-61,,
6:34.0,Turnover by B. Griffin (offensive foul),,71-61,,
6:20.0,,,71-61,,Turnover by K. Caldwell-Pope (out of bounds lost ball)
6:20.0,J. Evans enters the game for M. Teodosic,,71-61,,
6:20.0,L. Williams enters the game for C. Williams,,71-61,,
6:10.0,D. Jordan makes 2-pt shot from 2 ft (assist by B. Griffin),2,73-61,,
6:03.0,,,73-63,2,B. Ingram makes 2-pt shot from 2 ft
5:44.0,Shooting foul by J. Randle (drawn by B. Griffin),,73-63,,
5:44.0,B. Griffin makes free throw 1 of 2,1,74-63,,
5:44.0,B. Griffin makes free throw 2 of 2,1,75-63,,
5:32.0,,,75-65,2,J. Randle makes 2-pt shot from 2 ft (assist by K. Kuzma)
5:21.0,L. Williams makes 3-pt shot from 26 ft (assist by B. Griffin),3,78-65,,
5:14.0,,,78-65,,J. Hart misses 2-pt shot from 2 ft
5:13.0,Defensive rebound by D. Jordan,,78-65,,
5:10.0,Turnover by D. Jordan (bad pass),,78-65,,
5:10.0,,,78-65,,J. Clarkson enters the game for K. Caldwell-Pope
5:10.0,,,78-65,,C. Brewer enters the game for J. Hart
4:49.0,,,78-65,,Turnover by K. Kuzma (bad pass)
4:42.0,L. Williams misses 3-pt shot from 26 ft,,78-65,,
4:38.0,,,78-65,,Defensive rebound by J. Clarkson
4:34.0,,,78-65,,B. Ingram misses 2-pt shot from 3 ft
4:30.0,Defensive rebound by D. Jordan,,78-65,,
4:17.0,A. Rivers misses 3-pt shot from 26 ft,,78-65,,
4:14.0,,,78-65,,Defensive rebound by C. Brewer
4:12.0,,,78-65,,K. Kuzma misses 3-pt shot from 25 ft
4:10.0,Defensive rebound by A. Rivers,,78-65,,
4:10.0,LA Clippers full timeout,,78-65,,
4:10.0,,,78-65,,L. Nance enters the game for J. Randle
4:10.0,S. Dekker enters the game for B. Griffin,,78-65,,
3:57.0,D. Jordan misses 2-pt shot from 3 ft,,78-65,,
3:55.0,,,78-65,,Defensive rebound by L. Nance
3:51.0,,,78-65,,J. Clarkson misses 2-pt shot from 15 ft
3:51.0,Defensive rebound by Team,,78-65,,
3:34.0,L. Williams misses 3-pt shot from 25 ft,,78-65,,
3:31.0,Offensive rebound by L. Williams,,78-65,,
3:30.0,Turnover by L. Williams (bad pass; steal by C. Brewer),,78-65,,
