time,LA Clippers,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. D. Jordan (J. Evans gains possession),,,,Jump ball: Z. Pachulia vs. D. Jordan (J. Evans gains possession)
11:47.0,D. Jordan makes 2-pt shot from 1 ft (assist by J. Evans),2,2-0,,
11:32.0,,,2-0,,Z. Pachulia misses 2-pt shot from 18 ft
11:29.0,,,2-0,,Offensive rebound by Z. Pachulia
11:28.0,,,2-0,,Z. Pachulia misses 2-pt shot from 11 ft
11:25.0,,,2-0,,Offensive rebound by Z. Pachulia
11:24.0,,,2-2,2,Z. Pachulia makes 2-pt shot from 1 ft
11:11.0,L. Williams makes 3-pt shot from 22 ft (assist by D. Jordan),3,5-2,,
10:54.0,,,5-2,,N. Young misses 3-pt shot from 24 ft
10:51.0,Defensive rebound by D. Jordan,,5-2,,
10:44.0,C. Williams makes 2-pt shot from 14 ft (assist by J. Evans),2,7-2,,
10:34.0,,,7-4,2,S. Livingston makes 2-pt shot from 11 ft
10:15.0,D. Jordan misses 2-pt shot from 10 ft,,7-4,,
10:10.0,,,7-4,,Defensive rebound by D. Green
10:04.0,Jump ball: D. Green vs. J. Evans (N. Young gains possession),,,,Jump ball: D. Green vs. J. Evans (N. Young gains possession)
9:56.0,,,7-4,,Shooting foul by W. Johnson (drawn by Z. Pachulia)
9:56.0,,,7-5,1,Z. Pachulia makes free throw 1 of 2
9:56.0,,,7-6,1,Z. Pachulia makes free throw 2 of 2
9:44.0,W. Johnson misses 2-pt shot from 22 ft,,7-6,,
9:41.0,,,7-6,,Defensive rebound by D. Green
9:38.0,,,7-6,,Shooting foul by C. Williams (drawn by K. Durant)
9:38.0,,,7-7,1,K. Durant makes free throw 1 of 2
9:38.0,,,7-8,1,K. Durant makes free throw 2 of 2
9:23.0,C. Williams makes 3-pt shot from 24 ft (assist by J. Evans),3,10-8,,
9:13.0,,,10-8,,D. Green misses 3-pt shot from 28 ft
9:08.0,Defensive rebound by J. Evans,,10-8,,
9:02.0,W. Johnson misses 3-pt shot from 23 ft,,10-8,,
8:58.0,,,10-8,,Defensive rebound by D. Green
8:53.0,,,10-10,2,N. Young makes 2-pt shot at rim (assist by D. Green)
8:44.0,D. Jordan makes 2-pt shot at rim (assist by L. Williams),2,12-10,,
8:25.0,,,12-13,3,N. Young makes 3-pt shot from 23 ft (assist by S. Livingston)
8:15.0,Turnover by W. Johnson (out of bounds lost ball),,12-13,,
8:00.0,,,12-13,,N. Young misses 3-pt shot from 23 ft
7:53.0,Defensive rebound by C. Williams,,12-13,,
7:45.0,L. Williams misses 3-pt shot from 24 ft,,12-13,,
7:45.0,Offensive rebound by Team,,12-13,,
7:38.0,J. Evans makes 2-pt shot from 13 ft,2,14-13,,
7:18.0,,,14-15,2,K. Durant makes 2-pt shot from 12 ft (assist by N. Young)
7:05.0,W. Johnson misses 2-pt shot from 12 ft,,14-15,,
6:59.0,Offensive rebound by D. Jordan,,14-15,,
6:59.0,D. Jordan misses 2-pt shot at rim,,14-15,,
6:57.0,Offensive rebound by D. Jordan,,14-15,,
6:57.0,D. Jordan misses 2-pt shot at rim,,14-15,,
6:56.0,,,14-15,,Defensive rebound by Z. Pachulia
6:54.0,,,14-15,,Turnover by S. Livingston (bad pass; steal by W. Johnson)
6:46.0,L. Williams misses 2-pt shot from 6 ft,,14-15,,
6:41.0,,,14-15,,Defensive rebound by D. Green
6:40.0,,,14-17,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by K. Durant)
6:40.0,LA Clippers full timeout,,14-17,,
6:40.0,M. Harrell enters the game for W. Johnson,,14-17,,
6:29.0,L. Williams makes 2-pt shot from 20 ft (assist by J. Evans),2,16-17,,
6:08.0,,,16-17,,D. Green misses 2-pt shot from 19 ft
6:03.0,Defensive rebound by D. Jordan,,16-17,,
5:54.0,M. Harrell makes 2-pt shot from 2 ft (assist by L. Williams),2,18-17,,
5:39.0,,,18-17,,K. Durant misses 2-pt shot from 16 ft
5:34.0,Defensive rebound by D. Jordan,,18-17,,
5:33.0,,,18-17,,Personal foul by N. Young (drawn by L. Williams)
5:33.0,,,18-17,,O. Casspi enters the game for D. Green
5:33.0,,,18-17,,A. Iguodala enters the game for S. Livingston
5:25.0,Turnover by J. Evans (bad pass; steal by Z. Pachulia),,18-17,,
5:21.0,,,18-17,,Turnover by Z. Pachulia (bad pass; steal by C. Williams)
5:18.0,M. Harrell misses 2-pt shot from 16 ft,,18-17,,
5:16.0,,,18-17,,Defensive rebound by Z. Pachulia
5:09.0,,,18-17,,Turnover by K. Durant (bad pass)
5:09.0,,,18-17,,J. McGee enters the game for Z. Pachulia
4:59.0,L. Williams misses 3-pt shot from 26 ft,,18-17,,
4:56.0,,,18-17,,Defensive rebound by K. Durant
4:53.0,,,18-19,2,K. Durant makes 2-pt shot from 14 ft
4:53.0,,,18-19,,Shooting foul by J. Evans (drawn by K. Durant)
4:53.0,,,18-19,,K. Durant misses free throw 1 of 1
4:46.0,Defensive rebound by M. Harrell,,18-19,,
4:42.0,J. Evans makes 2-pt shot from 7 ft,2,20-19,,
4:23.0,,,20-22,3,K. Durant makes 3-pt shot from 27 ft
4:13.0,J. Evans misses 2-pt shot from 19 ft,,20-22,,
4:12.0,,,20-22,,Defensive rebound by Team
4:12.0,,,20-22,,P. McCaw enters the game for N. Young
3:52.0,,,20-24,2,J. McGee makes 2-pt shot from 7 ft
3:45.0,M. Harrell makes 2-pt shot at rim (assist by L. Williams),2,22-24,,
3:29.0,,,22-24,,P. McCaw misses 2-pt shot from 18 ft
3:22.0,Defensive rebound by D. Jordan,,22-24,,
3:22.0,C. Williams makes 3-pt shot from 25 ft,3,25-24,,
3:12.0,,,25-24,,Golden State full timeout
3:12.0,,,25-24,,D. Green enters the game for K. Durant
3:12.0,T. Wallace enters the game for J. Evans,,25-24,,
