time,LA Clippers,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. D. Jordan (R. Rondo gains possession),,,,Jump ball: A. Davis vs. D. Jordan (R. Rondo gains possession)
11:48.0,,,0-2,2,A. Davis makes 2-pt shot from 1 ft (assist by E. Moore)
11:35.0,M. Teodosic misses 2-pt shot from 17 ft,,0-2,,
11:32.0,,,0-2,,Defensive rebound by D. Cunningham
11:21.0,,,0-5,3,E. Moore makes 3-pt shot from 24 ft (assist by A. Davis)
11:19.0,LA Clippers full timeout,,0-5,,
11:13.0,B. Griffin misses 2-pt shot from 1 ft,,0-5,,
11:12.0,Offensive rebound by D. Jordan,,0-5,,
11:12.0,D. Jordan misses 2-pt shot at rim,,0-5,,
11:11.0,,,0-5,,Defensive rebound by Team
10:58.0,,,0-8,3,R. Rondo makes 3-pt shot from 26 ft (assist by J. Holiday)
10:40.0,T. Wallace misses 3-pt shot from 26 ft,,0-8,,
10:38.0,Offensive rebound by Team,,0-8,,
10:36.0,Turnover by M. Teodosic (bad pass; steal by D. Cunningham),,0-8,,
10:32.0,,,0-8,,R. Rondo misses 2-pt shot from 1 ft
10:29.0,Defensive rebound by D. Jordan,,0-8,,
10:15.0,M. Teodosic misses 3-pt shot from 25 ft,,0-8,,
10:10.0,,,0-8,,Defensive rebound by R. Rondo
10:01.0,,,0-8,,R. Rondo misses 3-pt shot from 25 ft
9:58.0,Defensive rebound by B. Griffin,,0-8,,
9:48.0,T. Wallace makes 2-pt shot from 13 ft,2,2-8,,
9:42.0,,,2-8,,Turnover by E. Moore (traveling)
9:27.0,T. Wallace misses 2-pt shot from 2 ft (block by J. Holiday),,2-8,,
9:23.0,,,2-8,,Defensive rebound by A. Davis
9:21.0,,,2-11,3,J. Holiday makes 3-pt shot from 25 ft (assist by A. Davis)
9:07.0,T. Wallace makes 2-pt shot from 2 ft,2,4-11,,
8:49.0,,,4-13,2,A. Davis makes 2-pt shot from 9 ft (assist by J. Holiday)
8:44.0,W. Johnson makes 2-pt shot at rim (assist by B. Griffin),2,6-13,,
8:19.0,,,6-13,,Turnover by R. Rondo (bad pass)
8:05.0,M. Teodosic makes 3-pt shot from 25 ft (assist by T. Wallace),3,9-13,,
7:52.0,,,9-13,,J. Holiday misses 2-pt shot from 1 ft (block by W. Johnson)
7:52.0,,,9-13,,Offensive rebound by Team
7:48.0,,,9-13,,A. Davis misses 2-pt shot from 14 ft
7:44.0,Defensive rebound by M. Teodosic,,9-13,,
7:40.0,W. Johnson misses 2-pt shot from 15 ft,,9-13,,
7:36.0,,,9-13,,Defensive rebound by D. Cunningham
7:32.0,,,9-15,2,D. Cunningham makes 2-pt shot at rim (assist by R. Rondo)
7:19.0,B. Griffin misses 3-pt shot from 26 ft,,9-15,,
7:15.0,,,9-15,,Defensive rebound by J. Holiday
7:05.0,,,9-15,,D. Cunningham misses 3-pt shot from 25 ft
7:02.0,Defensive rebound by D. Jordan,,9-15,,
6:49.0,B. Griffin misses 2-pt shot from 5 ft,,9-15,,
6:48.0,Offensive rebound by T. Wallace,,9-15,,
6:46.0,T. Wallace makes 2-pt shot from 2 ft,2,11-15,,
6:41.0,,,11-15,,Turnover by R. Rondo (bad pass; steal by W. Johnson)
6:37.0,,,11-15,,Personal foul by J. Holiday (drawn by T. Wallace)
6:37.0,,,11-15,,D. Miller enters the game for J. Holiday
6:37.0,L. Williams enters the game for M. Teodosic,,11-15,,
6:25.0,D. Jordan makes 2-pt shot from 1 ft (assist by B. Griffin),2,13-15,,
6:25.0,Shooting foul by A. Davis (drawn by D. Jordan),,13-15,,
6:25.0,D. Jordan misses free throw 1 of 1,,13-15,,
6:23.0,,,13-15,,Defensive rebound by A. Davis
6:19.0,,,13-15,,R. Rondo misses 2-pt shot from 17 ft
6:15.0,Defensive rebound by D. Jordan,,13-15,,
6:02.0,W. Johnson misses 3-pt shot from 27 ft,,13-15,,
5:59.0,,,13-15,,Defensive rebound by Team
5:50.0,,,13-15,,Turnover by A. Davis (bad pass; steal by L. Williams)
5:45.0,,,13-15,,Personal foul by R. Rondo (drawn by L. Williams)
5:31.0,B. Griffin misses 2-pt shot from 1 ft,,13-15,,
5:29.0,,,13-15,,Defensive rebound by R. Rondo
5:22.0,,,13-17,2,E. Moore makes 2-pt shot from 23 ft
5:10.0,L. Williams makes 2-pt shot from 20 ft,2,15-17,,
4:53.0,,,15-17,,E. Moore misses 3-pt shot from 23 ft
4:49.0,,,15-17,,Offensive rebound by D. Cunningham
4:46.0,,,15-20,3,R. Rondo makes 3-pt shot from 26 ft (assist by A. Davis)
4:33.0,T. Wallace makes 2-pt shot from 11 ft (assist by W. Johnson),2,17-20,,
4:20.0,,,17-20,,D. Cunningham misses 3-pt shot from 24 ft
4:17.0,Defensive rebound by L. Williams,,17-20,,
4:11.0,W. Johnson misses 2-pt shot from 19 ft,,17-20,,
4:08.0,,,17-20,,Defensive rebound by D. Cunningham
4:04.0,,,17-22,2,E. Moore makes 2-pt shot from 1 ft (assist by R. Rondo)
3:44.0,L. Williams misses 2-pt shot from 12 ft,,17-22,,
3:41.0,,,17-22,,Defensive rebound by E. Moore
3:34.0,,,17-24,2,E. Moore makes 2-pt shot from 1 ft
3:21.0,B. Griffin makes 2-pt shot at rim (assist by L. Williams),2,19-24,,
3:06.0,,,19-24,,A. Davis misses 2-pt shot from 14 ft
3:04.0,Defensive rebound by L. Williams,,19-24,,
3:00.0,L. Williams misses 3-pt shot from 25 ft,,19-24,,
2:55.0,,,19-24,,Defensive rebound by R. Rondo
2:48.0,,,19-26,2,D. Cunningham makes 2-pt shot from 1 ft (assist by R. Rondo)
2:30.0,L. Williams misses 3-pt shot from 28 ft,,19-26,,
2:25.0,,,19-26,,Defensive rebound by D. Cunningham
2:25.0,Loose ball foul by D. Jordan (drawn by D. Cunningham),,19-26,,
2:25.0,,,19-26,,New Orleans full timeout
2:25.0,,,19-26,,I. Clark enters the game for R. Rondo
2:25.0,,,19-26,,D. Liggins enters the game for A. Davis
2:25.0,,,19-26,,O. Asik enters the game for D. Cunningham
2:25.0,,,19-26,,J. Holiday enters the game for E. Moore
2:25.0,M. Harrell enters the game for D. Jordan,,19-26,,
2:25.0,S. Thornwell enters the game for W. Johnson,,19-26,,
2:14.0,,,19-26,,Shooting foul by T. Wallace (drawn by J. Holiday)
2:14.0,,,19-27,1,J. Holiday makes free throw 1 of 2
2:14.0,,,19-28,1,J. Holiday makes free throw 2 of 2
1:54.0,M. Harrell makes 2-pt shot from 1 ft (assist by S. Thornwell),2,21-28,,
1:34.0,,,21-28,,O. Asik misses 2-pt shot from 2 ft
1:32.0,Defensive rebound by T. Wallace,,21-28,,
1:29.0,T. Wallace makes 2-pt shot from 11 ft (assist by B. Griffin),2,23-28,,
