time,Brooklyn,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Millsap vs. T. Mozgov (S. Dinwiddie gains possession),,,,Jump ball: P. Millsap vs. T. Mozgov (S. Dinwiddie gains possession)
11:47.0,T. Mozgov misses 3-pt shot from 81 ft (block by N. Jokic),,0-0,,
11:47.0,,,0-0,,Defensive rebound by W. Chandler
11:40.0,,,0-0,,W. Chandler misses 3-pt shot from 24 ft
11:37.0,Defensive rebound by D. Carroll,,0-0,,
11:23.0,D. Carroll misses 3-pt shot from 22 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by G. Harris
11:15.0,,,0-0,,G. Harris misses 2-pt shot from 12 ft (block by D. Russell)
11:15.0,Defensive rebound by A. Crabbe,,0-0,,
11:03.0,D. Russell makes 2-pt shot from 22 ft,2,2-0,,
10:38.0,,,2-0,,P. Millsap misses 2-pt shot from 11 ft
10:36.0,Defensive rebound by A. Crabbe,,2-0,,
10:29.0,Turnover by D. Russell (bad pass; steal by N. Jokic),,2-0,,
10:21.0,,,2-0,,G. Harris misses 2-pt shot from 13 ft
10:17.0,Defensive rebound by T. Mozgov,,2-0,,
10:06.0,S. Dinwiddie misses 2-pt shot from 9 ft (block by N. Jokic),,2-0,,
10:03.0,,,2-0,,Defensive rebound by N. Jokic
10:01.0,,,2-2,2,N. Jokic makes 2-pt shot from 2 ft
9:35.0,D. Russell misses 2-pt shot from 22 ft,,2-2,,
9:34.0,Offensive rebound by T. Mozgov,,2-2,,
9:13.0,A. Crabbe misses 3-pt shot from 25 ft,,2-2,,
9:11.0,,,2-2,,Defensive rebound by Team
8:59.0,,,2-2,,N. Jokic misses 3-pt shot from 25 ft
8:53.0,,,2-2,,Offensive rebound by W. Chandler
8:53.0,,,2-2,,W. Chandler misses 2-pt shot at rim
8:53.0,Defensive rebound by S. Dinwiddie,,2-2,,
8:46.0,D. Carroll makes 2-pt shot from 17 ft (assist by S. Dinwiddie),2,4-2,,
8:34.0,,,4-2,,G. Harris misses 3-pt shot from 24 ft
8:31.0,Defensive rebound by D. Carroll,,4-2,,
8:19.0,D. Russell misses 2-pt shot from 14 ft,,4-2,,
8:17.0,,,4-2,,Defensive rebound by G. Harris
8:05.0,,,4-4,2,P. Millsap makes 2-pt shot from 6 ft
7:52.0,A. Crabbe makes 3-pt shot from 25 ft (assist by D. Russell),3,7-4,,
7:35.0,,,7-6,2,N. Jokic makes 2-pt shot from 19 ft (assist by J. Murray)
7:13.0,Turnover by D. Russell (turnover),,7-6,,
7:01.0,,,7-6,,Turnover by P. Millsap (traveling)
6:49.0,Turnover by T. Mozgov (turnover),,7-6,,
6:49.0,,,7-6,,Denver full timeout
6:49.0,J. Harris enters the game for D. Carroll,,7-6,,
6:49.0,T. Zeller enters the game for T. Mozgov,,7-6,,
6:49.0,D. Carroll enters the game for S. Dinwiddie,,7-6,,
6:40.0,,,7-6,,N. Jokic misses 2-pt shot from 20 ft
6:37.0,Defensive rebound by D. Russell,,7-6,,
6:34.0,Turnover by D. Russell (lost ball; steal by J. Murray),,7-6,,
6:34.0,Personal foul by D. Russell (drawn by J. Murray),,7-6,,
6:34.0,,,7-7,1,J. Murray makes clear path free throw 2 of 2
6:34.0,,,7-8,1,J. Murray makes clear path free throw 1 of 2
6:23.0,,,7-11,3,N. Jokic makes 3-pt shot from 25 ft
5:58.0,T. Zeller makes 2-pt shot from 16 ft (assist by A. Crabbe),2,9-11,,
5:44.0,,,9-11,,N. Jokic misses 3-pt shot from 24 ft
5:41.0,Defensive rebound by D. Russell,,9-11,,
5:36.0,A. Crabbe misses 3-pt shot from 25 ft,,9-11,,
5:33.0,,,9-11,,Defensive rebound by G. Harris
5:30.0,,,9-13,2,P. Millsap makes 2-pt shot from 3 ft (assist by J. Murray)
5:19.0,T. Zeller makes 2-pt shot from 6 ft (assist by D. Russell),2,11-13,,
5:11.0,,,11-13,,Shooting foul by D. Carroll (drawn by N. Jokic)
5:11.0,,,11-14,1,N. Jokic makes free throw 1 of 2
5:11.0,,,11-14,,W. Barton enters the game for P. Millsap
5:11.0,,,11-14,,N. Jokic misses free throw 2 of 2
5:09.0,Defensive rebound by D. Carroll,,11-14,,
4:48.0,D. Carroll makes 2-pt shot from 3 ft,2,13-14,,
4:32.0,,,13-17,3,G. Harris makes 3-pt shot from 24 ft (assist by N. Jokic)
4:14.0,Turnover by D. Carroll (lost ball; steal by W. Barton),,13-17,,
4:10.0,,,13-17,,Turnover by J. Murray (bad pass)
4:10.0,Brooklyn full timeout,,13-17,,
4:10.0,,,13-17,,E. Mudiay enters the game for N. Jokic
4:10.0,,,13-17,,M. Plumlee enters the game for J. Murray
4:10.0,C. LeVert enters the game for D. Russell,,13-17,,
4:10.0,S. Dinwiddie enters the game for D. Carroll,,13-17,,
4:10.0,Q. Acy enters the game for A. Crabbe,,13-17,,
3:47.0,Turnover by J. Harris (bad pass; steal by G. Harris),,13-17,,
3:42.0,,,13-17,,G. Harris misses 2-pt shot from 20 ft
3:38.0,Defensive rebound by T. Zeller,,13-17,,
3:26.0,Q. Acy misses 3-pt shot from 24 ft,,13-17,,
3:23.0,,,13-17,,Defensive rebound by M. Plumlee
3:08.0,,,13-19,2,W. Barton makes 2-pt shot from 3 ft
2:57.0,S. Dinwiddie misses 3-pt shot from 25 ft,,13-19,,
2:57.0,Offensive rebound by Q. Acy,,13-19,,
2:48.0,S. Dinwiddie misses 2-pt shot from 4 ft (block by M. Plumlee),,13-19,,
2:48.0,Offensive rebound by Team,,13-19,,
2:48.0,,,13-19,,P. Millsap enters the game for W. Chandler
2:35.0,S. Dinwiddie misses 2-pt shot from 2 ft,,13-19,,
2:34.0,,,13-19,,Defensive rebound by M. Plumlee
2:29.0,Shooting block foul by T. Zeller (drawn by M. Plumlee),,13-19,,
2:29.0,,,13-20,1,M. Plumlee makes free throw 1 of 2
2:29.0,,,13-21,1,M. Plumlee makes free throw 2 of 2
2:10.0,T. Zeller makes 2-pt shot from 4 ft,2,15-21,,
2:10.0,Shooting foul by M. Plumlee (drawn by T. Zeller),,15-21,,
2:10.0,T. Zeller misses free throw 1 of 1,,15-21,,
2:08.0,,,15-21,,Defensive rebound by W. Barton
1:52.0,,,15-21,,E. Mudiay misses 2-pt shot from 2 ft (block by T. Zeller)
1:52.0,,,15-21,,Offensive rebound by E. Mudiay
1:46.0,,,15-21,,Shooting foul by Q. Acy (drawn by P. Millsap)
1:46.0,,,15-22,1,P. Millsap makes free throw 1 of 2
1:46.0,,,15-23,1,P. Millsap makes free throw 2 of 2
1:30.0,Turnover by C. LeVert (bad pass; steal by G. Harris),,15-23,,
1:24.0,,,15-25,2,W. Barton makes 2-pt shot from 2 ft (assist by G. Harris)
1:15.0,C. LeVert misses 3-pt shot from 25 ft,,15-25,,
1:11.0,,,15-25,,Defensive rebound by Team
1:04.0,,,15-25,,P. Millsap misses 3-pt shot from 24 ft
0:59.0,Defensive rebound by J. Harris,,15-25,,
0:54.0,C. LeVert makes 2-pt shot from 3 ft,2,17-25,,
0:41.0,,,17-28,3,W. Barton makes 3-pt shot from 24 ft (assist by G. Harris)
0:31.0,C. LeVert makes 2-pt shot from 2 ft,2,19-28,,
0:13.0,,,19-28,,E. Mudiay misses 3-pt shot from 25 ft
0:08.0,Defensive rebound by Q. Acy,,19-28,,
0:08.0,,,19-28,,Personal take foul by G. Harris (drawn by S. Dinwiddie)
0:08.0,,,19-28,,M. Beasley enters the game for G. Harris
0:08.0,A. Crabbe enters the game for C. LeVert,,19-28,,
0:02.0,S. Dinwiddie makes 2-pt shot from 5 ft,2,21-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,21-28,,W. Barton misses 3-pt shot from 25 ft
11:39.0,Defensive rebound by S. Dinwiddie,,21-28,,
11:19.0,T. Zeller makes 2-pt shot from 17 ft (assist by J. Wiley),2,23-28,,
11:07.0,,,23-28,,N. Jokic misses 2-pt shot from 18 ft
11:04.0,,,23-28,,Offensive rebound by E. Mudiay
11:02.0,,,23-28,,M. Beasley misses 3-pt shot from 24 ft
11:02.0,Defensive rebound by T. Zeller,,23-28,,
10:51.0,T. Zeller misses 2-pt shot from 20 ft,,23-28,,
10:48.0,,,23-28,,Defensive rebound by N. Jokic
10:37.0,,,23-28,,K. Faried misses 2-pt shot from 4 ft
10:34.0,Defensive rebound by J. Wiley,,23-28,,
10:16.0,C. LeVert makes 2-pt shot from 14 ft,2,25-28,,
10:14.0,,,25-28,,Denver full timeout
10:05.0,,,25-28,,N. Jokic misses 2-pt shot from 21 ft
10:01.0,Defensive rebound by C. LeVert,,25-28,,
9:57.0,Shooting foul by N. Jokic (drawn by J. Wiley),,25-28,,
9:57.0,J. Wiley misses free throw 1 of 2,,25-28,,
9:57.0,Offensive rebound by Team,,25-28,,
9:57.0,J. Wiley makes free throw 2 of 2,1,26-28,,
9:39.0,,,26-28,,N. Jokic misses 3-pt shot from 23 ft
9:35.0,,,26-28,,Offensive rebound by K. Faried
9:31.0,,,26-30,2,M. Beasley makes 2-pt shot from 5 ft (assist by K. Faried)
9:08.0,C. LeVert misses 2-pt shot from 18 ft,,26-30,,
9:05.0,,,26-30,,Defensive rebound by W. Barton
9:01.0,,,26-33,3,W. Barton makes 3-pt shot from 24 ft
8:38.0,S. Dinwiddie makes 3-pt shot from 25 ft,3,29-33,,
8:28.0,,,29-33,,E. Mudiay misses 2-pt shot from 15 ft
8:22.0,Defensive rebound by J. Harris,,29-33,,
8:16.0,J. Harris misses 3-pt shot from 25 ft,,29-33,,
8:13.0,,,29-33,,Defensive rebound by E. Mudiay
8:08.0,,,29-36,3,N. Jokic makes 3-pt shot from 24 ft (assist by M. Beasley)
7:35.0,T. Zeller makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,31-36,,
7:24.0,,,31-38,2,W. Barton makes 2-pt shot from 2 ft (assist by N. Jokic)
7:24.0,Brooklyn full timeout,,31-38,,
7:24.0,D. Russell enters the game for S. Dinwiddie,,31-38,,
7:24.0,Q. Acy enters the game for J. Harris,,31-38,,
7:24.0,A. Crabbe enters the game for T. Zeller,,31-38,,
7:08.0,Turnover by C. LeVert (bad pass; steal by K. Faried),,31-38,,
7:04.0,,,31-38,,Turnover by K. Faried (bad pass; steal by Q. Acy)
7:01.0,Turnover by Q. Acy (bad pass),,31-38,,
