time,LA Lakers,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. B. Lopez (L. Ball gains possession),,,,Jump ball: P. Gasol vs. B. Lopez (L. Ball gains possession)
11:46.0,J. Randle misses 2-pt shot from 2 ft (block by P. Gasol),,0-0,,
11:43.0,Jump ball: P. Gasol vs. J. Randle (K. Anderson gains possession),,,,Jump ball: P. Gasol vs. J. Randle (K. Anderson gains possession)
11:43.0,,,0-0,,Offensive rebound by Team
11:40.0,,,0-2,2,P. Mills makes 2-pt shot from 1 ft (assist by K. Anderson)
11:20.0,B. Lopez misses 2-pt shot from 7 ft,,0-2,,
11:20.0,Offensive rebound by Team,,0-2,,
11:15.0,J. Randle misses 2-pt shot from 4 ft,,0-2,,
11:13.0,,,0-2,,Defensive rebound by D. Murray
11:04.0,,,0-2,,Turnover by D. Bertans (step out of bounds)
10:53.0,J. Randle makes 2-pt shot from 19 ft (assist by B. Lopez),2,2-2,,
10:39.0,,,2-5,3,D. Bertans makes 3-pt shot from 25 ft (assist by P. Mills)
10:24.0,Shooting foul by D. Murray (drawn by J. Randle),,2-5,,
10:24.0,J. Randle makes free throw 1 of 2,1,3-5,,
10:24.0,J. Randle makes free throw 2 of 2,1,4-5,,
10:15.0,,,4-5,,P. Gasol misses 2-pt shot from 2 ft (block by J. Randle)
10:13.0,Defensive rebound by J. Randle,,4-5,,
10:11.0,Shooting foul by P. Mills (drawn by K. Kuzma),,4-5,,
10:11.0,K. Kuzma misses free throw 1 of 2,,4-5,,
10:11.0,Offensive rebound by Team,,4-5,,
10:11.0,K. Kuzma makes free throw 2 of 2,1,5-5,,
9:56.0,,,5-5,,D. Bertans misses 3-pt shot from 25 ft
9:52.0,Defensive rebound by K. Caldwell-Pope,,5-5,,
9:40.0,K. Kuzma misses 3-pt shot from 25 ft,,5-5,,
9:37.0,,,5-5,,Defensive rebound by P. Gasol
9:31.0,,,5-5,,P. Gasol misses 3-pt shot from 24 ft
9:28.0,Defensive rebound by L. Ball,,5-5,,
9:22.0,B. Lopez misses 2-pt shot from 4 ft (block by P. Gasol),,5-5,,
9:19.0,,,5-5,,Defensive rebound by D. Bertans
9:13.0,,,5-8,3,P. Mills makes 3-pt shot from 25 ft (assist by P. Gasol)
8:52.0,J. Randle misses 2-pt shot from 20 ft,,5-8,,
8:48.0,,,5-8,,Defensive rebound by D. Murray
8:45.0,,,5-8,,D. Murray misses 2-pt shot at rim
8:43.0,Defensive rebound by L. Ball,,5-8,,
8:39.0,L. Ball misses 2-pt shot from 2 ft,,5-8,,
8:39.0,,,5-8,,Defensive rebound by Team
8:39.0,Loose ball foul by J. Randle (drawn by P. Gasol),,5-8,,
8:29.0,,,5-8,,D. Bertans misses 3-pt shot from 25 ft
8:26.0,Defensive rebound by B. Lopez,,5-8,,
8:16.0,Turnover by K. Kuzma (lost ball; steal by K. Anderson),,5-8,,
8:07.0,,,5-8,,P. Gasol misses 3-pt shot from 25 ft
8:04.0,Defensive rebound by K. Caldwell-Pope,,5-8,,
7:54.0,J. Randle misses 2-pt shot from 8 ft,,5-8,,
7:53.0,Offensive rebound by J. Randle,,5-8,,
7:50.0,J. Randle misses 2-pt shot from 1 ft,,5-8,,
7:50.0,,,5-8,,Defensive rebound by D. Bertans
7:46.0,,,5-8,,San Antonio full timeout
7:38.0,,,5-8,,Shooting foul by L. Ball (drawn by P. Gasol)
