time,Memphis,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. M. Gasol (R. Anderson gains possession),,,,Jump ball: C. Capela vs. M. Gasol (R. Anderson gains possession)
11:40.0,,,0-0,,J. Harden misses 2-pt shot from 11 ft
11:36.0,,,0-0,,Offensive rebound by C. Capela
11:34.0,,,0-3,3,T. Ariza makes 3-pt shot from 26 ft (assist by C. Capela)
11:17.0,M. Gasol misses 2-pt shot from 1 ft,,0-3,,
11:15.0,,,0-3,,Defensive rebound by C. Capela
11:00.0,,,0-6,3,E. Gordon makes 3-pt shot from 25 ft (assist by T. Ariza)
10:32.0,Turnover by Team (shot clock),,0-6,,
10:16.0,,,0-9,3,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden)
10:08.0,Memphis full timeout,,0-9,,
9:53.0,M. Gasol makes 2-pt shot from 1 ft,2,2-9,,
9:44.0,,,2-11,2,J. Harden makes 2-pt shot from 13 ft
9:22.0,M. Conley misses 2-pt shot at rim,,2-11,,
9:20.0,,,2-11,,Defensive rebound by C. Capela
9:12.0,,,2-11,,J. Harden misses 2-pt shot from 8 ft (block by D. Brooks)
9:02.0,Defensive rebound by D. Brooks,,2-11,,
9:00.0,M. Conley misses 3-pt shot from 25 ft,,2-11,,
9:00.0,Offensive rebound by D. Brooks,,2-11,,
9:00.0,Offensive foul by J. Martin (drawn by E. Gordon),,2-11,,
9:00.0,Turnover by J. Martin (offensive foul),,2-11,,
8:37.0,,,2-11,,J. Harden misses 2-pt shot from 13 ft
8:34.0,Defensive rebound by M. Gasol,,2-11,,
8:26.0,D. Brooks makes 3-pt shot from 26 ft (assist by M. Gasol),3,5-11,,
8:11.0,,,5-11,,Turnover by E. Gordon (traveling)
8:01.0,D. Brooks misses 3-pt shot from 23 ft,,5-11,,
7:59.0,,,5-11,,Defensive rebound by T. Ariza
7:49.0,,,5-11,,R. Anderson misses 3-pt shot from 25 ft
7:45.0,Defensive rebound by M. Gasol,,5-11,,
7:39.0,M. Conley misses 2-pt shot at rim (block by C. Capela),,5-11,,
7:36.0,,,5-11,,Defensive rebound by R. Anderson
7:33.0,,,5-14,3,E. Gordon makes 3-pt shot from 24 ft (assist by J. Harden)
7:10.0,M. Gasol makes 2-pt shot from 6 ft (assist by M. Conley),2,7-14,,
6:56.0,,,7-14,,Shooting foul by J. Ennis (drawn by E. Gordon)
6:56.0,,,7-15,1,E. Gordon makes free throw 1 of 2
6:56.0,,,7-15,,P. Tucker enters the game for R. Anderson
6:56.0,,,7-16,1,E. Gordon makes free throw 2 of 2
6:42.0,J. Martin makes 2-pt shot at rim (assist by M. Conley),2,9-16,,
6:34.0,,,9-18,2,P. Tucker makes 2-pt shot from 1 ft
6:23.0,M. Gasol misses 3-pt shot from 24 ft,,9-18,,
6:20.0,,,9-18,,Defensive rebound by T. Ariza
6:05.0,,,9-21,3,P. Tucker makes 3-pt shot from 24 ft (assist by E. Gordon)
5:44.0,M. Gasol misses 2-pt shot from 1 ft (block by C. Capela),,9-21,,
5:41.0,,,9-21,,Defensive rebound by P. Tucker
5:38.0,,,9-23,2,J. Harden makes 2-pt shot at rim (assist by P. Tucker)
5:24.0,Shooting foul by P. Tucker (drawn by M. Conley),,9-23,,
5:24.0,M. Conley makes free throw 1 of 2,1,10-23,,
5:24.0,,,10-23,,N. Hilario enters the game for E. Gordon
5:24.0,,,10-23,,L. Mbah a Moute enters the game for C. Capela
5:24.0,B. McLemore enters the game for J. Ennis,,10-23,,
5:24.0,T. Evans enters the game for D. Brooks,,10-23,,
5:24.0,M. Conley misses free throw 2 of 2,,10-23,,
5:21.0,,,10-23,,Defensive rebound by N. Hilario
5:05.0,,,10-23,,Shooting foul by J. Martin (drawn by J. Harden)
5:05.0,,,10-23,,J. Harden misses free throw 1 of 3
5:05.0,,,10-23,,Offensive rebound by Team
5:05.0,,,10-24,1,J. Harden makes free throw 2 of 3
5:05.0,M. Chalmers enters the game for J. Martin,,10-24,,
5:05.0,C. Parsons enters the game for M. Conley,,10-24,,
5:05.0,,,10-24,,J. Harden misses free throw 3 of 3
