time,Detroit,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. A. Drummond (T. Harris gains possession),,,,Jump ball: Z. Pachulia vs. A. Drummond (T. Harris gains possession)
11:34.0,T. Harris misses 3-pt shot from 25 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by D. Green
11:12.0,,,0-2,2,K. Thompson makes 2-pt shot from 18 ft (assist by S. Curry)
10:50.0,T. Harris misses 3-pt shot from 24 ft,,0-2,,
10:46.0,,,0-2,,Defensive rebound by D. Green
10:40.0,,,0-4,2,K. Thompson makes 2-pt shot at rim (assist by Z. Pachulia)
10:17.0,S. Johnson misses 2-pt shot from 10 ft,,0-4,,
10:13.0,Offensive rebound by A. Drummond,,0-4,,
10:13.0,Turnover by Team (shot clock),,0-4,,
9:59.0,,,0-6,2,K. Durant makes 2-pt shot from 11 ft
9:38.0,A. Drummond misses 2-pt shot from 10 ft,,0-6,,
9:32.0,,,0-6,,Defensive rebound by K. Durant
9:29.0,,,0-6,,K. Thompson misses 2-pt shot from 19 ft
9:25.0,,,0-6,,Offensive rebound by D. Green
9:19.0,,,0-6,,K. Durant misses 3-pt shot from 25 ft
9:15.0,Defensive rebound by A. Drummond,,0-6,,
9:06.0,S. Johnson makes 3-pt shot from 25 ft (assist by R. Jackson),3,3-6,,
8:50.0,,,3-9,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Green)
8:34.0,R. Jackson makes 2-pt shot from 12 ft,2,5-9,,
8:34.0,Shooting foul by K. Thompson (drawn by R. Jackson),,5-9,,
8:34.0,R. Jackson makes free throw 1 of 1,1,6-9,,
8:24.0,,,6-9,,Turnover by D. Green (bad pass)
8:07.0,T. Harris misses 2-pt shot from 11 ft,,6-9,,
8:00.0,,,6-9,,Defensive rebound by D. Green
7:57.0,,,6-12,3,K. Thompson makes 3-pt shot from 24 ft (assist by K. Durant)
7:38.0,A. Bradley makes 3-pt shot from 22 ft,3,9-12,,
7:23.0,,,9-12,,Turnover by K. Durant (bad pass; steal by A. Drummond)
7:16.0,A. Bradley makes 2-pt shot from 22 ft,2,11-12,,
7:03.0,,,11-14,2,S. Curry makes 2-pt shot from 1 ft (assist by Z. Pachulia)
6:36.0,A. Bradley misses 3-pt shot from 25 ft,,11-14,,
6:34.0,,,11-14,,Defensive rebound by Z. Pachulia
6:29.0,,,11-17,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green)
5:58.0,R. Jackson misses 3-pt shot from 24 ft,,11-17,,
5:54.0,,,11-17,,Defensive rebound by K. Thompson
5:52.0,,,11-17,,Turnover by Z. Pachulia (bad pass; steal by A. Bradley)
5:41.0,T. Harris misses 3-pt shot from 22 ft,,11-17,,
5:36.0,,,11-17,,Defensive rebound by S. Curry
5:34.0,,,11-17,,K. Thompson misses 3-pt shot from 26 ft
5:30.0,Defensive rebound by A. Drummond,,11-17,,
5:22.0,T. Harris makes 3-pt shot from 25 ft (assist by R. Jackson),3,14-17,,
5:01.0,,,14-17,,K. Thompson misses 2-pt shot from 17 ft
4:56.0,Defensive rebound by A. Drummond,,14-17,,
4:51.0,R. Jackson makes 3-pt shot from 25 ft,3,17-17,,
4:49.0,,,17-17,,Golden State full timeout
4:49.0,,,17-17,,J. McGee enters the game for D. Green
4:49.0,,,17-17,,A. Iguodala enters the game for Z. Pachulia
4:49.0,,,17-17,,S. Livingston enters the game for K. Thompson
4:49.0,I. Smith enters the game for R. Jackson,,17-17,,
4:36.0,,,17-19,2,J. McGee makes 2-pt shot from 1 ft (assist by S. Curry)
4:18.0,,,17-19,,Violation by J. McGee (kicked ball)
4:07.0,A. Drummond misses 2-pt shot from 1 ft (block by J. McGee),,17-19,,
4:07.0,Offensive rebound by Team,,17-19,,
4:04.0,I. Smith makes 2-pt shot from 10 ft,2,19-19,,
3:51.0,,,19-21,2,S. Curry makes 2-pt shot from 21 ft (assist by K. Durant)
3:51.0,,,19-21,,Shooting foul by I. Smith (drawn by S. Curry)
3:51.0,,,19-22,1,S. Curry makes free throw 1 of 1
3:37.0,T. Harris misses 2-pt shot from 5 ft (block by J. McGee),,19-22,,
3:36.0,Offensive rebound by T. Harris,,19-22,,
3:34.0,T. Harris makes 2-pt shot from 6 ft,2,21-22,,
3:26.0,,,21-25,3,S. Curry makes 3-pt shot from 24 ft
3:08.0,Turnover by A. Drummond (traveling),,21-25,,
3:01.0,,,21-25,,S. Curry misses 2-pt shot from 1 ft
3:00.0,,,21-25,,Offensive rebound by J. McGee
2:59.0,,,21-25,,J. McGee misses 2-pt shot at rim
2:58.0,,,21-25,,Offensive rebound by J. McGee
2:58.0,,,21-25,,J. McGee misses 2-pt shot at rim
2:57.0,,,21-25,,Offensive rebound by J. McGee
2:56.0,,,21-27,2,J. McGee makes 2-pt shot at rim
2:41.0,S. Johnson makes 2-pt shot from 17 ft,2,23-27,,
2:23.0,,,23-29,2,K. Durant makes 2-pt shot from 17 ft
2:08.0,A. Drummond misses 2-pt shot from 5 ft,,23-29,,
2:03.0,Offensive rebound by A. Drummond,,23-29,,
2:02.0,A. Drummond misses 2-pt shot from 5 ft,,23-29,,
1:59.0,,,23-29,,Defensive rebound by J. McGee
1:56.0,,,23-31,2,S. Curry makes 2-pt shot from 2 ft (assist by S. Livingston)
1:48.0,Detroit full timeout,,23-31,,
1:48.0,,,23-31,,D. Green enters the game for K. Durant
1:48.0,J. Leuer enters the game for A. Drummond,,23-31,,
1:37.0,I. Smith makes 2-pt shot from 8 ft (assist by A. Bradley),2,25-31,,
1:17.0,,,25-33,2,S. Curry makes 2-pt shot from 14 ft (assist by S. Livingston)
0:56.0,T. Harris misses 2-pt shot from 11 ft,,25-33,,
0:50.0,,,25-33,,Defensive rebound by D. Green
0:45.0,,,25-33,,Turnover by J. McGee (bad pass; steal by S. Johnson)
0:42.0,J. Leuer makes 2-pt shot from 1 ft (assist by S. Johnson),2,27-33,,
0:34.0,,,27-33,,J. McGee misses 2-pt shot from 10 ft
