time,Detroit,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Drummond (C. Anthony gains possession),,,,Jump ball: S. Adams vs. A. Drummond (C. Anthony gains possession)
11:44.0,,,0-2,2,S. Adams makes 2-pt shot from 6 ft (assist by R. Westbrook)
11:19.0,A. Bradley misses 3-pt shot from 27 ft,,0-2,,
11:18.0,Offensive rebound by Team,,0-2,,
11:18.0,Turnover by Team (shot clock),,0-2,,
11:08.0,,,0-2,,Turnover by S. Adams (bad pass)
10:54.0,T. Harris misses 2-pt shot at rim (block by A. Roberson),,0-2,,
10:51.0,,,0-2,,Defensive rebound by S. Adams
10:43.0,,,0-2,,Turnover by A. Roberson (bad pass)
10:27.0,A. Drummond makes 2-pt shot from 5 ft (assist by A. Bradley),2,2-2,,
10:10.0,,,2-2,,P. George misses 2-pt shot from 11 ft
10:08.0,Defensive rebound by A. Bradley,,2-2,,
10:02.0,A. Drummond misses 2-pt shot from 1 ft,,2-2,,
10:02.0,,,2-2,,Defensive rebound by S. Adams
9:54.0,,,2-4,2,R. Westbrook makes 2-pt shot from 16 ft
9:33.0,A. Bradley misses 2-pt shot from 20 ft,,2-4,,
9:31.0,,,2-4,,Defensive rebound by R. Westbrook
9:28.0,,,2-6,2,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook)
9:21.0,Detroit full timeout,,2-6,,
9:05.0,Turnover by R. Jackson (lost ball; steal by P. George),,2-6,,
9:04.0,,,2-6,,Offensive foul by P. George (drawn by R. Jackson)
9:04.0,,,2-6,,Turnover by P. George (offensive foul)
8:44.0,T. Harris misses 2-pt shot from 19 ft,,2-6,,
8:41.0,,,2-6,,Defensive rebound by C. Anthony
8:34.0,,,2-6,,P. George misses 3-pt shot from 23 ft
8:29.0,Defensive rebound by R. Jackson,,2-6,,
8:24.0,R. Jackson makes 2-pt shot from 21 ft,2,4-6,,
8:09.0,,,4-6,,Turnover by R. Westbrook (bad pass; steal by T. Harris)
8:01.0,R. Jackson misses 3-pt shot from 25 ft,,4-6,,
7:57.0,,,4-6,,Defensive rebound by A. Roberson
7:55.0,,,4-6,,R. Westbrook misses 2-pt shot from 23 ft
7:51.0,,,4-6,,Offensive rebound by S. Adams
7:43.0,,,4-8,2,S. Adams makes 2-pt shot from 7 ft (assist by P. George)
7:26.0,A. Bradley makes 2-pt shot at rim (assist by A. Drummond),2,6-8,,
7:14.0,Personal foul by A. Bradley (drawn by R. Westbrook),,6-8,,
7:02.0,,,6-8,,C. Anthony misses 2-pt shot from 13 ft
7:00.0,,,6-8,,Offensive rebound by S. Adams
7:00.0,Personal foul by R. Jackson (drawn by S. Adams),,6-8,,
6:58.0,Personal foul by T. Harris (drawn by C. Anthony),,6-8,,
6:49.0,,,6-10,2,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook)
6:36.0,,,6-10,,Personal foul by P. George (drawn by A. Drummond)
6:28.0,Turnover by R. Jackson (lost ball; steal by R. Westbrook),,6-10,,
6:23.0,,,6-10,,Turnover by P. George (bad pass)
6:09.0,S. Johnson makes 3-pt shot from 22 ft (assist by T. Harris),3,9-10,,
5:47.0,,,9-12,2,C. Anthony makes 2-pt shot from 1 ft
5:30.0,A. Bradley misses 3-pt shot from 25 ft,,9-12,,
5:27.0,,,9-12,,Defensive rebound by P. George
5:18.0,,,9-14,2,R. Westbrook makes 2-pt shot at rim
5:18.0,,,9-14,,Shooting foul by A. Drummond (drawn by R. Westbrook)
