time,New Orleans,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Durant vs. A. Davis (R. Rondo gains possession),,,,Jump ball: K. Durant vs. A. Davis (R. Rondo gains possession)
11:37.0,A. Davis makes 2-pt shot from 2 ft (assist by R. Rondo),2,2-0,,
11:19.0,,,2-2,2,K. Durant makes 2-pt shot from 1 ft (assist by D. Green)
11:01.0,A. Davis makes 2-pt shot from 15 ft (assist by N. Mirotic),2,4-2,,
10:44.0,,,4-2,,K. Thompson misses 2-pt shot from 10 ft
10:42.0,Defensive rebound by R. Rondo,,4-2,,
10:32.0,R. Rondo misses 3-pt shot from 24 ft,,4-2,,
10:31.0,,,4-2,,Defensive rebound by K. Durant
10:21.0,,,4-4,2,K. Thompson makes 2-pt shot from 21 ft (assist by A. Iguodala)
10:10.0,J. Holiday misses 2-pt shot from 4 ft (block by K. Durant),,4-4,,
10:08.0,,,4-4,,Defensive rebound by D. Green
10:02.0,,,4-4,,Shooting foul by J. Holiday (drawn by A. Iguodala)
10:02.0,,,4-5,1,A. Iguodala makes free throw 1 of 2
10:02.0,,,4-6,1,A. Iguodala makes free throw 2 of 2
9:56.0,R. Rondo makes 2-pt shot from 2 ft,2,6-6,,
9:47.0,,,6-6,,K. Thompson misses 2-pt shot from 15 ft
9:45.0,Defensive rebound by N. Mirotic,,6-6,,
9:36.0,E. Moore makes 2-pt shot at rim (assist by R. Rondo),2,8-6,,
9:14.0,,,8-8,2,A. Iguodala makes 2-pt shot from 1 ft (assist by K. Thompson)
9:07.0,N. Mirotic misses 3-pt shot from 24 ft,,8-8,,
9:05.0,,,8-8,,Defensive rebound by D. Green
9:00.0,,,8-8,,K. Durant misses 3-pt shot from 27 ft
8:58.0,Defensive rebound by N. Mirotic,,8-8,,
8:53.0,Turnover by R. Rondo (bad pass; steal by D. Green),,8-8,,
8:48.0,,,8-10,2,K. Durant makes 2-pt shot from 13 ft
8:43.0,,,8-11,1,K. Durant makes technical free throw
8:37.0,A. Davis misses 2-pt shot from 16 ft,,8-11,,
8:35.0,,,8-11,,Defensive rebound by K. Durant
8:28.0,,,8-11,,K. Durant misses 2-pt shot from 19 ft
8:26.0,Defensive rebound by R. Rondo,,8-11,,
8:12.0,R. Rondo makes 2-pt shot from 14 ft,2,10-11,,
7:51.0,,,10-11,,K. Thompson misses 2-pt shot from 2 ft
