time,San Antonio,pts.away,score,pts.home,New York
5:05.0,Defensive rebound by P. Gasol,,92-83,,
4:46.0,P. Mills misses 2-pt shot from 7 ft (block by M. Beasley),,92-83,,
4:44.0,,,92-83,,Defensive rebound by C. Lee
4:38.0,,,92-83,,J. Jack misses 3-pt shot from 23 ft
4:36.0,,,92-83,,Offensive rebound by M. Beasley
4:36.0,,,92-83,,W. Hernangomez misses 2-pt shot from 2 ft (block by D. Murray)
4:36.0,,,92-83,,Offensive rebound by Team
4:36.0,,,92-83,,K. Porzingis enters the game for M. Beasley
4:24.0,,,92-83,,J. Jack misses 2-pt shot from 22 ft
4:19.0,Defensive rebound by M. Ginobili,,92-83,,
4:13.0,D. Murray misses 2-pt shot from 7 ft (block by C. Lee),,92-83,,
4:10.0,,,92-83,,Defensive rebound by C. Lee
4:04.0,Personal foul by D. Murray (drawn by K. Porzingis),,92-83,,
3:49.0,,,92-83,,Turnover by C. Lee (bad pass; steal by D. Murray)
3:29.0,L. Aldridge misses 3-pt shot from 26 ft,,92-83,,
3:27.0,,,92-83,,Defensive rebound by W. Hernangomez
3:27.0,,,92-83,,New York full timeout
3:27.0,,,92-83,,M. Beasley enters the game for R. Sessions
3:27.0,,,92-83,,D. McDermott enters the game for W. Hernangomez
3:27.0,K. Anderson enters the game for P. Gasol,,92-83,,
3:11.0,,,92-83,,K. Porzingis misses 2-pt shot from 3 ft (block by L. Aldridge)
3:11.0,,,92-83,,Offensive rebound by Team
3:06.0,,,92-83,,K. Porzingis misses 2-pt shot from 19 ft
3:02.0,Defensive rebound by D. Murray,,92-83,,
2:46.0,L. Aldridge misses 2-pt shot from 7 ft,,92-83,,
2:44.0,,,92-83,,Defensive rebound by M. Beasley
2:39.0,,,92-83,,M. Beasley misses 3-pt shot from 26 ft
2:36.0,Defensive rebound by D. Murray,,92-83,,
2:18.0,L. Aldridge makes 2-pt shot from 2 ft,2,94-83,,
2:07.0,,,94-83,,C. Lee misses 3-pt shot from 24 ft
2:05.0,Defensive rebound by K. Anderson,,94-83,,
1:50.0,,,94-83,,Personal foul by K. Porzingis (drawn by L. Aldridge)
1:50.0,L. Aldridge makes free throw 1 of 2,1,95-83,,
1:50.0,L. Aldridge makes free throw 2 of 2,1,96-83,,
1:40.0,,,96-83,,Shooting foul by K. Anderson (drawn by J. Jack)
1:40.0,B. Forbes enters the game for K. Anderson,,96-83,,
1:40.0,,,96-84,1,J. Jack makes free throw 1 of 3
1:40.0,,,96-84,,J. Jack misses free throw 2 of 3
1:40.0,,,96-84,,Offensive rebound by Team
1:40.0,,,96-85,1,J. Jack makes free throw 3 of 3
1:20.0,L. Aldridge makes 2-pt shot from 1 ft (assist by P. Mills),2,98-85,,
1:07.0,,,98-87,2,M. Beasley makes 2-pt shot from 2 ft (assist by D. McDermott)
0:47.0,L. Aldridge misses 2-pt shot from 3 ft (block by C. Lee),,98-87,,
0:46.0,Offensive rebound by L. Aldridge,,98-87,,
0:45.0,L. Aldridge misses 2-pt shot from 1 ft,,98-87,,
0:45.0,,,98-87,,Defensive rebound by M. Beasley
0:40.0,,,98-89,2,D. McDermott makes 2-pt shot at rim (assist by C. Lee)
0:19.0,B. Forbes misses 3-pt shot from 24 ft,,98-89,,
0:18.0,,,98-89,,Defensive rebound by D. McDermott
0:18.0,Personal foul by P. Mills (drawn by D. McDermott),,98-89,,
0:18.0,,,98-89,,F. Ntilikina enters the game for K. Porzingis
0:18.0,D. Bertans enters the game for P. Mills,,98-89,,
0:18.0,B. Paul enters the game for L. Aldridge,,98-89,,
0:18.0,,,98-90,1,D. McDermott makes free throw 1 of 2
0:18.0,,,98-91,1,D. McDermott makes free throw 2 of 2
0:15.0,,,98-91,,Personal foul by J. Jack (drawn by D. Bertans)
0:15.0,D. Bertans makes free throw 1 of 2,1,99-91,,
0:15.0,D. Bertans makes free throw 2 of 2,1,100-91,,
0:10.0,,,100-91,,F. Ntilikina misses 3-pt shot from 25 ft
0:06.0,Defensive rebound by M. Ginobili,,100-91,,
