time,San Antonio,pts.away,score,pts.home,New York
7:11.0,Offensive rebound by Team,,60-59,,
7:11.0,P. Gasol makes free throw 2 of 2,1,61-59,,
6:58.0,,,61-59,,C. Lee misses 3-pt shot from 23 ft
6:54.0,Defensive rebound by K. Anderson,,61-59,,
6:46.0,K. Leonard makes 3-pt shot from 25 ft (assist by K. Anderson),3,64-59,,
6:40.0,,,64-59,,New York full timeout
6:40.0,,,64-59,,F. Ntilikina enters the game for J. Jack
6:40.0,P. Mills enters the game for K. Anderson,,64-59,,
6:40.0,Away from play foul by T. Parker (drawn by F. Ntilikina),,64-59,,
6:40.0,,,64-60,1,C. Lee makes free throw 1 of 1
6:33.0,,,64-60,,M. Beasley misses 2-pt shot at rim
6:31.0,Defensive rebound by T. Parker,,64-60,,
6:28.0,Shooting foul by F. Ntilikina (drawn by T. Parker),,64-60,,
6:28.0,D. Bertans enters the game for P. Gasol,,64-60,,
6:28.0,T. Parker makes free throw 1 of 2,1,65-60,,
6:28.0,T. Parker makes free throw 2 of 2,1,66-60,,
6:15.0,,,66-60,,Shooting foul by K. Leonard (drawn by M. Beasley)
6:15.0,,,66-61,1,M. Beasley makes free throw 1 of 2
6:15.0,,,66-61,,M. Beasley misses free throw 2 of 2
6:13.0,Defensive rebound by D. Bertans,,66-61,,
5:54.0,K. Leonard misses 2-pt shot from 13 ft,,66-61,,
5:52.0,,,66-61,,Defensive rebound by C. Lee
5:30.0,,,66-61,,M. Beasley misses 2-pt shot from 18 ft
5:28.0,Defensive rebound by L. Aldridge,,66-61,,
5:20.0,T. Parker misses 2-pt shot from 2 ft,,66-61,,
5:20.0,Offensive rebound by Team,,66-61,,
5:20.0,,,66-61,,Loose ball foul by L. Thomas (drawn by L. Aldridge)
5:20.0,,,66-61,,K. Porzingis enters the game for L. Thomas
5:20.0,,,66-61,,D. McDermott enters the game for E. Kanter
5:20.0,K. Anderson enters the game for K. Leonard,,66-61,,
5:20.0,D. Murray enters the game for T. Parker,,66-61,,
5:20.0,L. Aldridge makes free throw 1 of 2,1,67-61,,
5:20.0,L. Aldridge makes free throw 2 of 2,1,68-61,,
5:06.0,,,68-61,,C. Lee misses 2-pt shot from 2 ft
5:04.0,Defensive rebound by L. Aldridge,,68-61,,
4:59.0,,,68-61,,Personal foul by M. Beasley (drawn by K. Anderson)
4:59.0,M. Ginobili enters the game for D. Bertans,,68-61,,
4:59.0,K. Anderson makes free throw 1 of 2,1,69-61,,
4:59.0,K. Anderson misses free throw 2 of 2,,69-61,,
4:57.0,,,69-61,,Defensive rebound by M. Beasley
4:44.0,Personal foul by M. Ginobili (drawn by K. Porzingis),,69-61,,
4:44.0,,,69-62,1,K. Porzingis makes free throw 1 of 2
4:44.0,,,69-63,1,K. Porzingis makes free throw 2 of 2
4:28.0,,,69-63,,Personal foul by D. McDermott (drawn by M. Ginobili)
4:28.0,M. Ginobili makes free throw 1 of 2,1,70-63,,
4:28.0,M. Ginobili makes free throw 2 of 2,1,71-63,,
4:10.0,,,71-63,,K. Porzingis misses 2-pt shot from 14 ft
4:07.0,Defensive rebound by D. Murray,,71-63,,
4:00.0,D. Murray misses 2-pt shot from 2 ft (block by K. Porzingis),,71-63,,
4:00.0,Offensive rebound by D. Murray,,71-63,,
3:50.0,L. Aldridge misses 2-pt shot from 5 ft,,71-63,,
3:50.0,Offensive rebound by D. Murray,,71-63,,
3:45.0,D. Murray makes 2-pt shot from 2 ft,2,73-63,,
3:28.0,,,73-63,,D. McDermott misses 3-pt shot from 25 ft
3:28.0,Defensive rebound by D. Murray,,73-63,,
3:16.0,L. Aldridge makes 2-pt shot from 3 ft (assist by D. Murray),2,75-63,,
2:58.0,,,75-63,,New York full timeout
2:51.0,,,75-63,,M. Beasley misses 2-pt shot from 2 ft
2:49.0,Defensive rebound by D. Murray,,75-63,,
2:47.0,Shooting foul by C. Lee (drawn by L. Aldridge),,75-63,,
2:47.0,L. Aldridge makes free throw 1 of 2,1,76-63,,
2:47.0,L. Aldridge misses free throw 2 of 2,,76-63,,
2:45.0,,,76-63,,Defensive rebound by K. Porzingis
2:27.0,,,76-65,2,M. Beasley makes 2-pt shot from 1 ft
2:12.0,D. Murray misses 2-pt shot from 3 ft,,76-65,,
2:09.0,,,76-65,,Defensive rebound by F. Ntilikina
2:07.0,,,76-65,,F. Ntilikina misses 2-pt shot from 1 ft (block by D. Murray)
2:07.0,,,76-65,,Offensive rebound by Team
1:51.0,,,76-67,2,C. Lee makes 2-pt shot from 15 ft (assist by M. Beasley)
1:31.0,L. Aldridge misses 2-pt shot from 3 ft,,76-67,,
1:28.0,Offensive rebound by D. Murray,,76-67,,
1:16.0,M. Ginobili misses 2-pt shot from 10 ft,,76-67,,
1:12.0,,,76-67,,Defensive rebound by K. Porzingis
0:59.0,,,76-67,,Turnover by C. Lee (bad pass; steal by P. Mills)
0:53.0,L. Aldridge makes 2-pt shot from 2 ft (assist by M. Ginobili),2,78-67,,
0:34.0,,,78-67,,Offensive foul by K. Porzingis (drawn by M. Ginobili)
0:34.0,,,78-67,,Turnover by K. Porzingis (offensive foul)
0:22.0,M. Ginobili makes 3-pt shot from 25 ft,3,81-67,,
0:03.0,,,81-67,,C. Lee misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by M. Ginobili,,81-67,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,81-67,,Turnover by K. Porzingis (lost ball; steal by D. Murray)
11:40.0,,,81-67,,Personal take foul by J. Jack (drawn by D. Murray)
