time,LA Clippers,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. D. Jordan (R. Rubio gains possession),,,,Jump ball: R. Gobert vs. D. Jordan (R. Rubio gains possession)
11:44.0,,,0-0,,Shooting foul by T. Wallace (drawn by R. Gobert)
11:44.0,,,0-0,,R. Gobert misses free throw 1 of 2
11:44.0,,,0-0,,Offensive rebound by Team
11:44.0,,,0-1,1,R. Gobert makes free throw 2 of 2
11:22.0,T. Harris misses 2-pt shot from 17 ft (block by J. Ingles),,0-1,,
11:19.0,,,0-1,,Defensive rebound by R. Gobert
11:10.0,,,0-3,2,J. Ingles makes 2-pt shot from 1 ft (assist by R. Rubio)
10:51.0,S. Thornwell misses 3-pt shot from 25 ft,,0-3,,
10:48.0,,,0-3,,Defensive rebound by J. Ingles
10:45.0,,,0-3,,Shooting foul by S. Thornwell (drawn by D. Mitchell)
10:45.0,LA Clippers full timeout,,0-3,,
10:45.0,,,0-4,1,D. Mitchell makes free throw 1 of 2
10:45.0,,,0-5,1,D. Mitchell makes free throw 2 of 2
10:33.0,A. Rivers makes 3-pt shot from 25 ft,3,3-5,,
10:18.0,,,3-5,,D. Favors misses 2-pt shot from 13 ft
10:11.0,,,3-5,,Offensive rebound by R. Gobert
10:11.0,,,3-7,2,R. Gobert makes 2-pt shot at rim
9:54.0,A. Rivers misses 2-pt shot from 9 ft,,3-7,,
9:54.0,,,3-7,,Defensive rebound by Team
9:54.0,Loose ball foul by D. Jordan (drawn by R. Gobert),,3-7,,
9:39.0,,,3-9,2,D. Mitchell makes 2-pt shot from 12 ft
9:20.0,T. Harris makes 2-pt shot from 19 ft,2,5-9,,
9:07.0,,,5-9,,D. Mitchell misses 3-pt shot from 25 ft
9:03.0,,,5-9,,Offensive rebound by D. Mitchell
8:57.0,,,5-9,,J. Ingles misses 3-pt shot from 27 ft
8:54.0,Defensive rebound by S. Thornwell,,5-9,,
8:51.0,Turnover by S. Thornwell (bad pass; steal by J. Ingles),,5-9,,
8:44.0,,,5-11,2,R. Rubio makes 2-pt shot from 15 ft
8:28.0,T. Harris makes 2-pt shot from 18 ft (assist by D. Jordan),2,7-11,,
8:09.0,,,7-11,,D. Favors misses 3-pt shot from 23 ft
8:05.0,Defensive rebound by T. Harris,,7-11,,
7:56.0,T. Wallace makes 2-pt shot from 9 ft,2,9-11,,
7:37.0,,,9-13,2,R. Rubio makes 2-pt shot from 18 ft (assist by R. Gobert)
7:20.0,A. Rivers makes 2-pt shot from 9 ft,2,11-13,,
7:06.0,,,11-16,3,R. Rubio makes 3-pt shot from 25 ft
6:47.0,A. Rivers misses 3-pt shot from 24 ft,,11-16,,
6:44.0,,,11-16,,Defensive rebound by R. Rubio
6:40.0,,,11-16,,Shooting foul by S. Thornwell (drawn by R. Rubio)
6:40.0,,,11-17,1,R. Rubio makes free throw 1 of 2
6:40.0,L. Williams enters the game for S. Thornwell,,11-17,,
6:40.0,,,11-17,,J. Crowder enters the game for D. Favors
6:40.0,,,11-18,1,R. Rubio makes free throw 2 of 2
6:29.0,T. Harris makes 3-pt shot from 22 ft (assist by A. Rivers),3,14-18,,
6:15.0,,,14-20,2,D. Mitchell makes 2-pt shot from 20 ft (assist by R. Rubio)
5:58.0,Turnover by A. Rivers (bad pass; steal by J. Crowder),,14-20,,
5:55.0,,,14-20,,R. Rubio misses 3-pt shot from 25 ft
5:52.0,Defensive rebound by A. Rivers,,14-20,,
5:45.0,Turnover by A. Rivers (bad pass; steal by J. Ingles),,14-20,,
5:41.0,,,14-22,2,D. Mitchell makes 2-pt shot from 3 ft (assist by J. Ingles)
5:14.0,Offensive charge foul by T. Wallace (drawn by R. Rubio),,14-22,,
5:14.0,Turnover by T. Wallace (offensive foul),,14-22,,
5:14.0,,,14-22,,R. O'Neale enters the game for J. Ingles
5:14.0,C. Williams enters the game for T. Wallace,,14-22,,
5:00.0,,,14-22,,J. Crowder misses 3-pt shot from 25 ft
4:57.0,Defensive rebound by D. Jordan,,14-22,,
4:51.0,D. Jordan makes 2-pt shot from 1 ft (assist by L. Williams),2,16-22,,
4:38.0,,,16-24,2,D. Mitchell makes 2-pt shot from 2 ft
4:38.0,,,16-24,,Shooting foul by D. Jordan (drawn by D. Mitchell)
4:38.0,,,16-25,1,D. Mitchell makes free throw 1 of 1
4:19.0,L. Williams misses 3-pt shot from 24 ft,,16-25,,
4:15.0,,,16-25,,Defensive rebound by R. Rubio
4:08.0,,,16-25,,R. Rubio misses 2-pt shot from 2 ft
4:06.0,Defensive rebound by T. Harris,,16-25,,
4:01.0,D. Jordan makes 2-pt shot from 3 ft (assist by T. Harris),2,18-25,,
3:52.0,,,18-25,,Utah full timeout
3:52.0,M. Harrell enters the game for D. Jordan,,18-25,,
3:52.0,,,18-25,,D. Exum enters the game for R. Rubio
3:47.0,,,18-25,,J. Crowder misses 2-pt shot at rim
3:45.0,Defensive rebound by T. Harris,,18-25,,
3:38.0,Turnover by A. Rivers (bad pass; steal by R. Gobert),,18-25,,
3:34.0,,,18-25,,J. Crowder misses 3-pt shot from 23 ft
3:31.0,Defensive rebound by C. Williams,,18-25,,
3:25.0,T. Harris misses 2-pt shot from 12 ft,,18-25,,
3:24.0,Offensive rebound by Team,,18-25,,
