time,LA Lakers,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. B. Lopez (M. Speights gains possession),,,,Jump ball: B. Biyombo vs. B. Lopez (M. Speights gains possession)
11:39.0,,,0-0,,E. Payton misses 2-pt shot from 5 ft
11:35.0,Defensive rebound by T. Ennis,,0-0,,
11:27.0,J. Randle makes 2-pt shot from 12 ft,2,2-0,,
11:11.0,Violation by B. Lopez (kicked ball),,2-0,,
11:06.0,,,2-2,2,B. Biyombo makes 2-pt shot from 1 ft (assist by E. Fournier)
10:54.0,Shooting foul by B. Biyombo (drawn by T. Ennis),,2-2,,
10:54.0,T. Ennis makes free throw 1 of 2,1,3-2,,
10:54.0,T. Ennis misses free throw 2 of 2,,3-2,,
10:48.0,Offensive rebound by T. Ennis,,3-2,,
10:46.0,Shooting foul by J. Simmons (drawn by B. Ingram),,3-2,,
10:46.0,B. Ingram misses free throw 1 of 2,,3-2,,
10:46.0,Offensive rebound by Team,,3-2,,
10:46.0,B. Ingram makes free throw 2 of 2,1,4-2,,
10:29.0,,,4-2,,E. Fournier misses 2-pt shot from 17 ft
10:26.0,Defensive rebound by B. Ingram,,4-2,,
10:21.0,J. Randle makes 2-pt shot from 4 ft (assist by B. Ingram),2,6-2,,
10:09.0,,,6-2,,B. Biyombo misses 2-pt shot from 11 ft
10:07.0,Defensive rebound by T. Ennis,,6-2,,
10:00.0,B. Lopez misses 3-pt shot from 26 ft,,6-2,,
9:57.0,,,6-2,,Defensive rebound by E. Fournier
9:49.0,,,6-2,,J. Simmons misses 2-pt shot from 15 ft
9:45.0,Defensive rebound by B. Lopez,,6-2,,
9:43.0,Turnover by B. Lopez (bad pass; steal by E. Payton),,6-2,,
9:38.0,,,6-4,2,E. Payton makes 2-pt shot from 4 ft
9:30.0,J. Randle misses 2-pt shot from 16 ft,,6-4,,
9:30.0,,,6-4,,Defensive rebound by B. Biyombo
9:22.0,,,6-4,,Turnover by E. Payton (bad pass; steal by B. Lopez)
9:16.0,B. Ingram makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope),2,8-4,,
8:54.0,,,8-4,,M. Speights misses 3-pt shot from 26 ft
8:54.0,Defensive rebound by T. Ennis,,8-4,,
8:35.0,B. Lopez makes 2-pt shot from 13 ft (assist by K. Caldwell-Pope),2,10-4,,
8:20.0,,,10-4,,Shooting foul by T. Ennis (drawn by E. Fournier)
8:20.0,,,10-5,1,E. Fournier makes free throw 1 of 2
8:20.0,,,10-6,1,E. Fournier makes free throw 2 of 2
8:11.0,T. Ennis misses 2-pt shot from 1 ft (block by E. Payton),,10-6,,
8:07.0,,,10-6,,Defensive rebound by M. Speights
8:07.0,,,10-6,,Turnover by E. Fournier (traveling)
7:52.0,B. Lopez misses 3-pt shot from 27 ft,,10-6,,
7:50.0,,,10-6,,Defensive rebound by E. Payton
7:41.0,,,10-8,2,E. Payton makes 2-pt shot from 2 ft
7:31.0,T. Ennis misses 3-pt shot from 25 ft,,10-8,,
7:31.0,Offensive rebound by J. Randle,,10-8,,
7:26.0,J. Randle misses 2-pt shot from 8 ft,,10-8,,
7:24.0,,,10-8,,Defensive rebound by Team
7:23.0,Loose ball foul by B. Lopez (drawn by M. Speights),,10-8,,
7:15.0,,,10-8,,M. Speights misses 2-pt shot from 19 ft
7:15.0,,,10-8,,Offensive rebound by Team
7:15.0,,,10-8,,Shooting foul by B. Lopez (drawn by J. Simmons)
7:15.0,,,10-9,1,J. Simmons makes free throw 1 of 2
7:15.0,,,10-10,1,J. Simmons makes free throw 2 of 2
7:00.0,B. Lopez makes 2-pt shot from 9 ft,2,12-10,,
6:45.0,,,12-10,,Shooting foul by B. Ingram (drawn by E. Payton)
6:45.0,,,12-10,,Orlando full timeout
6:45.0,,,12-10,,E. Payton misses free throw 1 of 2
6:45.0,,,12-10,,Offensive rebound by Team
6:45.0,,,12-11,1,E. Payton makes free throw 2 of 2
6:23.0,B. Ingram misses 2-pt shot from 14 ft,,12-11,,
6:20.0,,,12-11,,Defensive rebound by E. Payton
6:19.0,,,12-11,,Shooting foul by T. Ennis (drawn by E. Payton)
6:19.0,,,12-11,,E. Payton misses free throw 1 of 2
6:19.0,,,12-11,,Offensive rebound by Team
6:19.0,A. Caruso enters the game for T. Ennis,,12-11,,
6:19.0,,,12-11,,E. Payton misses free throw 2 of 2
6:17.0,Defensive rebound by A. Caruso,,12-11,,
6:04.0,B. Ingram misses 2-pt shot from 11 ft,,12-11,,
