time,Atlanta,pts.away,score,pts.home,Denver
2:45.0,,,25-18,,M. Beasley enters the game for G. Harris
2:45.0,,,25-19,1,T. Lyles makes free throw 1 of 2
2:45.0,,,25-19,,T. Lyles misses free throw 2 of 2
2:43.0,Defensive rebound by D. Dedmon,,25-19,,
2:36.0,,,25-19,,Personal foul by M. Beasley (drawn by M. Belinelli)
2:26.0,Offensive charge foul by T. Waller-Prince (drawn by K. Faried),,25-19,,
2:26.0,Turnover by T. Waller-Prince (offensive foul),,25-19,,
2:14.0,,,25-19,,W. Barton misses 2-pt shot from 2 ft
2:09.0,,,25-19,,Offensive rebound by K. Faried
2:09.0,,,25-19,,K. Faried misses 2-pt shot at rim
2:09.0,Defensive rebound by M. Delaney,,25-19,,
1:52.0,M. Delaney misses 2-pt shot from 2 ft,,25-19,,
1:50.0,,,25-19,,Defensive rebound by T. Lyles
1:27.0,,,25-19,,T. Craig misses 3-pt shot from 25 ft
1:25.0,Defensive rebound by Team,,25-19,,
1:25.0,M. Muscala enters the game for D. Dedmon,,25-19,,
1:09.0,M. Belinelli makes 2-pt shot from 2 ft (assist by J. Collins),2,27-19,,
0:59.0,,,27-19,,W. Barton misses 3-pt shot from 25 ft
0:55.0,Defensive rebound by M. Delaney,,27-19,,
0:48.0,M. Delaney makes 2-pt shot from 18 ft (assist by T. Waller-Prince),2,29-19,,
0:29.0,,,29-21,2,K. Faried makes 2-pt shot from 3 ft (assist by M. Beasley)
0:24.0,T. Waller-Prince misses 2-pt shot from 3 ft,,29-21,,
0:21.0,,,29-21,,Defensive rebound by K. Faried
0:01.0,,,29-21,,M. Beasley misses 3-pt shot from 22 ft
0:01.0,,,29-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,T. Waller-Prince makes 2-pt shot from 3 ft,2,31-21,,
11:29.0,,,31-24,3,W. Chandler makes 3-pt shot from 25 ft (assist by W. Barton)
11:19.0,M. Belinelli misses 3-pt shot from 25 ft,,31-24,,
11:16.0,,,31-24,,Defensive rebound by T. Lyles
11:09.0,,,31-27,3,W. Barton makes 3-pt shot from 25 ft (assist by T. Lyles)
10:46.0,J. Collins misses 2-pt shot from 6 ft,,31-27,,
10:43.0,,,31-27,,Defensive rebound by T. Lyles
10:40.0,,,31-29,2,W. Chandler makes 2-pt shot from 2 ft (assist by K. Faried)
10:40.0,Atlanta full timeout,,31-29,,
10:40.0,T. Dorsey enters the game for M. Belinelli,,31-29,,
10:40.0,M. Plumlee enters the game for J. Collins,,31-29,,
10:20.0,M. Delaney misses 3-pt shot from 25 ft,,31-29,,
10:17.0,,,31-29,,Defensive rebound by T. Lyles
10:02.0,,,31-31,2,K. Faried makes 2-pt shot from 1 ft (assist by T. Lyles)
9:39.0,Turnover by T. Waller-Prince (bad pass; steal by J. Murray),,31-31,,
9:31.0,,,31-31,,Turnover by T. Lyles (lost ball; steal by M. Delaney)
9:26.0,M. Delaney makes 2-pt shot from 2 ft,2,33-31,,
9:26.0,,,33-31,,Violation by T. Lyles (def goaltending)
9:16.0,,,33-31,,W. Barton misses 2-pt shot from 22 ft
9:13.0,Defensive rebound by M. Muscala,,33-31,,
8:57.0,M. Plumlee makes 2-pt shot from 2 ft (assist by M. Delaney),2,35-31,,
8:31.0,,,35-31,,W. Barton misses 2-pt shot from 10 ft
8:27.0,Defensive rebound by M. Muscala,,35-31,,
8:15.0,T. Waller-Prince makes 3-pt shot from 22 ft (assist by M. Delaney),3,38-31,,
8:14.0,,,38-31,,Denver full timeout
8:14.0,,,38-31,,N. Jokic enters the game for W. Barton
8:14.0,,,38-31,,G. Harris enters the game for K. Faried
8:14.0,E. Ilyasova enters the game for M. Delaney,,38-31,,
8:14.0,D. Schroder enters the game for T. Waller-Prince,,38-31,,
8:14.0,K. Bazemore enters the game for M. Muscala,,38-31,,
7:53.0,,,38-33,2,W. Chandler makes 2-pt shot from 2 ft (assist by N. Jokic)
7:39.0,K. Bazemore makes 3-pt shot from 24 ft (assist by D. Schroder),3,41-33,,
7:17.0,,,41-33,,N. Jokic misses 3-pt shot from 25 ft
7:14.0,Defensive rebound by E. Ilyasova,,41-33,,
7:04.0,T. Dorsey misses 2-pt shot from 1 ft,,41-33,,
7:04.0,,,41-33,,Defensive rebound by N. Jokic
6:55.0,,,41-35,2,G. Harris makes 2-pt shot from 16 ft (assist by N. Jokic)
6:35.0,K. Bazemore makes 2-pt shot from 2 ft (assist by E. Ilyasova),2,43-35,,
6:25.0,Violation by M. Plumlee (kicked ball),,43-35,,
6:20.0,,,43-35,,T. Lyles misses 2-pt shot from 2 ft (block by K. Bazemore)
6:20.0,,,43-35,,Offensive rebound by Team
6:18.0,,,43-35,,T. Lyles misses 3-pt shot from 25 ft
6:15.0,Defensive rebound by D. Schroder,,43-35,,
6:08.0,Turnover by D. Schroder (lost ball; steal by N. Jokic),,43-35,,
5:53.0,,,43-35,,N. Jokic misses 2-pt shot from 4 ft
5:49.0,,,43-35,,Offensive rebound by N. Jokic
5:49.0,,,43-37,2,N. Jokic makes 2-pt shot from 4 ft
5:40.0,M. Plumlee misses 2-pt shot from 3 ft (block by N. Jokic),,43-37,,
5:40.0,Offensive rebound by Team,,43-37,,
5:40.0,J. Collins enters the game for M. Plumlee,,43-37,,
5:38.0,D. Schroder misses 2-pt shot from 15 ft,,43-37,,
5:35.0,,,43-37,,Defensive rebound by T. Lyles
5:24.0,,,43-37,,W. Barton enters the game for J. Murray
5:17.0,,,43-37,,T. Lyles misses 2-pt shot from 1 ft
5:15.0,Defensive rebound by E. Ilyasova,,43-37,,
5:10.0,K. Bazemore makes 3-pt shot from 25 ft (assist by D. Schroder),3,46-37,,
4:48.0,Personal foul by J. Collins (drawn by N. Jokic),,46-37,,
4:40.0,,,46-39,2,W. Barton makes 2-pt shot from 2 ft
4:27.0,J. Collins makes 2-pt shot from 2 ft (assist by D. Schroder),2,48-39,,
4:10.0,,,48-39,,N. Jokic misses 3-pt shot from 24 ft
4:08.0,Defensive rebound by E. Ilyasova,,48-39,,
3:59.0,D. Schroder misses 2-pt shot from 3 ft,,48-39,,
3:56.0,,,48-39,,Defensive rebound by N. Jokic
3:44.0,,,48-39,,W. Barton misses 3-pt shot from 25 ft
3:44.0,Defensive rebound by Team,,48-39,,
3:44.0,,,48-39,,Loose ball foul by N. Jokic (drawn by D. Schroder)
3:44.0,,,48-39,,J. Murray enters the game for T. Lyles
