time,Atlanta,pts.away,score,pts.home,Denver
4:57.0,,,93-85,,Personal block foul by M. Plumlee (drawn by D. Schroder)
4:57.0,D. Schroder makes free throw 1 of 2,1,94-85,,
4:57.0,D. Schroder makes free throw 2 of 2,1,95-85,,
4:48.0,,,95-85,,N. Jokic misses 3-pt shot from 25 ft
4:47.0,,,95-85,,Offensive rebound by Team
4:37.0,,,95-85,,J. Murray misses 2-pt shot from 10 ft
4:31.0,Defensive rebound by D. Dedmon,,95-85,,
4:31.0,,,95-85,,Personal foul by N. Jokic (drawn by D. Dedmon)
4:31.0,D. Dedmon makes free throw 1 of 2,1,96-85,,
4:31.0,D. Dedmon makes free throw 2 of 2,1,97-85,,
4:19.0,,,97-87,2,G. Harris makes 2-pt shot from 16 ft (assist by M. Plumlee)
4:00.0,D. Schroder misses 2-pt shot from 4 ft (block by N. Jokic),,97-87,,
4:00.0,Offensive rebound by Team,,97-87,,
3:55.0,M. Muscala makes 2-pt shot from 6 ft (assist by M. Delaney),2,99-87,,
3:36.0,,,99-87,,Turnover by M. Plumlee (lost ball; steal by D. Schroder)
3:30.0,M. Muscala makes 3-pt shot from 22 ft (assist by T. Waller-Prince),3,102-87,,
3:29.0,,,102-87,,Denver full timeout
3:29.0,K. Bazemore enters the game for M. Delaney,,102-87,,
3:29.0,E. Ilyasova enters the game for D. Dedmon,,102-87,,
3:14.0,,,102-89,2,J. Murray makes 2-pt shot from 2 ft
3:14.0,,,102-89,,Shooting foul by M. Muscala (drawn by J. Murray)
3:14.0,,,102-89,,T. Lyles enters the game for N. Jokic
3:14.0,,,102-90,1,J. Murray makes free throw 1 of 1
3:02.0,Shooting foul by T. Lyles (drawn by D. Schroder),,102-90,,
3:02.0,D. Schroder makes free throw 1 of 2,1,103-90,,
3:02.0,D. Schroder makes free throw 2 of 2,1,104-90,,
2:50.0,,,104-90,,G. Harris misses 2-pt shot from 6 ft
2:48.0,Defensive rebound by T. Waller-Prince,,104-90,,
2:27.0,K. Bazemore makes 2-pt shot from 18 ft,2,106-90,,
2:16.0,,,106-93,3,W. Barton makes 3-pt shot from 24 ft
1:58.0,D. Schroder misses 2-pt shot from 1 ft (block by G. Harris),,106-93,,
1:52.0,,,106-93,,Defensive rebound by G. Harris
1:52.0,,,106-93,,Shooting foul by E. Ilyasova (drawn by T. Lyles)
1:52.0,,,106-94,1,T. Lyles makes free throw 1 of 2
1:52.0,,,106-94,,T. Craig enters the game for G. Harris
1:52.0,,,106-95,1,T. Lyles makes free throw 2 of 2
1:33.0,D. Schroder misses 2-pt shot from 15 ft,,106-95,,
1:32.0,Offensive rebound by Team,,106-95,,
1:32.0,Turnover by K. Bazemore (bad pass; steal by J. Murray),,106-95,,
1:28.0,,,106-95,,Turnover by W. Barton (bad pass)
1:15.0,,,106-95,,Personal take foul by T. Lyles (drawn by D. Schroder)
1:15.0,D. Schroder makes free throw 1 of 2,1,107-95,,
1:15.0,J. Collins enters the game for E. Ilyasova,,107-95,,
1:15.0,D. Schroder makes free throw 2 of 2,1,108-95,,
1:03.0,,,108-97,2,J. Murray makes 2-pt shot from 8 ft (assist by T. Craig)
0:42.0,D. Schroder misses 3-pt shot from 25 ft,,108-97,,
0:38.0,,,108-97,,Defensive rebound by M. Plumlee
0:34.0,,,108-97,,J. Murray misses 3-pt shot from 25 ft
0:32.0,Defensive rebound by J. Collins,,108-97,,
0:31.0,Turnover by J. Collins (bad pass; steal by T. Craig),,108-97,,
0:30.0,,,108-97,,Turnover by T. Craig (bad pass; steal by M. Muscala)
0:30.0,,,108-97,,Personal foul by T. Lyles (drawn by M. Muscala)
0:30.0,M. Muscala makes free throw 1 of 2,1,109-97,,
0:30.0,M. Muscala makes free throw 2 of 2,1,110-97,,
0:29.0,,,110-97,,R. Jefferson enters the game for T. Lyles
0:29.0,T. Cavanaugh enters the game for T. Waller-Prince,,110-97,,
0:29.0,T. Dorsey enters the game for D. Schroder,,110-97,,
0:29.0,I. Taylor enters the game for K. Bazemore,,110-97,,
0:22.0,,,110-97,,J. Murray misses 2-pt shot from 3 ft (block by J. Collins)
0:21.0,,,110-97,,Offensive rebound by Team
0:14.0,,,110-97,,W. Barton misses 3-pt shot from 25 ft
0:10.0,Defensive rebound by T. Cavanaugh,,110-97,,
