time,New Orleans,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. A. Davis (D. Cousins gains possession),,,,Jump ball: T. Chandler vs. A. Davis (D. Cousins gains possession)
11:39.0,D. Cousins makes 2-pt shot from 14 ft,2,2-0,,
11:21.0,,,2-0,,G. Monroe misses 2-pt shot from 2 ft
11:19.0,Defensive rebound by A. Davis,,2-0,,
11:12.0,R. Rondo makes 2-pt shot at rim,2,4-0,,
10:54.0,,,4-3,3,T. Warren makes 3-pt shot from 25 ft (assist by T. Ulis)
10:35.0,Turnover by D. Cousins (bad pass; steal by D. Booker),,4-3,,
10:19.0,,,4-3,,T. Ulis misses 3-pt shot from 24 ft
10:16.0,,,4-3,,Offensive rebound by T. Chandler
10:16.0,,,4-3,,T. Chandler misses 2-pt shot at rim (block by A. Davis)
10:16.0,,,4-3,,Offensive rebound by Team
10:13.0,,,4-3,,Turnover by G. Monroe (lost ball; steal by R. Rondo)
10:13.0,,,4-3,,Personal foul by G. Monroe (drawn by D. Cousins)
10:03.0,A. Davis misses 2-pt shot from 17 ft,,4-3,,
9:59.0,,,4-3,,Defensive rebound by G. Monroe
9:43.0,,,4-5,2,T. Ulis makes 2-pt shot from 12 ft
9:28.0,J. Holiday misses 2-pt shot from 17 ft,,4-5,,
9:22.0,Offensive rebound by A. Davis,,4-5,,
9:22.0,A. Davis makes 2-pt shot at rim,2,6-5,,
9:11.0,,,6-5,,Turnover by D. Booker (out of bounds lost ball)
8:54.0,Turnover by A. Davis (traveling),,6-5,,
8:31.0,,,6-5,,T. Ulis misses 3-pt shot from 27 ft
8:28.0,Defensive rebound by E. Moore,,6-5,,
8:25.0,D. Cousins misses 2-pt shot from 1 ft,,6-5,,
8:25.0,,,6-5,,Defensive rebound by T. Warren
8:19.0,,,6-7,2,T. Chandler makes 2-pt shot at rim (assist by D. Booker)
8:15.0,Turnover by J. Holiday (bad pass),,6-7,,
8:05.0,,,6-7,,D. Booker misses 3-pt shot from 27 ft
8:02.0,Defensive rebound by E. Moore,,6-7,,
7:49.0,D. Cousins misses 3-pt shot from 25 ft,,6-7,,
7:45.0,,,6-7,,Defensive rebound by T. Chandler
7:34.0,,,6-7,,T. Warren misses 2-pt shot from 7 ft
7:32.0,,,6-7,,Offensive rebound by G. Monroe
7:29.0,,,6-9,2,T. Warren makes 2-pt shot from 1 ft (assist by G. Monroe)
7:22.0,Shooting foul by G. Monroe (drawn by J. Holiday),,6-9,,
7:22.0,J. Holiday makes free throw 1 of 2,1,7-9,,
7:22.0,,,7-9,,A. Len enters the game for G. Monroe
7:22.0,J. Holiday makes free throw 2 of 2,1,8-9,,
7:08.0,,,8-9,,T. Warren misses 2-pt shot from 14 ft
7:04.0,Defensive rebound by D. Cousins,,8-9,,
7:02.0,Shooting foul by T. Chandler (drawn by A. Davis),,8-9,,
7:02.0,A. Davis makes free throw 1 of 2,1,9-9,,
7:02.0,A. Davis misses free throw 2 of 2,,9-9,,
7:00.0,,,9-9,,Defensive rebound by A. Len
6:55.0,,,9-9,,Shooting foul by D. Cousins (drawn by T. Chandler)
6:55.0,,,9-9,,Phoenix full timeout
6:55.0,,,9-10,1,T. Chandler makes free throw 1 of 2
6:55.0,,,9-11,1,T. Chandler makes free throw 2 of 2
6:44.0,,,9-11,,Violation by D. Booker (kicked ball)
6:34.0,D. Cousins misses 2-pt shot from 2 ft,,9-11,,
6:33.0,,,9-11,,Defensive rebound by D. Booker
6:18.0,,,9-13,2,T. Ulis makes 2-pt shot from 12 ft
6:06.0,D. Cousins makes 3-pt shot from 25 ft (assist by J. Holiday),3,12-13,,
5:58.0,,,12-13,,Turnover by D. Booker (lost ball; steal by D. Cousins)
5:52.0,R. Rondo misses 2-pt shot at rim,,12-13,,
5:47.0,Offensive rebound by D. Cousins,,12-13,,
5:47.0,D. Cousins makes 2-pt shot at rim,2,14-13,,
5:30.0,,,14-13,,D. Booker misses 3-pt shot from 26 ft
5:26.0,Defensive rebound by D. Cousins,,14-13,,
5:18.0,R. Rondo makes 2-pt shot from 1 ft,2,16-13,,
5:03.0,,,16-15,2,D. Booker makes 2-pt shot from 21 ft
4:50.0,E. Moore misses 2-pt shot at rim,,16-15,,
4:48.0,Offensive rebound by A. Davis,,16-15,,
4:46.0,E. Moore makes 3-pt shot from 22 ft (assist by A. Davis),3,19-15,,
4:45.0,,,19-15,,Phoenix full timeout
4:45.0,,,19-15,,T. Daniels enters the game for D. Booker
4:45.0,,,19-15,,D. Bender enters the game for T. Chandler
4:45.0,,,19-15,,M. James enters the game for T. Ulis
4:33.0,,,19-15,,M. James misses 2-pt shot from 16 ft
4:30.0,Defensive rebound by A. Davis,,19-15,,
4:17.0,J. Holiday makes 2-pt shot from 1 ft (assist by D. Cousins),2,21-15,,
3:58.0,,,21-15,,Turnover by M. James (bad pass; steal by D. Cousins)
3:52.0,,,21-15,,Personal foul by T. Warren (drawn by A. Davis)
3:52.0,,,21-15,,J. Jackson enters the game for T. Warren
3:52.0,D. Miller enters the game for R. Rondo,,21-15,,
3:52.0,J. Nelson enters the game for J. Holiday,,21-15,,
3:46.0,D. Cousins makes 2-pt shot at rim,2,23-15,,
3:26.0,,,23-15,,J. Jackson misses 2-pt shot from 7 ft
3:24.0,Defensive rebound by D. Cousins,,23-15,,
3:15.0,A. Davis makes 2-pt shot from 9 ft (assist by D. Cousins),2,25-15,,
2:51.0,,,25-15,,A. Len misses 2-pt shot from 11 ft
2:49.0,Defensive rebound by D. Cousins,,25-15,,
2:40.0,D. Cousins misses 2-pt shot at rim (block by A. Len),,25-15,,
2:38.0,,,25-15,,Defensive rebound by M. James
2:36.0,,,25-15,,D. Bender misses 3-pt shot from 25 ft
2:36.0,,,25-15,,Offensive rebound by J. Jackson
2:28.0,,,25-17,2,J. Jackson makes 2-pt shot at rim
2:14.0,Shooting foul by A. Len (drawn by D. Cousins),,25-17,,
2:14.0,D. Cousins makes free throw 1 of 2,1,26-17,,
2:14.0,D. Cunningham enters the game for A. Davis,,26-17,,
2:14.0,D. Cousins misses free throw 2 of 2,,26-17,,
2:14.0,,,26-17,,Defensive rebound by J. Jackson
2:11.0,,,26-19,2,J. Jackson makes 2-pt shot at rim
2:11.0,,,26-19,,J. Jackson misses free throw 1 of 1
2:11.0,Defensive rebound by D. Cousins,,26-19,,
2:11.0,Personal block foul by D. Miller (drawn by J. Jackson),,26-19,,
2:11.0,Turnover by D. Miller (turnover),,26-19,,
2:11.0,,,26-19,,M. Chriss enters the game for A. Len
1:51.0,D. Cousins makes 3-pt shot from 25 ft (assist by J. Nelson),3,29-19,,
1:41.0,,,29-19,,T. Daniels misses 3-pt shot from 25 ft
1:41.0,Defensive rebound by Team,,29-19,,
1:26.0,Offensive foul by D. Cousins (drawn by M. Chriss),,29-19,,
1:26.0,Turnover by D. Cousins (offensive foul),,29-19,,
1:26.0,A. Davis enters the game for D. Cousins,,29-19,,
1:14.0,,,29-21,2,M. Chriss makes 2-pt shot at rim (assist by T. Daniels)
0:59.0,D. Cunningham makes 2-pt shot at rim (assist by A. Davis),2,31-21,,
0:44.0,,,31-21,,J. Jackson misses 2-pt shot from 18 ft
0:40.0,Defensive rebound by A. Davis,,31-21,,
0:34.0,A. Davis makes 2-pt shot at rim (assist by J. Nelson),2,33-21,,
0:19.0,,,33-21,,M. Chriss misses 2-pt shot at rim
0:17.0,,,33-21,,Offensive rebound by J. Jackson
0:16.0,,,33-21,,J. Jackson misses 3-pt shot from 25 ft
0:14.0,Defensive rebound by A. Davis,,33-21,,
0:01.0,Turnover by J. Nelson (lost ball; steal by M. James),,33-21,,
0:00.0,,,33-21,,M. James misses 3-pt shot from 42 ft
0:00.0,,,33-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,33-21,,D. Booker misses 2-pt shot from 3 ft
11:44.0,Defensive rebound by D. Miller,,33-21,,
11:32.0,T. Allen misses 2-pt shot from 2 ft,,33-21,,
11:30.0,,,33-21,,Defensive rebound by D. Bender
11:27.0,,,33-21,,D. Booker misses 3-pt shot from 25 ft
11:20.0,,,33-21,,Offensive rebound by M. Chriss
11:20.0,,,33-21,,M. Chriss misses 2-pt shot at rim
11:19.0,Defensive rebound by D. Miller,,33-21,,
11:07.0,J. Nelson misses 3-pt shot from 25 ft,,33-21,,
11:04.0,Offensive rebound by D. Miller,,33-21,,
11:00.0,T. Allen makes 2-pt shot from 1 ft (assist by D. Miller),2,35-21,,
10:47.0,,,35-21,,M. Chriss misses 3-pt shot from 26 ft
10:46.0,Defensive rebound by Team,,35-21,,
10:30.0,Shooting foul by M. Chriss (drawn by A. Davis),,35-21,,
10:30.0,A. Davis makes free throw 1 of 2,1,36-21,,
10:30.0,,,36-21,,T. Chandler enters the game for M. Chriss
10:30.0,A. Davis makes free throw 2 of 2,1,37-21,,
10:23.0,,,37-21,,J. Jackson misses 2-pt shot from 1 ft
10:21.0,Defensive rebound by A. Davis,,37-21,,
10:17.0,J. Nelson misses 2-pt shot at rim,,37-21,,
10:16.0,,,37-21,,Defensive rebound by M. James
10:16.0,Personal foul by T. Allen (drawn by M. James),,37-21,,
10:05.0,,,37-21,,J. Jackson misses 2-pt shot from 19 ft
10:03.0,Defensive rebound by T. Allen,,37-21,,
9:49.0,Turnover by D. Miller (lost ball; steal by J. Jackson),,37-21,,
9:44.0,,,37-23,2,T. Chandler makes 2-pt shot at rim (assist by M. James)
9:30.0,A. Davis makes 2-pt shot from 19 ft (assist by J. Nelson),2,39-23,,
9:18.0,,,39-23,,D. Bender misses 2-pt shot from 1 ft
9:15.0,Defensive rebound by D. Cunningham,,39-23,,
9:07.0,A. Davis misses 2-pt shot from 11 ft,,39-23,,
9:03.0,,,39-23,,Defensive rebound by D. Bender
9:01.0,,,39-23,,Offensive charge foul by J. Jackson (drawn by J. Nelson)
9:01.0,,,39-23,,Turnover by J. Jackson (offensive foul)
8:46.0,D. Miller makes 3-pt shot from 24 ft (assist by J. Nelson),3,42-23,,
8:45.0,,,42-23,,Phoenix full timeout
8:45.0,,,42-23,,T. Warren enters the game for J. Jackson
8:45.0,,,42-23,,G. Monroe enters the game for D. Bender
8:45.0,D. Cousins enters the game for A. Davis,,42-23,,
