time,Denver,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. N. Jokic (W. Barton gains possession),,,,Jump ball: K. Towns vs. N. Jokic (W. Barton gains possession)
11:41.0,N. Jokic misses 3-pt shot from 25 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by A. Wiggins
11:26.0,,,0-0,,K. Towns misses 2-pt shot from 5 ft
11:21.0,,,0-0,,Offensive rebound by K. Towns
11:21.0,,,0-2,2,K. Towns makes 2-pt shot at rim
11:01.0,W. Barton misses 2-pt shot at rim,,0-2,,
10:59.0,,,0-2,,Defensive rebound by T. Gibson
10:53.0,,,0-2,,A. Wiggins misses 2-pt shot from 5 ft
10:53.0,Defensive rebound by W. Chandler,,0-2,,
10:42.0,N. Jokic makes 2-pt shot from 9 ft (assist by J. Murray),2,2-2,,
10:23.0,Personal block foul by P. Millsap (drawn by K. Towns),,2-2,,
10:09.0,,,2-2,,K. Towns misses 2-pt shot from 17 ft
10:07.0,Defensive rebound by W. Chandler,,2-2,,
9:59.0,W. Barton makes 3-pt shot from 25 ft (assist by W. Chandler),3,5-2,,
9:38.0,,,5-4,2,K. Towns makes 2-pt shot from 19 ft (assist by J. Teague)
9:27.0,N. Jokic misses 2-pt shot from 22 ft,,5-4,,
9:23.0,Offensive rebound by J. Murray,,5-4,,
9:20.0,W. Barton misses 3-pt shot from 26 ft,,5-4,,
9:17.0,,,5-4,,Defensive rebound by T. Gibson
9:12.0,,,5-6,2,T. Gibson makes 2-pt shot from 13 ft (assist by J. Teague)
8:58.0,J. Murray makes 2-pt shot from 1 ft,2,7-6,,
8:38.0,,,7-6,,Turnover by J. Teague (lost ball; steal by N. Jokic)
8:33.0,Shooting foul by K. Towns (drawn by W. Barton),,7-6,,
8:33.0,W. Barton misses free throw 1 of 2,,7-6,,
8:33.0,Offensive rebound by Team,,7-6,,
8:33.0,W. Barton makes free throw 2 of 2,1,8-6,,
8:17.0,,,8-6,,A. Wiggins misses 3-pt shot from 25 ft
8:15.0,Defensive rebound by N. Jokic,,8-6,,
7:57.0,P. Millsap makes 3-pt shot from 23 ft (assist by W. Chandler),3,11-6,,
7:41.0,,,11-8,2,T. Gibson makes 2-pt shot from 2 ft (assist by J. Teague)
7:26.0,W. Chandler misses 3-pt shot from 22 ft,,11-8,,
7:24.0,Offensive rebound by W. Barton,,11-8,,
7:24.0,W. Barton makes 2-pt shot at rim,2,13-8,,
7:15.0,,,13-8,,J. Teague misses 3-pt shot from 24 ft
7:11.0,Defensive rebound by N. Jokic,,13-8,,
7:07.0,W. Barton misses 2-pt shot from 11 ft,,13-8,,
7:04.0,,,13-8,,Defensive rebound by A. Wiggins
6:52.0,,,13-10,2,J. Butler makes 2-pt shot from 1 ft (assist by K. Towns)
6:32.0,N. Jokic misses 2-pt shot at rim,,13-10,,
6:30.0,,,13-10,,Defensive rebound by T. Gibson
6:17.0,,,13-13,3,A. Wiggins makes 3-pt shot from 22 ft (assist by J. Butler)
6:03.0,W. Barton makes 3-pt shot from 23 ft (assist by N. Jokic),3,16-13,,
5:43.0,,,16-13,,J. Butler misses 3-pt shot from 24 ft
5:40.0,,,16-13,,Offensive rebound by J. Butler
5:38.0,,,16-15,2,J. Butler makes 2-pt shot from 1 ft
5:38.0,Denver full timeout,,16-15,,
5:38.0,,,16-15,,N. Bjelica enters the game for J. Butler
5:38.0,G. Harris enters the game for N. Jokic,,16-15,,
5:38.0,M. Plumlee enters the game for W. Chandler,,16-15,,
