time,Toronto,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Kornet vs. J. Valanciunas (M. Beasley gains possession),,,,Jump ball: L. Kornet vs. J. Valanciunas (M. Beasley gains possession)
11:43.0,,,0-0,,T. Hardaway misses 2-pt shot from 9 ft
11:38.0,,,0-0,,Offensive rebound by L. Kornet
11:38.0,,,0-2,2,L. Kornet makes 2-pt shot at rim
11:27.0,D. DeRozan makes 2-pt shot from 1 ft (assist by J. Valanciunas),2,2-2,,
11:10.0,,,2-2,,M. Beasley misses 2-pt shot from 8 ft
11:05.0,Defensive rebound by K. Lowry,,2-2,,
10:58.0,Shooting foul by F. Ntilikina (drawn by J. Valanciunas),,2-2,,
10:58.0,J. Valanciunas makes free throw 1 of 2,1,3-2,,
10:58.0,J. Valanciunas makes free throw 2 of 2,1,4-2,,
10:50.0,,,4-2,,Shooting foul by N. Powell (drawn by T. Hardaway)
10:50.0,,,4-3,1,T. Hardaway makes free throw 1 of 2
10:50.0,,,4-4,1,T. Hardaway makes free throw 2 of 2
10:37.0,Turnover by S. Ibaka (lost ball; steal by E. Mudiay),,4-4,,
10:32.0,,,4-4,,E. Mudiay misses 2-pt shot from 2 ft
10:27.0,,,4-4,,Offensive rebound by F. Ntilikina
10:27.0,,,4-6,2,F. Ntilikina makes 2-pt shot at rim
10:23.0,N. Powell makes 2-pt shot from 6 ft (assist by D. DeRozan),2,6-6,,
10:10.0,,,6-6,,L. Kornet misses 2-pt shot from 2 ft
10:10.0,,,6-6,,Offensive rebound by L. Kornet
10:07.0,,,6-8,2,L. Kornet makes 2-pt shot from 1 ft
9:54.0,K. Lowry misses 3-pt shot from 25 ft,,6-8,,
9:52.0,,,6-8,,Defensive rebound by M. Beasley
9:41.0,,,6-8,,E. Mudiay misses 3-pt shot from 25 ft
9:39.0,Defensive rebound by J. Valanciunas,,6-8,,
9:25.0,D. DeRozan misses 2-pt shot from 14 ft,,6-8,,
9:23.0,,,6-8,,Defensive rebound by M. Beasley
9:18.0,,,6-8,,L. Kornet misses 3-pt shot from 25 ft
9:15.0,Defensive rebound by K. Lowry,,6-8,,
9:11.0,Turnover by K. Lowry (bad pass),,6-8,,
8:54.0,,,6-11,3,L. Kornet makes 3-pt shot from 25 ft (assist by T. Hardaway)
8:39.0,Shooting foul by L. Kornet (drawn by J. Valanciunas),,6-11,,
8:39.0,J. Valanciunas makes free throw 1 of 2,1,7-11,,
8:39.0,J. Valanciunas makes free throw 2 of 2,1,8-11,,
8:27.0,,,8-11,,L. Kornet misses 2-pt shot from 22 ft
8:23.0,Defensive rebound by K. Lowry,,8-11,,
8:06.0,S. Ibaka makes 2-pt shot from 12 ft (assist by D. DeRozan),2,10-11,,
7:49.0,,,10-11,,T. Hardaway misses 2-pt shot from 15 ft
7:46.0,,,10-11,,Offensive rebound by E. Mudiay
7:46.0,,,10-13,2,E. Mudiay makes 2-pt shot at rim
7:33.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,12-13,,
7:12.0,,,12-13,,F. Ntilikina misses 2-pt shot from 13 ft
7:10.0,Defensive rebound by J. Valanciunas,,12-13,,
7:03.0,,,12-13,,Personal foul by L. Kornet (drawn by S. Ibaka)
7:03.0,,,12-13,,K. O'Quinn enters the game for L. Kornet
6:49.0,D. DeRozan misses 2-pt shot from 2 ft (block by K. O'Quinn),,12-13,,
6:48.0,Offensive rebound by J. Valanciunas,,12-13,,
6:48.0,Shooting foul by M. Beasley (drawn by J. Valanciunas),,12-13,,
6:48.0,,,12-13,,New York full timeout
6:48.0,J. Valanciunas makes free throw 1 of 2,1,13-13,,
6:48.0,J. Valanciunas makes free throw 2 of 2,1,14-13,,
6:32.0,,,14-15,2,F. Ntilikina makes 2-pt shot from 2 ft
6:23.0,Shooting foul by E. Mudiay (drawn by D. DeRozan),,14-15,,
6:23.0,D. DeRozan makes free throw 1 of 2,1,15-15,,
6:23.0,D. DeRozan misses free throw 2 of 2,,15-15,,
6:20.0,,,15-15,,Defensive rebound by K. O'Quinn
6:09.0,,,15-17,2,K. O'Quinn makes 2-pt shot from 13 ft (assist by E. Mudiay)
5:54.0,S. Ibaka makes 2-pt shot from 14 ft,2,17-17,,
5:40.0,,,17-17,,F. Ntilikina misses 2-pt shot from 18 ft
5:38.0,Defensive rebound by N. Powell,,17-17,,
5:29.0,J. Valanciunas misses 2-pt shot from 7 ft,,17-17,,
5:26.0,,,17-17,,Defensive rebound by K. O'Quinn
5:18.0,,,17-17,,E. Mudiay misses 2-pt shot from 18 ft
5:15.0,Defensive rebound by S. Ibaka,,17-17,,
5:11.0,K. Lowry misses 3-pt shot from 26 ft,,17-17,,
5:09.0,,,17-17,,Defensive rebound by M. Beasley
4:53.0,,,17-17,,K. O'Quinn misses 2-pt shot from 13 ft
4:51.0,Defensive rebound by J. Valanciunas,,17-17,,
4:44.0,Turnover by N. Powell (out of bounds lost ball),,17-17,,
4:24.0,,,17-19,2,T. Hardaway makes 2-pt shot from 1 ft (assist by K. O'Quinn)
4:13.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,19-19,,
4:03.0,,,19-19,,Shooting foul by N. Powell (drawn by F. Ntilikina)
4:03.0,,,19-19,,C. Lee enters the game for T. Hardaway
4:03.0,,,19-19,,T. Burke enters the game for E. Mudiay
4:03.0,C. Miles enters the game for J. Valanciunas,,19-19,,
4:03.0,J. Poeltl enters the game for N. Powell,,19-19,,
4:03.0,,,19-20,1,F. Ntilikina makes free throw 1 of 2
4:03.0,,,19-21,1,F. Ntilikina makes free throw 2 of 2
3:47.0,S. Ibaka misses 2-pt shot from 5 ft,,19-21,,
3:43.0,Offensive rebound by J. Poeltl,,19-21,,
3:43.0,J. Poeltl misses 2-pt shot at rim,,19-21,,
3:43.0,,,19-21,,Defensive rebound by K. O'Quinn
3:33.0,,,19-21,,Turnover by F. Ntilikina (bad pass)
3:26.0,S. Ibaka makes 2-pt shot from 4 ft (assist by D. DeRozan),2,21-21,,
3:15.0,,,21-23,2,T. Burke makes 2-pt shot from 21 ft (assist by K. O'Quinn)
3:07.0,Shooting foul by T. Burke (drawn by K. Lowry),,21-23,,
3:07.0,K. Lowry makes free throw 1 of 2,1,22-23,,
3:07.0,K. Lowry makes free throw 2 of 2,1,23-23,,
2:59.0,,,23-23,,F. Ntilikina misses 2-pt shot from 14 ft
2:56.0,Defensive rebound by S. Ibaka,,23-23,,
2:47.0,D. DeRozan makes 2-pt shot from 1 ft,2,25-23,,
2:37.0,,,25-25,2,C. Lee makes 2-pt shot from 12 ft
2:28.0,Toronto full timeout,,25-25,,
2:28.0,F. VanVleet enters the game for S. Ibaka,,25-25,,
2:28.0,P. Siakam enters the game for K. Lowry,,25-25,,
2:10.0,D. DeRozan makes 2-pt shot from 7 ft,2,27-25,,
1:54.0,,,27-25,,K. O'Quinn misses 3-pt shot from 22 ft
1:52.0,Defensive rebound by C. Miles,,27-25,,
1:43.0,D. DeRozan misses 2-pt shot from 2 ft (block by K. O'Quinn),,27-25,,
1:40.0,,,27-25,,Defensive rebound by T. Burke
1:34.0,,,27-27,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by T. Burke)
1:23.0,D. DeRozan misses 2-pt shot from 1 ft (block by K. O'Quinn),,27-27,,
1:21.0,Offensive rebound by J. Poeltl,,27-27,,
1:21.0,J. Poeltl misses 2-pt shot from 2 ft,,27-27,,
1:21.0,Offensive rebound by Team,,27-27,,
1:21.0,,,27-27,,I. Hicks enters the game for M. Beasley
1:10.0,J. Poeltl makes 2-pt shot from 1 ft (assist by P. Siakam),2,29-27,,
0:59.0,,,29-27,,Turnover by K. O'Quinn (bad pass)
0:40.0,D. DeRozan misses 2-pt shot from 17 ft,,29-27,,
0:38.0,,,29-27,,Defensive rebound by K. O'Quinn
0:27.0,,,29-27,,K. O'Quinn misses 2-pt shot from 12 ft
0:23.0,Defensive rebound by P. Siakam,,29-27,,
0:00.0,C. Miles makes 3-pt shot from 26 ft (assist by D. DeRozan),2,32-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,C. Miles misses 3-pt shot from 24 ft,,32-27,,
11:40.0,,,32-27,,Defensive rebound by K. O'Quinn
11:32.0,,,32-30,3,C. Lee makes 3-pt shot from 23 ft (assist by K. O'Quinn)
11:17.0,C. Miles misses 3-pt shot from 25 ft,,32-30,,
11:15.0,,,32-30,,Defensive rebound by K. O'Quinn
11:08.0,,,32-32,2,T. Burke makes 2-pt shot from 19 ft
10:54.0,P. Siakam makes 2-pt shot from 2 ft (assist by J. Poeltl),2,34-32,,
10:41.0,,,34-32,,Turnover by T. Burke (bad pass; steal by P. Siakam)
10:37.0,F. VanVleet makes 3-pt shot from 22 ft (assist by P. Siakam),3,37-32,,
10:20.0,Personal foul by C. Miles (drawn by I. Hicks),,37-32,,
10:14.0,,,37-32,,T. Burke misses 2-pt shot from 18 ft
10:11.0,Defensive rebound by F. VanVleet,,37-32,,
10:00.0,P. Siakam makes 2-pt shot from 6 ft (assist by D. Wright),2,39-32,,
9:47.0,,,39-32,,K. O'Quinn misses 2-pt shot from 16 ft
9:45.0,Defensive rebound by P. Siakam,,39-32,,
9:39.0,J. Poeltl makes 2-pt shot from 8 ft (assist by P. Siakam),2,41-32,,
9:39.0,,,41-32,,New York full timeout
9:39.0,,,41-32,,L. Kornet enters the game for K. O'Quinn
9:27.0,,,41-32,,I. Hicks misses 2-pt shot from 4 ft
9:26.0,,,41-32,,Offensive rebound by I. Hicks
9:22.0,,,41-34,2,I. Hicks makes 2-pt shot at rim
9:00.0,P. Siakam misses 2-pt shot from 9 ft,,41-34,,
8:58.0,,,41-34,,Defensive rebound by I. Hicks
8:52.0,,,41-34,,I. Hicks misses 2-pt shot from 1 ft
8:49.0,Defensive rebound by F. VanVleet,,41-34,,
8:46.0,C. Miles misses 3-pt shot from 27 ft,,41-34,,
8:44.0,Offensive rebound by P. Siakam,,41-34,,
8:41.0,D. Wright makes 2-pt shot from 7 ft (assist by P. Siakam),2,43-34,,
8:20.0,,,43-34,,L. Kornet misses 3-pt shot from 25 ft
8:18.0,Defensive rebound by J. Poeltl,,43-34,,
8:10.0,Turnover by J. Poeltl (lost ball; steal by C. Lee),,43-34,,
8:05.0,,,43-37,3,T. Hardaway makes 3-pt shot from 23 ft (assist by T. Burke)
7:45.0,C. Miles makes 2-pt shot from 15 ft (assist by J. Poeltl),2,45-37,,
7:18.0,,,45-37,,T. Burke misses 2-pt shot from 15 ft
7:18.0,,,45-37,,Offensive rebound by L. Kornet
7:18.0,Personal foul by P. Siakam (drawn by L. Kornet),,45-37,,
7:18.0,,,45-37,,E. Mudiay enters the game for C. Lee
7:11.0,,,45-37,,T. Burke misses 2-pt shot from 19 ft
7:09.0,Defensive rebound by C. Miles,,45-37,,
7:02.0,C. Miles makes 2-pt shot from 2 ft (assist by D. Wright),2,47-37,,
6:54.0,,,47-39,2,T. Burke makes 2-pt shot from 1 ft (assist by L. Kornet)
6:39.0,P. Siakam misses 2-pt shot from 7 ft,,47-39,,
6:39.0,,,47-39,,Defensive rebound by Team
6:27.0,Violation by P. Siakam (kicked ball),,47-39,,
6:27.0,S. Ibaka enters the game for C. Miles,,47-39,,
6:27.0,K. Lowry enters the game for P. Siakam,,47-39,,
6:15.0,,,47-39,,T. Hardaway misses 2-pt shot from 17 ft
6:11.0,Defensive rebound by J. Poeltl,,47-39,,
6:03.0,D. Wright makes 2-pt shot from 2 ft,2,49-39,,
5:53.0,,,49-39,,Shooting foul by D. Wright (drawn by I. Hicks)
5:53.0,,,49-39,,F. Ntilikina enters the game for T. Burke
5:53.0,J. Valanciunas enters the game for J. Poeltl,,49-39,,
