time,LA Lakers,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. B. Lopez (L. Ball gains possession),,,,Jump ball: J. Henson vs. B. Lopez (L. Ball gains possession)
11:47.0,Turnover by K. Caldwell-Pope (bad pass),,0-0,,
11:32.0,,,0-0,,K. Middleton misses 2-pt shot from 18 ft
11:29.0,Defensive rebound by L. Ball,,0-0,,
11:24.0,,,0-0,,Personal foul by G. Antetokounmpo (drawn by B. Ingram)
11:10.0,B. Lopez misses 2-pt shot from 9 ft,,0-0,,
11:07.0,,,0-0,,Defensive rebound by K. Middleton
10:57.0,,,0-2,2,J. Henson makes 2-pt shot from 3 ft (assist by G. Antetokounmpo)
10:49.0,L. Ball makes 3-pt shot from 26 ft,3,3-2,,
10:31.0,,,3-2,,E. Bledsoe misses 2-pt shot from 8 ft (block by L. Ball)
10:31.0,Defensive rebound by B. Ingram,,3-2,,
10:26.0,B. Lopez misses 2-pt shot from 8 ft,,3-2,,
10:26.0,,,3-2,,Defensive rebound by Team
10:26.0,Loose ball foul by B. Lopez (drawn by G. Antetokounmpo),,3-2,,
10:17.0,Personal foul by B. Ingram (drawn by G. Antetokounmpo),,3-2,,
10:08.0,,,3-2,,Turnover by J. Henson (lost ball; steal by L. Ball)
10:02.0,B. Ingram misses 2-pt shot from 3 ft,,3-2,,
9:58.0,,,3-2,,Defensive rebound by E. Bledsoe
9:51.0,,,3-4,2,J. Henson makes 2-pt shot from 5 ft
9:40.0,K. Caldwell-Pope misses 2-pt shot from 13 ft,,3-4,,
9:36.0,,,3-4,,Defensive rebound by J. Henson
9:33.0,,,3-4,,Shooting foul by K. Kuzma (drawn by G. Antetokounmpo)
9:33.0,,,3-5,1,G. Antetokounmpo makes free throw 1 of 2
9:33.0,,,3-5,,G. Antetokounmpo misses free throw 2 of 2
9:29.0,Defensive rebound by K. Kuzma,,3-5,,
9:26.0,B. Ingram makes 2-pt shot at rim (assist by L. Ball),2,5-5,,
9:14.0,,,5-5,,E. Bledsoe misses 2-pt shot from 2 ft (block by B. Lopez)
9:14.0,,,5-5,,Offensive rebound by Team
8:56.0,,,5-5,,E. Bledsoe misses 3-pt shot from 26 ft
8:53.0,,,5-5,,Offensive rebound by T. Snell
8:50.0,,,5-7,2,J. Henson makes 2-pt shot from 2 ft (assist by K. Middleton)
8:38.0,K. Kuzma misses 2-pt shot from 2 ft,,5-7,,
8:34.0,Offensive rebound by K. Kuzma,,5-7,,
8:34.0,K. Kuzma misses 2-pt shot from 1 ft,,5-7,,
8:33.0,Offensive rebound by K. Kuzma,,5-7,,
8:33.0,K. Kuzma misses 2-pt shot from 1 ft,,5-7,,
8:33.0,,,5-7,,Defensive rebound by J. Henson
8:21.0,,,5-7,,K. Middleton misses 2-pt shot from 4 ft
8:18.0,Defensive rebound by L. Ball,,5-7,,
8:18.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by L. Ball),2,7-7,,
8:06.0,,,7-7,,J. Henson misses 2-pt shot from 17 ft
8:03.0,Defensive rebound by L. Ball,,7-7,,
7:45.0,Turnover by B. Ingram (bad pass; steal by K. Middleton),,7-7,,
7:40.0,,,7-7,,G. Antetokounmpo misses 2-pt shot from 2 ft
7:36.0,Defensive rebound by K. Caldwell-Pope,,7-7,,
7:21.0,B. Lopez makes 2-pt shot from 10 ft (assist by L. Ball),2,9-7,,
7:12.0,,,9-7,,Turnover by E. Bledsoe (bad pass; steal by L. Ball)
7:04.0,,,9-7,,Personal foul by T. Snell (drawn by L. Ball)
7:04.0,,,9-7,,M. Dellavedova enters the game for E. Bledsoe
6:57.0,Shooting foul by K. Middleton (drawn by B. Ingram),,9-7,,
6:57.0,,,9-7,,Milwaukee full timeout
6:57.0,B. Ingram misses free throw 1 of 2,,9-7,,
6:57.0,Offensive rebound by Team,,9-7,,
6:57.0,B. Ingram makes free throw 2 of 2,1,10-7,,
6:43.0,,,10-7,,M. Dellavedova misses 3-pt shot from 23 ft
6:40.0,Defensive rebound by B. Ingram,,10-7,,
6:28.0,B. Ingram misses 2-pt shot from 15 ft,,10-7,,
6:25.0,,,10-7,,Defensive rebound by M. Dellavedova
6:10.0,,,10-7,,K. Middleton misses 2-pt shot from 14 ft
6:08.0,Defensive rebound by B. Ingram,,10-7,,
5:58.0,,,10-7,,Personal foul by J. Henson (drawn by B. Lopez)
5:58.0,,,10-7,,T. Maker enters the game for T. Snell
5:58.0,,,10-7,,M. Brogdon enters the game for J. Henson
5:53.0,Turnover by B. Lopez (turnover),,10-7,,
5:34.0,,,10-7,,M. Dellavedova misses 2-pt shot from 1 ft
5:25.0,,,10-7,,Offensive rebound by M. Dellavedova
5:25.0,,,10-9,2,M. Dellavedova makes 2-pt shot at rim
5:15.0,B. Lopez misses 2-pt shot from 1 ft,,10-9,,
5:12.0,,,10-9,,Defensive rebound by K. Middleton
5:03.0,,,10-9,,K. Middleton misses 2-pt shot from 4 ft
4:58.0,Defensive rebound by K. Caldwell-Pope,,10-9,,
4:50.0,L. Ball makes 3-pt shot from 26 ft (assist by B. Ingram),3,13-9,,
4:38.0,,,13-9,,M. Brogdon misses 2-pt shot from 2 ft (block by B. Ingram)
4:38.0,,,13-9,,Offensive rebound by Team
