time,Miami,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. H. Whiteside (T. Gibson gains possession),,,,Jump ball: K. Towns vs. H. Whiteside (T. Gibson gains possession)
11:48.0,,,0-2,2,J. Butler makes 2-pt shot from 19 ft (assist by K. Towns)
11:26.0,J. Richardson misses 2-pt shot from 9 ft (block by A. Wiggins),,0-2,,
11:26.0,Offensive rebound by Team,,0-2,,
11:21.0,H. Whiteside makes 2-pt shot from 15 ft,2,2-2,,
11:07.0,Personal foul by D. Waiters (drawn by J. Butler),,2-2,,
11:00.0,,,2-2,,T. Gibson misses 2-pt shot from 1 ft (block by H. Whiteside)
10:56.0,Defensive rebound by H. Whiteside,,2-2,,
10:52.0,J. Richardson makes 2-pt shot at rim (assist by D. Waiters),2,4-2,,
10:52.0,Shooting foul by A. Brooks (drawn by J. Richardson),,4-2,,
10:52.0,J. Richardson makes free throw 1 of 1,1,5-2,,
10:36.0,Personal foul by J. Richardson (drawn by A. Wiggins),,5-2,,
10:28.0,,,5-2,,Turnover by T. Gibson (bad pass)
10:08.0,G. Dragic makes 3-pt shot from 25 ft (assist by H. Whiteside),3,8-2,,
9:52.0,,,8-2,,Turnover by J. Butler (bad pass)
9:30.0,G. Dragic misses 3-pt shot from 22 ft,,8-2,,
9:27.0,,,8-2,,Defensive rebound by T. Gibson
9:19.0,,,8-2,,J. Butler misses 2-pt shot from 18 ft
9:16.0,,,8-2,,Offensive rebound by T. Gibson
9:14.0,,,8-5,3,A. Brooks makes 3-pt shot from 24 ft (assist by T. Gibson)
8:57.0,D. Waiters makes 2-pt shot from 13 ft (assist by G. Dragic),2,10-5,,
8:43.0,,,10-7,2,T. Gibson makes 2-pt shot from 12 ft (assist by J. Butler)
8:22.0,H. Whiteside makes 2-pt shot from 10 ft,2,12-7,,
8:00.0,,,12-7,,A. Brooks misses 2-pt shot from 20 ft
7:57.0,Defensive rebound by J. Winslow,,12-7,,
7:51.0,D. Waiters makes 2-pt shot from 6 ft (assist by J. Winslow),2,14-7,,
7:31.0,,,14-7,,K. Towns misses 2-pt shot from 11 ft
7:28.0,,,14-7,,Offensive rebound by Team
7:19.0,,,14-7,,A. Wiggins misses 2-pt shot from 13 ft
7:19.0,Defensive rebound by Team,,14-7,,
7:19.0,,,14-7,,Loose ball foul by T. Gibson (drawn by H. Whiteside)
7:09.0,J. Richardson makes 2-pt shot from 17 ft (assist by D. Waiters),2,16-7,,
6:47.0,,,16-9,2,J. Butler makes 2-pt shot from 11 ft (assist by A. Brooks)
6:29.0,G. Dragic makes 3-pt shot from 23 ft (assist by D. Waiters),3,19-9,,
6:09.0,,,19-9,,A. Wiggins misses 2-pt shot from 7 ft
6:07.0,Defensive rebound by J. Winslow,,19-9,,
6:00.0,D. Waiters makes 3-pt shot from 22 ft (assist by J. Winslow),3,22-9,,
5:52.0,,,22-9,,Minnesota full timeout
5:52.0,T. Johnson enters the game for G. Dragic,,22-9,,
5:42.0,,,22-9,,K. Towns misses 3-pt shot from 22 ft
5:38.0,,,22-9,,Offensive rebound by T. Gibson
5:37.0,,,22-11,2,T. Gibson makes 2-pt shot at rim
5:16.0,T. Johnson misses 3-pt shot from 23 ft,,22-11,,
5:14.0,Offensive rebound by H. Whiteside,,22-11,,
5:14.0,,,22-11,,Personal foul by T. Gibson (drawn by H. Whiteside)
5:14.0,,,22-11,,G. Dieng enters the game for A. Brooks
5:14.0,,,22-11,,T. Jones enters the game for K. Towns
5:02.0,J. Winslow makes 3-pt shot from 22 ft (assist by T. Johnson),3,25-11,,
4:51.0,,,25-11,,Shooting foul by H. Whiteside (drawn by A. Wiggins)
4:51.0,,,25-12,1,A. Wiggins makes free throw 1 of 2
4:51.0,,,25-13,1,A. Wiggins makes free throw 2 of 2
4:40.0,,,25-13,,Personal foul by G. Dieng (drawn by D. Waiters)
4:36.0,H. Whiteside misses 2-pt shot from 1 ft (block by T. Gibson),,25-13,,
4:35.0,Offensive rebound by Team,,25-13,,
