time,Houston,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. C. Capela (R. Rubio gains possession),,,,Jump ball: R. Gobert vs. C. Capela (R. Rubio gains possession)
11:46.0,Personal foul by R. Anderson (drawn by D. Favors),,0-0,,
11:35.0,,,0-0,,R. Gobert misses 2-pt shot from 3 ft
11:32.0,Defensive rebound by J. Harden,,0-0,,
11:28.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,2-0,,
11:09.0,,,2-0,,Turnover by R. Gobert (lost ball; steal by J. Harden)
10:54.0,R. Anderson makes 2-pt shot from 1 ft (assist by C. Paul),2,4-0,,
10:44.0,,,4-0,,Turnover by R. Gobert (lost ball; steal by C. Paul)
10:40.0,C. Paul makes 2-pt shot from 1 ft,2,6-0,,
10:40.0,,,6-0,,Utah full timeout
10:17.0,,,6-2,2,R. Gobert makes 2-pt shot at rim (assist by D. Mitchell)
9:54.0,J. Harden misses 2-pt shot from 10 ft,,6-2,,
9:52.0,Offensive rebound by C. Capela,,6-2,,
9:42.0,R. Anderson makes 3-pt shot from 24 ft (assist by C. Paul),3,9-2,,
9:22.0,,,9-2,,R. Gobert misses 2-pt shot from 7 ft (block by C. Capela)
9:18.0,,,9-2,,Offensive rebound by J. Ingles
9:17.0,,,9-5,3,J. Ingles makes 3-pt shot from 23 ft
9:03.0,Shooting foul by R. Gobert (drawn by C. Capela),,9-5,,
9:03.0,C. Capela misses free throw 1 of 2,,9-5,,
9:03.0,Offensive rebound by Team,,9-5,,
9:03.0,C. Capela misses free throw 2 of 2,,9-5,,
9:00.0,,,9-5,,Defensive rebound by D. Mitchell
8:45.0,,,9-5,,J. Ingles misses 3-pt shot from 25 ft
8:42.0,Defensive rebound by C. Capela,,9-5,,
8:28.0,C. Capela misses 2-pt shot at rim,,9-5,,
8:26.0,,,9-5,,Defensive rebound by D. Mitchell
8:25.0,Personal foul by C. Paul (drawn by D. Mitchell),,9-5,,
8:25.0,,,9-5,,J. Jerebko enters the game for D. Favors
8:11.0,,,9-5,,D. Mitchell misses 3-pt shot from 26 ft
8:07.0,Defensive rebound by C. Capela,,9-5,,
8:04.0,,,9-5,,Personal foul by J. Jerebko (drawn by J. Harden)
7:47.0,C. Capela misses 2-pt shot from 2 ft,,9-5,,
7:45.0,,,9-5,,Defensive rebound by J. Ingles
7:28.0,,,9-5,,J. Ingles misses 3-pt shot from 24 ft
7:25.0,Defensive rebound by J. Harden,,9-5,,
7:17.0,J. Harden makes 2-pt shot from 17 ft,2,11-5,,
7:05.0,,,11-5,,Shooting foul by C. Capela (drawn by J. Ingles)
7:05.0,,,11-6,1,J. Ingles makes free throw 1 of 2
7:05.0,E. Gordon enters the game for C. Paul,,11-6,,
7:05.0,,,11-7,1,J. Ingles makes free throw 2 of 2
6:54.0,T. Ariza misses 3-pt shot from 25 ft,,11-7,,
6:52.0,,,11-7,,Defensive rebound by J. Jerebko
6:41.0,,,11-7,,R. Gobert misses 2-pt shot from 4 ft
6:35.0,,,11-7,,Offensive rebound by R. Gobert
6:35.0,,,11-9,2,R. Gobert makes 2-pt shot at rim
6:19.0,E. Gordon misses 3-pt shot from 25 ft,,11-9,,
6:16.0,Offensive rebound by C. Capela,,11-9,,
6:02.0,J. Harden misses 3-pt shot from 25 ft,,11-9,,
6:00.0,,,11-9,,Defensive rebound by J. Jerebko
5:53.0,,,11-9,,R. Rubio misses 3-pt shot from 23 ft
5:50.0,Defensive rebound by R. Anderson,,11-9,,
5:43.0,,,11-9,,Violation by J. Ingles (kicked ball)
5:43.0,Technical foul by J. Harden,,11-9,,
5:43.0,,,11-10,1,R. Rubio makes technical free throw
5:43.0,,,11-10,,A. Burks enters the game for R. Rubio
5:43.0,L. Mbah a Moute enters the game for C. Capela,,11-10,,
5:43.0,P. Tucker enters the game for R. Anderson,,11-10,,
5:43.0,R. Anderson enters the game for T. Ariza,,11-10,,
5:38.0,J. Harden makes 3-pt shot from 24 ft (assist by R. Anderson),3,14-10,,
5:38.0,Shooting foul by A. Burks (drawn by J. Harden),,14-10,,
5:38.0,J. Harden makes free throw 1 of 1,1,15-10,,
5:24.0,,,15-10,,D. Mitchell misses 2-pt shot from 14 ft
5:22.0,Defensive rebound by P. Tucker,,15-10,,
5:19.0,Turnover by J. Harden (lost ball; steal by D. Mitchell),,15-10,,
5:16.0,,,15-12,2,J. Ingles makes 2-pt shot from 2 ft (assist by D. Mitchell)
5:11.0,Turnover by P. Tucker (step out of bounds),,15-12,,
5:11.0,,,15-12,,D. Favors enters the game for R. Gobert
4:53.0,,,15-15,3,J. Jerebko makes 3-pt shot from 25 ft (assist by J. Ingles)
4:44.0,,,15-15,,Personal foul by D. Favors (drawn by J. Harden)
4:32.0,E. Gordon misses 2-pt shot from 2 ft (block by D. Favors),,15-15,,
4:32.0,Offensive rebound by Team,,15-15,,
4:29.0,J. Harden misses 3-pt shot from 23 ft,,15-15,,
4:25.0,,,15-15,,Defensive rebound by D. Favors
4:08.0,,,15-15,,Shooting foul by P. Tucker (drawn by A. Burks)
4:08.0,,,15-16,1,A. Burks makes free throw 1 of 2
4:08.0,,,15-16,,A. Burks misses free throw 2 of 2
4:06.0,Defensive rebound by J. Harden,,15-16,,
3:57.0,J. Harden misses 3-pt shot from 26 ft,,15-16,,
3:53.0,,,15-16,,Defensive rebound by J. Ingles
3:42.0,,,15-16,,Turnover by J. Ingles (out of bounds lost ball)
3:27.0,R. Anderson makes 2-pt shot at rim (assist by J. Harden),2,17-16,,
3:11.0,,,17-16,,D. Favors misses 2-pt shot from 10 ft
3:08.0,Defensive rebound by J. Harden,,17-16,,
3:01.0,E. Gordon makes 3-pt shot from 22 ft (assist by L. Mbah a Moute),3,20-16,,
2:44.0,,,20-16,,D. Mitchell misses 3-pt shot from 24 ft
2:42.0,Defensive rebound by E. Gordon,,20-16,,
2:35.0,E. Gordon misses 2-pt shot from 1 ft (block by D. Favors),,20-16,,
2:33.0,,,20-16,,Defensive rebound by D. Favors
2:23.0,,,20-16,,A. Burks misses 3-pt shot from 24 ft
2:20.0,Defensive rebound by L. Mbah a Moute,,20-16,,
2:15.0,J. Harden misses 2-pt shot from 1 ft,,20-16,,
2:07.0,Offensive rebound by R. Anderson,,20-16,,
2:07.0,R. Anderson makes 2-pt shot at rim,2,22-16,,
1:54.0,Personal foul by P. Tucker (drawn by D. Mitchell),,22-16,,
1:54.0,Houston full timeout,,22-16,,
1:54.0,,,22-16,,T. Sefolosha enters the game for J. Ingles
1:54.0,,,22-16,,R. O'Neale enters the game for D. Mitchell
1:54.0,,,22-16,,D. Mitchell enters the game for J. Jerebko
1:54.0,T. Black enters the game for J. Harden,,22-16,,
1:54.0,C. Paul enters the game for R. Anderson,,22-16,,
1:54.0,,,22-17,1,D. Mitchell makes free throw 1 of 2
1:54.0,,,22-18,1,D. Mitchell makes free throw 2 of 2
1:38.0,E. Gordon misses 3-pt shot from 25 ft,,22-18,,
1:35.0,,,22-18,,Defensive rebound by D. Mitchell
1:23.0,,,22-18,,D. Mitchell misses 2-pt shot from 1 ft
1:21.0,Defensive rebound by P. Tucker,,22-18,,
1:10.0,C. Paul makes 3-pt shot from 22 ft,3,25-18,,
0:50.0,,,25-18,,Turnover by A. Burks (bad pass; steal by C. Paul)
0:42.0,E. Gordon misses 2-pt shot from 2 ft,,25-18,,
0:41.0,,,25-18,,Defensive rebound by Team
0:41.0,,,25-18,,R. Neto enters the game for D. Mitchell
0:33.0,,,25-18,,A. Burks misses 2-pt shot from 11 ft
0:31.0,Defensive rebound by C. Paul,,25-18,,
0:24.0,,,25-18,,Personal foul by R. O'Neale (drawn by T. Black)
0:24.0,T. Black misses free throw 1 of 2,,25-18,,
0:24.0,Offensive rebound by Team,,25-18,,
0:24.0,T. Black misses free throw 2 of 2,,25-18,,
0:22.0,,,25-18,,Defensive rebound by T. Sefolosha
0:04.0,,,25-20,2,R. Neto makes 2-pt shot from 3 ft
0:04.0,,,25-20,,Shooting foul by E. Gordon (drawn by R. Neto)
0:04.0,,,25-20,,R. Neto misses free throw 1 of 1
0:03.0,Defensive rebound by T. Black,,25-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by E. Gordon),2,27-20,,
11:24.0,,,27-22,2,R. O'Neale makes 2-pt shot from 2 ft (assist by T. Sefolosha)
11:15.0,C. Paul misses 3-pt shot from 24 ft,,27-22,,
11:13.0,,,27-22,,Defensive rebound by R. O'Neale
10:56.0,,,27-22,,R. Neto misses 3-pt shot from 25 ft
10:52.0,Defensive rebound by E. Gordon,,27-22,,
10:43.0,L. Mbah a Moute misses 2-pt shot from 2 ft,,27-22,,
10:42.0,,,27-22,,Defensive rebound by R. Neto
10:37.0,,,27-25,3,T. Sefolosha makes 3-pt shot from 22 ft (assist by R. Neto)
10:12.0,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by C. Paul),3,30-25,,
9:56.0,,,30-25,,R. O'Neale misses 3-pt shot from 22 ft
9:55.0,,,30-25,,Offensive rebound by Team
9:55.0,,,30-25,,R. Gobert enters the game for D. Favors
9:55.0,,,30-25,,R. Rubio enters the game for R. Neto
9:55.0,C. Capela enters the game for T. Black,,30-25,,
9:38.0,,,30-25,,T. Sefolosha misses 2-pt shot from 1 ft
9:36.0,Defensive rebound by L. Mbah a Moute,,30-25,,
9:31.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,30-25,,
9:28.0,Offensive rebound by C. Capela,,30-25,,
9:16.0,C. Paul makes 2-pt shot from 9 ft,2,32-25,,
8:52.0,,,32-27,2,T. Sefolosha makes 2-pt shot from 21 ft
8:26.0,T. Ariza misses 3-pt shot from 33 ft,,32-27,,
8:18.0,,,32-27,,Defensive rebound by T. Sefolosha
8:10.0,Personal foul by C. Capela (drawn by R. Gobert),,32-27,,
8:04.0,,,32-29,2,A. Burks makes 2-pt shot from 1 ft
7:51.0,C. Paul makes 2-pt shot from 14 ft,2,34-29,,
7:33.0,,,34-29,,T. Sefolosha misses 2-pt shot from 8 ft (block by E. Gordon)
7:31.0,Defensive rebound by C. Capela,,34-29,,
7:13.0,E. Gordon misses 3-pt shot from 24 ft,,34-29,,
7:11.0,,,34-29,,Defensive rebound by T. Sefolosha
7:04.0,,,34-29,,R. O'Neale misses 2-pt shot from 3 ft (block by C. Paul)
