time,LA Lakers,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. B. Lopez (T. Ennis gains possession),,,,Jump ball: M. Gasol vs. B. Lopez (T. Ennis gains possession)
11:45.0,B. Lopez misses 2-pt shot from 12 ft,,0-0,,
11:43.0,Offensive rebound by J. Randle,,0-0,,
11:43.0,Shooting foul by J. Green (drawn by J. Randle),,0-0,,
11:43.0,J. Randle makes free throw 1 of 2,1,1-0,,
11:43.0,J. Randle makes free throw 2 of 2,1,2-0,,
11:31.0,Personal foul by J. Randle (drawn by J. Green),,2-0,,
11:17.0,,,2-3,3,D. Brooks makes 3-pt shot from 26 ft (assist by J. Green)
10:49.0,K. Caldwell-Pope misses 2-pt shot from 16 ft,,2-3,,
10:47.0,,,2-3,,Defensive rebound by J. Green
10:37.0,,,2-5,2,M. Gasol makes 2-pt shot from 13 ft (assist by T. Evans)
10:19.0,J. Randle misses 2-pt shot from 11 ft,,2-5,,
10:13.0,Offensive rebound by J. Randle,,2-5,,
10:13.0,J. Randle makes 2-pt shot at rim,2,4-5,,
10:03.0,,,4-5,,A. Harrison misses 2-pt shot from 18 ft
10:01.0,Defensive rebound by K. Caldwell-Pope,,4-5,,
9:52.0,J. Hart misses 3-pt shot from 25 ft,,4-5,,
9:50.0,,,4-5,,Defensive rebound by J. Green
9:38.0,,,4-5,,M. Gasol misses 2-pt shot from 8 ft
9:35.0,Defensive rebound by J. Randle,,4-5,,
9:19.0,B. Lopez misses 3-pt shot from 25 ft,,4-5,,
9:17.0,,,4-5,,Defensive rebound by J. Green
9:09.0,,,4-8,3,D. Brooks makes 3-pt shot from 23 ft (assist by M. Gasol)
8:52.0,J. Randle misses 3-pt shot from 25 ft,,4-8,,
8:48.0,,,4-8,,Defensive rebound by Team
8:27.0,,,4-11,3,A. Harrison makes 3-pt shot from 23 ft (assist by T. Evans)
8:26.0,LA Lakers full timeout,,4-11,,
8:02.0,J. Hart misses 2-pt shot from 16 ft,,4-11,,
7:59.0,,,4-11,,Defensive rebound by A. Harrison
7:55.0,,,4-13,2,D. Brooks makes 2-pt shot at rim (assist by A. Harrison)
7:45.0,T. Ennis makes 2-pt shot at rim,2,6-13,,
7:20.0,,,6-15,2,M. Gasol makes 2-pt shot from 9 ft (assist by T. Evans)
6:48.0,T. Ennis makes 2-pt shot from 19 ft (assist by K. Caldwell-Pope),2,8-15,,
6:38.0,,,8-15,,M. Gasol misses 2-pt shot from 14 ft
6:36.0,Defensive rebound by K. Caldwell-Pope,,8-15,,
6:36.0,,,8-15,,Personal foul by A. Harrison (drawn by T. Ennis)
6:27.0,K. Caldwell-Pope makes 2-pt shot from 22 ft (assist by T. Ennis),2,10-15,,
6:10.0,,,10-17,2,D. Brooks makes 2-pt shot from 8 ft (assist by M. Gasol)
6:01.0,B. Lopez misses 3-pt shot from 25 ft,,10-17,,
5:58.0,,,10-17,,Defensive rebound by J. Green
5:53.0,,,10-17,,Turnover by A. Harrison (bad pass)
5:53.0,,,10-17,,M. Chalmers enters the game for J. Green
5:53.0,,,10-17,,J. Martin enters the game for T. Evans
5:53.0,C. Brewer enters the game for J. Hart,,10-17,,
5:38.0,T. Ennis misses 2-pt shot from 5 ft,,10-17,,
5:34.0,,,10-17,,Defensive rebound by A. Harrison
5:29.0,,,10-17,,Turnover by J. Martin (lost ball; steal by J. Randle)
5:23.0,K. Caldwell-Pope makes 3-pt shot from 25 ft,3,13-17,,
5:06.0,,,13-17,,Shooting foul by K. Caldwell-Pope (drawn by M. Gasol)
5:06.0,,,13-18,1,M. Gasol makes free throw 1 of 2
5:06.0,,,13-18,,W. Selden enters the game for A. Harrison
5:06.0,J. Clarkson enters the game for T. Ennis,,13-18,,
5:06.0,,,13-19,1,M. Gasol makes free throw 2 of 2
4:53.0,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by J. Clarkson),3,16-19,,
4:36.0,,,16-22,3,W. Selden makes 3-pt shot from 24 ft (assist by M. Gasol)
4:23.0,J. Randle misses 2-pt shot from 6 ft,,16-22,,
4:18.0,,,16-22,,Defensive rebound by J. Martin
4:10.0,,,16-22,,M. Gasol misses 2-pt shot from 11 ft
4:06.0,Defensive rebound by J. Randle,,16-22,,
3:59.0,Shooting foul by D. Brooks (drawn by K. Caldwell-Pope),,16-22,,
3:59.0,K. Caldwell-Pope makes free throw 1 of 2,1,17-22,,
3:59.0,,,17-22,,J. Ennis enters the game for D. Brooks
3:59.0,L. Nance enters the game for B. Lopez,,17-22,,
3:59.0,K. Kuzma enters the game for J. Randle,,17-22,,
3:59.0,K. Caldwell-Pope makes free throw 2 of 2,1,18-22,,
3:43.0,,,18-22,,Shooting foul by C. Brewer (drawn by W. Selden)
3:43.0,,,18-23,1,W. Selden makes free throw 1 of 2
3:43.0,,,18-24,1,W. Selden makes free throw 2 of 2
3:27.0,K. Kuzma makes 3-pt shot from 26 ft (assist by J. Clarkson),3,21-24,,
3:15.0,,,21-24,,Turnover by M. Gasol (bad pass)
3:04.0,Turnover by J. Clarkson (bad pass; steal by M. Gasol),,21-24,,
3:04.0,,,21-24,,Turnover by M. Gasol (bad pass; steal by K. Kuzma)
3:03.0,Turnover by K. Kuzma (bad pass; steal by W. Selden),,21-24,,
2:58.0,,,21-26,2,J. Ennis makes 2-pt shot at rim (assist by W. Selden)
2:44.0,J. Clarkson misses 2-pt shot from 8 ft,,21-26,,
2:43.0,,,21-26,,Defensive rebound by J. Ennis
2:34.0,,,21-28,2,J. Martin makes 2-pt shot at rim
2:34.0,LA Lakers full timeout,,21-28,,
2:34.0,,,21-28,,D. Davis enters the game for M. Gasol
2:23.0,J. Clarkson misses 2-pt shot from 21 ft,,21-28,,
2:18.0,,,21-28,,Defensive rebound by D. Davis
2:13.0,,,21-28,,Shooting foul by L. Nance (drawn by D. Davis)
2:13.0,,,21-29,1,D. Davis makes free throw 1 of 2
2:13.0,,,21-30,1,D. Davis makes free throw 2 of 2
1:57.0,Turnover by J. Clarkson (bad pass; steal by M. Chalmers),,21-30,,
1:54.0,,,21-30,,Turnover by M. Chalmers (lost ball; steal by L. Nance)
1:53.0,Shooting foul by D. Davis (drawn by L. Nance),,21-30,,
1:53.0,L. Nance misses free throw 1 of 2,,21-30,,
1:53.0,Offensive rebound by Team,,21-30,,
1:53.0,L. Nance makes free throw 2 of 2,1,22-30,,
1:38.0,,,22-30,,M. Chalmers misses 2-pt shot from 7 ft
1:35.0,Defensive rebound by L. Nance,,22-30,,
1:33.0,Shooting foul by W. Selden (drawn by J. Clarkson),,22-30,,
1:33.0,J. Clarkson misses free throw 1 of 2,,22-30,,
1:33.0,Offensive rebound by Team,,22-30,,
1:33.0,J. Clarkson makes free throw 2 of 2,1,23-30,,
1:19.0,,,23-32,2,J. Martin makes 2-pt shot from 20 ft
1:10.0,K. Caldwell-Pope misses 2-pt shot from 19 ft,,23-32,,
1:06.0,Offensive rebound by L. Nance,,23-32,,
1:04.0,K. Kuzma misses 3-pt shot from 24 ft,,23-32,,
1:01.0,K. Kuzma misses 2-pt shot from 6 ft (block by D. Davis),,23-32,,
1:01.0,Offensive rebound by J. Clarkson,,23-32,,
1:00.0,,,23-32,,Defensive rebound by D. Davis
0:59.0,,,23-32,,Turnover by D. Davis (bad pass; steal by K. Caldwell-Pope)
0:50.0,C. Brewer misses 2-pt shot from 2 ft (block by J. Ennis),,23-32,,
0:45.0,Offensive rebound by L. Nance,,23-32,,
0:45.0,L. Nance makes 2-pt shot from 13 ft,2,25-32,,
0:39.0,Personal foul by C. Brewer (drawn by W. Selden),,25-32,,
0:39.0,,,25-33,1,W. Selden makes free throw 1 of 2
0:39.0,,,25-34,1,W. Selden makes free throw 2 of 2
0:34.0,L. Nance misses 2-pt shot from 2 ft (block by D. Davis),,25-34,,
0:31.0,,,25-34,,Defensive rebound by M. Chalmers
0:29.0,,,25-34,,M. Chalmers misses 3-pt shot from 24 ft
0:26.0,Defensive rebound by C. Brewer,,25-34,,
0:09.0,C. Brewer misses 3-pt shot from 23 ft,,25-34,,
0:07.0,Offensive rebound by K. Kuzma,,25-34,,
0:07.0,K. Kuzma makes 2-pt shot at rim,2,27-34,,
0:00.0,,,27-34,,M. Chalmers misses 2-pt shot from 6 ft
0:00.0,Defensive rebound by L. Nance,,27-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,27-37,3,M. Chalmers makes 3-pt shot from 24 ft (assist by T. Evans)
11:24.0,,,27-37,,Personal foul by J. Ennis (drawn by J. Clarkson)
11:13.0,J. Clarkson misses 2-pt shot from 7 ft,,27-37,,
11:10.0,,,27-37,,Defensive rebound by J. Ennis
11:08.0,,,27-37,,Offensive charge foul by J. Martin (drawn by A. Caruso)
11:08.0,,,27-37,,Turnover by J. Martin (offensive foul)
10:50.0,J. Clarkson makes 2-pt shot at rim,2,29-37,,
10:35.0,,,29-37,,D. Davis misses 2-pt shot from 4 ft (block by L. Nance)
10:33.0,Defensive rebound by J. Clarkson,,29-37,,
10:29.0,Turnover by C. Brewer (bad pass; steal by T. Evans),,29-37,,
10:25.0,,,29-37,,Shooting foul by A. Caruso (drawn by J. Martin)
10:25.0,,,29-38,1,J. Martin makes free throw 1 of 2
10:25.0,,,29-39,1,J. Martin makes free throw 2 of 2
10:15.0,,,29-39,,Personal foul by M. Chalmers (drawn by A. Caruso)
10:07.0,J. Clarkson misses 2-pt shot from 14 ft,,29-39,,
10:06.0,Offensive rebound by C. Brewer,,29-39,,
10:06.0,Shooting foul by T. Evans (drawn by C. Brewer),,29-39,,
10:06.0,C. Brewer misses free throw 1 of 2,,29-39,,
10:06.0,Offensive rebound by Team,,29-39,,
10:06.0,,,29-39,,A. Harrison enters the game for M. Chalmers
10:06.0,C. Brewer makes free throw 2 of 2,1,30-39,,
9:47.0,,,30-39,,T. Evans misses 2-pt shot from 2 ft
9:43.0,,,30-39,,Offensive rebound by D. Davis
9:43.0,,,30-41,2,D. Davis makes 2-pt shot at rim
9:38.0,K. Kuzma misses 2-pt shot at rim,,30-41,,
9:35.0,,,30-41,,Defensive rebound by D. Davis
9:21.0,,,30-43,2,D. Davis makes 2-pt shot at rim (assist by T. Evans)
9:21.0,LA Lakers full timeout,,30-43,,
9:04.0,L. Nance makes 2-pt shot at rim (assist by C. Brewer),2,32-43,,
8:51.0,,,32-45,2,D. Davis makes 2-pt shot at rim (assist by T. Evans)
8:38.0,J. Clarkson misses 2-pt shot from 14 ft,,32-45,,
8:35.0,Offensive rebound by L. Nance,,32-45,,
8:35.0,L. Nance makes 2-pt shot at rim,2,34-45,,
8:26.0,,,34-45,,T. Evans misses 3-pt shot from 24 ft
8:23.0,Defensive rebound by K. Kuzma,,34-45,,
8:19.0,C. Brewer misses 2-pt shot from 1 ft,,34-45,,
8:16.0,,,34-45,,Defensive rebound by J. Martin
8:12.0,,,34-45,,Turnover by T. Evans (lost ball; steal by C. Brewer)
8:08.0,A. Caruso makes 2-pt shot from 1 ft (assist by J. Clarkson),2,36-45,,
8:07.0,,,36-45,,Memphis full timeout
8:07.0,,,36-45,,J. Green enters the game for J. Martin
7:54.0,,,36-45,,A. Harrison misses 2-pt shot at rim
7:52.0,Defensive rebound by L. Nance,,36-45,,
7:48.0,C. Brewer misses 3-pt shot from 22 ft,,36-45,,
7:43.0,,,36-45,,Defensive rebound by J. Ennis
7:30.0,,,36-45,,Turnover by A. Harrison (bad pass; steal by K. Kuzma)
