time,New Orleans,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. A. Davis (J. Green gains possession),,,,Jump ball: M. Gasol vs. A. Davis (J. Green gains possession)
11:41.0,,,0-3,3,J. Ennis makes 3-pt shot from 23 ft (assist by J. Green)
11:22.0,A. Davis makes 2-pt shot from 8 ft (assist by E. Moore),2,2-3,,
11:02.0,,,2-3,,Personal foul by J. Green (drawn by D. Cousins)
11:01.0,,,2-3,,J. Green misses 2-pt shot from 3 ft (block by D. Cousins)
11:01.0,Defensive rebound by D. Cousins,,2-3,,
10:45.0,A. Davis misses 2-pt shot from 17 ft,,2-3,,
10:42.0,,,2-3,,Defensive rebound by M. Gasol
10:39.0,,,2-3,,Shooting foul by J. Holiday (drawn by M. Conley)
10:39.0,,,2-4,1,M. Conley makes free throw 1 of 2
10:39.0,,,2-5,1,M. Conley makes free throw 2 of 2
10:28.0,Shooting foul by M. Gasol (drawn by D. Cousins),,2-5,,
10:28.0,D. Cousins makes free throw 1 of 2,1,3-5,,
10:28.0,D. Cousins makes free throw 2 of 2,1,4-5,,
10:17.0,,,4-5,,Turnover by M. Gasol (traveling)
10:04.0,D. Cousins makes 3-pt shot from 26 ft (assist by J. Holiday),3,7-5,,
9:43.0,Personal foul by A. Davis (drawn by M. Gasol),,7-5,,
9:31.0,,,7-5,,A. Harrison misses 2-pt shot from 22 ft
9:27.0,Defensive rebound by D. Cunningham,,7-5,,
9:22.0,D. Cunningham misses 3-pt shot from 25 ft,,7-5,,
9:17.0,,,7-5,,Defensive rebound by A. Harrison
9:14.0,,,7-5,,A. Harrison misses 2-pt shot at rim (block by D. Cousins)
9:14.0,,,7-5,,Offensive rebound by M. Gasol
9:14.0,,,7-5,,M. Gasol misses 2-pt shot from 1 ft (block by D. Cunningham)
9:14.0,,,7-5,,Offensive rebound by Team
9:08.0,,,7-5,,Turnover by M. Conley (bad pass)
8:58.0,J. Holiday misses 2-pt shot from 7 ft,,7-5,,
8:55.0,,,7-5,,Defensive rebound by M. Gasol
8:52.0,,,7-7,2,J. Green makes 2-pt shot at rim (assist by J. Ennis)
8:43.0,E. Moore makes 2-pt shot from 5 ft (assist by J. Holiday),2,9-7,,
8:26.0,,,9-9,2,M. Conley makes 2-pt shot from 1 ft
8:15.0,D. Cousins misses 3-pt shot from 26 ft,,9-9,,
8:08.0,,,9-9,,Defensive rebound by J. Green
8:07.0,,,9-9,,Memphis full timeout
8:07.0,,,9-9,,B. Wright enters the game for J. Green
7:57.0,,,9-9,,M. Gasol misses 2-pt shot from 7 ft
7:53.0,Defensive rebound by D. Cousins,,9-9,,
7:38.0,D. Cousins misses 2-pt shot from 7 ft,,9-9,,
7:36.0,Offensive rebound by D. Cousins,,9-9,,
7:34.0,D. Cousins makes 2-pt shot from 1 ft,2,11-9,,
7:26.0,,,11-12,3,M. Conley makes 3-pt shot from 22 ft
7:12.0,J. Holiday misses 2-pt shot at rim,,11-12,,
7:08.0,Offensive rebound by A. Davis,,11-12,,
7:08.0,A. Davis makes 2-pt shot at rim,2,13-12,,
6:52.0,,,13-12,,M. Gasol misses 2-pt shot from 11 ft
6:50.0,,,13-12,,Offensive rebound by B. Wright
6:48.0,,,13-12,,B. Wright misses 2-pt shot from 1 ft
6:46.0,Defensive rebound by D. Cousins,,13-12,,
6:36.0,A. Davis misses 2-pt shot at rim (block by M. Gasol),,13-12,,
6:32.0,,,13-12,,Defensive rebound by M. Conley
6:26.0,,,13-12,,M. Gasol misses 2-pt shot from 4 ft (block by D. Cousins)
6:19.0,,,13-12,,Offensive rebound by M. Gasol
6:19.0,,,13-14,2,M. Gasol makes 2-pt shot at rim
6:18.0,,,13-14,,Personal foul by M. Conley (drawn by E. Moore)
6:12.0,Shooting foul by B. Wright (drawn by A. Davis),,13-14,,
6:12.0,A. Davis misses free throw 1 of 2,,13-14,,
6:12.0,Offensive rebound by Team,,13-14,,
6:12.0,A. Davis makes free throw 2 of 2,1,14-14,,
5:57.0,,,14-14,,M. Gasol misses 3-pt shot from 24 ft
5:51.0,Jump ball: B. Wright vs. D. Cunningham (A. Davis gains possession),,,,Jump ball: B. Wright vs. D. Cunningham (A. Davis gains possession)
5:51.0,Defensive rebound by Team,,14-14,,
5:43.0,A. Davis makes 3-pt shot from 26 ft (assist by J. Holiday),3,17-14,,
5:17.0,,,17-14,,M. Gasol misses 2-pt shot from 6 ft (block by D. Cousins)
5:15.0,Defensive rebound by D. Cunningham,,17-14,,
5:04.0,A. Davis makes 2-pt shot from 7 ft,2,19-14,,
4:48.0,,,19-16,2,M. Conley makes 2-pt shot from 9 ft
4:38.0,E. Moore misses 2-pt shot from 1 ft (block by A. Harrison),,19-16,,
4:35.0,Offensive rebound by D. Cousins,,19-16,,
4:32.0,D. Cunningham makes 3-pt shot from 24 ft (assist by D. Cousins),3,22-16,,
4:17.0,Def 3 sec tech foul by A. Davis,,22-16,,
4:17.0,,,22-17,1,M. Conley makes technical free throw
4:17.0,,,22-17,,D. Brooks enters the game for A. Harrison
4:17.0,,,22-17,,M. Chalmers enters the game for J. Ennis
4:17.0,,,22-17,,T. Evans enters the game for M. Conley
4:17.0,I. Clark enters the game for D. Cousins,,22-17,,
4:17.0,D. Miller enters the game for E. Moore,,22-17,,
4:03.0,,,22-17,,M. Gasol misses 2-pt shot from 13 ft
4:02.0,,,22-17,,Offensive rebound by B. Wright
4:02.0,Personal foul by D. Miller (drawn by B. Wright),,22-17,,
4:00.0,,,22-17,,Turnover by D. Brooks (bad pass; steal by D. Cunningham)
3:47.0,Offensive foul by A. Davis (drawn by M. Chalmers),,22-17,,
3:47.0,Turnover by A. Davis (offensive foul),,22-17,,
3:47.0,,,22-17,,C. Parsons enters the game for M. Gasol
3:47.0,D. Cousins enters the game for A. Davis,,22-17,,
3:33.0,,,22-17,,T. Evans misses 2-pt shot from 1 ft (block by D. Miller)
3:28.0,,,22-17,,Offensive rebound by T. Evans
3:28.0,,,22-17,,T. Evans misses 2-pt shot at rim
3:27.0,Defensive rebound by D. Cousins,,22-17,,
3:24.0,D. Cousins misses 2-pt shot from 1 ft (block by B. Wright),,22-17,,
3:19.0,,,22-17,,Defensive rebound by C. Parsons
3:13.0,,,22-17,,Shooting foul by I. Clark (drawn by D. Brooks)
3:13.0,,,22-18,1,D. Brooks makes free throw 1 of 2
3:13.0,T. Allen enters the game for D. Cunningham,,22-18,,
3:13.0,,,22-19,1,D. Brooks makes free throw 2 of 2
3:02.0,D. Cousins makes 2-pt shot from 1 ft,2,24-19,,
2:50.0,,,24-19,,M. Chalmers misses 2-pt shot from 1 ft (block by T. Allen)
2:50.0,,,24-19,,Offensive rebound by Team
2:50.0,New Orleans full timeout,,24-19,,
2:50.0,J. Crawford enters the game for J. Holiday,,24-19,,
2:43.0,,,24-19,,Shooting foul by T. Allen (drawn by C. Parsons)
2:43.0,,,24-19,,C. Parsons misses free throw 1 of 2
2:43.0,,,24-19,,Offensive rebound by Team
2:43.0,,,24-19,,C. Parsons misses free throw 2 of 2
