time,Orlando,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Zeller vs. B. Biyombo (R. Hollis-Jefferson gains possession),,,,Jump ball: T. Zeller vs. B. Biyombo (R. Hollis-Jefferson gains possession)
11:43.0,,,0-0,,R. Hollis-Jefferson misses 2-pt shot from 9 ft
11:39.0,Defensive rebound by E. Payton,,0-0,,
11:25.0,A. Gordon makes 3-pt shot from 25 ft (assist by J. Simmons),3,3-0,,
11:00.0,,,3-0,,D. Carroll misses 2-pt shot from 7 ft (block by E. Fournier)
10:56.0,Defensive rebound by B. Biyombo,,3-0,,
10:54.0,E. Fournier misses 3-pt shot from 25 ft,,3-0,,
10:54.0,,,3-0,,Defensive rebound by D. Carroll
10:46.0,,,3-0,,A. Crabbe misses 3-pt shot from 25 ft
10:43.0,Defensive rebound by A. Gordon,,3-0,,
10:37.0,A. Gordon makes 3-pt shot from 25 ft (assist by J. Simmons),3,6-0,,
10:15.0,,,6-0,,S. Dinwiddie misses 3-pt shot from 28 ft
10:12.0,,,6-0,,Offensive rebound by T. Zeller
10:04.0,,,6-2,2,R. Hollis-Jefferson makes 2-pt shot from 13 ft
9:52.0,E. Payton misses 3-pt shot from 25 ft,,6-2,,
9:52.0,,,6-2,,Defensive rebound by S. Dinwiddie
9:43.0,,,6-4,2,T. Zeller makes 2-pt shot from 3 ft (assist by S. Dinwiddie)
9:26.0,Turnover by B. Biyombo (bad pass; steal by A. Crabbe),,6-4,,
9:20.0,,,6-4,,A. Crabbe misses 2-pt shot from 6 ft
9:18.0,Defensive rebound by A. Gordon,,6-4,,
9:17.0,Turnover by E. Payton (bad pass),,6-4,,
8:55.0,,,6-4,,R. Hollis-Jefferson misses 2-pt shot from 8 ft
8:53.0,Defensive rebound by A. Gordon,,6-4,,
8:45.0,B. Biyombo misses 2-pt shot from 7 ft (block by T. Zeller),,6-4,,
8:41.0,,,6-4,,Defensive rebound by R. Hollis-Jefferson
8:32.0,,,6-7,3,A. Crabbe makes 3-pt shot from 23 ft (assist by S. Dinwiddie)
8:17.0,A. Gordon misses 2-pt shot from 13 ft,,6-7,,
8:15.0,,,6-7,,Defensive rebound by T. Zeller
8:00.0,,,6-7,,D. Carroll misses 2-pt shot from 5 ft
7:56.0,Defensive rebound by E. Payton,,6-7,,
7:52.0,B. Biyombo makes 2-pt shot from 5 ft (assist by E. Fournier),2,8-7,,
7:52.0,Shooting foul by T. Zeller (drawn by B. Biyombo),,8-7,,
7:52.0,B. Biyombo misses free throw 1 of 1,,8-7,,
7:50.0,,,8-7,,Defensive rebound by T. Zeller
7:39.0,,,8-7,,S. Dinwiddie misses 3-pt shot from 25 ft
7:36.0,Defensive rebound by B. Biyombo,,8-7,,
7:19.0,J. Simmons misses 3-pt shot from 25 ft,,8-7,,
7:15.0,,,8-7,,Defensive rebound by D. Carroll
7:03.0,,,8-7,,Shooting foul by E. Payton (drawn by R. Hollis-Jefferson)
7:03.0,,,8-8,1,R. Hollis-Jefferson makes free throw 1 of 2
7:03.0,,,8-8,,R. Hollis-Jefferson misses free throw 2 of 2
7:00.0,Defensive rebound by B. Biyombo,,8-8,,
6:53.0,B. Biyombo makes 2-pt shot from 1 ft (assist by E. Payton),2,10-8,,
6:45.0,,,10-8,,T. Zeller misses 2-pt shot from 3 ft
6:45.0,Defensive rebound by Team,,10-8,,
6:45.0,,,10-8,,Brooklyn full timeout
6:23.0,J. Simmons misses 3-pt shot from 23 ft,,10-8,,
6:19.0,,,10-8,,Defensive rebound by A. Crabbe
5:58.0,,,10-8,,S. Dinwiddie misses 2-pt shot from 5 ft
5:58.0,Defensive rebound by Team,,10-8,,
5:45.0,E. Fournier misses 2-pt shot from 3 ft,,10-8,,
5:39.0,Offensive rebound by B. Biyombo,,10-8,,
5:39.0,B. Biyombo makes 2-pt shot at rim,2,12-8,,
5:21.0,,,12-10,2,D. Carroll makes 2-pt shot from 7 ft
5:06.0,A. Gordon misses 2-pt shot from 16 ft,,12-10,,
5:04.0,,,12-10,,Defensive rebound by T. Zeller
5:01.0,,,12-10,,Offensive charge foul by A. Crabbe (drawn by A. Gordon)
5:01.0,,,12-10,,Turnover by A. Crabbe (offensive foul)
5:01.0,,,12-10,,J. Harris enters the game for T. Zeller
5:01.0,,,12-10,,J. Allen enters the game for A. Crabbe
4:44.0,B. Biyombo misses 2-pt shot from 9 ft (block by J. Allen),,12-10,,
4:39.0,Offensive rebound by J. Simmons,,12-10,,
4:38.0,A. Gordon misses 3-pt shot from 24 ft,,12-10,,
4:36.0,Offensive rebound by B. Biyombo,,12-10,,
4:30.0,E. Payton misses 2-pt shot from 6 ft,,12-10,,
4:29.0,Offensive rebound by B. Biyombo,,12-10,,
4:29.0,Turnover by E. Payton (out of bounds lost ball),,12-10,,
4:09.0,,,12-12,2,D. Carroll makes 2-pt shot from 8 ft
3:56.0,E. Fournier makes 2-pt shot from 8 ft,2,14-12,,
3:56.0,Shooting foul by S. Dinwiddie (drawn by E. Fournier),,14-12,,
3:56.0,,,14-12,,N. Stauskas enters the game for S. Dinwiddie
3:56.0,,,14-12,,C. LeVert enters the game for D. Carroll
3:56.0,A. Afflalo enters the game for B. Biyombo,,14-12,,
3:56.0,M. Speights enters the game for J. Simmons,,14-12,,
3:56.0,E. Fournier makes free throw 1 of 1,1,15-12,,
3:42.0,,,15-12,,J. Allen misses 2-pt shot from 10 ft
3:39.0,,,15-12,,Offensive rebound by R. Hollis-Jefferson
3:39.0,,,15-12,,R. Hollis-Jefferson misses 2-pt shot at rim
3:36.0,Defensive rebound by M. Speights,,15-12,,
3:25.0,,,15-12,,Personal foul by C. LeVert (drawn by A. Afflalo)
3:16.0,E. Fournier makes 2-pt shot from 2 ft,2,17-12,,
3:07.0,,,17-14,2,J. Allen makes 2-pt shot from 1 ft (assist by C. LeVert)
3:01.0,Turnover by M. Speights (bad pass; steal by C. LeVert),,17-14,,
3:00.0,,,17-14,,Turnover by J. Harris (bad pass)
2:47.0,E. Payton makes 2-pt shot from 13 ft,2,19-14,,
2:37.0,,,19-14,,Turnover by C. LeVert (lost ball; steal by E. Payton)
2:33.0,A. Gordon makes 2-pt shot from 1 ft (assist by E. Payton),2,21-14,,
2:14.0,,,21-16,2,N. Stauskas makes 2-pt shot from 20 ft (assist by C. LeVert)
1:58.0,A. Gordon makes 2-pt shot from 1 ft,2,23-16,,
1:46.0,,,23-18,2,R. Hollis-Jefferson makes 2-pt shot from 15 ft
1:33.0,A. Afflalo misses 3-pt shot from 22 ft,,23-18,,
1:31.0,,,23-18,,Defensive rebound by C. LeVert
1:25.0,,,23-18,,J. Harris misses 2-pt shot from 17 ft
1:22.0,Defensive rebound by M. Speights,,23-18,,
1:18.0,Turnover by A. Afflalo (bad pass; steal by J. Harris),,23-18,,
1:11.0,Orlando full timeout,,23-18,,
1:11.0,,,23-18,,Q. Acy enters the game for R. Hollis-Jefferson
1:11.0,D. Augustin enters the game for E. Payton,,23-18,,
1:05.0,,,23-18,,C. LeVert misses 2-pt shot from 16 ft
0:59.0,,,23-18,,Offensive rebound by J. Allen
0:59.0,,,23-20,2,J. Allen makes 2-pt shot at rim
0:43.0,E. Fournier makes 2-pt shot from 16 ft (assist by A. Afflalo),2,25-20,,
0:31.0,,,25-22,2,J. Harris makes 2-pt shot from 2 ft
0:07.0,M. Speights makes 2-pt shot from 9 ft,2,27-22,,
0:00.0,,,27-22,,C. LeVert misses 2-pt shot from 7 ft
0:00.0,Defensive rebound by M. Speights,,27-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,D. Augustin makes 2-pt shot from 7 ft,2,29-22,,
11:19.0,,,29-24,2,J. Allen makes 2-pt shot from 1 ft (assist by C. LeVert)
10:57.0,M. Speights makes 2-pt shot from 18 ft (assist by D. Augustin),2,31-24,,
10:40.0,,,31-24,,N. Stauskas misses 2-pt shot from 18 ft
10:38.0,Defensive rebound by M. Hezonja,,31-24,,
10:32.0,M. Speights misses 3-pt shot from 26 ft,,31-24,,
10:27.0,,,31-24,,Defensive rebound by J. Harris
10:16.0,,,31-26,2,C. LeVert makes 2-pt shot from 7 ft
10:05.0,A. Afflalo makes 2-pt shot from 2 ft (assist by M. Speights),2,33-26,,
9:54.0,,,33-29,3,C. LeVert makes 3-pt shot from 26 ft
9:37.0,M. Speights makes 3-pt shot from 24 ft (assist by W. Iwundu),3,36-29,,
9:17.0,,,36-29,,C. LeVert misses 2-pt shot from 20 ft
9:13.0,Defensive rebound by M. Speights,,36-29,,
9:03.0,D. Augustin misses 3-pt shot from 25 ft,,36-29,,
9:02.0,Offensive rebound by M. Speights,,36-29,,
9:02.0,Shooting foul by J. Allen (drawn by M. Speights),,36-29,,
9:02.0,M. Speights misses free throw 1 of 2,,36-29,,
9:02.0,Offensive rebound by Team,,36-29,,
9:02.0,,,36-29,,A. Crabbe enters the game for N. Stauskas
9:02.0,,,36-29,,D. Carroll enters the game for J. Allen
9:02.0,M. Speights makes free throw 2 of 2,1,37-29,,
8:50.0,,,37-29,,Q. Acy misses 3-pt shot from 24 ft
8:46.0,,,37-29,,Offensive rebound by D. Carroll
8:38.0,,,37-29,,Turnover by J. Harris (bad pass)
8:23.0,D. Augustin misses 2-pt shot from 16 ft,,37-29,,
8:17.0,,,37-29,,Defensive rebound by D. Carroll
8:11.0,,,37-29,,C. LeVert misses 2-pt shot from 1 ft
8:09.0,Defensive rebound by M. Speights,,37-29,,
8:05.0,Turnover by A. Afflalo (bad pass),,37-29,,
7:57.0,,,37-29,,J. Harris misses 3-pt shot from 25 ft
7:52.0,Defensive rebound by D. Augustin,,37-29,,
7:50.0,,,37-29,,Personal foul by C. LeVert (drawn by D. Augustin)
7:50.0,J. Simmons enters the game for A. Afflalo,,37-29,,
7:37.0,,,37-29,,Personal foul by D. Carroll (drawn by D. Augustin)
7:37.0,,,37-29,,S. Dinwiddie enters the game for C. LeVert
7:24.0,M. Speights misses 2-pt shot from 18 ft,,37-29,,
7:21.0,,,37-29,,Defensive rebound by J. Harris
7:13.0,Shooting block foul by M. Speights (drawn by A. Crabbe),,37-29,,
7:13.0,,,37-30,1,A. Crabbe makes free throw 1 of 2
7:13.0,,,37-30,,R. Hollis-Jefferson enters the game for J. Harris
7:13.0,A. Gordon enters the game for M. Speights,,37-30,,
7:13.0,,,37-31,1,A. Crabbe makes free throw 2 of 2
6:48.0,Turnover by D. Augustin (bad pass; steal by D. Carroll),,37-31,,
6:44.0,,,37-33,2,D. Carroll makes 2-pt shot from 1 ft
6:44.0,Orlando full timeout,,37-33,,
6:25.0,M. Hezonja misses 2-pt shot from 8 ft,,37-33,,
6:23.0,Offensive rebound by M. Hezonja,,37-33,,
6:16.0,J. Simmons misses 2-pt shot from 8 ft,,37-33,,
6:13.0,,,37-33,,Defensive rebound by D. Carroll
6:00.0,,,37-33,,Turnover by R. Hollis-Jefferson (lost ball; steal by J. Simmons)
5:52.0,M. Hezonja makes 2-pt shot from 10 ft,2,39-33,,
5:34.0,,,39-36,3,A. Crabbe makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson)
5:18.0,W. Iwundu misses 3-pt shot from 23 ft,,39-36,,
5:16.0,,,39-36,,Defensive rebound by A. Crabbe
5:03.0,Personal foul by W. Iwundu (drawn by D. Carroll),,39-36,,
5:03.0,,,39-36,,C. LeVert enters the game for Q. Acy
5:03.0,E. Fournier enters the game for D. Augustin,,39-36,,
5:03.0,E. Payton enters the game for W. Iwundu,,39-36,,
4:49.0,,,39-36,,D. Carroll misses 2-pt shot from 12 ft
4:47.0,Defensive rebound by A. Gordon,,39-36,,
4:41.0,A. Gordon misses 2-pt shot from 3 ft (block by S. Dinwiddie),,39-36,,
4:37.0,,,39-36,,Defensive rebound by C. LeVert
4:34.0,,,39-36,,C. LeVert misses 2-pt shot from 19 ft
4:34.0,Defensive rebound by Team,,39-36,,
4:15.0,M. Hezonja misses 2-pt shot from 3 ft,,39-36,,
4:12.0,,,39-36,,Defensive rebound by R. Hollis-Jefferson
4:09.0,,,39-36,,Turnover by R. Hollis-Jefferson (bad pass)
3:58.0,Turnover by A. Gordon (bad pass; steal by C. LeVert),,39-36,,
3:53.0,,,39-36,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
3:52.0,,,39-36,,Offensive rebound by C. LeVert
3:52.0,,,39-38,2,C. LeVert makes 2-pt shot at rim
3:52.0,Orlando full timeout,,39-38,,
3:52.0,B. Biyombo enters the game for M. Hezonja,,39-38,,
3:28.0,E. Fournier misses 2-pt shot from 22 ft,,39-38,,
3:26.0,,,39-38,,Defensive rebound by S. Dinwiddie
3:19.0,,,39-38,,Turnover by S. Dinwiddie (bad pass; steal by E. Fournier)
3:13.0,A. Gordon makes 2-pt shot from 4 ft (assist by E. Payton),2,41-38,,
3:00.0,Violation by B. Biyombo (kicked ball),,41-38,,
3:00.0,,,41-38,,J. Harris enters the game for D. Carroll
3:00.0,,,41-38,,J. Allen enters the game for A. Crabbe
2:53.0,,,41-40,2,C. LeVert makes 2-pt shot from 18 ft
2:38.0,E. Payton makes 2-pt shot from 1 ft,2,43-40,,
2:22.0,,,43-42,2,J. Allen makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
2:12.0,Turnover by E. Payton (bad pass; steal by S. Dinwiddie),,43-42,,
2:08.0,,,43-42,,C. LeVert misses 2-pt shot from 2 ft
2:04.0,Defensive rebound by J. Simmons,,43-42,,
2:00.0,Shooting foul by S. Dinwiddie (drawn by J. Simmons),,43-42,,
2:00.0,J. Simmons makes free throw 1 of 2,1,44-42,,
2:00.0,J. Simmons makes free throw 2 of 2,1,45-42,,
1:49.0,,,45-44,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by C. LeVert)
1:36.0,J. Simmons makes 3-pt shot from 26 ft (assist by E. Payton),3,48-44,,
1:21.0,Personal foul by E. Fournier (drawn by J. Allen),,48-44,,
1:16.0,,,48-44,,Shooting foul by E. Fournier (drawn by J. Allen)
1:16.0,,,48-45,1,J. Allen makes free throw 1 of 2
1:16.0,,,48-45,,J. Allen misses free throw 2 of 2
1:13.0,Defensive rebound by A. Gordon,,48-45,,
0:57.0,E. Fournier misses 2-pt shot from 6 ft (block by S. Dinwiddie),,48-45,,
0:55.0,,,48-45,,Defensive rebound by C. LeVert
0:51.0,,,48-45,,Turnover by C. LeVert (bad pass; steal by A. Gordon)
0:44.0,E. Fournier misses 2-pt shot from 19 ft,,48-45,,
0:41.0,,,48-45,,Defensive rebound by J. Allen
0:28.0,,,48-47,2,R. Hollis-Jefferson makes 2-pt shot from 3 ft (assist by S. Dinwiddie)
0:12.0,,,48-47,,Violation by J. Allen (kicked ball)
0:01.0,J. Simmons misses 2-pt shot from 15 ft,,48-47,,
0:01.0,,,48-47,,Defensive rebound by R. Hollis-Jefferson
0:00.0,,,48-47,,R. Hollis-Jefferson misses 3-pt shot from 46 ft
0:00.0,,,48-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
