time,Oklahoma City,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. S. Adams (C. Anthony gains possession),,,,Jump ball: C. Capela vs. S. Adams (C. Anthony gains possession)
11:39.0,R. Westbrook misses 2-pt shot at rim,,0-0,,
11:38.0,,,0-0,,Defensive rebound by T. Ariza
11:33.0,,,0-0,,T. Ariza misses 2-pt shot at rim
11:31.0,Defensive rebound by S. Adams,,0-0,,
11:28.0,P. George misses 2-pt shot from 6 ft,,0-0,,
11:27.0,Offensive rebound by R. Westbrook,,0-0,,
11:26.0,R. Westbrook misses 2-pt shot at rim,,0-0,,
11:26.0,Offensive rebound by P. George,,0-0,,
11:25.0,P. George misses 2-pt shot at rim,,0-0,,
11:23.0,Offensive rebound by R. Westbrook,,0-0,,
11:20.0,R. Westbrook makes 2-pt shot at rim,2,2-0,,
11:02.0,,,2-3,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
10:50.0,Turnover by P. George (bad pass; steal by T. Ariza),,2-3,,
10:43.0,,,2-6,3,P. Tucker makes 3-pt shot from 23 ft (assist by C. Paul)
10:18.0,P. George makes 3-pt shot from 25 ft,3,5-6,,
9:51.0,,,5-6,,J. Harden misses 3-pt shot from 24 ft
9:49.0,Defensive rebound by Team,,5-6,,
9:29.0,R. Westbrook misses 2-pt shot from 14 ft,,5-6,,
9:27.0,,,5-6,,Defensive rebound by C. Capela
9:25.0,,,5-6,,Turnover by C. Capela (bad pass; steal by P. George)
9:21.0,P. George makes 2-pt shot from 1 ft (assist by R. Westbrook),2,7-6,,
9:02.0,,,7-8,2,P. Tucker makes 2-pt shot from 22 ft (assist by C. Paul)
8:46.0,C. Brewer makes 3-pt shot from 22 ft (assist by R. Westbrook),3,10-8,,
8:36.0,,,10-10,2,J. Harden makes 2-pt shot at rim
8:36.0,Violation by C. Anthony (def goaltending),,10-10,,
8:22.0,P. George misses 3-pt shot from 25 ft,,10-10,,
8:20.0,,,10-10,,Defensive rebound by P. Tucker
8:14.0,,,10-12,2,C. Capela makes 2-pt shot at rim (assist by P. Tucker)
8:04.0,R. Westbrook misses 2-pt shot from 11 ft,,10-12,,
8:01.0,,,10-12,,Defensive rebound by C. Capela
7:53.0,,,10-15,3,P. Tucker makes 3-pt shot from 25 ft (assist by C. Paul)
7:31.0,S. Adams makes 2-pt shot from 8 ft,2,12-15,,
7:21.0,,,12-15,,P. Tucker misses 3-pt shot from 24 ft
7:21.0,Defensive rebound by S. Adams,,12-15,,
7:09.0,C. Anthony makes 2-pt shot from 16 ft,2,14-15,,
6:49.0,,,14-15,,Shooting foul by S. Adams (drawn by C. Capela)
6:49.0,,,14-15,,Houston full timeout
6:49.0,,,14-15,,G. Green enters the game for C. Paul
6:49.0,,,14-15,,C. Capela misses free throw 1 of 2
6:49.0,,,14-15,,Offensive rebound by Team
6:49.0,,,14-15,,C. Capela misses free throw 2 of 2
6:49.0,Defensive rebound by C. Anthony,,14-15,,
6:37.0,R. Westbrook misses 2-pt shot from 2 ft (block by G. Green),,14-15,,
6:35.0,,,14-15,,Defensive rebound by P. Tucker
6:27.0,,,14-15,,G. Green misses 3-pt shot from 22 ft
6:23.0,Defensive rebound by C. Brewer,,14-15,,
6:06.0,Turnover by S. Adams (turnover),,14-15,,
6:06.0,,,14-15,,L. Mbah a Moute enters the game for P. Tucker
6:03.0,C. Anthony misses 2-pt shot from 22 ft,,14-15,,
6:01.0,,,14-15,,Defensive rebound by C. Capela
5:55.0,,,14-17,2,T. Ariza makes 2-pt shot at rim (assist by J. Harden)
5:41.0,S. Adams makes 2-pt shot at rim (assist by P. George),2,16-17,,
5:41.0,Shooting foul by G. Green (drawn by S. Adams),,16-17,,
5:41.0,S. Adams makes free throw 1 of 1,1,17-17,,
5:26.0,,,17-19,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
