time,LA Lakers,pts.away,score,pts.home,Washington
2:05.0,,,24-30,1,K. Oubre makes free throw 2 of 2
1:51.0,J. Clarkson makes 2-pt shot from 1 ft (assist by J. Randle),2,26-30,,
1:36.0,,,26-32,2,M. Gortat makes 2-pt shot from 7 ft
1:17.0,J. Clarkson makes 3-pt shot from 22 ft (assist by J. Hart),3,29-32,,
1:06.0,,,29-32,,Turnover by O. Porter (traveling)
0:53.0,,,29-32,,Personal foul by K. Oubre (drawn by J. Clarkson)
0:53.0,J. Clarkson makes free throw 1 of 2,1,30-32,,
0:53.0,,,30-32,,J. Meeks enters the game for K. Oubre
0:53.0,J. Clarkson misses free throw 2 of 2,,30-32,,
0:50.0,,,30-32,,Defensive rebound by B. Beal
0:38.0,,,30-34,2,B. Beal makes 2-pt shot at rim
0:38.0,,,30-34,,Shooting foul by J. Randle (drawn by B. Beal)
0:38.0,,,30-35,1,B. Beal makes free throw 1 of 1
0:28.0,J. Randle makes 2-pt shot from 1 ft,2,32-35,,
0:06.0,,,32-37,2,B. Beal makes 2-pt shot from 1 ft
0:01.0,J. Clarkson makes 2-pt shot from 1 ft,2,34-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,Turnover by J. Randle (out of bounds lost ball),,34-37,,
11:38.0,,,34-37,,Turnover by T. Frazier (bad pass)
11:19.0,Turnover by J. Randle (lost ball; steal by T. Frazier),,34-37,,
11:10.0,,,34-39,2,O. Porter makes 2-pt shot from 11 ft
11:01.0,Offensive foul by K. Kuzma (drawn by T. Frazier),,34-39,,
11:01.0,Turnover by K. Kuzma (offensive foul),,34-39,,
10:41.0,,,34-41,2,M. Scott makes 2-pt shot from 3 ft (assist by T. Frazier)
10:39.0,LA Lakers full timeout,,34-41,,
10:22.0,K. Kuzma makes 2-pt shot from 21 ft,2,36-41,,
10:11.0,,,36-41,,Offensive foul by I. Mahinmi (drawn by J. Hart)
10:11.0,,,36-41,,Turnover by I. Mahinmi (offensive foul)
10:02.0,J. Hart misses 2-pt shot from 15 ft,,36-41,,
9:59.0,,,36-41,,Defensive rebound by O. Porter
9:53.0,,,36-43,2,T. Frazier makes 2-pt shot from 10 ft (assist by O. Porter)
9:32.0,K. Kuzma misses 2-pt shot from 12 ft,,36-43,,
9:29.0,,,36-43,,Defensive rebound by O. Porter
9:16.0,,,36-43,,O. Porter misses 2-pt shot from 22 ft
9:11.0,Defensive rebound by K. Kuzma,,36-43,,
9:08.0,Shooting foul by I. Mahinmi (drawn by J. Clarkson),,36-43,,
9:08.0,J. Clarkson makes free throw 1 of 2,1,37-43,,
9:08.0,,,37-43,,B. Beal enters the game for O. Porter
9:08.0,J. Clarkson makes free throw 2 of 2,1,38-43,,
8:50.0,,,38-46,3,T. Frazier makes 3-pt shot from 24 ft (assist by M. Scott)
8:33.0,J. Clarkson makes 3-pt shot from 26 ft (assist by K. Kuzma),3,41-46,,
8:19.0,B. Ingram enters the game for C. Brewer,,41-46,,
8:07.0,,,41-48,2,M. Scott makes 2-pt shot at rim (assist by T. Frazier)
7:39.0,J. Hart misses 3-pt shot from 26 ft,,41-48,,
7:34.0,Offensive rebound by K. Kuzma,,41-48,,
7:33.0,K. Kuzma misses 2-pt shot from 10 ft,,41-48,,
7:33.0,,,41-48,,Defensive rebound by M. Scott
7:27.0,,,41-48,,Shooting foul by J. Randle (drawn by I. Mahinmi)
7:27.0,L. Ball enters the game for J. Hart,,41-48,,
7:27.0,,,41-52,1,I. Mahinmi makes free throw 1 of 1
7:26.0,,,41-51,3,B. Beal makes 3-pt shot from 24 ft (assist by T. Frazier)
7:21.0,Offensive foul by K. Kuzma (drawn by T. Frazier),,41-51,,
7:21.0,Turnover by K. Kuzma (offensive foul),,41-51,,
7:11.0,,,41-51,,B. Beal misses 2-pt shot from 12 ft
7:07.0,Defensive rebound by J. Clarkson,,41-51,,
