time,LA Lakers,pts.away,score,pts.home,Washington
6:32.0,L. Ball enters the game for J. Clarkson,,84-99,,
6:32.0,K. Caldwell-Pope enters the game for T. Ennis,,84-99,,
6:32.0,,,84-100,1,J. Wall makes free throw 2 of 2
6:18.0,Shooting foul by J. Wall (drawn by L. Ball),,84-100,,
6:18.0,L. Ball misses free throw 1 of 3,,84-100,,
6:18.0,Offensive rebound by Team,,84-100,,
6:18.0,L. Ball makes free throw 2 of 3,1,85-100,,
6:18.0,L. Ball makes free throw 3 of 3,1,86-100,,
6:01.0,,,86-102,2,J. Wall makes 2-pt shot from 18 ft
5:47.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,86-102,,
5:44.0,,,86-102,,Defensive rebound by J. Wall
5:44.0,Loose ball foul by J. Hart (drawn by J. Wall),,86-102,,
5:24.0,,,86-102,,J. Wall misses 2-pt shot from 16 ft
5:19.0,,,86-102,,Offensive rebound by O. Porter
5:17.0,,,86-102,,K. Oubre misses 3-pt shot from 25 ft
5:17.0,,,86-102,,Offensive rebound by O. Porter
5:13.0,,,86-102,,B. Beal misses 3-pt shot from 26 ft
5:05.0,Defensive rebound by J. Randle,,86-102,,
5:03.0,L. Ball misses 3-pt shot from 27 ft,,86-102,,
4:58.0,,,86-102,,Defensive rebound by K. Oubre
4:48.0,,,86-102,,J. Wall misses 2-pt shot from 1 ft
4:44.0,Defensive rebound by J. Hart,,86-102,,
4:42.0,Shooting foul by M. Gortat (drawn by K. Caldwell-Pope),,86-102,,
4:42.0,K. Caldwell-Pope misses free throw 1 of 3,,86-102,,
4:42.0,Offensive rebound by Team,,86-102,,
4:42.0,K. Caldwell-Pope makes free throw 2 of 3,1,87-102,,
4:42.0,K. Caldwell-Pope makes free throw 3 of 3,1,88-102,,
4:30.0,,,88-104,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
4:17.0,J. Hart misses 3-pt shot from 23 ft,,88-104,,
4:14.0,,,88-104,,Defensive rebound by J. Wall
4:11.0,,,88-106,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
4:11.0,Violation by J. Randle (def goaltending),,88-106,,
4:11.0,LA Lakers full timeout,,88-106,,
4:11.0,K. Kuzma enters the game for J. Hart,,88-106,,
3:58.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,88-106,,
3:53.0,,,88-106,,Defensive rebound by K. Oubre
3:33.0,,,88-106,,Shooting foul by J. Randle (drawn by B. Beal)
3:33.0,,,88-106,,B. Beal misses free throw 1 of 3
3:33.0,,,88-106,,Offensive rebound by Team
3:33.0,,,88-107,1,B. Beal makes free throw 2 of 3
3:33.0,,,88-107,,J. Meeks enters the game for O. Porter
3:33.0,,,88-108,1,B. Beal makes free throw 3 of 3
3:21.0,L. Ball misses 3-pt shot from 26 ft,,88-108,,
3:21.0,,,88-108,,Defensive rebound by J. Wall
3:06.0,,,88-108,,Offensive foul by B. Beal (drawn by L. Ball)
3:06.0,,,88-108,,Turnover by B. Beal (offensive foul)
3:06.0,,,88-108,,T. Frazier enters the game for J. Wall
3:06.0,,,88-108,,T. Satoransky enters the game for B. Beal
3:06.0,,,88-108,,M. Scott enters the game for M. Gortat
3:06.0,T. Ennis enters the game for K. Caldwell-Pope,,88-108,,
3:06.0,V. Blue enters the game for L. Ball,,88-108,,
3:06.0,C. Brewer enters the game for B. Ingram,,88-108,,
3:06.0,I. Zubac enters the game for J. Randle,,88-108,,
2:51.0,V. Blue makes 2-pt shot at rim,2,90-108,,
2:35.0,,,90-108,,M. Scott misses 2-pt shot from 2 ft (block by C. Brewer)
2:31.0,Defensive rebound by T. Ennis,,90-108,,
2:29.0,T. Ennis misses 2-pt shot from 1 ft,,90-108,,
2:29.0,Offensive rebound by I. Zubac,,90-108,,
2:22.0,I. Zubac makes 2-pt shot at rim,2,92-108,,
2:13.0,,,92-108,,K. Oubre misses 3-pt shot from 26 ft
2:09.0,Defensive rebound by C. Brewer,,92-108,,
2:06.0,Offensive charge foul by C. Brewer (drawn by T. Frazier),,92-108,,
2:06.0,Turnover by C. Brewer (offensive foul),,92-108,,
1:56.0,,,92-111,3,M. Scott makes 3-pt shot from 25 ft (assist by T. Frazier)
1:43.0,I. Zubac misses 2-pt shot from 8 ft,,92-111,,
1:42.0,Offensive rebound by K. Kuzma,,92-111,,
1:42.0,,,92-111,,Personal foul by K. Oubre (drawn by K. Kuzma)
1:42.0,K. Kuzma misses free throw 1 of 2,,92-111,,
1:42.0,Offensive rebound by Team,,92-111,,
1:42.0,K. Kuzma makes free throw 2 of 2,1,93-111,,
1:27.0,,,93-111,,Turnover by M. Scott (bad pass; steal by T. Ennis)
1:23.0,K. Kuzma makes 2-pt shot at rim (assist by C. Brewer),2,95-111,,
0:58.0,,,95-111,,Turnover by Team (shot clock)
0:47.0,T. Ennis misses 3-pt shot from 27 ft,,95-111,,
0:44.0,,,95-111,,Defensive rebound by Team
0:28.0,,,95-111,,K. Oubre misses 2-pt shot from 1 ft
0:25.0,Defensive rebound by I. Zubac,,95-111,,
0:20.0,V. Blue misses 2-pt shot from 1 ft,,95-111,,
0:16.0,,,95-111,,Defensive rebound by M. Scott
