time,Orlando,pts.away,score,pts.home,Golden State
1:14.0,,,25-22,,A. Iguodala misses 2-pt shot at rim (block by B. Biyombo)
1:12.0,Defensive rebound by E. Fournier,,25-22,,
1:03.0,B. Biyombo makes 2-pt shot from 1 ft (assist by S. Mack),2,27-22,,
0:45.0,,,27-22,,J. McGee misses 2-pt shot from 2 ft
0:43.0,,,27-22,,Offensive rebound by J. McGee
0:40.0,,,27-24,2,O. Casspi makes 2-pt shot from 4 ft (assist by A. Iguodala)
0:31.0,A. Gordon makes 2-pt shot from 8 ft,2,29-24,,
0:15.0,,,29-27,3,N. Young makes 3-pt shot from 23 ft (assist by D. Green)
0:05.0,J. Simmons misses 2-pt shot from 17 ft,,29-27,,
0:02.0,Offensive rebound by B. Biyombo,,29-27,,
0:00.0,E. Fournier misses 2-pt shot from 16 ft,,29-27,,
0:00.0,Offensive rebound by Team,,29-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,29-29,2,N. Young makes 2-pt shot from 1 ft (assist by D. West)
11:28.0,J. Simmons misses 2-pt shot from 10 ft,,29-29,,
11:23.0,,,29-29,,Defensive rebound by D. West
11:13.0,,,29-29,,Turnover by D. West (bad pass)
11:00.0,Turnover by J. Simmons (bad pass),,29-29,,
10:48.0,,,29-32,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. West)
10:40.0,,,29-32,,Personal foul by N. Young (drawn by J. Simmons)
10:35.0,T. Ross makes 2-pt shot from 15 ft (assist by B. Biyombo),2,31-32,,
10:21.0,,,31-32,,N. Young misses 3-pt shot from 26 ft
10:17.0,,,31-32,,Offensive rebound by D. West
10:04.0,,,31-34,2,D. West makes 2-pt shot from 2 ft (assist by K. Thompson)
9:56.0,S. Mack misses 2-pt shot from 10 ft,,31-34,,
9:54.0,,,31-34,,Defensive rebound by Team
9:54.0,Loose ball foul by B. Biyombo (drawn by D. West),,31-34,,
9:42.0,,,31-34,,Shooting foul by J. Simmons (drawn by K. Thompson)
9:42.0,,,31-35,1,K. Thompson makes free throw 1 of 2
9:42.0,,,31-36,1,K. Thompson makes free throw 2 of 2
9:29.0,Shooting foul by K. Thompson (drawn by M. Speights),,31-36,,
9:29.0,M. Speights makes free throw 1 of 2,1,32-36,,
9:29.0,M. Speights makes free throw 2 of 2,1,33-36,,
9:09.0,,,33-36,,K. Thompson misses 2-pt shot from 5 ft
9:03.0,Defensive rebound by B. Biyombo,,33-36,,
8:55.0,T. Ross makes 3-pt shot from 24 ft (assist by J. Simmons),3,36-36,,
8:38.0,,,36-36,,A. Iguodala misses 2-pt shot from 17 ft
8:36.0,Defensive rebound by Team,,36-36,,
8:28.0,M. Speights misses 3-pt shot from 27 ft,,36-36,,
8:23.0,,,36-36,,Defensive rebound by D. West
8:22.0,,,36-36,,Turnover by D. Green (bad pass; steal by M. Speights)
